en,pt,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
											As an archaeologist,
											I'm most often asked
what my favorite discovery is.
											The answer's easy:
											my husband, Greg.
									","
											Enquanto arqueóloga,
											perguntam-me muitas vezes
qual é a minha descoberta preferida.
											A resposta é fácil:
											o meu marido, Greg.
									","
											Como arqueóloga,
											a veces me preguntan cuál es 
mi descubrimiento favorito.
											La respuesta es fácil:
											Mi marido, Greg.
									","
											En tant qu'archéologue,
											on me demande souvent
qu'elle est ma découverte préférée.
											La réponse est facile :
											mon mari, Greg.
									","
											Bir arkeolog olarak
											sık sık en büyük buluşumun
ne olduğu sorulur.
											Cevap ortada:
											Kocam, Greg.
									",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
","
","
","
","
",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkaha)
									",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
","
","
","
","
",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
											We met in Egypt on my first dig.
											It was my first lesson in finding
unexpected, wonderful things.
											This began an incredible
archaeological partnership.
											Years later, I proposed to him
in front of our favorite pair statue
											of the Prince and Princess
Rahotep and Nofret,
											in the Cairo Museum,
											dating to 4,600 years ago.
									","
											Conhecemo-nos no Egito,
na minha primeira escavação.
											Foi a minha primeira lição sobre encontrar
coisas maravilhosas e inesperadas.
											Foi o começo de uma parceria
arqueológica incrível.
											Anos depois, pedi-o em casamento
em frente da nossa estátua preferida
											do Príncipe e da Princesa
Rahotep e Nofret,
											no Museu do Cairo,
											que data de há 4600 anos.
									","
											Nos conocimos en Egipto
en mi primera excavación.
											Fue mi primera lección en eso de encontrar
cosas inesperadas y maravillosas.
											Esto dio lugar a una sociedad
arqueológica increíble.
											Años más tarde, le propuse matrimonio
frente a nuestras estatuas favoritas
											del príncipe y la princesa
Rahotep y Nofret,
											en el Museo de El Cairo,
											de hace 4600 años.
									","
											C'était en Égypte,
lors de ma première fouille.
											C'était ma première leçon de découverte
des choses inattendues, merveilleuses.
											Cela a commencé sous la forme
d'incroyable partenariat archéologique.
											Des années plus tard,
je l'ai demandé en mariage
											devant deux de nos statues préférées
											du Prince et de la Princesse
Rahotep et Nofret,
											au musée du Caire,
											qui ont plus de 4 600 ans.
									","
											Mısır'da ilk kazımda tanıştık.
											Beklenmedik, muhteşem şeyler
bulmaya yönelik ilk dersimdi.
											Bu da inanılmaz bir arkeolojik
ortaklık başlattı aramızda.
											Yıllar sonra, en sevdiğimiz heykel çifti
önünde ona evlenme teklif ettim:
											Prens Rahotep ve Prenses Nofret,
											Kahire Müzesi'nde sergileniyor
											ve tarihi 4.600 yıl öncesine dayanıyor.
									",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
","
","
","
","
",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
											I thought if I was going to ask Greg
to spend the rest of this life with me,
											then I should ask him
in front of two people
											who had pledged
to be together for eternity.
											These symbols endure
because when we look at them,
											we're looking at mirrors.
											They are powerful reminders
											that our common humanity has not changed.
									","
											Pensei que, se ia pedir a Greg
que passasse comigo o resto da vida,
											devia pedir-lhe
em frente de duas pessoas
											que tinham jurado permanecer juntos
por toda a eternidade.
											Estes símbolos perduram
porque, quando olhamos para eles,
											estamos a olhar para espelhos.
											São lembretes poderosos
											de que a nossa humanidade comum
não mudou.
									","
											Pensé que si iba a pedirle a Greg
pasar el resto de esta vida conmigo,
											debería pedírselo
delante de dos personas
											que prometieron estar juntas
una eternidad.
											Estos símbolos perduran
porque al mirarlos,
											miramos espejos.
											Son recordatorios poderosos
											de que nuestra humanidad común
no ha cambiado.
									","
											Je pensais que pour demander à Greg
de passer le reste de sa vie avec moi,
											je devais lui demander
devant deux personnes
											qui avaient fait le serment
d'être ensemble pour l'éternité.
											Ces symboles perdurent
car quand nous les regardons,
											nous regardons dans un miroir.
											Ce sont de puissants rappels
											du fait que l'humanité n'a pas changé.
									","
											Greg'ten hayatının geri kalanı boyunca
benimle olmasını isteyeceksem
											sonsuza dek birlikte olmaya söz vermiş
											iki kişi önünde teklif etmeliyim
diye düşündüm.
											Bu semboller hala var
çünkü onlara baktığımızda
											kendimizi görüyoruz.
											Ortak insanlık anlayışımızın değişmediğini
											bize hatırlatan güçlü unsurlar bunlar.
									",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
","
","
","
","
",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
"
											The thrill of archaeological discovery
is as powerful as love,
											because ancient history is the most
seductive mistress imaginable.
											Many archaeologists
have devoted their lives
											to unraveling the mysteries of the past
											under hot suns
											and Arctic winds
											and in dense rainforests.
											Many seek.
											Some discover.
											All worship at the temple of possibility
											that one discovery might change history.
									","
											A emoção da descoberta arqueológica
é tão poderosa como o amor,
											porque a História Antiga é a amante
mais sedutora que se possa imaginar.
											Muitos arqueólogos
dedicaram a vida
											a desvendar os mistérios do passado
											sob um sol tórrido,
											com ventos glaciais
											e em selvas tropicais impenetráveis.
											Muitos são os que procuram.
											Poucos são os que encontram.
											Todos adoram, no templo da possibilidade,
											uma descoberta que mude a História.
									","
											La emoción del descubrimiento arqueológico
es tan poderosa como el amor,
											porque la historia antigua es
la amante más seductora imaginable.
											Muchos arqueólogos
han dedicado sus vidas
											a desentrañar los misterios del pasado
											bajo soles abrasadores,
											vientos árticos
											y densas selvas tropicales.
											Muchos buscan.
											Algunos descubren.
											Todos piden en el templo de la posibilidad
											que un descubrimiento
pueda cambiar la historia.
									","
											Le frisson de la découverte archéologique
est aussi fort que l'amour
											car l'histoire ancienne est la maîtresse
la plus séduisante imaginable.
											Beaucoup d'archéologues
ont consacré leur vie
											à démêler les mystères du passé
											en plein soleil,
											sous des vents arctiques
											et dans des forêts tropicales denses.
											Beaucoup cherchent.
											Certains découvrent.
											Tous prient sur le temple des possibilités
											qu'une découverte
puisse changer l'histoire.
									","
											Arkeolojik keşfin heyecanı aşk kadar güçlü
											çünkü antik çağlar hayal edebileceğiniz
en baştan çıkarıcı sevgilidir.
											Pek çok arkeolog
											yakıcı güneş altında
											arktik rüzgarlarda
											ve yağmur ormanlarında
											hayatını geçmişin gizemine adar.
											Çoğu arar.
											Bazıları keşfeder.
											Bir keşfin tarihi
değiştirebileceği ihtimaline
											herkes adeta tapıyor.
									",Help discover ancient ruins — before it's too late,Sarah Parcak,21:48,"adventure,ancient world,archaeology,big problems,collaboration,communication,community,algorithm,Egypt,global issues,humanity,human origins,Middle East,potential,science,society,South America,technology,TED Prize,terrorism,violence,war,world cultures"
