pt,fr,title,speaker,duration,tags
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											Tenho uma confissão a fazer,
											mas primeiro, quero que
											me façam uma pequena confissão.
											No ano passado, só quero que 
levantem a vossa mão
									","
											J'ai une confession à vous faire,
											mais avant tout, je veux
											que vous me fassiez une petite confidence.
											Je veux que vous leviez la main
si, durant l'année dernière,
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											se sentiram relativamente pouco ""stress""
											Alguém?
									","
											vous avez connu relativement peu de stress.
											Personne ?
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											E uma quantidade moderada de ""stress""?
									","
											Que diriez-vous d'une quantité modérée de stress ?
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											Quem sentiu muito ""stress""?
											Sim. Eu também.
									","
											Qui a connu beaucoup de stress ?
											Oui. Moi aussi.
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											Mas essa não é a minha confissão.
											A minha confissão é esta: 
sou uma psicóloga clínica
											e a minha missão é ajudar as pessoas a serem 
mais felizes e mais saudáveis.
											Mas receio que algo que tenho estado a ensinar
											durante os últimos 10 anos,
esteja a fazer mais mal do que bem
											e tem que ver com o ""stress"".
											Durante anos, tenho dito às pessoas que
o stress as faz ficar doentes.
											Que aumenta o risco de contrair qualquer doença, 
desde uma constipação
											a doenças cardiovasculares.
											Basicamente, fiz do ""stress"" o inimigo.
											Mas mudei de ideias sobre o ""stress""
											e, hoje, quero fazer-vos mudar também.
									","
											Mais ce n'est pas cela, ma confession.
											Ma confession est la suivante :
je suis une psychologue de la santé,
											ma mission est d'aider les gens
à être plus heureux et en meilleure santé.
											Mais je crains bien qu'une chose
que j'ai enseignée
											durant les 10 dernières années
fasse plus de mal que de bien,
											et c'est en rapport avec le stress.
											Pendant des années, j'ai dit aux gens,
le stress vous rend malade.
											Ça augmente les risques sur tout,
											du rhume aux maladies cardiovasculaires.
											Au fond, j'ai fait du stress un ennemi.
											Mais j'ai changé d'opinion sur le stress,
											et aujourd'hui, je veux changer la vôtre.
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											Deixem-me começar pelo estudo 
que me fez repensar
											toda a minha abordagem ao ""stress"".
											Este estudo seguiu 30 000
adultos nos Estados Unidos
											durante 8 anos, e eles começavam por 
perguntar às pessoas,
											""Quanto 'stress' sentiu no último ano?""
											Eles também perguntavam: ""Acredita
											""que o 'stress' é prejudicial à sua saúde?"".
											E depois usaram os registos públicos de óbitos
											para descobrir quem morria.
									","
											Permettez-moi de commencer par l'étude
qui m'a fait réexaminer
											toute mon approche du stress.
											Cette étude a été menée
auprès de 30 000 adultes aux États-Unis
											pendant huit ans.
Ils ont commencé par demander aux gens,
											« Quelle quantité de stress avez-vous supportée
l'année dernière ? »
											Ils ont également demandé,
											« Croyez-vous que le stress
soit dangereux pour votre santé ? »
											Puis ils ont utilisé les registres de décès
											pour savoir qui était mort.
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											(Risos)
									","
											(Rires)
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
											Ok. Algumas más notícias, primeiro.
											Pessoas que sentiram muito ""stress""
no ano anterior
											tinham um risco de morrer 43% maior.
											Mas isso só era válido para as pessoas
											que também acreditavam que o ""stress""
é prejudicial à saúde.
											(Risos)
											Pessoas que sentiram muito ""stress""
											mas não viam o ""stress"" como prejudicial
											não eram mais propensas a morrer.
											De facto, tinham o menor risco de morrer
											entre toda a gente do estudo, incluindo pessoas
											que tinham relativamente pouco ""stress"".
									","
											Ok. Quelques mauvaises nouvelles d'abord.
											Les gens qui avaient connu beaucoup de stress
durant l'année précédente
											avaient 43% de risque supplémentaire de mourir.
											Mais ce n'était vrai que pour les personnes
											qui croyaient que le stress
était mauvais pour leur santé.
											(Rires)
											Les gens qui avaient connu beaucoup de stress,
											mais ne percevaient pas le stress comme nocif,
											n'étaient pas plus susceptibles de mourir.
											En fait, ils avaient le risque
le plus faible de mourir
											de tous les participants à l'étude,
y compris les personnes
											qui avaient relativement peu de stress.
									",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
"
","
",How to make stress your friend,Kelly McGonigal,14:28,"body language,health,psychology,mindfulness"
