en,pt,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
											So for the past 12 years,
											I've been obsessed with this idea
											that climate change
is an information issue
											that computers will help us fight.
											I went from data science
to climate policy research,
											from tech to public service,
											in pursuit of better data
											to avoid the wasted energy,
resources, opportunities
											that lead to runaway carbon emissions.
											Until one day, running in the streets
with a friend, it hit me:
											the same cars, factories, power plants
											whose emissions are wrecking
our climate over time
											also release harmful, local pollutants
											that threaten our health
right here and right now.
											All this time I'd focused
on the long-term environmental risk
											when I should have been up in arms
											about the immediate health impact
of pollutants in the air.
									","
											Nos últimos 12 anos,
											tenho vivido obcecado com a ideia
											de que a alteração climática
é uma questão de informação
											que os computadores
nos vão ajudar a combater.
											Passei da ciência de dados
											para a investigação
de políticas climáticas,
											da tecnologia para o serviço público,
											em busca de dados melhores
											para evitar o desperdício de energia,
de recursos e de oportunidades
											que levam às emissões
de carbono descontroladas.
											Até que um dia, ao fazer ""jogging""
na rua, com um amigo, ocorreu-me:
											os mesmos carros, fábricas,
centrais eléctricas
											cujas emissões estão a destruir
o nosso clima ao longo do tempo
											também emitem poluentes
locais e prejudiciais
											que ameaçam a nossa saúde aqui e agora.
											Durante este tempo todo,
											eu tinha-me concentrado
no risco ambiental a longo prazo,
											quando deveria estar revoltado
com o impacto imediato na saúde
											dos poluentes do ar.
									","
											Durante los últimos 12 años
											he estado obsesionado con la idea
											de que el cambio climático
es un problema de información
											que las computadoras
nos ayudarán a combatir.
											Pasé de la ciencia de datos
a la política climática,
											de la tecnología al servicio público,
											en búsqueda de mejores datos
											para evitar el derroche de energía,
recursos y oportunidades
											que conducen a las incontroladas 
emisiones de carbono.
											Hasta que un día, andando por la calle
con un amigo, me di cuenta:
											los mismos autos, fábricas 
y centrales eléctricas
											cuyas emisiones están arruinando 
nuestro clima con el tiempo
											también liberan 
contaminantes dañinos locales
											que amenazan nuestra salud aquí y ahora.
											Durante todo este tiempo me concentré
en el riesgo ambiental a largo plazo
											cuando debería haber protestado
											por el impacto inmediato en la salud
de los contaminantes en el aire.
									","
											Son 12 yıldır
											iklim değişikliğinin, bilgisayarların bize
savaşmamızda yardım edeceği
											bir bilgi sorunu olduğu fikrine
kafaya takmış durumdayım.
											Karbon salınımına neden olan
											boşa harcanmış enerjiyi, 
kaynakları, fırsatları önlemek için
											veri biliminden 
iklim politikası araştırmasına,
											teknolojiden kamu hizmetine,
											daha iyi veri arayışı içinde
her şeyi araştırdım.
											Bir gün arkadaşımla sokaklarda
koşarken bir anda kafama dank etti:
											Zaman içinde iklimimizi 
mahveden salınımları olan
											aynı arabalar, fabrikalar,
elektrik santralleri,
											aynı zamanda burada 
ve şu anda sağlığımızı tehdit eden
											zararlı, yerel çevre kirliliğine 
yol açan maddeler salıyorlar.
											Havadaki zararlı maddelerin anlık 
sağlık etkisine odaklanmam gerekirken
											bunca zamandır uzun vadeli 
çevresel risk üzerine odaklanmıştım.
									","
											Ces 12 dernières années,
											j'ai été obnubilé par l'idée
											que le changement climatique
est un problème d'informations
											que les ordinateurs
nous aideront à résoudre.
											De la science des données
aux politiques climatiques,
											des technologies à l'administration,
											j'ai cherché de meilleures données
											pour éviter le gaspillage
d'énergie, de ressources,
											qui génère des émissions
incontrôlées de carbone.
											Un jour, en plein jogging dans la rue
avec un ami, ça m'a frappé :
											les mêmes voitures, usines, centrales,

											dont les émissions détruisent
notre climat au fil du temps,
											rejettent également des polluants nocifs
											qui menacent notre santé là, maintenant.
											Tout ce temps, je m'étais concentré sur
les risques environnementaux à long terme
											alors que j'aurais dû m'insurger
											contre les effets immédiats sur la santé
de ces polluants dans l'air.
									",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
","
","
","
","
",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
											Air pollution is a burning
public health crisis.
											It kills seven million people every year,
											it costs five trillion dollars
to the world economy
											and, worst, it robs us
of our most precious gift,
											the years in our lives:
											six months of life expectancy
in my hometown of Paris
											and up to three, four, five years
in parts of India and China.
											And in the US, more people die
from car exhaust than from car accidents.
									","
											A poluição do ar é uma crise
de saúde pública premente.
											Mata sete milhões de pessoas
todos os anos,
											custa cinco biliões de dólares
à economia mundial
											e, pior, rouba-nos
o nosso bem mais precioso:
											anos de vida.
											Seis meses de esperança de vida
na minha cidade natal, Paris,
											e até três, quatro, cinco anos
nalgumas zonas da Índia e da China.
											Nos EUA, morrem mais pessoas
devido aos escapes dos carros
											do que em acidentes automóveis.
									","
											La contaminación es 
una crisis de la salud pública.
											Mata a siete millones de personas por año,
											cuesta USD 5 billones
a la economía mundial
											y, lo que es peor, nos roba
nuestro don más precioso,
											nuestros años de vida:
											seis meses de esperanza de vida
en mi ciudad natal, París,
											y hasta tres, cuatro o cinco años
en lugares de India o China.
											En EE. UU., muere más gente por emisiones 
de los tubos de escapes de los autos
											que por accidentes de tránsito.
									","
											Hava kirliliği çözüm bekleyen
bir genel sağlık krizi.
											Her yıl yedi milyon insanı öldürüyor,
dünya ekonomisine beş trilyona mal oluyor
											ve en kötüsü de
en değerli hediyemizi çalıyor,
											hayatımızdaki senelerini:
											Doğup büyüdüğüm yer olan;
Paris'te yaşam süresinin altı ayını
											ve Hindistan ile Çin'in bazı kısımlarında
ise üç, dört, beş yıla kadarını.
											ABD'de ise araba kazalarına kıyasla
daha fazla insan egzozdan ölüyor.
									","
											La pollution est une grave
crise de santé publique.
											Elle tue sept millions
de personnes par an,
											coûte cinq mille milliards de dollars
à l'économie mondiale
											et, pire encore, nous dérobe
notre bien le plus précieux,
											notre espérance de vie :
											elle a baissé de six mois
dans ma ville natale, Paris,
											et jusqu'à 3, 4, 5 ans dans certaines
régions de l'Inde et de la Chine.
											Aux États-Unis, les gaz d'échappement
tuent plus que les accidents de la route.
									",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
","
","
","
","
",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
											So how do we protect
ourselves from pollution?
											The reason it's difficult
is an information gap.
											We simply lack the data
to understand our exposure.
											And that's because the way
we monitor air quality today
											is designed not to help people breathe
but to help governments govern.
											Most major cities operate networks
of air-quality monitoring stations
											like this one in London,
											to decide when to cut traffic
or when to shut down factories.
											And these machines
are like the computers from the '60s
											that filled entire rooms.
											They're incredibly precise
but incredibly large,
											heavy, costly —
											so much that you can only deploy
just a few of them,
											and they cannot move.
											So to governments,
air pollution looks like this.
											But for the rest of us,
											air quality looks like this.
											It changes all the time:
											hour by hour, street by street,
											up to eight times
within a single city block.
											And even more from indoor to outdoor.
											So unless you happen to be walking
right next to one of those stations,
											they just cannot tell you
what you breathe.
									","
											Então, como nos protegemos da poluição?
											O que faz com que seja difícil
é a falta de informação.
											Nós simplesmente não temos dados
para entender como estamos expostos.
											E isso é porque a forma como controlamos
a qualidade do ar hoje em dia
											não é projectada para ajudar
as pessoas a respirar,
											mas para ajudar os governos a governar.
											A maioria das grandes cidades
											tem redes de estações
de controlo da qualidade do ar,
											como esta em Londres,
											para decidir quando cortar o trânsito
ou quando encerrar fábricas.
											Estas máquinas são
como os computadores dos anos 60
											que enchiam salas inteiras.
											São incrivelmente precisas
mas incrivelmente grandes,
											pesadas, caras — tão caras
que só se podem colocar algumas:
											e elas não podem sair do sítio.
											Então para os governos
este é o aspecto da poluição do ar.
											Para os restantes de nós,
											a qualidade do ar parece-se com isto.
											Muda a todo o momento:
											hora a hora, rua a rua,
											até oito vezes num único quarteirão.
											E ainda mais de dentro de casa
para o exterior.
											Então, a menos que passem
mesmo ao lado de uma dessas estações,
											elas não podem dizer-nos
o que respiramos.
									","
											Entonces, ¿cómo nos protegemos
de la contaminación?
											Esto es difícil porque hay
falta de información.
											Carecemos de los datos para entender 
a lo que estamos expuestos.
											Y eso es porque el modo en que hoy 
se monitoriza la calidad del aire no está
											diseñado para ayudarnos a respirar,
sino para ayudar a los gobiernos.
											Muchas grandes ciudades tienen estaciones 
de monitorización de la calidad del aire
											como esta de Londres,
											para decidir cuándo cortar el tráfico
o cuándo cerrar las fábricas.
											Y estas máquinas son como 
las computadoras de los años 60
											que ocupaban salas enteras.
											Son increíblemente precisas,
pero increíblemente grandes,
											pesadas, costosas...
											tanto que solo se pueden instalar
algunas de ellas,
											y no se pueden mover.
											Para los gobiernos, 
la contaminación se ve así.
											Pero para el resto de nosotros,
											la calidad del aire se ve así.
											Cambia todo el tiempo:
											hora tras hora, calle por calle,
											hasta ocho veces en 
una manzana de una ciudad.
											Y aún más del interior al exterior.
											Así que, a menos que caminen
cerca de una de estas estaciones,
											estas no les indican 
qué se debe respiran.
									","
											O halde kirlilikten 
nasıl kendimizi koruruz?
											Zor olmasının sebebi veri eksikliği.
											Tek kelimeyle maruz kalmamızı 
anlamak için veri eksiğimiz var.
											Bunun nedeni ise günümüzde 
hava kalitesini gözlemleme şeklimiz
											nefes almak için değil, devletlerin 
yönetmesine yardım etmek için tasarlanmış.
											Çoğu büyük şehir Londra'dakine benzer
hava kalitesi gözlem istasyonları ağını,
											trafiği ne zaman keseceklerine
											veya fabrikaları ne zaman kapatacaklarına 
karar vermek için kullanıyor.
											Bu makineler tüm odayı dolduran 
60'lardan kalan bilgisayarlar gibi.
											Oldukça hassaslar, ancak son derece
geniş, ağır ve pahalılar da —
											o kadar ki sadece 
birkaç tanesini yerleştirebilirsiniz
											ve hareket edemezler.
											Yani hava kirliliği hükümetlere,
bunun gibi gözüküyor.
											Ancak geri kalanlarımız için
hava kalitesi bunun gibi gözüküyor.
											Her zaman değişiyor:
											saat saat, cadde cadde,
											tek bir şehir bloğunun içinde 8 kez kadar.
											Hatta kapalı mekandan 
dış mekana daha fazla.
											Yani bu istasyonların 
hemen yanında yürüyor değilseniz
											size neyi soluduğunuzu söyleyemezler.
									","
											Alors comment se protéger
de la pollution ?
											A cause d'un manque d'informations,
c'est difficile.
											On a trop peu de données
pour comprendre notre exposition.
											Et c'est parce que la façon dont nous
mesurons la qualité de l'air aujourd'hui
											n'est pas faite pour nous aider à respirer
mais aider les gouvernements à gouverner.
											Par des réseaux de stations de 
surveillance de la qualité de l'air,
											comme celle-ci à Londres,
											les villes décident quand
couper le trafic ou fermer des usines.
											Et ces machines sont comme
les ordinateurs des années 60
											qui étaient gigantesques.
											Ils sont très précis,
mais tellement grands,
											lourds, coûteux -
											que seuls quelques-uns
d'entre eux peuvent être déployés
											et ils ne sont pas mobiles.
											Les gouvernements voient
ainsi la pollution de l'air
											mais pour nous,
											la qualité de l'air ressemble à ça.
											Elle change tout le temps :
											d'heure en heure, de rue en rue,
											jusqu'à huit fois au sein
d'un seul pâté de maisons.
											Et même d'intérieur à extérieur.
											alors à moins de marcher le long
d'une de ces stations,
											ils ne peuvent pas savoir
ce qu'on respire.
									",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
","
","
","
","
",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
											So what would environmental
protection look like
											if it was designed
for the age of the smartphone?
											So for the past three years,
											my team and I have been
building a technology
											that helps you know what you breathe
											and fits in your hand.
											Flow is a personal air-quality tracker
that you can wear with you
											on a backpack, a bike, a stroller.
											It's packed with miniature sensors
											that monitor the most important
pollutants in the air around you,
											like nitrogen oxides,
											the exhaust gas from cars,
											or particulate matter
that gets into your bloodstream
											and creates strokes and heart issues.
											Or volatile organic compounds,
											the thousands of chemicals
in everyday products
											that we end up breathing.
											And that makes this data actionable
											and helps you understand
what you're breathing
											by telling you where and when
you've been exposed to poor air quality,
											and that way you can make
informed decisions
											to take action against pollution.
									","
											Qual seria o aspeto
da protecção ambiental
											se fosse projectado
para a era dos ""smartphones""?
											Ao longo dos últimos três anos,
											a minha equipa e eu
temos desenvolvido uma tecnologia
											que nos ajuda a saber o que respiramos
											e que cabe na nossa mão.
											O Flow é um medidor pessoal
da qualidade do ar
											que podemos levar connosco
numa mochila,
											numa bicicleta, num carrinho de bebé.
											Está repleto de sensores em miniatura
											que medem os principais poluentes
no ar à nossa volta,
											como os óxidos de nitrogénio,
o fumo de escape dos carros,
											ou partículas em suspensão que entram
na nossa corrente sanguínea
											e originam derrames e problemas cardíacos.
											Ou os compostos orgânicos voláteis,
											os milhares de químicos
presentes em produtos do dia-a-dia
											que acabamos por respirar.
											Isso torna estes dados úteis
											e ajuda-nos a entender o que respiramos
											dizendo onde e quando fomos expostos
a má qualidade do ar.
											Assim, podemos tomar decisões informadas,
											agir contra a poluição.
									","
											¿Cómo se vería la protección ambiental
											si estuviera diseñada 
para la era del teléfono inteligente?
											Durante los pasados tres años
											mi equipo y yo estuvimos
construyendo una tecnología
											que ayuda a saber lo que respiramos
											y cabe en la mano.
											""Flow"" es un rastreador personal 
de la calidad del aire que pueden llevar
											en una mochila, 
una bicicleta o un cochecito.
											Tiene muchos sensores en miniatura
											que controlan los contaminantes
más importantes en el aire,
											como los óxidos de nitrógeno,
											las emisiones de los autos,
											o el material particulado
que entra en nuestra sangre
											y crea embolias y problemas cardíacos.
											O los compuestos orgánicos volátiles,
											los miles de químicos 
en los productos cotidianos
											que terminamos respirando.
											Eso hace que estos datos sean viables
											y nos ayuda a entender lo que respiramos
											al decirnos dónde y cuándo hemos estado
expuestos a un aire de pobre calidad,
											y que podemos tomar decisiones informadas
											para empezar a actuar.
									","
											Peki ya çevre koruması akıllı telefon
çağına göre tasarlansaydı nasıl görünürdü?
											Bu yüzden son üç yıldır
											ekibim ve ben, elinize sığan 
ve ne soluduğunuzu bilmenize yardımcı olan
											bir teknoloji inşa ediyoruz.
											Flow, çantanıza, bisikletinize, 
bebek arabasına asabileceğiniz
											kişisel bir hava kalitesi takip cihazıdır.
											Etrafınızdaki havada bulunan 
en önemli kirleticileri gözlemleyen
											küçücük sensörlerden yapılmıştır,
											nitrojen oksitleri,
											arabalardaki egzoz gazları
											ya da kan dolaşımınıza giren 
ve felç ile kalp sorunlarına neden olan
											parçacıklı maddeler gibi.
											Ya da uçucu organik bileşikler,
											günlük ürünlerde soluduğumuz
binlerce kimyasallar.
											İşte bu, veriyi işlemeye uygun kılıyor
											ve size nerede ve ne zaman kötü hava 
kalitesine maruz kaldığınızı söyleyerek
											ne soluduğunuzu 
anlamanıza yardımcı oluyor;
											bu şekilde kirliliğe karşı
harekete geçmek için
											bilgiye dayalı kararlar verebilirsiniz.
									","
											Que serait la protection environnementale
											si elle se mettait
à l'heure du smartphone ?
											Ces trois dernières années,
											mon équipe et moi avons
construit une technologie
											capable de dire ce que vous respirez
											et elle tient dans la main.
											Flow est un traqueur de qualité de l'air
que vous pouvez mettre
											sur votre sac à dos, vélo, poussette.
											Il comporte des mini capteurs
											qui enregistrent les plus gros polluants
de l'air autour de vous,
											comme les oxydes d'azote,
											les gaz d'échappement,
											ou des particules
qui pénètrent votre circulation sanguine
											et causent AVC ou problèmes cardiaques.
											Ou encore les composés organiques volants,
											les produits chimiques du quotidien,
											qu'on finit par respirer.
											Flow rend ces données exploitables
											et vous aide à comprendre
ce que vous respirez
											en vous disant où et quand vous avez
été exposé,
											et de prendre des décisions
en connaissance de cause
											pour agir contre la pollution.
									",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
","
","
","
","
",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
"
											You can change the products
you use at home,
											you can find the best route
to cycle to work,
											you can run when pollution is not peaking
											and you can find the best park
to bring your children out.
									","
											Podemos mudar os produtos
que usamos em casa,
											descobrir o melhor caminho
para pedalar até ao trabalho,
											ir correr quando a poluição
não estiver no máximo
											e encontrar o melhor parque
onde levar os nossos filhos.
									","
											Podemos cambiar
los productos usados en casa,
											encontrar el mejor camino
para ir en bicicleta,
											salir a correr cuando la contaminación
no está tan elevada
											y encontrar el mejor parque
para llevar a los niños.
									","
											Evde kullandığınız ürünleri
değiştirebilirsiniz,
											işe bisikletle gidilecek 
en iyi rotayı bulabilirsiniz,
											kirlilik zirve yapmadığında koşabilirsiniz
											ve çocuklarınızı götürecek
en iyi parkı bulabilirsiniz.
									","
											Changer ses produits à la maison,
											emprunter le meilleur itinéraire à vélo,
											courir quand la pollution
n'a pas atteint son pic,
											trouver le meilleur parc
où aller avec les enfants...
									",A personal air-quality tracker that lets you know what you're breathing,Romain Lacombe,5:35,"TED Fellows,technology,pollution,environment,Anthropocene,science,sustainability,invention,climate change,design"
