es,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
											Soy neurocientífica y estudio
la toma de decisiones.
											Realizo experimentos para analizar
cómo los químicos
											en el cerebro influyen sobre
las decisiones que tomamos.
									","
											Ben bir nörobilimciyim ve karar verme sürecini araştırıyorum.
											Beyindeki farklı kimyasalların, yaptığımız seçimleri
											nasıl etkilediğine bakmak için deneyler yapıyorum.
									","
											I'm a neuroscientist, and I study decision-making.
											I do experiments to test how different chemicals
											in the brain influence the choices we make.
									","
											Je suis une neuroscientifique, et j'étudie la prise de décision.
											Je fais des expériences pour tester comment les différentes substances chimiques
											du cerveau influencent les choix qu'on fait.
									","
											Ich bin Neurowissenschaftlerin und 
untersuche, wie wir Entscheidungen treffen.
											Ich mache Experimente, um zu testen,
wie verschiedene Chemikalien
											im Gehirn unsere Entscheidungen beeinflussen.
									",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
","
","
","
","
",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
											Estoy aquí para contarles el secreto
para una exitosa toma de decisiones:
											un sándwich de queso.
											Así es. Según científicos,
un sándwich de queso
											es la solución para todas
las decisiones difíciles.
									","
											Size, başarılı kararlar vermenizin sırrını açıklamak için burdayım:
											bir peynirli sandviç.
											Bu doğru! Bilim insanlarına göre, bütün zor kararlarınızın
											çözümü bir peynirli sandviçtir.
									","
											I'm here to tell you the secret to successful decision-making:
											a cheese sandwich.
											That's right. According to scientists, a cheese sandwich
											is the solution to all your tough decisions.
									","
											Je suis ici aujourd'hui pour vous dire le secret d'une prise de décision réussie :
											un sandwich au fromage.
											C'est bien cela. D'après la science, un sandwich au fromage
											serait la solution à toutes vos décisions difficiles.
									","
											Ich bin hier, um Ihnen das Geheimnis erfolgreicher Entscheidungsfindung zu verraten:
											ein Käsesandwich.
											Richtig. Nach Aussage von 
Wissenschaftlern ist ein Käsesandwich
											die Lösung all Ihrer schwierigen Entscheidungen.
									",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
","
","
","
","
",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
											¿Cómo lo sé? Soy la científica 
que realizó el estudio.
									","
											Nerden mi biliyorum? Bu araştırmayı yapan bilim insanı benim!
									","
											How do I know? I'm the scientist who did the study.
									","
											Comment le sais-je ? Je suis la scientifique qui a fait cette étude.
									","
											Woher ich das weiß? Ich bin die Wissenschaftlerin, 
die die Studie durchgeführt hat.
									",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
","
","
","
","
",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
											Hace unos años, mis colegas y yo
nos interesábamos
											en cómo un químico del cerebro 
llamado serotonina
											podía influir las decisiones de la gente 
en situaciones sociales.
											Concretamente, queríamos saber
cómo la serotonina afectaría
											la manera de reaccionar de la gente 
al tratarlas injustamente.
									","
											Birkaç yıl önce, meslektaşlarım ve ben
											beyindeki serotonin denilen kimyasalın
											insanların sosyal durumlarda, karar verme süreçlerini nasıl etkilediğiyle ilgileniyorduk.
											Özellikle, insanların adaletsizce davranıldıklarındaki tepkilerine
											serotoninin nasıl etkileyeceğini bilmek istedik.
									","
											A few years ago, my colleagues and I were interested
											in how a brain chemical called serotonin
											would influence people's decisions in social situations.
											Specifically, we wanted to know how serotonin would affect
											the way people react when they're treated unfairly.
									","
											Il y a quelques années, nous nous intéressions, mes collègues et moi,
											à comment une substance chimique du cerveau appelée la sérotonine
											pourrait influencer la prise de décision dans des situations sociales.
											De façon spécifique, nous voulions savoir comment la sérotonine affecterait
											la façon dont les gens réagissent quand ils subissent un traitement injuste.
									","
											Vor ein paar Jahren haben sich meine 
Kollegen und ich dafür interessiert,
											wie ein Neurotransmitter namens Serotonin
											die Entscheidungen der Menschen 
in sozialen Situationen beeinflusst.
											Im Speziellen wollten wir wissen, 
welchen Einfluss Serotonin darauf hat,
											wie Menschen reagieren, wenn 
sie unfair behandelt werden.
									",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
","
","
","
","
",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
"
											Así, realizamos un experimento.
											Manipulamos los niveles de
serotonina de la gente dándoles
											una bebida artificial sabor limón 
muy desagradable
											que funciona extrayendo el ingrediente básico 
para la serotonina
											en el cerebro.
											Es el aminoácido triptófano.
											Lo que descubrimos que,
cuando el triptófano estaba bajo,
											era más probable que 
la gente se vengara
											cuando se los trataba injustamente.
									","
											Bu yüzden bir deney yaptık.
											İnsanlara, beyindeki serotoninin ham maddesini alıp
											götürmeye yarayan, bu gerçekten iğrenç tadı olan
											yapay limon aromalı içeceği vererek,
											insanların serotonin seviyelerini ayarladık.
											Bu amino asit triptofan.
											Yani, bulduğumuz şey şuydu: Triptofan düşük olduğunda,
											insanlar adaletsiz davranıldıklarında
											öç almaya daha meyilliydiler.
									","
											So we did an experiment.
											We manipulated people's serotonin levels by giving them
											this really disgusting-tasting artificial lemon-flavored drink
											that works by taking away the raw ingredient for serotonin
											in the brain.
											This is the amino acid tryptophan.
											So what we found was, when tryptophan was low,
											people were more likely to take revenge
											when they're treated unfairly.
									","
											Donc nous avons réalisé une expérience.
											Nous avons manipulé le niveau de sérotonine des sujets en leur donnant
											cette boisson artificielle au goût affreux parfumée au citron
											qui enlève l'ingrédient brut de la sérotonine
											dans le cerveau.
											Voici le tryptophane, un acide aminé.
											Nous avons constaté que quand le tryptophane était bas,
											les sujets avaient plus tendance à se venger
											quand ils sont traités de façon injuste.
									","
											Daher haben wir ein Experiment gemacht.
											Wir manipulierten den Serotoninspiegel 
von Personen, indem wir ihnen
											dieses abscheulich schmeckenden Getränk 
mit künstlichem Zitronengeschmack gaben,
											das die Ausgangszutaten des Serotonins im Gehirn
											beseitigt.
											Das ist die Aminosäure Tryptophan.
											Wir entdeckten, dass Personen mit niedrigem
											Tryptophanspiegel eher Rache nahmen,
											wenn sie unfair behandelt worden waren.
									",Beware neuro-bunk,Molly Crockett,11:18,"advertising,brain,marketing,media,neuroscience,science,decision-making,behavioral economics,cognitive science,bioethics,consumerism,health,journalism,mind,medical research,shopping,mental health"
