en,tr,de,title,speaker,duration,tags
"
","
","
",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
											Women represent
											50 percent of middle management
											and professional positions,
											but the percentages of women
at the top of organizations
											represent not even a third of that number.
											So some people hear that statistic and they ask,
											why do we have so few women leaders?
											But I look at that statistic
											and, if you, like me, believe
											that leadership manifests at every level,
											you would see that there's a tremendous,
											awesome resource of leaders
											who are leading in middle management,
											which raises a different question:
											Why are there so many women
											mired in the middle
											and what has to happen
											to take them to the top?
									","
											Kadınlar iş hayatında,
											orta kademe yöneticilik 
ve diğer profesyonel pozisyonların
											toplam %50'sini oluşturuyor
											ancak şirketlerdeki 
üst düzey yönetici kadınların
											yüzdesi ise, 
bu rakamın üçte biri kadar bile değil.
											Bazı kişiler bu istatistiği duyduklarında,
											""neden bu kadar az kadın 
yöneticiye sahibiz?"" diye soruyorlar.
											Eğer siz de benim gibi liderliğin
											her kademede ortaya koyulabileceğine
											inananlardansanız,
											orta kademede müthiş zengin
											bir lider kaynağı olduğunu
											görebilirsiniz
											ki bu da başka bir soruyu gündeme getirir
											""Neden bu kadar çok
											orta kademeye saplanıp kalmış kadın var
											ve ne olması gerek ki
											bu kadınlar zirveye çıksın?""
									","
											Frauen nehmen
											50 % der mittleren Führungsebene
											und der Arbeitsplätze ein.
											Deren Prozentanteil an 
der Unternehmensspitze
											macht jedoch nicht einmal
ein Drittel dieser Zahl aus.
											Manche hören diese Statistik 
und fragen sich:
											Warum gibt es so wenige Frauen 
in Führungspositionen?
											Wenn ich die Statistik anschaue,
											und wenn Sie, wie ich, glauben,
											dass sich Führungsverhalten 
auf jeder Ebene zeigt,
											werden Sie sehen,
											dass es ungeheures,
großartiges Führungspotential
											in der mittleren Führungsebene gibt.
											Daraus ergibt sich eine andere Frage:
											Warum bleiben so viele Frauen
											in der Mitte stecken,
											und was muss passieren,
											damit sie an die Spitze kommen?
									",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
","
","
",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
											So some of you might be some of those women
											who are in middle management
											and seeking to move up in your organization.
											Well, Tonya is a great example
of one of these women.
											I met her two years ago.
											She was a vice president in a Fortune 50 company,
											and she said to me with a sense of deep frustration,
											""I've worked really hard to improve my confidence
											and my assertiveness and develop a great brand,
											I get terrific performance evals from my boss,
											my 360s in the organization let me know
											that my teams love working for me,
											I've taken every management course that I can here,
											I am working with a terrific mentor,
											and yet I've been passed over
											twice for advancement opportunities,
											even when my manager knows
											that I'm committed to moving up
											and even interested in an international assignment.
											I don't understand why
											I'm being passed over.""
									","
											Siz de belki bu kadınlardan biri olup
											orta kademe yönetimindesiniz
											ve şirketinizde bir üst kademeye 
geçmeye çalışıyorsunuz.
											Tonya bu kadınlardan birine
harika bir örnek.
											Kendisiyle iki yıl önce tanıştım.
											Fortune 50 şirketlerinden birinde 
başkan yardımcısıydı
											ve bana derin bir hüsran
duygusuyla dedi ki:
											""Özgüvenimi 
ve girişkenliğimi geliştirmek,
											harika bir marka 
yaratmak için gerçekten çok çalıştım,
											patronumdan olağanüstü 
performans değerlendirmeleri aldım,
											şirketteki performans değerlendirmelerim
											takımlarımın benim için çalışmayı 
sevdiğini bildirdi,
											bu şirkette alabileceğim 
tüm yönetim kurslarını aldım,
											müthiş bir mentor ile çalışıyorum,
											hal böyleyken
											iki terfi olanağında 
da görmezden gelindim,
											yöneticim bile
											yükselmeye kendimi ne kadar adadığımı
											ve uluslararası görevlerle bile
ilgilendiğimi biliyorken
											neden es geçildiğimi
											anlamıyorum.""
									","
											Manche von Ihnen sind 
vielleicht diese Frauen
											der mittleren Führungsebene,
											die in Ihrem Unternehmen
nach oben wollen.
											Tonya ist ein gutes Beispiel 
für diese Frauen.
											Ich begegnete ihr vor zwei Jahren.
											Sie war Vizepräsidetin
eines FORTUNE-50-Unternehmens
											und sagte zu mir sehr frustriert:
											""Ich habe hart an meinem Selbstbewusstsein
											und Durchsetzungsvermögen gearbeitet,
und ein Markenzeichen entwickelt,
											ich erhalte von meinem Chef
wunderbare Zeugnisse,
											Umfragen im Unternehmen
haben mich wissen lassen,
											dass meine Teams 
gerne für mich arbeiten.
											Ich habe jede Weiterbildung 
für die Führungsebene mitgemacht,
											ich arbeite mit einem
wunderbaren Mentor zusammen
											und trotzdem wurde ich
											bei Aufstiegschancen zweimal übergangen,
											obwohl mein Chef weiß,
											dass ich nach oben will
											und auch an Versetzungen 
ins Ausland interessiert bin.
											Ich verstehe nicht,
											warum ich übergangen werde.""
									",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
","
","
",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
											So what Tonya doesn't realize
											is that there's a missing 33 percent
											of the career success equation for women,
											and it's understanding what this missing 33 percent is
											that's required to close the gender gap at the top.
									","
											Burada Tonya' nın fark etmediği şey
											kadınlar için oluşturulan başarı
											denklemindeki %33'lük kayıp kısım
											ve bu kayıp kısmın, 
üst düzeydeki cinsiyet farkını
											kapatmakta 
kullanılacak olan açıklamasıydı.
									","
											Tonya ist sich nicht bewusst,
											dass Frauen bei dieser Gleichung 
ein Anteil von 33 % fehlt,
											um erfolgreich zu werden.
											Nur wenn Frauen verstehen,
worum es dabei geht,
											können sie diesen Gender Gap
an der Spitze überwinden.
									",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
","
","
",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
											In order to move up in organizations,
											you have to be known for your leadership skills,
											and this would apply to any of you,
											women or men.
											It means that you have to be recognized
											for using the greatness in you
											to achieve and sustain extraordinary outcomes
											by engaging the greatness in others.
											Put in other language,
											it means you have to use your skills
											and talents and abilities
											to help the organization achieve
											its strategic financial goals
											and do that by working effectively with others
											inside of the organization and outside.
											And although all three of these elements
											of leadership are important,
											when it comes to moving up in organizations,
											they aren't equally important.
											So pay attention to the green box
											as I move forward.
									","
											Şirketlerde yükselmek için,
											liderlik özelliklerinizle tanınıyor
olmanız gerekir
											ve bu her biriniz için geçerlidir
											kadın veya erkek farketmez.
											Bu da, içinizdeki yüceliği
											diğerlerinin içindeki yüceliği
devreye sokacak şekilde
											kullanarak, muhteşem sonuçlar
elde edip, bu sonuçları
											devam ettirmeniz demektir.
											Başka bir deyişle,
											şirketin stratejik finansal
											hedeflerine ulaşması için tüm
											yetenek ve becerilerinizi
											kullanmalısınız
											ve bunu, şirketin içinde ve dışında,
											diğerleriyle etkin 
bir şekilde çalışarak yapmalısınız.
											Bu üç faktör, liderlik konusunda
											önemli bir rol oynamasına karşın,
											şirketlerde yükselmek 
söz konusu olduğunda
											o kadar da önem arz etmezler.
											Şimdi ben devam ederken,
											siz yeşil kutuya dikkat edin.
									","
											Wenn man in die Führungsetage will,
											muss man durch
Führungskompetenz auffallen.
											Das gilt für Sie alle,
											für Frauen und Männer.
											Das bedeutet, dass man merken muss,
											dass Ihre Stärken, die zu
											außergewöhnlichen Ergebnissen führen,
											daraus resultieren, dass Sie die Stärke
der anderen zum Vorschein bringen.
											Anders gesagt,
											Sie müssen Ihre Kenntnisse,
											Talente und Fähigkeiten so einsetzen,
											dass Ihr Unternehmen
											seine finanz-strategischen Ziele erreicht,
											und dies durch die effektive Mitarbeit
mit anderen zu Stande kommt,
											sowohl innerhalb als auch 
außerhalb des Unternehmens.
											Obwohl all diese 3 Elemente
											in der Führungsetage wichtig sind,
											sind sie beim Aufsteigen in die Chefetage
											nicht von gleicher Wichtigkeit.
											Achten Sie bitte auf das grüne Kästchen,
											wenn ich jetzt fortfahre.
									",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
","
","
",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
"
											In seeking and identifying
											employees with high potential,
											the potential to go to the top of organizations,
											the skills and competencies
											that relate to that green box
											are rated twice as heavily
											as those in the other two elements of leadership.
											These skills and competencies
											can be summarized as business,
											strategic, and financial acumen.
											In other words, this skill set has to do
											with understanding where the organization is going,
											what its strategy is,
											what financial targets it has in place,
											and understanding your role
											in moving the organization forward.
											This is that missing 33 percent
											of the career success equation for women,
											not because it's missing in our capabilities
											or abilities,
											but because it's missing in the advice
											that we're given.
									","
											Şirketler, üst kademelerde 

											görev alabilecek nitelikte ve
											yüksek potansiyelli elemanlar ararken,
											yeşil kutuda yer alan
											beceri ve yetkinlikleri
											liderliğin diğer 
iki faktörüne oranla
											iki kat daha fazla önemsiyorlar.
											Bu beceri ve yetkinlikleri
											özetleyecek olursak bunlar;
											mesleki, stratejik ve finansal 
alanlarda öngörüye dayanan zekadır.
											Başka bir deyişle, bu bahsedilen
											beceriler seti,
şirketin nereden nereye gittiğini,
											stratejisinin ne olduğunu,
											hangi finansal 
hedeflerinin olduğunu bilmekten
											ve şirketi ileri götürmekteki
											rolünüzü iyi anlamanızdan oluşur.
											İşte bu, kadınlar için olan başarı
											denklemininin %33'lük kayıp kısmıdır,
											sözkonusu kayıp, 
yetenek ya da yetkinliklerimizdeki
											eksiksiklikten değil,
											bize verilen kariyer tavsiyelerindeki
											eksiklikten kaynaklanmaktadır.
									","
											Wenn man High-Potential-Mitarbeiter
											sucht und ausmacht,
											also mit Führungspotential,
											werden die Kenntnisse und Kompetenzen
											des grünen Kästchens
											zweimal mehr gewichtet
											als die anderen beiden Elemente 
der Führungsqualitäten.
											Diese Fähigkeiten und Kompetenzen
											kann man mit
einem finanz-strategischem Geschäftssinn
											zusammenfassen.
											Mit anderen Worten,
diese Reihe von Fähigkeiten hat
											mit dem Verständnis zu tun,
wo ein Unternehmen hin will,
											welche Strategie es hat,
											welche finanziellen Ziele es anstrebt,
											und welche Rolle Sie haben,
											um das Unternehmen weiterzubringen.
											Das sind die fehlenden 33 %
											für die Gleichung 
zum Karriereerfolg von Frauen.
											Es liegt nicht an unseren Kompetenzen
											oder Fähigkeiten,
											sondern daran, 
dass wir diesen Ratschlag
											nie erhalten.
									",The career advice you probably didn’t get,Susan Colantuono,13:57,"TEDx,business,gender,leadership,men,women,women in business"
