en,es,de,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											(Music)
									","
											(Música)
									","
											(Musik)
									","
											(Müzik)
									","
											(Musique)
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											(Vocalizing)
									","
											(Vocalización)
									","
											(Lautgesang)
									","
											(Vokal)
									","
											(Chanson en Xhosa, 
langue africaine)
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											Lokuhlamba
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											ndisuse iinkathazo.
									","
											ndisuse iinkathazo.
									","
											ndisuse iinkathazo.
									","
											ndisuse iinkathazo.
									","
											Ndisuse iinkathazo
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											Lokuhlamba
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											ndikhuphe iinkathazo.
									","
											ndikhuphe iinkathazo.
									","
											ndikhuphe iinkathazo.
									","
											ndikhuphe iinkathazo.
									","
											Ndikhuphe Iinkathazo
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											(Vocalizing)
									","
											(Vocalización)
									","
											(Lautgesang)
									","
											(Vokal)
									","
											(Vocalisation)
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											(Improvising)
									","
											(Improvisación)
									","
											(Improvisation)
									","
											(Doğaçlama)
									","
											(Improvisation)
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma,
									","
											Thongo lam vuma
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Thongo lam vuma.
									","
											Thongo lam vuma.
									","
											Thongo lam vuma.
									","
											Thongo lam vuma.
									","
											Thongo lam vuma
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","
											Ndicela iyeza
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											lokuhlamba
									","
											Lokuhlamba
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
											ndisuse iinkathazo
									","
											ndisuse iinkathazo
									","
											ndisuse iinkathazo
									","
											ndisuse iinkathazo
									","
											Ndisuse iinkathazo
									","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
"
","
","
","
","
","""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,10:47,"live music,music,performance,singer,vocals,entertainment"
