en,pt,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
											It was a Thursday,
											June the 23rd, 1994.
									","
											Foi numa quarta-feira,
											a 23 de junho de 1994.
									","
											Bir Perşembe günüydü,
											23 Haziran 1994.
									","
											Era jueves,
											23 de junio de 1994.
									","
											C'était un jeudi,
											le 23 juin 1994.
									",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
											(Sighs)
									","
											(Suspiro)
									","
											(İç çekiyor)
									","
											(Suspira)
									","
											(Soupir)
									",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
											""Collect your belongings.
You are free to go.
											When escorted outside,
go directly to your car.
											Do not talk to reporters.""
									","
											""Apanhem os vossos pertences.
Podem ir-se embora.
											""Quando vos acompanharem até à saída, 
vão diretamente para o vosso carro.
											""Não falem com os jornalistas"".
									","
											""Eşyalarını topla.
Gitmekte özgürsün.
											Dışarıya çıkarıldığında,
doğrudan arabana git.
											Muhabirlerle konuşma.""
									","
											""Recojan sus pertenencias. Pueden irse.
											Los agentes los acompañarán al salir.
											Vayan directamente al auto 
y no hablen con los periodistas"".
									","
											« Rangez vos affaires. Vous pouvez partir.
											Nous allons vous escorter
directement jusqu'à votre voiture.
											Ne parlez à aucun journaliste. »
									",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
											My head is spinning,
											my heart is racing,
											I can't get a breath.
											I just want out of there.
											When I get to my car,
											I throw everything on the back,
											and I just collapse
into the driver's seat.
											""I can't do this.
											I can't go home to my family
											that I haven't seen in a week
											and pretend to be happy.""
											Not even their love and support
											could help me at this particular time.
									","
											A minha cabeça está a andar à roda,
											tenho o coração aos saltos.
											Custa-me a respirar.
											Só quero sair dali.
											Quando entro no meu carro,
											atiro com as coisas lá para trás
											e atiro-me para o assento do condutor.
											""Não consigo fazer isto.
											""Não posso ir para casa,
ir ter com a minha família
											""que já não vejo há uma semana
											""e fingir que me sinto feliz"".
											Nem mesmo o seu amor e apoio
											me podem ajudar nesta altura em especial.
									","
											Başım dönüyor,
											kalbim hızla atıyor,
											nefes alamıyorum.
											Sadece oradan çıkmak istiyorum.
											Arabama gittiğimde
											her şeyi arkaya atıyorum
											ve sürücü koltuğuna çöküyorum.
											""Bunu yapamam.
											Bir haftadır görmediğim aileme,
											evime gidip de
											mutluymuş gibi yapamam.""
											Onların sevgisi ve desteği bile
											bana bu anda yardım edemez.
									","
											La cabeza me daba vueltas,
											el corazón me latía a gran velocidad
											y apenas podía respirar.
											Solo quería salir de allí.
											Al llegar al auto, arrojé 
mis cosas en el asiento trasero,
											y me desplomé en el asiento del conductor.
											""No puedo hacerlo.
											No puedo ir a mi casa, 
estar con mi familia,
											a quien no veo desde hace una semana
											y simular que estoy bien"".
											Ni siquiera el amor y el apoyo
de mi familia podía ayudarme
											en ese momento en particular.
									","
											J'ai la tête qui tourne,
											le cœur qui bat trop vite
											et le souffle coupé.
											Je veux juste partir
le plus vite possible.
											Arrivée à ma voiture,
											j'ai jeté mes affaires dans le coffre
											et je me suis effondrée au volant.
											« Je n'y arriverai pas.
											Impossible de rentrer auprès des miens,
											que je n'ai pas vus depuis une semaine,
											et faire semblant d'être heureuse. »
											Même leur amour et leur soutien
											ne me seront d'aucun réconfort
à ce moment précis.
									",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
											We had just sentenced a man to death.
											Now what?
											Just go home and wash dishes?
									","
											Acabámos de condenar à morte um homem.
											E agora?
											Vão para casa lavar a loiça?
									","
											Az önce bir adama idam cezası verdik.
											Şimdi ne olacak?
											Eve gidip bulaşık mı yıkayacağım?
									","
											Veníamos de sentenciar
a un hombre a muerte.
											¿Y ahora qué?
											¿Simplemente volver 
a casa y lavar los platos?
									","
											Nous venions de condamner un homme à mort.
											Et maintenant, on fait quoi ?
											On rentre à la maison
et on lave la vaisselle ?
									",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
"
","
","
","
","
",A juror's reflections on the death penalty,Lindy Lou Isonhood,16:00,"crime,criminal justice,law,social change,society,culture,justice system,prison"
