pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
											O novo eu é beleza.
											(Risos)
											Sim, as pessoas costumavam dizer:
											""O Norman é porreiro mas,
se formos pelo que ele diz
											""tudo pode ser usado, mas seria feio"".
											Eu nem pensava nisso, portanto...
									","
											Yeni benliğim güzellik diyor.
											(Gülüşmeler)
											Evet, insanlar hep soyle derdi, Norman iyidir,
											ama onun dediğini yaparsaniz, herşey kullanışlı
											ama cirkin olur.
											Aslında, bunu aklıma hiç getirmedim, yani...
									","
											Le nouveau moi est ""Beauté"".
											(Rires)
											Oui, vous savez les gens avaient l'habitude de dire, Norman est OK,
											mais si vous suivez ce qu'il dit, tout serait utilisable
											mais ce serait moche.
											Eh bien, je n'avais pas vraiment ça en tête, donc...
									","
											Mein neues Ich ist ""Schönheit"".
											(Lachen)
											Leute sagten immer:
""Norman ist in Ordnung,
											aber würde man machen, was er sagt,
wäre alles benutzerfreundlich,
											aber schlichtweg hässlich.
											Daran dachte ich wohl nicht, also ...
									",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
","
","
","
",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
											Isto é fixe.
											Obrigado por configurares o meu ecrã.
											Quer dizer, é simplesmente maravilhoso.
											Não faço a mínima ideia
do que faz ou para que serve,
											mas quero tê-lo.
											Este é o meu novo estilo de vida.
											O meu estilo novo é tentar perceber
o que é a beleza,
											o que é bonito, e as emoções.
											O meu novo eu quer tornar
as coisas fixes e divertidas.
									","
											Bu hoş tabi.
											Benim ne olduğumu açıkladığınız için teşekkür ederim.
											Demek istediğim şey, bu gerçekten harika.
											Ve bir objenin ne yaptığı ya da ne için iyi olduğu hakkında hiçbir fikrim yok,
											ama onu istiyorum.
											Ve bu benim yeni hayatım.
											Yeni hayatim, guzelligin, hos olanin ve duygularin
											ne olduğunu anlamaya çalışmaktan ibaret.
											Yeni benin amaci, eşyaları hoş ve eğlenceli yapmaya yonelik.
									","
											C'est super.
											Merci pour la mise en scène.
											Je veux dire, c'est juste merveilleux.
											Et je n'ai pas la moindre idée de ce que c'est supposé faire ou à quoi c'est bon,
											mais je le veux.
											Et ça, c'est mon nouveau style de vie.
											Mon nouveau style de vie est d'essayer de comprendre ce qu'est la beauté,
											et ce qui est joli, et les émotions.
											Le nouveau moi est consacré à faire des choses supers et amusantes.
									","
											Das ist toll.
											Danke, für's Herrichten meiner Bühne.
											Ich finde, das ist einfach wundervoll.
											Keine Ahnung, was es ist
oder wofür es taugt,
											aber ich will es haben.
											Und das ist mein neues Leben.
											Mein neues Leben befasst sich damit
zu verstehen, was ""Schönheit"" ausmacht
											und ""hübsch"" und Emotionen.
											Meinem neue Ich geht es nur darum, Dinge
irgendwie nett und unterhaltsam zu machen.
									",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
","
","
","
",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
											Isto é um espremedor de sumos
Philippe Starck, produzido pela Alessi.
											É tão divertido que tenho-o em minha casa,
											mas na entrada,
não o utilizo para fazer sumos.
											(Risos)
											Aliás, comprei a edição especial dourada
											e vem com um pedacinho de papel
que diz:
											""Não usar este espremedor
para fazer sumo.
											""O ácido danifica a camada dourada.""
											(Risos)
											Então, peguei num pacote
de sumo de laranja
											e despejei-o no copo
para tirar esta fotografia.
											(Risos)
									","
											Ve bu da Philippe Starck meyve suyu sıkacağı, Alessi tarafından üretildi.
											O kadar eğlenceli ki evimde bir tane var,
											ama evimin girişinde duruyor, meyve suyu sıkmak için kullanmıyorum onu.
											(Gülüşmeler)
											Aslında, altın kaplamalı özel üretimi satın aldım
											uzerine tutusturduklari ufak kagit parcasinda
											soyle yaziyor:""Bu meyve sikacagi ile meyve suyu sikmayin.
											Asit altin kaplamaya zarar verir"".
											(Gülüşmeler)
											Yani aslında bu fotografi çekmek için,
											bir kutu portakal suyu aldım ve buraya boşalttım.
											(Gülüşmeler)
									","
											Et voici donc un presse-citron ""Philippe Starck"", produit par Alessi.
											C'est tellement amusant que je l'ai chez moi,
											mais je l'ai mis dans le hall d'entrée, je ne veux pas l'utiliser pour presser des fruits.
											(Rires)
											En fait, j'ai même acheté l'édition spéciale plaquée or
											et il est livré avec un petit papier
											disant, ""Ne pas utiliser ce presse-citron pour faire du jus.
											L'acide va détruire le plaquage.""
											(Rires)
											Donc en réalité, j'ai pris une brique de jus d'orange
											et je l'ai versée dans un verre pour prendre cette photo.
											(Rires)
									","
											Das hier zum Beispiel ist eine Philippe
Starck-Saftpresse, produziert von Alessi.
											Es ist toll, dass ich sie
in meinem Haus habe.
											Aber sie ist im Eingangsbereich,
ich nutze sie nicht zum Saftmachen.
											(Gelächter)
											Ich habe sogar das vergoldete 
Sondermodell gekauft.
											Anbei liegt ein kleiner Zettel,
											der besagt: ""Benutzen Sie
die Saftpresse nicht zum Saftpressen.
											Die Säure ruiniert die Goldschicht.""
											(Lachen)
											Also nahm ich eine Tüte Orangensaft
											und goß etwas davon ins Glas für's Foto.
											(Gelächter)
									",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
","
","
","
",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
											Mas, em baixo está uma faca maravilhosa.
											É uma faca Global feita no Japão.
											Em primeiro lugar, olhem para a forma,
é fantástico olhar para ela.
											Em segundo lugar,
está muito bem balanceada
											segura-se — faz sentir bem.
											E em terceiro lugar,
é muito afiada, corta mesmo.
											É uma maravilha de usar.
											Por isso, tem tudo, não é?
											É bonita e é funcional.
											E posso contar histórias sobre ela,
o que a torna reflexiva.
											Vocês vão ver que eu tenho
uma teoria de emoção.
											Estes são os três componentes.
									","
											Ama, alttaki müthiş bir bıçak.
											Japonya'da yapılmış çok fonksiyonlu bir bıçak bu.
											Oncelikle, sunun şekline bir bakın, gerçekten izlemesi muhteşem.
											İkinci olarak, gerçekten güzel bir şekilde dengeli
											duruyor — iyi hissettiriyor.
											Üçüncü olarak da, çok keskin, çok iyi kesiyor.
											Onu kullanmak bir keyif.
											Böylelikle, herşeye sahip, değil mi?
											Güzel ve işlevsel.
											Size onunla ilgili onu
											yansitan hikayeler anlatabilirim,
											ve böylelikle duygular uzerine olan teorimi anlayabilirsiniz.
											Ve bunlar 3 bileşenden olusuyor.
									","
											Cependant, en-dessous se trouve un merveilleux couteau.
											C'est un couteau de marque Global fabriqué au Japon.
											Tout d'abord, regardez la forme, c'est juste splendide à regarder.
											Deuxièmement, c'est vraiment bien équilibré
											On peut le saisir — c'est agréable à saisir.
											Et troisièmement, c'est tellement bien aiguisé que ça coupe super bien.
											C'est un plaisir à utiliser.
											Et donc, il a tout, pas vrai?
											C'est beau et c'est fonctionnel.
											Et je peux vous raconter des histoires à son propos,
											ce qui le rend intéressant,
											et donc vous voyez que j'ai une théorie de l'émotion.
											Et ce sont précisément les trois composants.
									","
											Darunter ist ein wundervolles Messer.
											Es ist ein Global-Küchenmesser,
hergestellt in Japan.
											Erstens, diese Form ist wunderschön!
											Zweitens ist es wirklich 
sehr ausbalanciert.
											Es liegt gut in der Hand
und fühlt sich gut an.
											Drittens ist es so scharf,
es schneidet perfekt.
											Es ist ein Vergnügen es zu verwenden.
											Also hat es alles, was es braucht, oder?
											Es ist schön und funktionell.
											Ich kann Ihnen Geschichten
darüber erzählen,
											was es ""reflektiv"" macht.
											Wie Sie sehen werden, habe ich
eine Theorie der Emotionen.
											Und dies sind die drei Komponenten.
									",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
","
","
","
",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
"
											Hiroshi Ishii e o seu grupo
no MIT Media Lab
											pegaram numa mesa de ping-pong
com um projetor por cima.
											Projetaram na mesa de ping-pong
											uma imagem de água e peixes a nadar.
											Enquanto se joga ping-pong,
sempre que a bola bate na mesa
											as ondas espalham-se e os peixes fogem.
											Mas claro, depois a bola
bate no outro lado,
											as ondas acertam neles
											— pobres peixes, não conseguem
encontrar paz e sossego.
											Será uma boa forma
de jogar ping-pong?
											Não. Mas é divertida?
											Sim! Sim.
									","
											Hiroshi Ishii ve MIT Media Laboratuvarındaki gurubu
											bir pinpon masasını alıp üzerine projektör koydular,
											ve pinpon masasının uzerinde, su goruntusu oluşturdular
											ve suda yuzen baliklari.
											Siz pinpon oynarken, top ne zaman masanın bir yerine degse,
											dalgalar yayılıyor ve balıklar kaçışıyor.
											Ama tabi, top diğer tarafa da çarpıyor
											bu kez, dalgalar oraya vuruyor — zavallı balıklar bir türlü huzura ve sessizliğe kavuşamıyorlar.
											(Gülüşmeler)
											Ve, bu gerçekten pinpon oynamak için iyi bir yol mu?
											Hayır. Ama eğlenceli mi?
											Evet! Evet.
									","
											Hiroshi Ishii et son équipe au MIT Media Lab
											ont pris une table de ping-pong et ont placé un projecteur au-dessus,
											et sur la table de ping-pong, ils ont projeté une image d'eau
											et de poissons qui nagent dedans.
											Quand vous jouez au ping-pong, à chaque fois que la balle touche la table
											des vaguelettes se forment et les poissons s'enfuient.
											Mais bien sûr, la balle repart de l'autre côté,
											des vaguelettes se forment — pauvres poissons, ils ne peuvent jamais être en paix.
											(Rires)
											Est-ce une bonne manière de jouer au ping-pong?
											Non. Mais est-ce que c'est amusant?
											Oui ! Oui.
									","
											Hiroshi Ishii und sein Team
am MIT Media Lab
											haben über einer Tischtennisplatte
einen Projektor installiert
											und damit auf die Platte
											Wasser und schwimmende Fische projiziert.
											Wenn man spielt und der Ball
auf dem Tisch aufkommt,
											breiten sich Wellen aus und
die Fische schwimmen davon.
											Aber natürlich kommt der Ball
dann auch auf der anderen Seite auf,
											Wellen breiten sich aus — arme Fische,
nirgendwo finden sie Ruhe.
											(Gelächter)
											Ist das eine gute Art
Tischtennis zu spielen?
											Nein. Aber macht es Spaß?
											Ja! Na klar.
									",3 ways good design makes you happy,Don Norman,12:41,"creativity,design,happiness"
