en,es,tr,title,speaker,duration,tags
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											As a matter of fact,
											I was trying to think about my career
since I left the White House,
											and the best example I have is a cartoon
in The New Yorker a couple of years ago.
											This little boy is looking up
at his father,
											and he says, ""Daddy, when I grow up,
I want to be a former president.""
									","
											De hecho,
											traté de pensar en mi trayectoria
desde que salí de la Casa Blanca,
											y el mejor ejemplo que tengo
											es una caricatura en The New Yorker
hace un par de años.
											Este niño mira a su padre y le dice:
											""Papá, cuando sea mayor,
quiero ser expresidente"".
									","
											Doğrusu, Beyaz Saray'dan
											ayrıldıktan sonraki 
kariyerimi düşünmeye çalışıyordum,
											bence buna en iyi örnek birkaç sene 
önce The New Yorker'da çıkan bir karikatür.
											Küçük çocuk babasına bakar
											ve şöyle der, ""Babacığım, büyüyünce 
eski Başkan olmak istiyorum.""
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											Well, I have had a great blessing
as a former president,
											because I have had an access
											that very few other people
in the world have ever had
											to get to know so many people
around this whole universe.
											Not only am I familiar
with the 50 states in the United States,
											but also my wife and I have visited
more than 145 countries in the world,
											and the Carter Center has had full-time
programs in 80 nations on Earth.
											And a lot of times,
when we go into a country,
											we not only the meet
the king or the president,
											but we also meet the villagers who live
in the most remote areas of Africa.
									","
											Bueno, tuve mucha suerte
como expresidente,
											porque tuve la oportunidad
											que muy pocas personas
tienen alguna vez
											de conocer a mucha gente
por todo el mundo.
											No solo estoy familiarizado con
los 50 estados de EE. UU.,
											sino que también mi esposa y yo
hemos visitado más de 145 países
											y el Centro Carter ha impulsado proyectos
completos en 80 naciones de la Tierra.
											Y muchas veces, cuando vamos a un país,
											no solo conocemos al rey o al presidente,
											sino también a los habitantes que viven
en las zonas más remotas de África.
									","
											Eski bir başkan olarak büyük 
lütuflara sahip oldum.
											Çünkü dünyanın dört bir yanındaki
											pek çok insanı tanımamı
sağlayan, dünyada çok az
											insanın sahip olduğu bir
imkâna sahiptim.
											Sadece Birleşik Devletlerdeki 
50 eyaleti tanımakla kalmadım,
											aynı zamanda ben ve eşim 
145'ten fazla ülkeyi ziyaret ettik.
											Carter Merkezi'ninn dünya çapında
80 ülkede tam zamanlı programı vardı.
											Bir ülkeye gittiğimizde çoğu zaman
											sadece kral veya başkanla 
buluşmakla kalmadık,
											Afrika'nın en ücra köşelerinde 
yaşayan köylülerle de tanıştık.
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											So our overall commitment
at the Carter Center
											is to promote human rights,
											and knowing the world as I do,
I can tell you without any equivocation
											that the number one abuse
of human rights on Earth
											is, strangely, not addressed quite often,
is the abuse of women and girls.
									","
											Nuestro compromiso general
en el Centro Carter
											es promover los derechos humanos,
											y conociendo el mundo como lo conozco,
les puedo decir con toda certeza
											que el abuso principal
de los DD.HH. en el planeta,
											que por alguna extraña razón
no se aborda a menudo,
											es el maltrato a mujeres y a niñas.
									","
											Yani Carter Center'da tüm çabamız
											insan haklarını desteklemek üzerine;
											ve dünyayı bildiğim kadarıyla, 
size hiç çekinmeden diyebilirim ki
											dünyadaki bir numaralı 
insan hakları ihlali,
											tuhaf şekilde çok fazla ele alınmasa da, 
kadınlara ve kızlara kötü davranılması.
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											There are a couple of reasons for this
that I'll mention to begin with.
											First of all is the misinterpretation
of religious scriptures, holy scriptures,
											in the Bible, Old Testament,
New Testament, Quran and so forth,
											and these have been misinterpreted by men
who are now in the ascendant positions
											in the synagogues and the churches
and in the mosques.
											And they interpret these rules
to make sure that women
											are ordinarily relegated
to a secondary position
											compared to men in the eyes of God.
									","
											Para empezar, mencionaré
un par de razones.
											Ante todo, la mala interpretación
											de las escrituras religiosas,
las sagradas escrituras,
											de la Biblia, del Antiguo Testamento,
Nuevo Testamento, el Corán, etc.,
											que han sido malinterpretadas por
hombres en cargos de responsabilidad
											en sinagogas, iglesias y mezquitas.
											Y ellos interpretan estas normas
											para asegurarse de que las mujeres
sean habitualmente relegadas
											a una posición menos importante
que los hombres ante los ojos de Dios.
									","
											Öncelikle, bahsedeceğim gibi 
bunun birkaç nedeni var.
											İlki, dinî kitapların, kutsal yazıların, 
İncil'in, Eski Ahit'in,
											Yeni Ahit'in, Kuran'ın ve diğerlerinin 
yanlış şekilde yorumlanması.
											Bunlar, sinagoglarda, kiliselerde 
ve camilerde şu an etkin pozisyonlarda
											bulunan erkekler tarafından 
yanlış yorumlanmaktalar.
											Bu kuralları, kadınların erkeklere nazaran
											Tanrı'nın gözünde normalde
ikincil pozisyona inmesini
											sağlamak üzere yorumluyorlar.
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
											This is a very serious problem.
It's ordinarily not addressed.
											A number of years ago, in the year 2000,
											I had been a Baptist,
a Southern Baptist for 70 years —
											I tell you, I still teach
Sunday school every Sunday;
											I'll be teaching this Sunday as well —
											but the Southern Baptist Convention
in the year 2000 decided
											that women should play
a secondary position,
											a subservient position to men.
											So they issued an edict, in effect,
											that prevents women from being priests,
pastors, deacons in the church,
											or chaplains in the military,
											and if a woman teaches a classroom
											in a Southern Baptist seminary,
											they cannot teach if a boy is in the room,
											because you can find verses in the Bible,
											there's over 30,000 verses in the Bible,
											that say that a woman shouldn't
teach a man, and so forth.
											But the basic thing is the scriptures
are misinterpreted
											to keep men in an ascendant position.
											That is an all-pervasive problem,
											because men can exert that power
											and if an abusive husband or an employer,
for instance, wants to cheat women,
											they can say that if women
are not equal in the eyes of God,
											why should I treat them as equals myself?
											Why should I pay them equal pay
for doing the same kind of work?
									","
											Este es un problema muy serio.
Normalmente no se aborda.
											Hace unos años, en el año 2000,
											cumplí 70 años como pastor
de la Iglesia Bautista del sur
											—bueno, todavía predico en la
escuela dominical cada domingo,
											predicaré este domingo también—
											pero la Convención Bautista del Sur
decidió en el año 2000
											que las mujeres debían desempeñar
											una posición secundaria,
subordinada a los hombres.
											Así que emitieron un edicto, vigente,
											que impide a las mujeres ser sacerdotes,
pastores, diáconos en la iglesia
											o capellanes en el ejército,
											y si una mujer enseña en un aula
											en un seminario bautista del sur,
											no puede enseñar si hay
un niño en el aula,
											porque hay versículos de la Biblia,
											hay más de 30 000 versículos en la Biblia,
											que dicen que una mujer
no debe enseñar a un hombre, etc.
											Pero, básicamente, se trata de 
una malinterpretación de las escrituras
											para mantener a los hombres
en una posición dominante.
											Ese es un problema omnipresente,
											porque los hombres
pueden ejercer ese poder
											y si un marido abusivo o un empleador,
por ejemplo, quiere engañar a las mujeres,
											puede plantear la cuestión
											de que si las mujeres no son
iguales a los ojos de Dios,
											¿por qué deberían ellos
tratarlas como iguales?
											¿Por qué debo pagarles igual salario
por hacer el mismo tipo de trabajo?
									","
											Bu çok ciddi bir sorun. 
Normalde ele alınmıyor.
											Yıllar önce, 2000 yılında,
											ben bir Baptist'tim, 70 yıllık
Güneyli bir Baptist —inanın
											bana, hala her pazar
Pazar Okulu'nda ders veriyorum
											bu pazar günü de ders vereceğim —
											ancak 2000 yılında 
Güneyli Baptist Konvansiyonu kadınların
											ikincil, erkeklere
itaat ettikleri bir pozisyon
											üstlenmeleri gerektiğine karar verdi.
											Böylece kadınların kilisede rahip,
											papaz, diyakoz veya orduda 
vaiz olmasını engelleyen
											bir emri yürürlüğe koydular.
											Bir kadın bir Güneyli Baptist okulundaki
											bir sınıfta ders verdiğinde,
											sınıfta bir erkek varsa ders veremez.
											Çünkü İncil'de ayetler bulabilirsiniz;
											İncil'de 30.000'in üzerinde, bir kadının
											bir erkeği eğitmemesini söyleyen
ve buna benzer ayet var.
											Ancak temel nokta, kutsal yazıların 
erkekleri üstün pozisyonda
											tutmak üzere yanlış 
şekilde yorumlanması.
											Bu çok yaygın bir sorun.
											Çünkü erkekler bu gücü kullanabilir
											ve eğer istismarcı bir koca veya işveren, 
örnek olarak, kadınları aldatmak isterse,
											eğer kadınlar Tanrı'nın 
nazarında eşit değilse,
											ben neden eşit davranayım diyebilir.
											Neden aynı çeşit işi yapmak için 
eşit ücret ödeyeyim?
									",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
"
","
","
",Why I believe the mistreatment of women is the number one human rights abuse,Jimmy Carter,16:36,"global issues,inequality,peace,women,sexual violence"
