en,tr,es,fr,title,speaker,duration,tags
"
","
","
","
",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
											So ... we're in a real live war
at the moment,
											and it's a war that we're truly losing.
											It's a war on superbugs.
									","
											Şu an büyük bir savaşta
olduğumuzu söyleyebilirim
											ve aslında bu savaşı kaybediyoruz.
											Savaş, dirençli bakterilere karşı.
									","
											David Brenner: Estamos en medio
de una verdadera guerra en este momento
											y es una guerra que estamos perdiendo.
											Es una guerra contra las superbacterias.
									","
											Nous sommes actuellement
engagés dans une vraie guerre,
											et cette lutte, nous la perdons,
											contre les superbactéries.
									",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
","
","
","
",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
											So you might wonder,
											if I'm going to talk about superbugs,
											why I'm showing you a photograph
of some soccer fans —
											Liverpool soccer fans
celebrating a famous victory
											in Istanbul, a decade ago.
											In the back, in the red shirt,
											well, that's me,
											and next to me in the red hat,
that's my friend Paul Rice.
											So a couple of years
after this picture was taken,
											Paul went into hospital
for some minor surgery,
											and he developed
a superbug-related infection,
											and he died.
											And I was truly shocked.
											He was a healthy guy in the prime of life.
											So there and then,
											and actually with a lot of encouragement
from a couple of TEDsters,
											I declared my own
personal war on superbugs.
									","
											Dirençli bakterilerden konuşurken
											size niçin
											bir futbol tutkunları fotoğrafı
gösterdiğimi merak edebilirsiniz.
											Liverpool futbol hayranları
10 yıl önce İstanbul'da,
											ünlü bir zaferi kutluyorlar.
											Arkada kırmızı tişörtlü olan,
											o benim,
											yanımdaki kırmızı şapkalı da
arkadaşım Paul Rice.
											Bu fotoğraf çekildikten
iki yıl sonra
											Paul küçük bir ameliyat için
hastaneye yattı,
											dirençli bakteri kaynaklı
bir enfeksiyona yakalandı
											ve hayatını kaybetti.
											Tamamen şok olmuştum.
											Hayatının baharında sağlıklı bir adamdı.
											O zamandan beri
											aslında birkaç TEDster'ın da teşvikiyle,
											dirençli bakterilere kendi savaşımı açtım.
									","
											Pueden estarse preguntando
											que si voy a hablar sobre superbacterias,
por qué les muestro
											una fotografía de hinchas del fútbol,
de hinchas del Liverpool,
											celebrando una victoria famosa
en Estambul hace una década.
											Atrás, con la camiseta roja...
bueno, ese soy yo
											y a mi lado, con el sombrero rojo,
está mi amigo Paul Rice.
											Pocos años después
de que se tomó esta foto
											Paul fue al hospital
para una cirugía menor,
											desarrolló una infección
debida a las superbacterias y murió.
											Yo estaba realmente en shock, él era
un hombre sano en la flor de la vida.
											Así que allí mismo,
											y, de hecho, con mucho aliento
de un par de personas de TED,
											declaré mi guerra personal
contra las superbacterias.
									","
											Vous vous demandez sans doute pourquoi,
											alors que je vais parler
de superbactéries,
											je vous montre une photo
de supporters de football –
											des supporters de Liverpool,
fêtant une grande victoire,
											à Istanbul, il y a une dizaine d'années.
											Au fond, en chemise rouge,
											c'est moi.
											À côté de moi, avec le chapeau rouge,
c'est mon ami Paul Rice.
											Quelques années après cette photo,
											Paul est allé à l'hôpital pour une
intervention chirurgicale mineure.
											Il a développé une infection
liée à une superbactérie
											et il en est mort.
											J'étais profondément choqué.
											Il était en bonne santé,
dans la fleur de l'âge.
											C'est à ce moment-là,
											d'ailleurs avec beaucoup de soutien
de plusieurs membres de TED,
											que j'ai déclaré ma propre
guerre aux superbactéries.
									",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
","
","
","
",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
											So let's talk about superbugs
for a moment.
											The story actually starts in the 1940s
											with the widespread
introduction of antibiotics.
											And since then,
											drug-resistant bacteria
have continued to emerge,
											and so we've been forced to develop
newer and newer drugs
											to fight these new bacteria.
											And this vicious cycle
actually is the origin of superbugs,
											which is simply bacteria
for which we don't have effective drugs.
											I'm sure you'll recognize
at least some of these superbugs.
											These are the more
common ones around today.
									","
											Bu bakteriler hakkında biraz konuşalım.
											Her şey 1940'larda
											antibiyotiklerin geniş çaplı
tanıtımıyla başlıyor.
											O zamandan beri
											ilaca dirençli bakteriler
ortaya çıkmaya devam etti,
											biz de bu yeni bakterilerle savaşmak için
sürekli yeni ilaç geliştirmek
											zorunda kaldık.
											Bu kısır döngü
aslında dirençli bakterilerin hikâyesi,
											yenmek için etkili ilaçlarımız olmayan
bakteriler yani.
											Bu bakterilerden bazılarını
tanıyor olmalısınız.
											Günümüzde en çok bunlar yaygın.
									","
											Hablemos de las superbacterias
por un momento.
											La historia empieza en los años cuarenta
											con la introducción masiva
de los antibióticos.
											Y desde ahí, han seguido apareciendo 
bacterias resistentes a las drogas
											por lo que hemos sido forzados
a desarrollar más y más drogas nuevas
											que puedan combatir a estas bacterias.
											Y este ciclo vicioso es
el origen de las superbacterias,
											que simplemente son bacterias
para las que no tenemos drogas efectivas.
											Estoy seguro de que reconocerán
al menos algunas de estas superbacterias.
											Estas son las más comunes
que están en circulación hoy.
									","
											Parlons des superbactéries un moment.
											En fait, leur histoire commence
dans les années 40,
											avec la diffusion massive 
des antibiotiques.
											Depuis cette époque,
											des bactéries résistantes aux traitements
n'ont pas cessé d'apparaître
											et nous avons dû développer encore
et encore de nouveaux médicaments
											pour combattre ces nouvelles bactéries.
											C'est ce cercle vicieux qui est 
à l'origine des superbactéries,
											des bactéries contre lesquelles
il n'y a pas de remède efficace.
											Vous reconnaîtrez sûrement
certaines de ces superbactéries.
											Aujourd'hui, voici les plus connues.
									",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
","
","
","
",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
											Last year, around 700,000 people died
											from superbug-related diseases.
											Looking to the future,
											if we carry on on the path we're going,
											which is basically a drugs-based
approach to the problem,
											the best estimate
by the middle of this century
											is that the worldwide death toll
from superbugs will be 10 million.
											10 million.
											Just to put that in context,
that's actually more
											than the number of people
that died of cancer worldwide last year.
											So it seems pretty clear
that we're not on a good road,
											and the drugs-based approach
to this problem is not working.
									","
											Geçen yıl 700.000 kişi
dirençli bakterilere bağlı
											hastalıklar yüzünden hayatını kaybetti.
											Geleceğe baktığımızda,
											bu yolda devam edersek,
											bu yol ile kastım soruna karşı
ilaç temelli bir yaklaşım,
											bu yüzyılın ortasına kadar
en iyi ihtimalle
											tüm dünyada dirençli bakteriler 
sebebiyle ölüm oranı 10 milyon olacak.
											10 milyon.
											Düşündüğümüz zaman
											geçen yıl düünyada kanserden ölen
insan sayısından daha fazla.
											Yani doğru yolda ilerlemediğimiz çok açık
											ve soruna karşı ilaç temelli yaklaşım
işe yaramıyor.
									","
											El año pasado, alrededor
de 700 000 personas murieron
											debido a enfermedades
relacionadas con las superbacterias.
											Con miras al futuro, si seguimos
el camino que llevamos,
											el cual es, básicamente,
un enfoque basado en las drogas,
											el mejor cálculo es que
para mediados del siglo
											las muertes mundiales ocasionadas
por superbacterias estarán en 10 millones.
											Diez millones.
											Para poner eso en contexto:
											es más que la gente que murió de cáncer
el año pasado a nivel mundial.
											Parece estar claro
que no vamos por buen camino
											y que la estrategia basada
en las drogas no está funcionando.
									","
											Près de 700 000 personnes
sont mortes, l'année dernière [en 2016],
											de maladies liées à des superbactéries.
											Si nous continuons à ce rythme,
											si nous continuons à traiter ce problème
											avec des médicaments,
											l'estimation la plus optimiste
nous dit qu'en 2050
											10 millions de personnes mourront
à cause des superbactéries.
											10 millions.
											Pour vous donner une idée, c'est plus que
											le nombre de décès liés
au cancer l'année dernière.
											C'est plutôt clair : nous ne
sommes pas sur la bonne voie
											et l'approche actuelle, basée sur
les médicaments, ne fonctionne pas.
									",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
","
","
","
",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
"
											I'm a physicist,
											and so I wondered, could we take
a physics-based approach —
											a different approach to this problem.
											And in that context,
											the first thing we know for sure,
											is that we actually know how to kill
every kind of microbe,
											every kind of virus,
											every kind of bacteria.
											And that's with ultraviolet light.
											We've actually known this
for more than 100 years.
											I think you all know
what ultraviolet light is.
											It's part of a spectrum
that includes infrared,
											it includes visible light,
											and the short-wavelength part
of this group is ultraviolet light.
											The key thing from our perspective here
											is that ultraviolet light kills bacteria
by a completely different mechanism
											from the way drugs kill bacteria.
											So ultraviolet light is just as capable
of killing a drug-resistant bacteria
											as any other bacteria,
											and because ultraviolet light
is so good at killing all bugs,
											it's actually used a lot these days
to sterilize rooms,
											sterilize working surfaces.
									","
											Ben bir fizikçiyim,
											fizik temelli bir yaklaşım
geliştirebilir miyiz diye merak ettim,
											soruna karşı farklı bir yaklaşım.
											Bu bağlamda
											bildiğimiz ilk şey şu,
											her tür mikrobu, virüsü ve bakteriyi
											nasıl öldüreceğimizi
											aslında biliyoruz,
											ultraviyole ışınları ile.
											Aslında bunu 100 yılı aşkın
zamandır biliyoruz.
											Hepiniz ultraviyole ışınlarını
biliyorsunuzdur.
											Kızılötesi ve görünür ışığı da
içine alan
											bir spektrumdan bir kesit
											ve bu grubun kısa dalga uzunluklu kısmı
ultraviyole ışını.
											Buradaki bakış açımızda önemli olan
											ultraviyole ışınının bakterileri,
ilaçlara kıyasla çok daha farklı
											bir mekanizmayla öldürmesi.
											Yani ultraviyole ışını 
dirençli bakterileri
											diğer tüm bakteriler gibi öldürebiliyor,
											UV ışınları tüm bakterileri
öldürebildiği için de
											odaları ve işyerlerini sterilize etmede
											sık sık kullanılıyor.
									","
											Soy físico, así que me he preguntado
cómo podemos enfocar esto desde la física,
											cómo enfocamos este problema
de manera distinta.
											Y en ese contexto
lo primeo que sé a ciencia cierta
											es que, de hecho, sabemos
cómo matar cada tipo de microbio,
											cada tipo de virus, cada tipo de bacteria.
											Y eso se hace con luz ultravioleta.
											Sabemos esto desde hace más de 100 años.
											Creo que todos saben
lo que es la luz ultravioleta.
											Es parte de un espectro que incluye
a la luz infrarroja y a la luz visible.
											Y la parte de longitud de onda corta
de ese grupo es la luz ultravioleta.
											La cosa clave aquí,
desde nuestra perspectiva,
											es que la luz ultravioleta
mata a las bacterias
											usando un mecanismo totalmente
distinto al que usan las drogas.
											Por lo que la luz ultravioleta
es tan capaz de matar
											a bacterias resistentes a las drogas
como a cualquier otra bacteria.
											Y como la luz ultravioleta
es buena para matar bacterias
											se utiliza hoy en día
para esterilizar habitaciones
											y esterilizar superficies de trabajo.
									","
											Je suis physicien
											et je me suis demandé si on ne pouvait pas
trouver une solution liée à la physique,
											une approche différente à ce problème.
											Dans ce domaine,
											ce dont on est sûrs,
											c'est qu'on sait comment tuer
tous les types de microbes,
											de virus,
											de bactéries.
											C'est en utilisant des ultraviolets.
											On le sait depuis plus de 100 ans.
											Vous connaissez sûrement
la lumière ultraviolette.
											C'est une partie du spectre
lumineux, avec les infrarouges
											et la lumière visible.
											Les ultraviolets correspondent 
aux longueurs d'onde courtes.
											Ce qu'il faut retenir
pour notre sujet aujourd'hui,
											c'est que les ultraviolets 
ne détruisent pas les bactéries
											de la même façon que les médicaments.
											Ils peuvent éliminer une bactérie 
résistante aux antibiotiques
											tout autant qu'une autre bactérie.
											C'est pour cette raison
											qu'on se sert des ultraviolets
pour stériliser des pièces
											ou des surfaces de travail.
									",A new weapon in the fight against superbugs,David Brenner,10:13,"bacteria,illness,public health,innovation,health,science,virus,medicine"
