fr,en,es,tr,title,speaker,duration,tags
"
","
","
","
",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
											Voici Jane.
											Elle présente une grossesse à risques.
											Pendant 24 semaines,
											elle est alitée à l'hôpital,
											surveillée en cas de travail prématuré.
									","
											Please meet Jane.
											She has a high-risk pregnancy.
											Within 24 weeks,
											she's on bed rest at the hospital,
											being monitored
for her preterm contractions.
									","
											Les presento a Jane.
											Tiene un embarazo de alto riesgo.
											A las 24 semanas de embarazo
											está ingresada en el hospital
											para poder monitorizar sus contracciones.
									","
											Lütfen, Jane ile tanışın.
											Onda yüksek riskli gebelik bulunmaktadır.
											24. haftası içinde,
											hastane yatağında istirahatli olup
											erken kasılmaları için izlenmektedir.
									",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
","
","
","
",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
											Elle n'a pas l'air très heureuse.
											Cela s'explique en partie par le besoin
d'experts et de techniciens
											pour apposer ces imposantes ceintures
qui contrôlent ses contractions utérines.
											Mais si Jane n'est pas très heureuse,
c'est aussi parce qu'elle est inquiète.
											Elle s'inquiète de ce qu'il se va passer
											lorsque son séjour de 10 jours
d'alitement à l'hôpital sera terminé.
											Qu'est-ce qui l'attend chez elle ?
											Si elle accouchait aussi tôt,
ce serait dévastateur.
											En tant qu'Afro-américaine,
											elle a deux fois plus de risques
d'accoucher prématurément
											ou d'avoir un enfant mort-né.
											Ainsi, Jane a essentiellement
deux options :
											rester alitée à l'hôpital,
											prisonnière de la technologie
jusqu'à l'accouchement
											et ensuite rembourser les frais
pour le restant de ses jours ;
											ou bien rentrer chez elle après son séjour
à l'hôpital et croiser les doigts.
											Aucune de ces options n'est très tentante.
									","
											She doesn't look the happiest.
											That's in part because it requires
technicians and experts
											to apply these clunky belts on her
to monitor her uterine contractions.
											Another reason Jane is not so happy
is because she's worried.
											In particular, she's worried
about what happens
											after her 10-day stay
on bed rest at the hospital.
											What happens when she's home?
											If she were to give birth this early
it would be devastating.
											As an African-American woman,
											she's twice as likely
to have a premature birth
											or to have a stillbirth.
											So Jane basically has one of two options:
											stay at the hospital on bed rest,
											a prisoner to the technology
until she gives birth,
											and then spend the rest
of her life paying for the bill;
											or head home after her 10-day stay
and hope for the best.
											Neither of these two options
seems appealing.
									","
											No parece muy contenta.
											Y es en parte porque requiere
que técnicos y expertos
											le pongan estos pesados cinturones 
para monitorizar contracciones uterinas.
											Otra razón de que Jane no esté contenta
es que está preocupada.
											En concreto le preocupa lo que pasará
											tras 10 días de estancia hospitalaria.
											¿Qué pasará cuando vuelva a casa?
											Si tuviera que dar a luz
tan pronto, sería devastador.
											Como mujer afroestadounidense
											tiene el doble de posibilidades
de tener un parto prematuro
											o muerte fetal.
											Así que Jane tiene dos opciones:
											permanecer en cama en el hospital,
											prisionera de la tecnología
hasta que dé a luz
											y pasar el resto de su vida
pagando la factura;
											o volver a casa tras 10 días
y esperar que todo salga bien.
											Ninguna de esas opciones parece atractiva.
									","
											En mutlu kişi gibi görünmüyor.
											Çünkü kısmen, 
rahim kasılmalarını izlemek için
											ona bu ağır kemerleri takacak 
teknisyen ve uzmanlar gerekmekte.
											Jane'in mutlu olmamasının bir diğer
sebebi ise endişeli olması.
											Özellikle, hastanedeki 10 günlük yatak
											istirahatinden sonra
olacaklardan endişeli.
											Eve gittiğinde ne olacak?
											Eğer erken doğum olursa
bu yıkıcı olacaktır.
											Bir Afro-Amerikalı kadın olarak,
											erken doğum yapma ya da ölü doğum yapma
											olasılığı iki kat daha fazla.
											Yani aslında Jane'in iki seçenekten 
birini seçme durumu var;
											ya doğum yapana kadar 

											bir teknoloji esiri olarak,
yatak istirahatinde hastanede kalmak
											ve hayatının geri kalanında
hastane faturasını ödemek
											ya da 10 günlük istirahatten sonra
eve dönüp en iyisini dilemek.
											Her iki seçenek de cazip görünmüyor.
									",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
","
","
","
",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
											J'ai commencé à penser
à ce genre d'histoires
											et à entendre ce genre d'histoires,
											c'est là que je me suis demandé :
											y a-t-il une alternative ?
											Y aurait-il moyen de bénéficier
des avantages d'un contrôle de qualité
											que l'on obtient à l'hôpital,
											alors qu'un autre profite
de la routine chez lui ?
									","
											As I began to think
about stories like this
											and hear about stories like this,
											I began to ask myself and imagine:
											Is there an alternative?
											Is there a way we could have
the benefits of high-fidelity monitoring
											that we get with our trusted
partners in the hospital
											while someone is at home
living their daily life?
									","
											Cuando pienso en historias así
											y oigo historias así,
											me pregunto a mí mismo:
											""¿Hay alternativa?""
											""¿Hay manera de tener los beneficios
de una monitorización de calidad
											como la que tenemos en el hospital
											mientras alguien está en casa
haciendo vida normal?""
									","
											Bu tür hikâyeleri düşünmeye başladıkça
											ve bu tür hikâyeleri duydukça,
											kendime sormaya başladım ve hayal ettim:
											Başka bir alternatif var mı?
											Birinin evde günlük yaşamına
devam ederken,
											hastanedeki güvenilir
ortaklarımızdan aldığımız
											yüksek duyarlıklı izlemeden
faydalanma yolu olabilir mi?
									",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
","
","
","
",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
											Avec cela en tête,
											j'ai convaincu mon groupe de recherche
											de s'associer avec des spécialistes
en sciences des matériaux,
											et on s'est retrouvé
pour y réfléchir ensemble.
											Après des heures de réflexion,
											nous avons eu la vision, l'idée,
											d'un système portatif qui pourrait être
porté de la même manière que des bijoux
											ou que l'on pourrait s'apposer
comme un bandage.
											Suite à de nombreuses tribulations
et plusieurs années de dur labeur,
											nous sommes parvenus à créer
ce patch électronique modulable
											qui a été fabriqué de la même façon
											que pour construire
les puces d'ordinateurs,
											sauf que la partie électronique se fait
à partir d'une tranche de semi-conducteurs
											puis sur une matière souple
pouvant interagir avec le corps humain.
									","
											With that in mind,
											I encouraged people in my research group
											to partner with some
clever material scientists,
											and all of us came together
and brainstormed.
											And after a long process,
											we came up with a vision, an idea,
											of a wearable system that perhaps
you could wear like a piece of jewelry
											or you could apply
to yourself like a Band-Aid.
											And after many trials and tribulations
and years of endeavors,
											we were able to come up
with this flexible electronic patch
											that was manufactured
using the same processes
											that they use to build computer chips,
											except the electronics are transferred
from a semiconductor wafer
											onto a flexible material
that can interface with the human body.
									","
											Con esto en mente,
											animé a gente de mi grupo
de investigación
											a asociarnos con algunos científicos,
											e hicimos una reunión creativa.
											Tras un largo proceso
											surgió una visión, una idea,
											de un dispositivo que se pudiera 
llevar como una pieza de joyería
											o aplicar como una tirita.
											Y tras muchas ideas y tribulaciones
y años de esfuerzos
											pudimos llegar a este parche 
electrónico flexible
											fabricado usando el mismo proceso
											que se usa para los chips de computadoras,
											excepto que los componentes se trasladan
de una oblea de semiconductores
											a un material flexible que puede
comunicarse con el cuerpo humano.
									","
											Bunu göz önünde bulundurarak,
											benim araştırma grubumdaki insanları
											akıllı malzeme bilimcilerle
ortak çalışmaları için teşvik ettim
											ve hepimiz bir araya gelip
beyin fırtınası yaptık.
											Uzun bir prosesten sonra
											bir vizyonla ortaya çıktık, bir fikirle,
											giyilebilir bir sistem;
tıpkı bir parça takı takmak gibi
											ya da kendine yara bandı yapıştırmak gibi.
											Birçok deneme ve sıkıntılardan sonra
ve yıllarca gayretten sonra
											esnek elektronik yama
ile ortaya çıkabildik,
											bilgisayar çiplerinin 
oluşturulmasında kullanılan
											yöntemlerle üretilmiştir,
											elektroniğin insan vücudu ile 
arayüz sağlayacak esnek malzeme
											üzerine yarı iletken bir
adaptör ile aktarılması dışında.
									",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
","
","
","
",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
"
											Ces dispositifs font l'épaisseur
d'un cheveu humain.
											Ils peuvent mesurer le type
d'informations que l'on souhaite,
											des choses telles que :
											les mouvements du corps,
											la température corporelle,
											le rythme cardiaque
											et bien plus encore.
											On peut également faire en sorte
											qu'ils intègrent les sources d'énergie
											et qu'ils profitent
d'une transmission sans fil.
									","
											These systems are about
the thickness of a human hair.
											They can measure the types
of information that we want,
											things such as:
											bodily movement,
											bodily temperature,
											electrical rhythms of the body
											and so forth.
											We can also engineer these systems,
											so they can integrate energy sources,
											and can have wireless
transmission capabilities.
									","
											Estos sistemas tienen
el grosor de un pelo humano.
											Pueden recoger el tipo
de información que queremos,
											cosas como
											movimiento corporal,
											temperatura corporal,
											impulsos eléctricos del cuerpo
											y más cosas.
											También podemos diseñar estos sistemas
											para que integren fuentes de energía
											y puedan tener capacidad
de transmisión inalámbrica.
									","
											Bu sistemler insan saçı kalınlığı kadar.
											İstediğimiz bilgi tiplerini ölçebiliyor,
											mesela;
											bedensel hareket,
											vücut sıcaklığı,
											vücudun elektrik ritimleri
											ve benzeri.
											Ayrıca bu sistemleri düzenleyebiliyoruz,
											bunlar enerji kaynaklarına entegre edilip
											kablosuz iletim özelliklerine
sahip olabilirler.
									",A temporary tattoo that brings hospital care to the home,Todd Coleman,9:39,"algorithm,communication,data,health care,health,illness,innovation,invention,medical research,medicine,science,TEDMED,technology"
