en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											Last summer, I was hiking
through the Austrian mountains.
											And there, on top, I saw
this beautiful, stone, remote hut,
											and it had solar panels on it.
											And every time I see solar panels,
I get very enthusiastic.
											It's this technology that takes sunlight,
which is free and available,
											and turns that into electricity.
											So this hut, in the middle of nowhere,
on a beautiful location,
											was self-sufficient.
											But why do solar panels
always have to be so ugly?
									","
											El verano pasado hice una caminata
por las montañas austríacas.
											Y allí arriba vi esta hermosa 
y remota cabaña de piedra
											con paneles solares.
											Cada vez que veo paneles solares
me lleno de entusiasmo.
											Esta tecnología toma la luz solar,
que es gratuita y está disponible,
											y la transforma en electricidad.
											Así que esta cabaña, en el medio 
de la nada, en un lugar hermoso,
											era autosuficiente.
											Pero, ¿por qué los paneles solares
siempre tienen que ser tan feos?
									","
											No verão passado, fui passear
pelas montanhas austríacas.
											Lá em cima, vi este belo abrigo
de pedra, ao longe,
											com painéis solares.
											Sempre que vejo painéis solares
fico muito entusiasmada.
											É a tecnologia que capta a luz solar,
que é gratuita, é acessível
											e a transforma em eletricidade.
											Este abrigo, no meio do nada,
num local espantoso,
											era autossuficiente.
											Mas porque é que os painéis
solares têm de ser tão feios?
									","
											Geçen yaz Avusturya 
dağlarında dolaşıyordum.
											Üstteki bu güzel, taş 
ve küçük kulübeyi gördüm.
											Üzerinde güneş panelleri vardı.
											Panelleri her gördüğümde
çok coşkulu oluyorum.

											Bu, bedava ve hazır güneş ışığını alan 

											ve elektriğe çeviren bir teknoloji.
											Peki, hiçbir yerin ortasında,
güzel bir noktadaki bu kulübe,
											kendi kendine yetiyordu.
											Peki, güneş panelleri neden 
hep bu kadar çirkin olmak zorunda?
									","
											L'été dernier, je faisais une randonnée
dans les montagnes autrichiennes.
											Et là-bas, dans les sommets, j'ai vu
ce magnifique refuge en pierre isolé
											surmonté de panneaux solaires.
											A chaque fois que j'en vois,
je suis très enthousiaste.
											C'est une technologie qui capte
la lumière du soleil, gratuite et infinie,
											et la transforme en électricité.
											Cette hutte perdue au milieu de nulle part
dans un endroit magnifique
											était autonome en énergie.
											Mais pourquoi les panneaux solaires
sont-ils toujours aussi laids ?
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											My name is Marjan Van Aubel
and I'm a solar designer.
											I work in the triangle of design,
sustainability and technology.
											I strive for extreme efficiency,
											meaning that I develop materials
that expand in size
											or work with solar cells
that use the properties of colors
											to generate electricity.
											My work is in museums
all over the world, such as MoMA.
											And, I mean, it all went quite well,
											but it always felt
that something was missing.
									","
											Mi nombre es Marjan Van Aubel
y soy diseñadora solar.
											Trabajo en el triángulo del diseño,
la sostenibilidad y la tecnología.
											Me esfuerzo por conseguir 
una eficiencia extrema,
											es decir, desarrollo materiales
que pueden expandirse
											o trabajo con células solares que
usan las propiedades de los colores
											para generar electricidad.
											Mi trabajo está en museos
de todo el mundo, como el MoMA.
											Y todo fue bien,
											pero siempre sentí que faltaba algo.
									","
											Chamo-me Marjan Van Aubel
e sou ""designer"" solar.
											Trabalho no triângulo de ""design"",
sustentabilidade e tecnologia.
											Esforço-me por obter a maior eficácia,
											ou seja, desenvolvo materiais
que aumentam de tamanho
											ou funcionam com células solares
que usam as propriedades das cores
											para gerar eletricidade.
											O meu trabalho é em museus
por todo o mundo, como o MoMA.
											E, posso dizer, que tudo
tem corrido muito bem,
											mas eu sempre achei
que faltava qualquer coisa.
									","
											Adım Marjan Van Aubel,
ben bir güneş sistemleri tasarımcısıyım.
											Tasarım, sürdürülebilirlik ve teknoloji 
üçgeninde çalışıyorum.
											Yüksek verim için uğraşıyorum,
											yani boyutta genişleyen 
malzemeler geliştiriyorum
											ya da elektrik üretmek için renklerin 
özelliklerini kullanan güneş panelleri ile
											çalışıyorum.
											İşim tüm dünya üzerindeki müzelerde 
örneğin; MoMa.
											Açıkçası hepsi de oldukça iyi geçti.
											Fakat, sanki bir şeyler eksik gibiydi.
									","
											Je m'appelle Marjan Van Aubel et
je crée des panneaux solaires.
											Je travaille dans le domaine du design, 
de la durabilité et la technologie.
											Je cherche à atteindre l'efficacité pure,
											c'est-à-dire que je crée
des matières extensibles
											ou je travaille avec des panneaux solaires
utilisant les propriétés des couleurs
											pour créer de l'électricité.
											Mon travail est exposé dans des musées
du monde entier, comme le MoMA.
											Et tout se passait très bien,
											mais je sentais toujours
qu'il manquait quelque chose.
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											And it was, until I read the book
called the ""Solar Revolution,""
											where it says that within one hour
we receive enough sunlight
											to provide the world
with enough electricity
											for an entire year.
											One hour.
											And since then, I realized
I just want to focus on solar.
											Scientists all over the world
											have been focusing on making
solar panels more efficient and cheaper.
											So the price of solar
has dropped enormously.
											And this is because China
started producing them on a large scale.
											And also their efficiency
has increased a lot.
											They now even have an efficiency
of 44.5 percent.
									","
											Y fue así hasta que leí el libro 
llamado ""Solar Revolution"",
											según el cual, en el lapso de una hora,
recibimos suficiente luz solar
											como para proveer al mundo
la energía necesaria
											para un año entero.
											Una hora.
											Y en ese momento me di cuenta de que solo 
quiero concentrarme en la energía solar.
											Los científicos de todo el mundo
											se han concentrado en hacer paneles 
solares más eficientes y económicos.
											Así que el precio de la energía solar
se ha reducido mucho.
											Y esto se debe a que China empezó 
a producirlos a gran escala.
											Y también ha aumentado su eficiencia,
											que ahora es del 44,5 %.
									","
											E faltava, até que li o livro
chamado ""Solar Revolution"",
											em que se diz que, numa hora,
recebemos luz solar suficiente
											para fornecer eletricidade ao mundo
											durante um ano inteiro.
											Uma hora!
											Desde aí, percebi que queria
concentrar-me na energia solar.
											Há cientistas, pelo mundo inteiro,
											que se concentram em fazer painéis solares
mais eficazes e mais baratos.
											Assim, o preço dos equipamentos
solares tem diminuído drasticamente.
											Isso porque a China começou
a produzi-los em grande escala.
											A sua eficácia também aumentou muito.
											Hoje têm uma eficácia de 44,5%.
									","
											Dünyaya bütün bir yıl yetecek kadar 
elektrik sağlamak için,
											bir saat içerisinde yeteri kadar
güneş aldığımızı anlatan
											""Güneş Devrimi"" kitabını
											okuyuncaya kadar.
											Bir saat.
											O andan itibaren sadece güneş üzerine 
odaklanmam gerektiğini fark ettim.
											Dünyadaki tüm bilim adamları
											güneş panellerini daha verimli ve ucuz 
yapmaya çalışıyorlar.
											Böylece güneş panellerinin fiyatı 
muazzam bir şekilde düştü.
											Çünkü Çin, onları büyük 
ölçekte üretmeye başladı.
											Ayrıca verimleri çok fazla arttı.
											Şu an bile % 44.5 verime sahipler.
									","
											Jusqu'à ce que je lise ce livre
appelé « La révolution solaire »,
											où il est écrit qu'en une heure,
nous recevons assez d'ensoleillement
											pour fournir au monde assez d'énergie
											pour une année entière.
											Une heure.
											Et depuis lors, j'ai compris que je ne
voulais me concentrer que sur le solaire.
											Les scientifiques du monde entier
											se sont efforcés de rendre les panneaux
solaires plus efficaces et moins chers.
											Le prix de l'énergie solaire a donc
énormément chuté.
											C'est parce que la Chine s'est mise
à les produire à grande échelle.
											Et aussi car leur rendement
a beaucoup augmenté.
											Ils ont même aujourd'hui
un rendement de 44,5%.
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											But if you think
about the image of solar cells,
											it's kind of stayed the same
for the last 60 years.
											It's still this technology
just stacked onto something.
											And solar cells need to be much better
integrated into our environment.
											Climate change is the biggest
problem of our time.
											And we can't rely on the others —
the government, the engineers —
											to make positive changes.
											We all can contribute towards change.
									","
											Pero si piensan en el aspecto
de las células solares,
											ha permanecido igual
durante los últimos 60 años.
											Sigue siendo la misma tecnología,
solo que montada sobre algo.
											Y las células solares deben estar mucho
mejor integradas en nuestro entorno.
											El cambio climático es el mayor 
problema de nuestra era.
											Y no podemos confiar en los otros
—el gobierno, los ingenieros—
											para hacer cambios positivos.
											Todos podemos contribuir al cambio.
									","
											Mas, se pensarmos
na imagem das células solares,
											tem-se mantido praticamente
a mesma nos últimos 60 anos.
											Continua a ser uma tecnologia
empilhada em cima de qualquer coisa.
											As células solares precisam de ser
muito mais bem integradas no ambiente.
											A alteração climática é 
o maior problema da nossa época.
											Não podemos confiar só nos outros
— no governo, nos engenheiros —
											para fazerem alterações positivas.
											Todos temos de contribuir
para essa mudança.
									","
											Güneş hücrelerinin
görüntüsünü düşünürseniz,
											60 yıldır aynı kaldığı söylenebilir.
											Hâlâ bir şey üzerine yığılmış teknoloji.
											Güneş hücrelerinin çevremize daha iyi 
entegre edilmesi gerekiyor.
											İklim değişimi günümüzün 
en büyük problemi.
											Olumlu değişiklikler için
hükûmete, mühendislere
											bel bağlayamayız.
											Değişime hepimiz katkı sağlayabiliriz.
									","
											Mais si vous pensez à l'apparence
des panneaux solaires,
											c'est quasiment restée la même
ces 60 dernières années.
											C'est toujours la même technologie,
qui se juxtapose à une autre.
											Or, les panneaux solaires doivent être
mieux intégrés à notre environnement.
											Le changement climatique est
le plus gros enjeu de notre époque.
											Nous ne pouvons pas compter
sur les autres – l’État, les ingénieurs –
											pour améliorer les choses.
											Nous pouvons tous
contribuer au changement.
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
											Like I said, I'm a designer
											and I would like to change
things through design.
											Let me give you some examples of my work.
											I'm collaborating with Swarovski,
the crystal company.
											And if you cut crystals in a certain way,
											you are able to bend and direct the light
onto a certain place.
											So I use these crystals
to focus the light onto a solar panel,
											making them more efficient,
but using aesthetics.
											So you take the solar crystal
with you in the light,
											there's a battery in the solar cell,
											you put it in a docking station
											and you are able to power
these chandeliers.
											So you're literally
bringing the light indoors.
									","
											Como dije, soy diseñadora
											y quisiera cambiar las cosas
a través del diseño.
											Les daré algunos ejemplos de mi trabajo.
											Estoy colaborando con Swarovski,
la empresa de cristales.
											Si uno corta los cristales de cierto modo,
											la luz se puede curvar y dirigir 
hacia un lugar específico.
											Así que uso estos cristales para 
concentrar la luz en un panel solar,
											y los hago más eficientes,
pero usando la estética.
											Entonces, si exponemos 
este cristal solar a la luz
											—esa célula solar tiene una batería—
											y luego la ponemos 
sobre la base de carga,
											podemos dar energía a esas lámparas.
											Así que literalmente 
traemos la luz al interior.
									","
											Como já disse, sou ""designer""
											e gostaria de alterar as coisas
através do ""design"".
											Vou dar-vos alguns exemplos
do meu trabalho.
											Estou a colaborar com a Swarovski,
a empresa de cristais.
											Se cortarmos os cristais, de certa forma,
											conseguimos curvar e dirigir a luz
para um determinado local.
											Assim, uso estes cristais
para concentrar a luz num painel solar,
											tornando-o mais eficaz,
mas usando a estética.
											Levamos o cristal solar para a luz,
											há uma bateria na célula solar,
											colocamo-la num carregador
											e conseguimos fornecer energia
a estes candeeiros.
											Estamos literalmente
a levar a luz para dentro de casa.
									","
											Dediğim gibi, bir tasarımcıyım
											tasarım yoluyla 
bir şeyler değiştirmek istiyorum.
											Çalışmalarımdan bazı örnekler vereyim.
											Kristal şirketi Swarovski ile 
ortak olarak çalışıyorum.
											Kristalleri bir şekilde keserseniz,
											ışığı belirli bir yere eğebilir 
ve yönlendirebilirsiniz.
											Işığı bir güneş panelinde
odaklamak için kristalleri kullanıyorum,
											onları daha etkili yaparak
fakat estetik kullanarak.
											Güneş kristalini
ışık içerisinde alıyorsunuz,
											güneş hücresinde bir pil var,
											bir istasyona yerleştiriyorsunuz
											ve bu avizelere güç sağlayabiliyorsunuz.
											Işığı tam olarak evlere getiriyorsunuz.
									","
											Comme je l'ai dit, je suis designer
											et j'aimerais changer les choses
à travers le design.
											Voici quelques exemples de mon travail.
											Je collabore avec Swarovski,
le producteur du cristal.
											Si vous taillez le cristal
d'une certaine manière,
											vous pouvez courber et diriger la lumière
sur un endroit précis.
											J'utilise ces cristaux pour concentrer
la lumière sur un panneau solaire,
											ce qui le rend plus rentable,
mais aussi plus esthétique.
											Donc, on emmène
le cristal solaire à la lumière,
											il y a une batterie
dans le panneau solaire,
											on le place sur la station d'accueil
											et on peut alimenter ces lustres.
											On apporte ainsi la lumière à l'intérieur.
									",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
"
","
","
","
","
",The beautiful future of solar power,Marjan van Aubel,8:53,"sustainability,TEDx,future,technology,solar energy,science,design,energy,electricity,innovation"
