en,fr,pt,es,tr,title,speaker,duration,tags
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											
By the light of the moon,
											a group of youths sneak into the woods,
											where they take mind-altering substances,
											switch it up romantically,

											and brush up against creatures 
from another dimension.
											""A Midsummer’s Night’s Dream"" sees 
Shakespeare get psychedelic –
											and the result is a treat in the 
theatre and on the page.
									","
											Au clair de lune,
											un groupe de jeunes s'enfuit dans la forêt
											où ils prennent
des substances psychotropes,
											changent de partenaire amoureux
											et se frottent à des créatures
d'une autre dimension.
											Dans « Le Songe d'une nuit d'été »,
Shakespeare devient psychédélique
											et le résultat est un régal
sur scène et à la lecture.
									","
											Sob a luz do luar,
											um grupo de jovens
esgueira-se nos bosques,
											onde tomam substâncias alucinogénias,
											trocam de amores
											e confrontam criaturas
de uma outra dimensão.
											Em ""Sonho de uma Noite de Verão""
Shakespeare fica psicadélico
											e o resultado é uma delícia
no teatro e na escrita.
									","
											Bajo la luz de la luna,
											un grupo de jóvenes
se adentra en el bosque.
											Allí toman sustancias
que alteran sus sentidos,
											sucumben a repentinos enamoramientos
											y se relacionan con criaturas
de otra dimensión.
											""El Sueño de una noche de verano""
es la versión psicodélica de Shakespeare
											y hace las delicias tanto
del espectador como del lector.
									","
											Ay ışığında,
											bir grup genç gizlice ormana girer,
											burada kafa yapan birtakım maddeler alır,
											karışık ilişkiler yaşar
											ve farklı bir boyuttan
yaratıklarla karşılaşırlar.
											""Bir Yaz Gecesi Rüyası"" Shakespeare'in
psikedelik yanını gördüğümüz,
											hem izlemesi hem de okuması
zevkli bir oyun.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											First performed in the 1590's,
											this play is one of Shakespeare’s 
friskiest works,
											filled with trickery, madness and magic.
											Set over the course of one night,
											Midsummer progresses at a rollicking pace.
											The plot is structured around patterns of 
collision and dissolution,
											where characters from different worlds 
are thrown together and torn apart.
											Shakespeare uses these patterns to mock 
the characters’ self-obsession
											and question authority with a comic twist.
									","
											Débutant dans les années 1590,
											cette pièce est l'une des œuvres
les plus vives de Shakespeare,
											pleine de ruses, folie et magie.
											Se déroulant pendant une nuit,
											la pièce avance à un rythme joyeux.
											L'intrigue est structurée autour
de modèles de collision et dissolution,
											où des personnages de mondes différents
sont rassemblés et puis séparés.
											Shakespeare utilise ces modèles
											pour se moquer de l'égocentrisme
des personnages
											et pour s'interroger sur l'autorité
avec un tournant comique.
									","
											Representada pela primeira vez
na década de 1590,
											esta peça é uma das obras
mais divertidas de Shakespeare,
											cheia de estratagemas,
de loucura e de magia.
											Passa-se no decurso de uma noite
											e a ação avança a um ritmo jovial.
											O enredo está estruturado em volta
de padrões de colisão e dissolução,
											em que as personagens
de dois mundos diferentes
											são reunidos à força e separados.
											Shakespeare usa estes padrões
para troçar da obcessão das personagens
											e põe em causa a autoridade
com uma reviravolta cómica.
									","
											Esta obra de teatro, 
estrenada en la década de 1590,
											constituye una de las comedias
más lúdicas de Shakespeare,
											que transita por el engaño,
la locura y la magia.
											Con una historia que
se desarrolla en una sola noche,
											la obra avanza a pura diversión.
											La estructura del argumento 
se basa en encuentros y desencuentros
											donde personajes de mundos dispares
											se unen inesperadamente 
y luego se separan.
											Shakespeare usa esta estrategia
											para criticar la egolatría
de los personajes
											y cuestionar la autoridad 
en un tono de comedia.
									","
											İlk olarak 1590'larda sahnelenen bu oyun,
											Shakespeare'in en hareketli
eserlerinden biri;
											kandırmacalarla,
delilikle ve sihirle dolu.
											Tüm oyun bir gecede,
											Yaz Dönümü'nün şamatalı
temposunda ilerliyor.
											Birleştirme ve ayırma üzerine kurulu
olan olay örgüsünde,
											farklı dünyalardan karakterler
bir araya getirilip ayrılıyorlar.
											Shakespeare bu olay örgülerini
karakterlerin öz takıntılarını alaya almak
											ve otoriteyi mizahi bir dille
sorgulamak için kullanıyor.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											The action is set in Ancient Greece,
											but like many of Shakespeare’s plays 
it reflects his contemporary concerns.
											The magical setting of the woods at night
											disrupts the boundaries between 
separate groups, with bizarre results.
											Here, the bard plays with the rigid class 
system of his own time,
											taking three distinct groups
and turning their society upside-down
											in a world where no mortal is in control.
									","
											L'action se déroule
dans la Grèce ancienne,
											mais, comme beaucoup
d'œuvres de Shakespeare,
											elle reflète les préoccupations
de l'époque.
											Le cadre magique de la forêt la nuit
											rompt les frontières entre les différents
groupes, avec des résultats bizarres.
											Ici, le barde joue avec le stricte
système des classes de son époque,
											prenant trois groupes différents
et transformant leur société
											dans un monde
où aucun mortel a le contrôle.
									","
											A ação passa-se na Grécia Antiga,
											mas, tal como muitas
das peças de Shakespeare,
											reflete as preocupações
suas contemporâneas.
											O cenário mágico dos bosques à noite
											dissolve as fronteiras
entre grupos diferentes,
											com resultados inesperados.
											Nela, o bardo brinca com o rígido
sistema de classes da sua época,
											agarrando em três grupos distintos
e virando a sociedade de pernas para o ar
											num mundo em que não há
nenhum mortal a controlar.
									","
											La acción transcurre en la antigua Grecia,
											pero, como en muchas de sus obras,
el autor refleja la realidad de su época.
											El entorno mágico del bosque en la noche
											desdibuja las barreras
que separan los distintos grupos
											y produce disparatados desenlaces.
											En ese entorno, Shakespeare juega con
el rígido sistema de clases de la época,
											tomando tres grupos bien diferenciados
y alterando el orden social establecido,
											en un mundo que los mortales no controlan.
									","
											Olay Antik Yunan döneminde
geçmesine rağmen,
											Shakespeare'in hemen her oyunu gibi
döneminin kaygılarını yansıtıyor.
											Geceleyin ormanın büyülü ortamının
											farklı grupların arasındaki sınırları 
bulandırması tuhaf sonuçlar doğurur.
											Burada Ozan, kendi dönemindeki 
kalıplaşmış sınıf ayrılıklarına atfen,
											karakterleri üç ayrı sosyal gruptan seçip
toplum algılarını alt üst ederek,
											hiçbir faninin üstün olmadığı
bir dünya kuruyor.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											The play opens with young Hermia
											raging at her father Egeus and 
Theseus, the King of Athens,
											who have forbidden her to marry 
her lover Lysander.
											Hermia has no interest in her father's 
choice for her of Demetrius –
											but her best friend Helena 
definitely does.
											Furious at their elders, Hermia and 
Lysander elope under cover of darkness,
											with Demetrius in hot pursuit.
											This is further complicated 
by Helena’s decision
											to follow them all into the woods,
in the hope of winning Demetrius’ heart.
									","
											La pièce commence avec la jeune Hermia
											enragée contre son père Égée
et contre Thésée, le roi d'Athènes,
											qui lui ont interdit d'épouser
son amoureux Lysandre.
											Hermia n'est pas intéressée à Démétrius,
que son père a choisi pour elle,
											qui plaît, par contre, à son amie Héléna.
											Furieux contre leurs aînés, Hermia
et Lysandre s'enfuient dans l'obscurité,
											avec Démétrius à leur poursuite.
											Tout cela est encore compliqué
par la décision d'Héléna
											de les suivre dans la forêt dans l'espoir
de gagner le cœur de Démétrius.
									","
											A peça começa com a jovem Hérmia
											furiosa com o pai Egeu
e com Teseu, o rei de Atenas
											que a proibiram de casar
com o seu amado Lisandro.
											Hérmia não está interessada em Demétrio,
o marido que o pai lhe escolheu
											mas a melhor amiga dela, Helena,
está muito interessada nele.
											Furiosa com eles, Hérmia e Lisandro
fogem a coberto da escuridão
											mas Demétrio persegue-os, furioso.
											A ação torna-se mais complicado
com a decisão de Helena
											de os seguir até aos bosques,
											na esperança de conquistar
o coração de Demétrio.
									","
											La obra comienza cuando la joven Hermia

											se enfrenta a su padre Egeo 
y a Teseo, rey de Atenas,
											pues le han prohibido casarse
con Lisandro, su amado.
											Hermia no tiene intenciones de aceptar
al elegido de su padre, Demetrio,
											pero su mejor amiga, Elena, está
profundamente enamorada de él.
											Enfadados por la decisión de los mayores,
Hermia y Lisandro escapan en la oscuridad,
											y Demetrio va desesperadamente tras ellos.
											La trama se complica aún más cuando 
Helena decide seguirlos al bosque
											con la esperanza de conquistar 
el corazón de Demetrio.
									","
											Oyun, genç Hermia'nın,
											sevgilisi Lysander'la
evlenmesini yasaklayan
											babası Egeus ve Atina Kralı Theseus'a
esip gürlemesiyle başlıyor.
											Babasının seçtiği damat adayı Demetrius'a
karşı Hermia'nın hiç ilgisi olmasa da,
											Hermia'nın en iyi arkadaşı Helena
için durum tam tersi.
											Büyüklerine sinirlenen Hermia ve Lysander,
gecenin karanlığına sığınarak kaçıyorlar;
											ancak Demetrius sıcak takibe alıyor.
											Helena'nın Demetrius'un
kalbini kazanma umuduyla
											ormanda hepsini takip etmeye karar
vermesiyle durum daha da karmaşıklaşıyor.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											At this point, the woods are 
getting crowded,
											as the lovers are sharing the space 
with a group of “rude mechanicals”—
											a troupe of workers drunkenly rehearsing 
a play, led by the jovial Nick Bottom.
											Unbeknownst to them, the humans have 
entered into the world of the fairies.
									","
											À ce point, la forêt
commence à être bondée,
											et les amoureux partagent l'espace
avec un groupe d'« artisans grossiers »
											une troupe de travailleurs ivres
qui répètent une pièce,
											dirigés par le jovial Nick Bottom.
											À leur insu, les êtres humains
sont entrés dans le monde des fées.
									","
											Nessa altura, os bosques
começam a ficar cheios de gente,
											porque os apaixonados partilham 
o espaço com um grupo de ""rudes mecânicos""
											— um grupo de trabalhadores embriagados
											que estão a ensaiar uma peça, 
chefiada pelo alegre Nick Bottom.
											Sem saberem, os seres humanos
entraram no mundo das fadas.
									","
											En este punto, el bosque 
se vuelve muy concurrido,
											pues acude al lugar
un grupo de ""rudos artesanos"",
											miembros de una compañía de actores
ebrios liderada por el alegre Nick Bottom,
											dispuestos a ensayar para un obra.
											Sin saberlo, los humanos ingresan 
ahora al mundo de las hadas.
									","
											Bu noktada, orman kalabalık
olmaya başlıyor;
											âşıklar, sarhoş bir hâlde Nick Bottom'un
yönettiği bir oyunu prova eden
											bir grup işçiyle aynı yeri
paylaşmak zorunda kalıyorlar.
											Her şeyden habersiz hâlde, insanlar
periler âlemine giriyorlar.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											Despite their magical splendor, 
Oberon and Titania,
											the king and queen of the fairies, 
have their own romantic problems.
											Furious at his inability to control 
Titania, the jealous Oberon
											commands the trickster Puck to squeeze the
juice of a magical flower over her eyes.
											When she wakes up, she’ll fall in love 
with the first thing she sees.
											On his mission,
											Puck gleefully sprinkles the juice over
the eyes of the napping Demetrius
											and Lysander, and transforms Bottom’s head
into that of a donkey for good measure.
									","
											Malgré leur splendeur magique,
Obéron et Titania,
											le roi et la reine des fées,
ont leurs problèmes d'amour.
											Enragé à cause de son incapacité
de contrôler Titania, le jaloux Obéron
											ordonne au lutin Puck de verser le suc
d'une fleur magique sur ses yeux.
											À son réveil, elle tombera amoureuse
de la première créature qu'elle verra.
											Pendant sa mission,
											Puck arrose allègrement avec le suc
											les yeux de Démétrius
et Lysandre endormis
											et affuble Bottom d’une tête d’âne
pour faire bonne mesure.
									","
											Apesar do seu esplendor mágico,
Oberon e Titânia,
											o rei e a rainha das fadas,
também têm os seus problemas românticos.
											Furioso com a incapacidade
de controlar Titânia,
											o ciumento Oberon manda o travesso Puck
											espremer o sumo de uma flor mágica
nos olhos dela.
											Quando ela acordar, apaixonar-se-á
pela primeira coisa que vir.
											Nesta sua missão,
											Puck, divertido, salpica o sumo nos olhos
de Demétrio, adormecido, e de Lisandra,
											e transforma a cabeça de Bottom
numa cabeça de burro, por brincadeira.
									","
											A pesar de su mágico
esplendor, Oberón y Titania,
											rey y reina de las hadas, tienen
sus propios conflictos amorosos.
											Furioso por no poder controlar a Titania,
Oberón, presa de los celos,
											ordena al travieso de Puck
que rocíe los ojos de la reina
											con el jugo de una flor mágica.
											Cuando despierte, se enamorará
de lo primero que vea.
											Obediente al encargo, Puck 
rocía alegremente el jugo
											en los ojos de Demetrio 
y Lisandro mientras duermen
											y, además, transforma la cabeza
de Bottom en la de un burro.
									","
											Büyülü görkemlerine karşın,
perilerin kral ve kraliçesi
											Oberon ve Titania'nın kendi
duygusal sorunları var.
											Titania'yı kontrol edemediği için
sinirli olan kıskanç Oberon,
											düzenbaz Puck'a Titania'nın gözüne sihirli
bir çiçeğin suyunu sıkmasını emreder.
											Böylece Titania, uyandığında
gördüğü ilk şeye âşık olacaktır.
											Göreve çıkan Puck,
											neşeli bir şekilde suyu uyuyan Demetrius
ve Lysender'ın gözlerine damlatır
											ve Bottom'ın kafasını da
eşek kafasına çevirir.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
