es,pt,en,fr,title,speaker,duration,tags
"
","
","
","
",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
											Déjenme que empiece esta charla
con una pregunta para todos.
											Saben que en todo el mundo,
											la gente lucha por su libertad,
											lucha por sus derechos.
											Algunos luchan contra 
gobiernos opresivos.
											Otros contra sociedades opresivas.
											¿Cuál creen que es más difícil?
											Déjenme que responda 
a esta pregunta
											en los siguientes minutos.
									","
											Permitam-me iniciar esta conversa com 
uma pergunta para todos.
											Vocês sabem que em todo o mundo,
											as pessoas lutam pela sua liberdade,
											lutam pelos seus direitos.
											Alguns combatem governos opressivos.
											Outros combatem sociedades opressivas.
											Que batalha vocês acham que é mais difícil?
											Permitam-me tentar responder a esta pergunta
											nos próximos minutos.
									","
											Allow me to start this talk with a question to everyone.
											You know that all over the world,
											people fight for their freedom,
											fight for their rights.
											Some battle oppressive governments.
											Others battle oppressive societies.
											Which battle do you think is harder?
											Allow me to try to answer this question
											in the few coming minutes.
									","
											Permettez-moi de commencer 
par une question que je vous pose à tous.
											Vous savez que partout dans le monde
											des gens luttent pour leur liberté,
											luttent pour leurs droits.
											Certains combattent des gouvernements oppressifs.
											D'autres combattent des sociétés oppressives.
											A votre avis, quel combat est le plus difficile ?
											Permettez-moi d'essayer de répondre à cette question
											pendant les prochaines minutes.
									",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
","
","
","
",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
											Permítanme que los lleve 
2 años atrás en mi vida.
											Era la hora de acostarse 
de mi hijo, Aboody.
											Tenía 5 años entonces.
											Al acabar sus rituales 
para acostarse,
											me miró y me preguntó:
											""Mamá, ¿somos malas personas?""
									","
											Deixem-me levar-vos para há dois anos atrás, 
na minha vida.
											Era a hora de dormir do meu filho, Aboody.
											Ele tinha cinco anos nessa altura.
											Depois de terminar os seus rituais antes de dormir,
											ele olhou para mim e fez uma pergunta:
											""Mãe, somos pessoas más?""
									","
											Let me take you back two years ago in my life.
											It was the bedtime of my son, Aboody.
											He was five at the time.
											After finishing his bedtime rituals,
											he looked at me and he asked a question:
											""Mommy, are we bad people?""
									","
											Laissez-moi vous raconter 
ce qui m'est arrivé il y a deux ans.
											C'était l'heure pour mon fils, Aboody, d'aller au lit.
											Il avait cinq ans à l'époque.
											Après avoir terminé les rituels du coucher,
											il m'a regardée et m'a posé une question :
											« Maman, sommes-nous mauvais ? »
									",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
","
","
","
",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
											Me conmocioné.
											""¿Por qué dices 
esas cosas, Aboody?""
									","
											Fiquei chocada.
											""Por que dizes tal coisa, Aboody?""
									","
											I was shocked.
											""Why do you say such things, Aboody?""
									","
											J'étais sous le choc.
											« Pourquoi dis-tu une chose pareille, Aboody ? »
									",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
","
","
","
",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
											Ese mismo día, había 
notado algunos moretones
											en su cara cuando 
volvió del colegio.
											No me contó lo 
que había pasado.
											[Pero ahora] estaba 
listo para decírmelo.
									","
											Antes, naquele dia, eu tinha notado 
algumas contusões
											no seu rosto, quando ele veio da escola.
											Ele não me quis contar o que acontecera.
											[Mas agora] ele estava pronto para contar.
									","
											Earlier that day, I noticed some bruises
											on his face when he came from school.
											He wouldn't tell me what happened.
											[But now] he was ready to tell.
									","
											Plus tôt dans la journée, 
j'avais remarqué des bleus
											sur son visage quand il était rentré de l'école.
											Il n'avait pas voulu me dire 
ce qui s'était passé.
											Là, il était prêt à me le dire.
									",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
","
","
","
",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
"
											""Dos chicos me pegaron 
en el colegio.
											Me dijeron, 'Hemos visto a 
tu madre en Facebook.
											Tú y tu madre deberían 
estar en la cárcel' "".
									","
											""Dois meninos bateram-me hoje na escola.
											""Eles disseram-me: 'Nós vimos a tua mãe no Facebook.
											"" 'Tu e tua mãe deviam ser postos na cadeia.' ""
									","
											""Two boys hit me today in school.
											They told me, 'We saw your mom on Facebook.
											You and your mom should be put in jail.'""
									","
											« Deux garçons m'ont frappé aujourd'hui à l'école.
											Ils m'ont dit : 
'On a vu ta mère sur Facebook.
											Toi et ta mère, on devrait vous mettre en prison.' »
									",A Saudi woman who dared to drive,Manal al-Sharif,14:16,"Islam,Middle East,cars,culture,feminism,global issues,women"
