en,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
											This is the Hogeweyk.
											It's a neighborhood in a small town
very near Amsterdam, in the Netherlands.
											There are 27 houses
for six, seven people each.
											There's a small mall with a restaurant,
a pub, a supermarket, a club room.
											There are streets, alleys,
there's a theater.
											It actually is a nursing home.
											A nursing home for people
that live with an advanced dementia
											and that need 24-7 care and support.
									","
											Esto es Hogeweyk.
											Es un barrio en una pequeña ciudad
muy cerca de Ámsterdam, en Holanda.
											Hay 27 casas con seis
o siete personas cada una.
											Hay un pequeño centro comercial 
con un restaurante, un bar,
											un supermercado y un club.
											Tiene también calles, 
senderos y un teatro.
											En realidad se trata de un geriátrico.
											Un geriátrico para gente
con demencia avanzada
											que necesita atención las 24 hs del día 
los siete días de la semana.
									","
											Voici Hogeweyk.
											C'est dans un quartier d'une petite ville
dans la région d'Amsterdam, aux Pays-Bas.
											Il y a 27 maisons qui peuvent accueillir
six ou sept personnes.
											Il y a un petit centre commercial,
un restaurant, un café,
											un supermarché et un cercle communautaire.
											Il y a des rues, des allées et un théâtre.
											Mais c'est une maison de repos.
											Une maison de repos pour les personnes
qui vivent avec une démence avancée
											nécessitant des soins
et de l'aide 24 heures sur 24.
									","
											Isto é Hogeweyk.
											É um bairro numa pequena cidade,
próxima de Amesterdão, na Holanda.
											Há 27 casas com seis, sete moradores cada.
											Há um pequeno centro com um restaurante,
um bar, um supermercado, um clube.
											Há ruas, vielas, um teatro.
											De facto é um lar de idosos.
											Um lar para pessoas que estão
em estados avançados de demência
											e precisam de cuidados e apoio
24 horas por dia.
									","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
","
","
","
","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
											Dementia is a terrible disease,
											and we still don't have any cure for it.
											It's getting to be
a major problem in the world,
											for the people, for the politicians,
											for the world — it's getting
to be a big problem.
											We see that we have waiting lists
in the nursing homes.
											Most people that come to the nursing homes
with dementia are women.
											And that's also because women
are used to taking care of people,
											so they can manage to take care
of their husband with dementia,
											but the other way around
is not so easy for the gentlemen.
									","
											La demencia es una enfermedad terrible
											para la que aún no tenemos cura.
											Se está convirtiendo en un problema grave,
											para la gente, para 
los políticos, para el mundo.
											Se está volviendo un problema muy serio.
											En los geriátricos 
tenemos listas de espera.
											La mayor parte de la gente con demencia 
que entra en un geriátrico son mujeres.
											Eso se da también porque las mujeres
están acostumbradas a cuidar personas,
											así que se las arreglan para cuidar
a sus maridos con demencia.
											Pero a la inversa, no es 
tan fácil para los caballeros.
									","
											La démence est une maladie terrible
											que nous ne savons pas encore guérir.
											C'est une bombe à retardement
pour le monde entier,
											pour les gens, pour les politiciens,
											pour tout le monde — c'est en train
de devenir un problème très épineux.
											Il y a déjà de longues listes d'attente
pour les maisons de repos.
											La plupart des personnes souffrant
de démence qui y vivent sont des femmes.
											C'est partiellement parce que les femmes
ont l'habitude de prendre soin d'autrui
											et qu'elles peuvent donc soigner
un mari touché par cette maladie,
											alors que l'inverse n'est pas
si aisé pour un mari.
									","
											A demência é uma doença terrível,
											para a qual ainda não temos cura.
											Está a tornar-se num enorme problema
no mundo,
											para as pessoas, para os políticos,
											para o mundo — está a tornar-se
num grande problema.
											Vemos que temos listas de espera
nos lares.
											A maioria das pessoas que chega aos lares
com demência são mulheres.
											Isto é porque as mulheres
estão habituadas a cuidar dos outros,
											e conseguem tomar conta dos maridos
quando eles sofrem de demência,
											mas o contrário é difícil
para os homens.
									","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
","
","
","
","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
											Dementia is a disease
that affects the brain.
											The brain is confused.
											People don't know anymore
what the time is,
											what's going on, who people are.
											They're very confused.
											And because of that confusion,
											they get to be anxious,
depressed, aggressive.
									","
											La demencia es una enfermedad
que afecta al cerebro.
											La mente está confundida.
											La gente ya no sabe qué hora es,
											qué pasa, quiénes son las demás personas.
											Están muy confundidos.
											Y por culpa de esa confusión
											se vuelven nerviosos,
deprimidos, agresivos.
									","
											Les démences sont des maladies
qui affectent le cerveau.
											L'esprit devient confus.
											On ne sait plus quelle heure il est,
											ce qu'il se passe, qui est qui.
											Tout est embrouillé.
											Cette confusion
											rend les personnes anxieuses,
dépressives et agressives.
									","
											A demência é uma doença
que afeta o cérebro.
											O cérebro está confuso.
											As pessoas já não sabem que horas são,
											o que se está a passar,
quem as pessoas são.
											Estão muito confusas.
											Devido a esta confusão,
											elas ficam ansiosas,
deprimidas, agressivas.
									","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
","
","
","
","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
											This is a traditional nursing home.
											I worked there in 1992.
											I was a care manager.
											And we often spoke together about the fact
											that what we were doing there
was not what we wanted for our parents,
											for our friends, for ourselves.
											And one day, we said,
											""When we keep on saying this,
nothing is going to change.
											We are in charge here.
											We should do something about this,
											so that we do want
to have our parents here.""
									","
											Este es un geriátrico tradicional.
											Trabajé allí en 1992 como administradora 
en el sector de atención médica.
											Y muy a menudo comentábamos
											que lo que hacíamos allí no era 
lo que queríamos para nuestros padres,
											para nuestros amigos, 
para nosotros mismos.
											Y un día dijimos:
											""Si solo seguimos hablando,
nada va a cambiar.
											Nosotros estamos a cargo.
											Deberíamos hacer algo
											que nos invite a querer
traer a nuestros padres aquí"".
									","
											Voici une image
d'une maison de repos typique.
											Je travaillais là en 1992.
											J'étais responsable des soins.
											Nous discutions souvent entre collègues
											et nous ne souhaitions pas
les soins que nous administrions,
											pour nos parents,
											ni pour nos amis ou pour nous-mêmes.
											Un jour, nous avons compris
											qu'uniquement parler
n'allait pas changer la situation.
											Nous étions aux commandes.
											Nous devions agir pour changer
l'environnement actuel
											et en faire un lieu où
nous placerions nos parents.
									","
											Isto é um lar tradicional.
											Eu trabalhava aqui em 1992.
											Eu era gestora de cuidados.
											Muitas vezes falávamos sobre o facto
											de que o que fazíamos ali, não era o que
queríamos para os nossos pais,
											para os nossos amigos, para nós.
											Um dia, dissemos:
											""Se continuarmos a dizer isto,
nunca nada vai mudar.
											""Nós somos os responsáveis.
											""Temos de fazer algo em relação a isto,
											""para querermos ter aqui os nossos pais"".
									","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
","
","
","
","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
"
											We talked about that,
and what we saw every day
											was that the people
that lived in our nursing home
											were confused about their environment,
											because what they saw
was a hospital-like environment,
											with doctors and nurses
and paramedics in uniform,
											and they lived on a ward.
											And they didn't understand
why they lived there.
											And they looked for the place to get away.
											They looked and hoped to find
the door to go home again.
											And we said what we are doing
in this situation
											is offering these people
that already have a confused brain
											some more confusion.
											We were adding confusion to confusion.
											And that was not what these people needed.
									","
											Hablamos de esos temas,
y lo que veíamos a diario
											era que las personas
que vivían en nuestro geriátrico
											estaban confundidas
con respecto a su entorno,
											porque lo que veían era 
como un ambiente de hospital,
											con médicos, enfermeros
y paramédicos con uniforme.
											Vivían en una sala
											y no entendían por qué estaban allí,
											entonces buscaban
el lugar por donde salir.
											Buscaban con esperanza 
la puerta para volver a casa.
											Y pensamos que lo que estábamos 
haciendo en esa situación
											era dar a esta gente,
que ya tiene la mente confusa,
											más confusión.
											Añadíamos más confusión a la confusión.
											Y eso no era lo que esta gente necesitaba.
									","
											Nous en avons discuté beaucoup
et chaque jour, nous constations
											que les personnes qui vivaient
dans notre maison de repos
											étaient déroutées par leur environnement
											car elles le voyaient
comme une sorte d'hôpital
											avec des médecins et des infirmières
et des aides-soignants en uniforme
											et parce qu'ils vivent dans un service.
											Ils ne comprennent pas
pourquoi ils sont là.
											Ils veulent quitter ce lieu
et cherchent un ailleurs.

											Ils cherchent et espèrent
retrouver le seuil de leur maison.
											Nous avons compris
que cet environnement-là
											causait davantage de confusion
											à des personnes
qui sont déjà embrouillées.
											On ajoutait de la confusion
à la confusion.
											Ils n'avaient vraiment pas besoin de ça.
									","
											Falámos acerca disto
e o que víamos todos os dias
											era que as pessoas que viviam no nosso lar
											estavam confusas
relativamente ao seu ambiente,
											porque o que viam era
o ambiente de um hospital,
											com médicos e enfermeiros
e paramédicos de farda,
											e viviam numa enfermaria.
											Eles não compreendiam porque viviam ali.
											E procuravam o sítio por onde sair.
											Procuravam e esperavam encontrar
a porta para voltar para casa.
											Nós dissemos que o que estávamos
a fazer nesta situação
											era dar a estas pessoas
que já estavam confusas
											ainda maior confusão.
											Estávamos a adicionar confusão
à confusão existente.
											Não era disto que as pessoas precisavam.
									","The ""dementia village"" that's redefining elder care",Yvonne van Amerongen,10:30,"health care,health,society,innovation,future,humanity,disease,illness,personal growth,mental health"
