en,es,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
											I'd like to start with a simple question:
											Why do the poor make
so many poor decisions?
											I know it's a harsh question,
											but take a look at the data.
											The poor borrow more, save less,
											smoke more, exercise less, drink more
											and eat less healthfully.
											Why?
									","
											Me gustaría empezar
con una pregunta fácil:
											¿por qué los pobres toman
tantas malas decisiones?
											Sé que es una pregunta dura
											pero miren los datos
											y verán que los pobres toman
prestado más, ahorran menos,
											fuman más, hacen menos deporte,
beben más y comen menos saludable.
											¿Por qué?
									","
											J'aimerais commencer
avec une question simple :
											pourquoi les pauvres prennent-ils
tant de mauvaises décisions ?
											C'est une question cruelle
											mais regardez les données :
											ils empruntent plus, épargnent moins,
											fument plus, font moins
de sport, boivent plus
											et mangent moins sainement.
											Pourquoi ?
									","
											Eu gostaria de começar
com uma pergunta simples:
											Porque é que as pessoas pobres
tomam tantas decisões precárias?
											Eu sei que é uma pergunta difícil,
											mas deem uma olhada nos dados.
											Pedem mais dinheiro emprestado,
poupam menos,
											fumam mais, fazem menos exercício,
											bebem mais e comem menos saudavelmente.
											Porquê?
									","
											Basit bir soruyla başlamak istiyorum:
											Yoksul insanlar neden
çok fazla kötü kararlar alır?
											Acımasız bir soru olduğunu biliyorum
											fakat verilere bir göz atın.
											Yoksullar daha fazla borçlanır,
daha az biriktirir,
											daha çok sigara ve içki içer
											ve daha az sağlıklı beslenir.
											Neden?
									",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
","
","
","
","
",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
											Well, the standard explanation
											was once summed up by the British
Prime Minister, Margaret Thatcher.
											And she called poverty
""a personality defect.""
									","
											Bueno, la típica explicación
es una que concluyó una vez
											la primer ministra británica,
Margaret Thatcher
											que definió la pobreza
como ""defecto de personalidad"".
									","
											L'explication standard
											fut un jour résumée
par le premier ministre britannique,
											Margaret Thatcher.
											Elle a qualité la pauvreté
de « défaut de la personnalité ».
									","
											Bom, a explicação convencional
											já foi resumida pela primeira-ministra
britânica, Margaret Thatcher.
											Ela chamou à pobreza
""um defeito de personalidade.''
									","
											İngiltere Başbakanı olan
											Margaret Thatcher bunun
standart açıklamasını yapmıştı.
											Yoksulluğu ""kişilik bozukluğu""
olarak adlandırmıştı.
									",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
","
","
","
","
",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
","
","
","
","
",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
											A lack of character, basically.
									","
											Básicamente, falta de carácter.
									","
											Un manque de caractère, en gros.
									","
											Uma falta de carácter, basicamente.
									","
											Yani bir karakter yoksunluğu.
									",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
","
","
","
","
",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
"
											Now, I'm sure not many of you
would be so blunt.
											But the idea that there's something
wrong with the poor themselves
											is not restricted to Mrs. Thatcher.
											Some of you may believe that the poor
should be held responsible
											for their own mistakes.
											And others may argue that we should
help them to make better decisions.
											But the underlying assumption is the same:
											there's something wrong with them.
											If we could just change them,
											if we could just teach them
how to live their lives,
											if they would only listen.
											And to be honest,
											this was what I thought for a long time.
											It was only a few years ago
that I discovered
											that everything I thought I knew
about poverty was wrong.
									","
											Estoy convencido de que no muchos de Uds.
dirían eso con tanta franqueza
											pero la idea de que hay algo
inherentemente malo con los pobres
											no es algo que solo pensaba
la señora Thatcher.
											Algunos de Uds. piensan
que los responsables de la pobreza
											son los pobres mismos.
											Mientras que otros opinan
											que hay que ayudarles a tomar
las decisiones correctas.
											Pero la suposición que está
en la base de todo es la misma:
											que les pasa algo raro.
											Si tan solo pudiéramos cambiarles,
											si pudiéramos por lo menos
enseñarles a vivir sus vidas,
											si por lo menos nos hicieran caso.
											Francamente,
											es lo mismo que pensé por mucho tiempo.
											Y solo hace unos cuantos años descubrí
											que todo lo que pensaba que sabía
acerca de la pobreza estaba equivocado.
									","
											J'ignore combien d'entre vous
seraient aussi directs.
											Mais l'idée que quelque chose
cloche chez les pauvres
											n'est pas restreinte à Mme Thatcher.
											Certains croient que les pauvres
devraient être tenus responsables
											de leurs erreurs.
											D'autres que nous devrions les aider
à prendre de meilleures décisions.
											Mais la supposition
sous-jacente est la même :
											quelque chose cloche chez eux.
											Si nous pouvions les changer,
											si nous pouvions leur apprendre
comment vivre leur vie,
											si seulement ils écoutaient.
											Pour être honnête,
											c'est ce que j'ai pensé durant longtemps.
											Il n'y a que quelques années
que j'ai découvert
											que tout ce que je pensais savoir
sur la pauvreté était faux.
									","
											Tenho a certeza que muitos de vocês
não seriam tão diretos.
											Mas a ideia de que há algo errado
com os pobres
											não é só da Sra. Thatcher.
											Alguns de vocês acreditam
que o pobre tem que ser responsável
											pelos seus próprios erros.
											Outros dizem que nós devemos ajudá-los
a tomarem decisões melhores.
											Mas a suposição base é a mesma:
											Há algo de errado com eles.
											Se ao menos pudéssemos mudá-los,
											se ao menos pudéssemos
ensiná-los a viver a sua vida.
											se ao menos eles nos escutassem.
											E para ser sincero,
											foi isto o que eu pensei
durante muito tempo.
											Foi só há uns anos que eu descobri
											que tudo que eu achava que sabia
sobre a pobreza estava errado.
									","
											Eminim ki, pek azınız
bu kadar pervasız olurdu.
											Fakat ortada yoksullarla ilgili
yanlış bir şeyler olduğu fikri,
											yalnızca Bayan Thatcher'la sınırlı değil.
											Bazılarınız yoksulların kendi
hatalarından sorumlu tutulmaları
											gerektiğine inanabilirsiniz ya da daha
											iyi kararlar almaları için onlara yardım
etmemiz gerektiğini düşünebilirsiniz.
											Fakat altında yatan varsayım aynıdır:
											Onlarla ilgili yanlış bir şeyler var.
											Onları değiştirebilsek,
											nasıl yaşamaları gerektiğini öğretebilsek,
											bizi dinleseler.
											Dürüst olmak gerekirse,
											uzun bir süre ben böyle düşünüyordum.
											Birkaç yıl önce, yoksullukla ilgili
											bildiğimi düşündüğüm her şeyin
yanlış olduğunu fark ettim.
									",Poverty isn't a lack of character; it's a lack of cash,Rutger Bregman,14:58,"capitalism,inequality,economics,policy,resources,society,social change,money,work"
