fr,en,es,title,speaker,duration,tags
"
","
","
",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
											Cette conférence est vraiment centrée sur la révolution digitale,
											mais je dois vous avouer que c'est fait. On a gagné !
											La révolution digitale a déjà eu lieu, on a pas besoin d'une révolution permanente.
											Et j'ai envie de voir plus loin,
											de voir ce qui nous attend après la revolution digitale.
											Projetons nous donc dans l'avenir.
											Voilà quelques projets dans lesquels je suis impliqué, au MIT,
											où nous regardons ce qui vient après les ordinateurs.
									","
											This meeting has really been about a digital revolution,
											but I'd like to argue that it's done; we won.
											We've had a digital revolution but we don't need to keep having it.
											And I'd like to look after that,
											to look what comes after the digital revolution.
											So, let me start projecting forward.
											These are some projects I'm involved in today at MIT,
											looking what comes after computers.
									","
											Esta reunión realmente ha tratado sobre una revolución digital,
											pero quisiera argumentar que está terminada; hemos ganado.
											Hemos tenido una revolución digital, pero no necesitamos seguir teniéndola.
											Y me gustaría mirar más allá de esto,
											mirar lo que viene después de la revolución digital.
											Así que déjenme empezar a proyectar hacia el futuro.
											Estos son algunos de los proyectos en los que estoy involucrado en el MIT (Massachusetts Institute of Technology)
											viendo lo que viene después de las computadoras.
									",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
","
","
",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
											Le premier, c'est ""l'internet Zero"", en haut à gauche. C'est un serveur web
											qui n'est pas plus complexe qu'une puce électronique et coute le même prix,
											à peu près un dollar— elle peut être utilisée dans n'importe quelle ampoule ou interrupteur.
											et va etre commercialisée sous peu.
											Ce qui est intéressant, ce n'est pas tellement son coût,
											mais la façon dont internet est codé par cette puce.
											Elle utilise une sorte de signal en morse pour Internet
											qui peut être transmis par des ondes optiques, mais aussi acoustique,
											par les prises de courant, ou des ondes radios
											On a pris le principe même d'internet,
											qui est de créer des réseaux decentralisés d'ordinateurs
											et faire en sorte que les appareils eux-mêmes soient interconnectés.
											On peut prendre l'idée de base qui a donnée naissance à Internet
											et la transcrire au monde matériel dans ce concept d'Internet Zero.
											ce réseau qui connecte les appareils eux-mêmes.
									","
											This first one, Internet Zero, up here — this is a web server
											that has the cost and complexity of an RFID tag —
											about a dollar — that can go in every light bulb and doorknob,
											and this is getting commercialized very quickly.
											And what's interesting about it isn't the cost;
											it's the way it encodes the Internet.
											It uses a kind of a Morse code for the Internet
											so you could send it optically; you can communicate acoustically
											through a power line, through RF.
											It takes the original principle of the Internet,
											which is inter-networking computers,
											and now lets devices inter-network.
											That we can take the whole idea that gave birth to the Internet
											and bring it down to the physical world in this Internet Zero,
											this internet of devices.
									","
											Lo primero, Internet Cero, aquí arriba — esto es un servidor Web
											que tiene el coste y la complejidad de una etiqueta RFID (Identificación por Radiofrecuencia)
											alrededor de un dólar — y que puede ir en cada bombilla y en cada pomo de una puerta,
											y esto está siendo comercializado muy rápidamente.
											Y lo que es interesante no es el coste;
											es la forma en que codifica Internet.
											Utiliza una especie de código Morse para Internet
											así que puede enviarse ópticamente, puedes comunicarte acústicamente
											al través de una línea eléctrica, o por radiofrecuencia.
											Toma el principio original de Internet,
											que es interconectar computadoras,
											y ahora permite interconectar dispositivos.
											Entonces, podemos tomar la idea entera que dio origen a Internet
											y traerla al mundo físico en esta Internet Cero,
											esta Internet de dispositivos.
									",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
","
","
",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
											C'est la prochaine étape pour passer de là à là,
											et c'est en train d'être commercialisé en ce moment.
											L'étape d'après, c'est l'ordinateur en pâte.
											Les biens indiscernables peuvent etre echangés et achetés.
											Ainsi, moitié moins de grains, est moitié moins utile
											mais un demi-bébé ou un demi- ordinateur, c'est bien moins utile
											qu'un bébé ou qu'un ordinateur entier,
											et on a toujours essayé de ne faire que des ordinateurs comme ca.
											Ce que vous voyez en arrière plan, c est un prototype.
											C'était la thèse d'un étudiant, Bill Butow, maintenant à Intel,
											qui s'est posé la question, si plutôt que de faire des puces de plus en plus grosses,
											on ne pouvait pas faire des puces plus petites, mais les mettre dans un milieu visqueux,
											et déverser la puissance de calcul au kilogramme.
											Et c'est ce que vous voyez là.
											A gauche, c'est une image rendue par un ordinateur conventionel,
											et sur la droite, l'image est rendue par le prototype
											que nous avons fabriqué, sans mémoire tampon, processeur
											ni autre chose comme ca- c'est juste le matériel en lui même.
											A la différence de cet écran, où les pixels sont placés minutieusement,
											c'est de la matiére première.
											Si vous en avez deux fois plus, vous pouvez afficher deux fois plus de choses
											Si vous tirez une balle de pistolet au travers, rien ne se passe.
											Si vous désirez plus de ressources, vous n'avez qu'à étaler plus d'ordinateur.
									","
											So this is the next step from there to here,
											and this is getting commercialized today.
											A step after that is a project on fungible computers.
											Fungible goods in economics can be extended and traded.
											So, half as much grain is half as much useful,
											but half a baby or half a computer is less useful than
											a whole baby or a whole computer,
											and we've been trying to make computers that work that way.
											So, what you see in the background is a prototype.
											This was from a thesis of a student, Bill Butow, now at Intel,
											who wondered why, instead of making bigger and bigger chips,
											you don't make small chips, put them in a viscous medium,
											and pour out computing by the pound or by the square inch.
											And that's what you see here.
											On the left was postscript being rendered by a conventional computer;
											on the right is postscript being rendered from the first prototype
											we made, but there's no frame buffer, IO processor,
											any of that stuff — it's just this material.
											Unlike this screen where the dots are placed carefully,
											this is a raw material.
											If you add twice as much of it, you have twice as much display.
											If you shoot a gun through the middle, nothing happens.
											If you need more resource, you just apply more computer.
									","
											Así que este es el siguiente paso desde allí hasta aquí,
											y esto se está comercializando hoy.
											Un paso adelante es el proyecto de computadoras fungibles.
											Los bienes económicos fungibles pueden ser extensibles y comercializables.
											Así, la mitad de la cantidad de grano es la mitad de útil
											pero medio bebé o media computadora es mucho menos útil que
											un bebé completo o una computadora completa,
											y hemos estado tratando de hacer computadoras que trabajen de esa forma.
											Así, lo que ven en el fondo es un prototipo.
											Esto viene de la tesis de un estudiante, Bill Butow*, ahora en Intel,
											quien se preguntaba por qué, en lugar de hacer chips más y más grandes,
											no hacían chips pequeños, colocados en un medio viscoso,
											y obtener capacidad de cómputo por kilos o centímetros cuadrados.
											Y eso es lo que ven aquí.
											A la izquierda ven postscript siendo procesado por una computadora convencional,
											a la derecha ven postscript siendo procesado por el primer prototipo que hicimos,
											pero no tiene memoria intermedia, ni procesador de entrada/salida,
											nada de esas cosas - es sólo este material.
											A diferencia de esta pantalla en la que los puntos están colocados cuidadosamente,
											esto es materia prima.
											Si agregan el doble de este material, obtienen el doble de pantalla.
											Si le disparan una pistola en la mitad, nada sucede.
											Si necesitas más recursos, sólo le aplicas más computadora.
									",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
","
","
",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
											C'est l'étape d'après: l'informatique sous forme de matière étalable.
											Mais c'est encore des bits conventionels, et l'étape d'après est—
											et c'est un prototype naissant dans un labo
											c'est une vidéo ultra-rapide ralentie.
											Maintenant, on intègre la chimie dans le calcul, et les bits deviennent des bulles.
											Cette vidéo montre comment sont générés les bits, et là,
											une nouvelle fois, au ralentit pour que vous puissiez voir,
											les bits interagissent de façon logique en se combinant.
											Donc maintenant, on peut faire des calculs dont le résultat est un arrangement de la matière,
											tout autant que de l'information. Et, pour finir, voici des planches
											d'un de mes anciens projets, de calcul avec stockage de l'information
											de façon quantique dans le noyau des atomes. Ainsi,
											les programmes rearrangent la structure des noyaux des atomes et molécules.
											Tout ça existe dans les laboratoires, allant de plus en plus loin,
											et ce n'est pas une métaphore, mais on intègre littéralement les bits et les atomes,
											et ça nous ammène au constat suivant.
									","
											So, that's the step after this — of computing as a raw material.
											That's still conventional bits, the step after that is —
											this is an earlier prototype in the lab;
											this is high-speed video slowed down.
											Now, integrating chemistry in computation, where the bits are bubbles.
											This is showing making bits, this is showing —
											once again, slowed down so you can see it,
											bits interacting to do logic and multiplexing and de-multiplexing.
											So, now we can compute that the output arranges material
											as well as information. And, ultimately, these are some slides
											from an early project I did, computing where the bits are stored
											quantum-mechanically in the nuclei of atoms, so
											programs rearrange the nuclear structure of molecules.
											All of these are in the lab pushing further and further and further,
											not as metaphor but literally integrating bits and atoms,
											and they lead to the following recognition.
									","
											Así, este es el paso siguiente - la computación como materia prima.
											Aún son bits convencionales, el paso siguiente es -
											este es un prototipo anterior en el laboratorio,
											este es un video de alta velocidad proyectado a cámara lenta.
											Ahora, integrando química y computación, dónde los bits son burbujas.
											Esto nos muestra cómo se hacen bits, esto está mostrando —
											de nuevo, a cámara lenta para que puedan verlo,
											bits interactuando para hacer lógica, y multiplexación y de-multiplexación.
											Entonces, ahora podremos calcular que el producto final organize la materia
											al igual que información. Y, finalmente, estas son algunas diapositivas
											de un proyecto que hice al principio, calculando dónde los bits son almacenados
											al nivel de mecánica cuántica en los núcleos de los átomos, por lo que
											los programas reorganizan la estrucutra nuclear de las moléculas.
											Y todo esto está en el laboratorio avanzando más y más y más,
											no como una metáfora, sino literalmente integrando bits y átomos,
											y eso nos lleva al siguiente reconocimiento.
									",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
","
","
",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
"
											Nous savons tous qu' on a eu une révolution digitale, mais qu'est ce c'est?
											En fait, Shannon nous a ammené dans les années 40, d'ici a ici:
											du téléphone qui était un simple haut parleur dont la qualité se dégrade avec la distance
											à Internet. Et il a prouvé le premier théorème sur les seuils, qui montre
											que si une information est additionnée puis retranchée à une porteuse,
											on peut calculer de façon exacte avec des instruments inexacts.
											Et c'est ça qui a donné Internet.
											Von Neumann, dans les années 50, a fait la même chose pour le calcul numérique.
											il a montré qu'on peut avoir un ordinateur imparfait, mais qu'en restaurant sa configuration,
											il peut être rendu parfait. Ce fut le dernier ordinateur analogique à MIT:
											un analyseur différentiel, qui, plus il était utilisé,
											plus il donnait une réponse fausse.
									","
											We all know we've had a digital revolution, but what is that?
											Well, Shannon took us, in the '40s, from here to here:
											from a telephone being a speaker wire that degraded with distance
											to the Internet. And he proved the first threshold theorem, that shows
											if you add information and remove it to a signal,
											you can compute perfectly with an imperfect device.
											And that's when we got the Internet.
											Von Neumann, in the '50s, did the same thing for computing;
											he showed you can have an unreliable computer but restore its state
											to make it perfect. This was the last great analog computer at MIT:
											a differential analyzer, and the more you ran it,
											the worse the answer got.
									","
											Todos sabemos que hemos tenido una revolución digital, pero ¿qué es eso?
											Bueno, Shannon nos llevó, en los años cuarenta, desde aquí hasta aquí:
											de un teléfono como medio para hablar que se degradaba con la distancia
											a Internet. Y probó el primer teorema del umbral, que muestra
											que si agregas información y se la quitas a una señal,
											puedes calcular perfectamente con un dispositivo imperfecto.
											Y fue entonces cuando llegamos a Internet.
											Von Neumann, en los cincuenta, hizo la misma cosa por la computación;
											mostró como puedes tener un computador poco fiable pero recuperar su estado
											para hacerla perfecta. Esta fue el último gran computador analógico del MIT:
											un analizador diferencial, y cuanto más lo ejecutabas,
											peor era la respuesta que obtenías.
									",Unleash your creativity in a Fab Lab,Neil Gershenfeld,17:18,"computers,culture,engineering,invention,materials,science,social change,technology,education,code"
