en,es,tr,pt,title,speaker,duration,tags
"
","
","
","
",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
											I took a cell phone
											and accidentally made myself famous.
									","
											Tomé un teléfono celular,
											y accidentalmente me hice famoso.
									","
											Cep telefonumu elime aldım
											ve bir de baktım meşhur olmuşum.
									","
											Agarrei num telemóvel
											e, por acidente, tornei-me famoso.
									",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
","
","
","
",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Risos)
									",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
","
","
","
",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
											I was just talking
about the things that I cared about,
											but with the click of a button
											and an incendiary viral video
											I propelled myself into overnight stardom.
											When I say overnight,
											I mean I literally woke up
the next morning
											with so many notifications on my phone,
											I thought I slept
through a national tragedy.
									","
											Hablaba de las cosas que me importan,
											pero haciendo clic en un botón,
											y un video viral escandaloso,
											esto me impulsó a un estrellato 
de la noche a la mañana.
											Cuando digo
de la noche a la mañana,
											lo digo literalmente. 
Me desperté en la mañana,
											con muchos mensajes en mi celular.
											Pensé que me había dormido
durante una tragedia nacional.
									","
											Sadece önemsediğim 
şeyler hakkında konuşuyordum,
											ama bir düğmeye basmamla,
											kışkırtıcı bir viral video ile
											bir gecede meşhur oluverdim.
Bir gecede derken,
											kelimenin tam anlamıyla,
											ertesi sabah uyandığımda
											telefonumda bir sürü bildirim vardı.
											Ben uyurken ulusal çapta
bir felaket oldu sandım.
									","
											Eu estava a falar de coisas
que me preocupam
											mas, com o clique num botão,
											e com um vídeo que se tornou viral
											fui projetado para o estrelato
da noite para o dia.
											Quando digo da noite para o dia,
											quero dizer que acordei na manhã seguinte
											com tantas mensagens no telemóvel
											que julguei que, enquanto dormia,
tinha acontecido uma tragédia nacional.
									",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
","
","
","
",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Risos)
									",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
","
","
","
",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
"
											It was the craziest thing, guys,
											but when it came to my influence
and my exposure,
											I literally took a quantum leap.
											So I made more videos
											and the subject matter of my videos
											was often the most divisive subject
in American life,
											but it was the way that I articulated race
											that made me somewhat
of a digital lightning rod.
											See, being a survivor myself
of police brutality
											and having lost a childhood friend,
											Alonzo Ashley,
											at the hands of the police,
											I had a little something
to say about the topic.
											You see, this was at the height
of the Black Lives Matter furor
											and people seemed to be turning
to me to articulate their viewpoints,
											and honestly, it was sort of overwhelming.
									","
											Fue lo más genial, señores.
											En relación a mi influencia 
y mi exposición,
											literalmente significó 
un salto espectacular.
											Así que hice más videos.
											Y el tema de mis videos
											era a menudo de lo más polémico
en la vida estadounidense,
											pero así me expresaba sobre la raza,
											que me convirtió en
una especie de pararrayos digital.
											Al ser un sobreviviente 
de la brutalidad policial,
											y al haber perdido a un amigo de la infancia,
											Alonzo Ashley,
											en manos de la policía,
											tenía que decir algo sobre el tema.
											Estaba a la altura del furor
del movimiento Black Lives Matter
											y la gente parecía acudir a mí
para expresar sus puntos de vista,
											lo cual fue, honestamente, 
un poco abrumador.
									","
											Arkadaşlar, bu en çılgınca şeydi,
											ama olayı anlayınca,
											bir kuantum sıçrayışı yaptım.
											Sonra başka videolar da çektim,
											videolarımın konusu ise
											Amerika'daki yaşamın
en kutuplaştırıcı konusuydu.
											Ama ne yapayım, ırk konusunda 
konuşma tarzım buydu.
											Bu beni dijital bir
işaret fişeği haline getirdi.
											Bakın, kendim de polis şiddeti
yaşadım,
											bir çocukluk arkadaşımı,
											Alonzo Ashley'i
											polis şiddeti nedeniyle kaybettim.
											Konu hakkında, az da olsa
söyleyecek bir şeylerim vardı.
											Siyah Yaşamlar Önemlidir olaylarının
en cafcaflı zamanlarıydı
											insanlar da kendi bakış açılarını
bana ifade etmek istiyor gibiydiler
											açıkçası, çok yorucu bir deneyimdi.
									","
											Foi a coisa mais louca
											mas, quanto à minha influência
e à minha visibilidade,
											dei um salto quântico.
											Assim, fiz mais vídeos
											e o tema principal dos meus vídeos
											era quase sempre o tema que mais divide
a vida dos norte-americanos.
											Mas foi a forma como eu exprimia a raça
											que me tornou numa espécie
de para-raios digital.
											Como sou um sobrevivente
da brutalidade da polícia
											e perdi um amigo de infância,
											Alonzo Ashley,
											às mãos da polícia,
											tinha umas coisas a dizer
sobre este tópico.
											Isto aconteceu no auge
do furor de Black Lives Matter
											e as pessoas viraram-se para mim
para exprimir as suas opiniões.
											Sinceramente, foi um pouco esmagador.
									",A black man goes undercover in the alt-right,Theo E.J. Wilson,18:20,"race,politics,Internet,United States,TEDx,compassion,community"
