es,fr,de,title,speaker,duration,tags
"
","
","
",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
											A mí me pasa algo raro con el sueño.
											Yo no duermo mucho,
											y decidí que este asunto de no dormir bien
											es en realidad una gran virtud, después de muchos años de
											luchar contra eso como si fuera algo terrible, o algo por el estilo.
											Sabes, ahora como que me gusta eso de quedarme levantado.
											Pero desde hace años que me levanto
											y pienso que mi creatividad se motiva muchísimo con este tipo de insomnio.
											Me quedo acostado despierto. Pienso. Camino y camino.
											A veces suelo caminar más de noche.
											Ahora camino durante el día y persigo a la gente que me parece interesante.
											(Risas)
									","
											J'ai comme un truc en ce qui concerne le sommeil.
											Je dors pas tant que ça
											et j'ai commencé à me dire que, genre, ne pas dormir beaucoup
											peut être est un grand avantage, après avoir lutté pendant des années
											comme si c'était une terrible malédiction, ou un truc dans le genre.
											Maintenant, vous savez, j'aime beaucoup rester éveillé.
											Mais pendant des années je suis resté éveillé,
											et je me dis que ma créativité est très influencée par ce type d'insomnie.
											Je resté couché éveillé. je pense à des trucs. J'erre sans but.
											Avant, je marchais plutôt la nuit.
											Je marche pendant la journée et je suis les gens qui m'ont l'air intéressant.
											(rires)
									","
											Ich habe ein Problem mit dem Schlaf.
											Ich schlafe nicht sehr viel
											und ich bin zu der Erkenntnis gelangt, dass wenig zu schlafen
											eine Tugend ist, nachdem ich es jahrelang
											als einen schlimmen Nachteil oder so was bekämpft habe.
											Und jetzt gefällt es mir sehr, einfach wach zu bleiben.
											Das habe ich jahrelang gemacht,
											und ich glaube, dass meine Kreativität sehr von dieser Schlaflosigkeit profitiert.
											Ich liege wach. Ich denke nach. Ich gehe ziellos umher.
											Manchmal laufe ich nachts mehr als tagsüber.
											Ich gehe tagsüber zu Fuß und laufe Leuten hinterher, die mir interessant erscheinen.
											(Gelächter)
									",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
","
","
",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
											y a veces- de hacho, esto aparecio en la página seis de The Post,
											que estaba siguiendo a este chico como si… igual
											en realidad sólo lo estaba siguiendo porque llevaba unos zapatos maravillosos.
											Entonces, yo estaba siguiendo a este chico.
											y le tomé una foto a sus zapatos,
											y nos dimos las gracias y cada quien siguió su camino.
											Pero yo hago eso todo el tiempo.
											De hecho, creo que muchos de mis diseños
											vienen de errores y trucos ópticos.
											Porque pienso que hay tantas imágenes que nos rodean ¿sabes?
											hay tanta ropa a nuestro alrededor.
											Y las únicas que me parecen interesantes
											son, por supuesto, las que parecen tener algo mal,
											o algo realmente sorpresivo.
											y muchas veces, yo voy en un taxi
											y veo un agujero en una camisa, o algo así
											que parece interesante, o lindo, o práctico
											de alguna manera que no había visto antes.
											Y le pido al taxista que pare, y me bajo del coche y camino,
											y me doy cuenta de que en realidad no era un agujero, sino un engaño visual,
											era una sombra ¿sabes?
											O si era efectivamente un agujero pienso ¡maldita sea!
											ya se le ocurrió la idea a otra persona.
											Ya alguien cometió ese error, entonces ya no lo puedo hacer yo.
									","
											Et parfois — en fait, une fois je me suis même retrouvé sur la page six du Post,
											comme quoi j'essayais d'accrocher un mec ou quoi, mais en fait,
											je le suivais juste parce qu'il portait des super chaussures.
											Et alors, je suivais ce mec.
											Et j'ai pris une photo des ses chaussures,
											Et on s'est dit merci et on est partis chacun de notre coté.
											Mais je fais tout le temps ce genre de choses.
											D'ailleurs, je crois que beaucoup de mes idées
											Me viennent d'erreurs, et d'illusions d'optique.
											Parce que, pour moi, il y a tellement d'images là dehors,
											tellement de vêtements.
											Et les seuls qui m'ont l'air intéressant
											Sont, bien évidemment, ceux qui ont l'air un peu erronés,
											ou très très surprenants.
											Et souvent, je suis en taxi
											Et je vois un trou dans une chemise, ou quelque chose
											qui a l'air très intéressant, ou joli, ou pratique
											d'une manière qui ne m'a encore jamais été évidente.
											Alors je fais arrêter la voiture, je sors
											et je me rends compte qu'en fin de compte c'était pas un trou, mais que mes yeux me jouent des tours,
											c'était une hombre.
											Ou si il y a bien un trou, je me dis : ""Et mince,
											il y a en effet quelqu'un qui y a déjà pensé.
											Quelqu'un a déjà cette faute, alors moi je ne peux plus la faire""
									","
											Und manchmal – einmal stand tatsächlich auf Seite 6 der ""Post"",
											ich würde diesem Typen nachstellen oder was auch immer,
											aber ich bin ihm nur nachgelaufen, weil er diese tollen Schuhe trug.
											Ich folgte ihm also.
											Ich fotografierte seine Schuhe,
											wir dankten einander und gingen unserer Wege.
											Aber das mache ich die ganze Zeit.
											Ich glaube tatsächlich, dass viele meiner Designideen
											von optischen Täuschungen herrühren.
											Denn ich denke, dass es da draußen so viele Bilder gibt,
											so viele Kleidungsstücke.
											Die einzigen, die ich interessant finde,
											sind die, die ein bisschen falsch aussehen, natürlich,
											oder sehr, sehr überraschend.
											Oft sitze ich in einem Taxi
											und sehe ein Loch in einem Hemd oder etwas,
											das sehr interessant, hübsch oder funktionell aussieht,
											auf eine Art, die mir nie zuvor untergekommen ist.
											Also lasse ich das Auto anhalten und steige aus, gehe ein Stück
											und merke, dass es gar kein Loch war, sondern eine optische Täuschung,
											es war ein Schatten.
											Oder wenn da ein Loch war, denke ich: Verdammt,
											diesen Gedanken hat tatsächlich schon mal jemand gehabt.
											Diesen Fehler hat schon jemand gemacht, also kann ich ihn nicht mehr machen.
									",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
","
","
",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
											No sé de dónde viene la inspiración.
											En mi caso, no viene de la investigación.
											La investigación no me inspira necesariamente.
											De hecho, una de las cosas más divertidas
											que jamás he hecho en mi vida entera,
											fue en estas navidades en el Guggenheim de Nueva York.
											Leí Pedro y el Lobo junto con esta hermosa banda de Juillard.
											Yo era el narrador, yo leí el texto.
											Y vi a esta crítico súper inteligente a la que amo.
											esta mujer, Joan Acocella, quien es mi amiga
											y ella vino al camerino y me dijo,
											oh, sabes, Isaac, sabías que, hablaba de Stalinismo,
											y hablaba de los años 30 en Rusia,
											y yo dije, ¿qué voy a saber yo de Stalinismo?
											Yo se que habla de un lobo y un pájaro,
											y él se comió el pájaro, y al final, tú sabes, se oye
											se oye el pájaro chillando, o algo así, ¿sabes?
									","
											Je ne sais pas d'où vient l'inspiration
											Pour moi, ça ne vient pas de recherches.
											Les recherches ne m'inspirent pas forcément.
											D'ailleurs, l'un des trucs les plus marrants
											que j'ai jamais fait de ma vie,
											c'était la période de Noël au Guggenheim à New York.
											J'ai lu Pierre et le Loup avec un groupe super de Juilliard.
											J'étais genre le narrateur, et j'ai lu.
											Et j'ai vu cette critique super intelligente que j'adore.
											Cette femme, Joan Acocella, qui est une amie à moi,
											elle est venue en coulisse et elle a dit,
											""Oh tu sais Isaac, en parlant de Stalinisme,
											et en parlant des années 30 en Russie.""
											Et moi j'ai dit : ""Comment veux tu que je parle de stalinisme?
											Je sais qu'il y a un loup, et un oiseau, et que
											il mange l'oiseau et après à la fin on entend
											l'oiseau qui couine ou un truc dans le genre.""
									","
											Ich weiß nicht, woher die Inspiration kommt.
											Bei mir kommt sie nicht aus der Recherche.
											Recherche inspiriert mich nicht notwendigerweise.
											Tatsächlich fand eines der Dinge, an denen ich
											in meinem Leben am meisten Spaß hatte,
											gerade in dieser Adventszeit am Guggenheim in New York statt.
											Ich las Peter und der Wolf mit dieser schönen Band aus Juillard.
											Ich war sozusagen der Erzähler und habe es vorgelesen.
											Dann habe ich diese hochintelligente Kritikerin getroffen, die ich sehr mag.
											Diese Frau, Joan Acocella, eine Freundin von mir,
											und sie kam hinter die Bühne und sagte:
											Oh, Isaac, wusstest du … Sie redete vom Stalinismus
											und über die 30er Jahre in Russland.
											Und ich sagte: ""Was weiß ich über den Stalinismus?
											Ich weiß von einem Wolf und einem Vogel,
											er frisst den Vogel und zum Schluss hört man
											den Vogel piepsen oder so.
									",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
","
","
",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
											Así que en realidad yo no sé. realmente no—
											en realidad yo hago mi propia investigación.
											Si me encargan hacer el vestuario para una ópera del siglo 18, o algo así,
											si investigo mucho, porque es interesante,
											pero no porque se supone que eso es lo que tengo que hacer.
											A mí me inspiran mucho las películas.
											Los colores en las películas y la manera en que la luz crea los colores,
											la luz detrás de la proyección,
											o la luz de la proyección, que crea unos colores increíbles.
											en fin, muestra el video, ya les muestro.
											en las noches me levanto y veo películas
											y me fijo mucho en las mujeres de las películas.
											y pienso en sus papeles,
											y en como ustedes tienen que ver lo que sus hijas estén viendo.
											Porque yo veo la manera en la que representan a las mujeres todo el tiempo
											ya sea que las glorifiquen así,
											o ya sea que las glorifiquen de una manera irónica.
											o ya sea que de alguna manera las deshonren, o que las deshonren irónicamente.
									","
											Alors je sais pas vraiment si... Je sais pas
											En fait, je mène mes recherches à ma sauce.
											Si je suis chargé de faire les costumes pour un opéra du XVIII, ou un truc comme ça,
											Je vais faire beaucoup de recherches, parce que c'est intéressant,
											pas parce que c'est ce que je suis censé faire.
											Je m'inspire beaucoup beaucoup beaucoup des films.
											La couleur des films, et comment la lumière rend les couleurs,
											la lumière de derrière la projection,
											ou la lumière depuis la projection fait que les couleurs ont l'air impossible.
											Et alors, on peut juste voir l'extrait, je vais vous montrer.
											Je reste éveillé la nuit, et je regarde des films
											et je regarde beaucoup les femmes dans les films.
											Et je pense à leur rôle,
											et comment i l faut surveiller ce que regardent vos filles.
											Parce que je regarde tout le temps comment les femmes sont représentées.
											Si elles sont célébrées d'une certaine manière,
											ou plutôt célébrées malgré elles.
											Ou si elles sont plutôt rabaissées, ou rabaissées ironiquement.
									","
											Ich wusste das also nicht. Ich mache nicht wirklich –
											ich stelle tatsächlich meine eigene Art von Nachforschungen an.
											Wenn ich den Auftrag habe, Kostüme für eine Oper aus dem 18. Jahrhundert oder so zu entwerfen,
											stelle ich viele Nachforschungen an, weil es interessant ist,
											nicht weil man das von mir erwartet.
											Ich lasse mich sehr, sehr, sehr von Filmen inspirieren.
											Die Farbe im Film und wie das Licht die Farben kreiert,
											das Licht hinter der Projektion
											oder das Licht der Projektion macht die Farben so unmöglich.
											Wie auch immer, spielt den Clip ab, dann zeige ich es Ihnen.
											Ich bleibe auf und schaue mir Filme an
											und besonders die Frauen in diesen Filmen.
											Ich denke über ihre Rollen nach
											und darüber, dass man sich ansehen muss, was sich unsere Töchter ansehen.
											Denn ich schaue mir immer an, wie Frauen dargestellt werden.
											Ob sie so glorifiziert werden,
											ob sie gewissermaßen ironisch glorifiziert werden,
											oder ob sie erniedrigt werden oder ironisch erniedrigt.
									",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
","
","
",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
"
											siempre regreso al tema del color.
											El color es algo que me motiva mucho
											pero raramente es un color que encuentre en la naturaleza
											aunque, en contraste con el color artificial
											el color natural es tan bello.
											Así que eso es lo que hago. Estudio mucho el color.
											Pero la mayor parte del tiempo pienso en cómo podría yo hacer algo
											que sea tan bello como una imagen de Natalie Wood?
											¿Cómo podría hacer algo que fuera tan bello como Greta Garbo?
											Pero, saben, eso simplemente no es posible.
											Me imagino que eso es lo que no me deja dormir.
											Quiero mostrarles — También soy un gran
											yo voy bien a menudo con los astrólogos a leerme las cartas,
											y eso es otra cosa que me motiva mucho.
											La gente me dice, oh, haz esto, pero un astrólogo me dice que haga algo más.
											Y lo hago.
											(Risas)
									","
											Je reviens toujours à la couleur.
											La couleur est quelque chose qui me motive beaucoup
											C'est rarement la couleur que je trouve dans la nature,
											quoi que, juxtaposée avec de la couleur artificielle
											la couleur naturelle est tellement magnifique.
											Alors c'est ça mon truc. J'étudie beaucoup la couleur.
											Mais la plupart du temps, je me dis : ""Comment puis-je espérer faire quoi que ce soit
											d'aussi joli que cette image de Natalie Wood,
											Comment est ce que je peux faire quelque chose d'aussi joli que Greta Garbo?""
											C'est complètement impossible quoi.
											Alors je me dis que ça doit être pour ça que je reste éveillé la nuit.
											Je veux vous montrer — j'aime vraiment genre —
											Je consulte souvent des astrologues, et des taromanciens
											et ça, c'est un autre truc qui me motive beaucoup.
											Les gens disent : ""Fais ci"". Et les astrologues me disent de faire un truc.
											Alors, je le fais.
											(rires)
									","
											Ich komme immer wieder auf die Farbe zurück.
											Farbe motiviert mich sehr.
											Es ist selten eine Farbe, die ich in der Natur vorfinde,
											obwohl natürliche Farbe in der Gegenüberstellung
											mit künstlicher Farbe so schön ist.
											Das mache ich also. Ich erforsche Farbe.
											Aber meistens überlege ich: Wie kann ich jemals etwas machen,
											das so schön ist wie dieses Bild von Natalie Wood?
											Wie kann ich jemals etwas so Schönes wie Greta Garbo machen?
											Ich meine, das ist einfach nicht möglich.
											Das lässt mich nachts nicht einschlafen, denke ich.
											Ich möchte Ihnen zeigen – ich bin auch ein großer –
											ich gehe oft zu Astrologen und Kartenlegern,
											das ist auch eine Sache, die mich sehr motiviert.
											Die Leute sagen: Mach das. Ein Astrologe sagt mir, was zu tun ist.
											Also mache ich das.
											(Gelächter)
									",Fashion and creativity,Isaac Mizrahi,14:16,"business,creativity,design,entertainment,fashion,humor,media"
