en,fr,tr,de,title,speaker,duration,tags
"
","
","
","
",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
											Travel with me
											to some of the most beautiful spots
in cities around the world:
											Rome's Spanish steps;
											the historic neighborhoods
of Paris and Shanghai;
											the rolling landscape of Central Park;
											the tight-knit blocks of Tokyo or Fez;
											the wildly sloping streets
of the favelas of Rio de Janeiro;
											the dizzying step wells of Jaipur;
											the arched pedestrian bridges of Venice.
									","
											Laissez-moi vous emmener
											dans certains des plus beaux endroits
dans des villes du monde entier.
											Les escaliers
de la place d'Espagne, à Rome,
											les quartiers historiques
de Paris et Shanghai,
											le paysage vallonné de Central Park,
											les entrelacs de ruelles à Tokyo ou à Fès,
											les rues très pentues
des favelas de Rio de Janeiro,
											les escaliers vertigineux de Jaipur,
											les ponts piétons de Venise.
									","
											Benimle birlikte
											dünyanın en güzel merkezlerinden
bazılarına seyahat edin.
											Roma'daki İspanyol Merdivenleri;
											Paris ve Şanghay'daki tarihi mahalleler;
											Central Park'ın inişli çıkışlı manzarası;
											Tokyo ve Fez'de birbirine bağlı binalar;
											Rio de Janeiro favelalarının
inanılmaz eğimli sokakları;
											Jaipur'daki göz alıcı basamaklı kuyular;
											Venedik'teki kavisli yaya köprüleri.
									","
											Reisen Sie mit mir
											zu einigen der schönsten Orte 
in den Städten der Welt:
											Roms Spanische Treppe,
											die historischen Viertel 
von Paris und Shanghai,
											die hügelige Landschaft des Central Parks,
											die engen Altstadtgassen 
von Tokyo oder Fez,
											die wild abfallenden Straßen 
der Favelas von Rio de Janeiro,
											die schwindelerregenden 
Stufenbrunnen von Jaipur,
											die gewölbten Brücken von Venedig.
									",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
","
","
","
",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
											Now let's go to some newer cities.
											Six downtowns built across
six continents in the 20th century.
											Why do none of these places
have any of the charming characteristics
											of our older cities?
											Or let's go to six suburbs built
on six continents in the 20th century.
											Why do none of them have
any of the lyrical qualities
											that we associate with the places
that we cherish the most?
									","
											Passons maintenant
à des villes plus récentes.
											Six centres-villes bâtis
sur les six continents au 20ème siècle.
											Pourquoi aucun de ces endroits
n'a les mêmes caractéristiques charmantes
											que nos villes anciennes ?
											Ou regardons ces six banlieues bâties
sur les six continents au 20ème siècle.
											Pourquoi aucune d'entre elles
n'a les mêmes vertus lyriques
											que les lieux qui nous sommes chers ?
									","
											Şimdi de bazı yeni şehirlere göz atalım.
											20. yüzyılda altı kıtada inşa edilen
altı şehir merkezi.
											Niçin bu şehirlerden hiçbiri
											eski şehirlerimizin o büyüleyici
özelliklerini hiç taşımıyor?
											Bir de 20. yüzyılda altı kıtada
inşa edilen altı banliyöye göz atalım.
											Neden bunların hiçbirinde
en sevdiğimiz yerlerle bağdaştırdığımız
											o şiirsel özellikler yok?
									","
											Lassen Sie uns nun 
in einige neuere Städte gehen.
											Sechs im 20. Jahrhundert gebaute 
Innenstädte auf sechs Kontinenten.
											Warum haben diese Orte
											keine der charmanten Eigenschaften 
unserer älteren Städte?
											Oder diese 6 Vororte auf 6 Kontinenten
aus dem 20. Jahrhundert.
											Warum hat keiner von ihnen 
etwas von den lyrischen Qualitäten,
											die wir mit den Orten verbinden, 
die wir am meisten schätzen?
									",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
","
","
","
",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
											Now, maybe you think
I'm just being nostalgic —
											why does it matter?
											Who cares if there is this creeping
sameness besetting our planet?
											Well, it matters because
most people around the world
											are gravitating to urban areas globally.
											And how we design those urban areas
could well determine
											whether we thrive or not as a species.
											So, we already know that people
who live in transit-rich areas,
											live in apartment buildings,
											have a far lower carbon footprint
											than their suburban counterparts.
											So maybe one lesson from that
is if you love nature,
											you shouldn't live in it.
									","
											Vous penserez peut-être
que je deviens juste nostalgique –
											quelle importance ?
											Qui se soucie de cette monotonie
insidieuse qui envahit notre planète ?
											Or, c'est important car la majorité
des gens dans le monde
											gravitent autour de ces zones urbaines.
											Notre façon de concevoir ces zones
urbaines pourrait bien avoir une influence
											sur le développement de notre espèce.
											On sait déjà que les personnes vivant
dans des zones bien desservies,
											dans des immeubles résidentiels,
											ont une empreinte carbone
bien moins élevée
											que leurs voisins des banlieues.
											On peut donc en tirer une leçon :
si vous aimez la nature,
											n'y vivez pas.
									","
											Belki de nostaljik
olduğumu düşünüyorsunuz.
											Bunun ne önemi var?
											Bu tüyler ürpertici benzerlik
gezegeni ele geçiriyorsa bu kimin umrunda?
											Ancak bu önemli
çünkü dünyadaki çoğu insan
											küresel çapta şehirlere doğru geliyor.
											Bizim bu şehir alanlarını
tasarlayışımız şeklimiz de
											insan türü olarak ne kadar
gelişeceğimizi etkileyebilir.
											Şunu zaten biliyoruz ki
çok geçitli alanlarda yaşayan insanlar
											banliyölerde yaşayanlara göre
											apartman dairelerinde yaşıyorlar
											ve çok daha az karbon salınımı yapıyorlar.
											Buradan çıkarılacak ders,
eğer doğayı seviyorsanız
											doğa içinde yaşamayın.
									","
											Vielleicht denken Sie, 
ich bin nur nostalgisch —
											warum ist das wichtig?
											Wen kümmert es, wenn diese schleichende 
Gleichheit unseren Planeten befällt?
											Es ist wichtig, weil die meisten Menschen
											auf der ganzen Welt
in urbane Gebiete ziehen.
											Die Gestaltung dieser Stadtgebiete 
könnte sehr wohl entscheiden,
											ob wir als Spezies gedeihen oder nicht.
											Wir wissen bereits, dass Menschen, 
die in verkehrsreichen Gebieten leben
											und in Mehrfamilienhäusern leben,
											einen weit geringeren CO2-Fußabdruck haben
											als ihre Vorstadt-Pendants.
											Ein möglicher Schluss daraus ist:
											Wenn du die Natur liebst, 
solltest du nicht darin leben.
									",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
","
","
","
",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Lachen)
									",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
","
","
","
",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
"
											But I think the dry statistics
											of what's known as
transit-oriented development
											only tells part of the story.
											Because cities, if they're
going to attract people,
											have to be great.
											They have to be powerful magnets
with distinctive appeal
											to bring in all those new green urbanites.
									","
											Mais je pense que les statistiques
											sur le développement centré
sur les transports en commun
											ne sont qu'une part de l'équation.
											Car, pour attirer les gens, les villes
											doivent être formidables.
											Devenir de puissants aimants
avec un attrait particulier
											pour capter tous ces nouveaux
citadins écologistes.
									","
											Ama bana kalırsa
											transite dayalı gelişime dair rakamlar
											hikâyenin yalnızca bir kısmını anlatıyor.
											Çünkü eğer şehirler
insanlara cazip gelecekse
											harika olmaları lazım.
											Tüm o yeni yeşil
kentselliği yansıtmak için
											belirgin cezbedicilikle
çok güçlü mıknatıslar gibi olmalılar.
									","
											Aber ich denke, 
dass die trockene Statistik
											der sogenannten 
transit-orientierten Entwicklung
											nur einen Teil der Geschichte erzählt.
											Weil Städte großartig sein müssen,
											wenn sie Menschen anlocken sollen.
											Sie müssen starke Magneten sein, 
mit ausgeprägter Anziehungskraft,
											um die neuen grünen Städter anzulocken.
									",How we can design timeless cities for our collective future,Vishaan Chakrabarti,13:13,"architecture,cities,design,infrastructure,society,humanity,beauty,community,engineering,future,urban planning,innovation,urban"
