en,pt,fr,es,title,speaker,duration,tags
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											So, robots.
											Robots can be programmed
											to do the same task millions of times
with minimal error,
											something very difficult for us, right?
											And it can be very impressive
to watch them at work.
											Look at them.
											I could watch them for hours.
											No?
											What is less impressive
											is that if you take these robots
out of the factories,
											where the environments are not
perfectly known and measured like here,
											to do even a simple task
which doesn't require much precision,
											this is what can happen.
											I mean, opening a door,
you don't require much precision.
									","
											Portanto, robôs.
											Os robôs podem ser programados
											para fazerem a mesma tarefa
milhentas vezes sem o mínimo erro,
											algo bastante difícil para nós, não é?
											Pode ser bastante impressionante
vê-los a trabalhar.
											Olhem para eles.
											Eu podia observá-los durante horas.
											Não é?
											O que é menos impressionante
											é que, se retirarmos
estes robôs das fábricas,
											para ambientes não tão perfeitamente
conhecidos e medidos como aqui,
											para fazerem uma tarefa simples
que não requer muito rigor,
											aconteceria isto.
											Quer dizer, para abrir uma
porta não é preciso tanta precisão.
									","
											Parlons des robots.
											On peut les programmer
pour qu'ils répètent la même tâche
											un million de fois
en ne se trompant que rarement,
											ce qui est difficile pour nous
n'est-ce pas ?
											Les voir à l’œuvre peut être vraiment
impressionnant.
											Regardez-les.
											Je pourrais les observer
pendant des heures.
											Pas vous ?
											Ce qui est moins impressionnant
en revanche,
											est que si vous les sortez des usines,
											pour les mettre dans un milieu qui n'est
pas parfaitement connu et contrôlé,
											la réalisation d'une simple tâche qui
ne requiert pas une grande précision
											peut donner ceci.
											Eh oui, ouvrir une porte
n'est pas une tâche compliquée.
									","
											Entonces, los robots...
											Los robots pueden programarse
											para hacer lo mismo millones de veces
con un margen de error mínimo,
											lo que para nosotros
es muy difícil, ¿verdad?
											Verlos trabajar puede ser
realmente impresionante.
											Mírenlos.
											Me pasaría horas mirándolos.
											¿No?
											Lo que no es tan impresionante
											es que, fuera de la fábrica,
											donde el entorno no es del todo conocido
y no está totalmente calibrado,
											hasta una tarea simple
que no requiere mucha precisión
											puede resultar en esto.
											A ver, abrir una puerta
no requiere mucha precisión.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											(Laughter)
									","
											(Risos)
									","
											(rires)
									","
											(Risas)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											Or a small error in the measurements,
											he misses the valve, and that's it —
									","
											Ou um pequeno erro nas medidas
											e ele não acerta na válvula
									","
											Ou une simple erreur de mesure,
											il rate la valve, et c'est fini...
									","
											O, por un pequeño error de medida,
											no llega a la válvula y ya está.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											(Laughter)
									","
											(Risos)
									","
											(rires)
									","
											(Risas)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											with no way of recovering,
most of the time.
									","
											sem hipótese de recuperação,
ma maior parte das vezes.
									","
											sans possibilité de se rétablir,
la plupart du temps
									","
											La mayoría de las veces
no hay forma de corregir.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
