en,es,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
											I'd like you to come back with me for a moment
											to the 19th century,
											specifically to June 24, 1833.
											The British Association for the Advancement of Science
											is holding its third meeting at the University of Cambridge.
											It's the first night of the meeting,
											and a confrontation is about to take place
											that will change science forever.
									","
											Me gustaría que me acompañaran por un instante
											al siglo XIX
											Específicamente al 24 de junio de 1833.
											La Asociación Británica para el Avance de la Ciencia
											lleva a cabo su tercera reunión en la Universidad de Cambridge
											Es la primera noche de la reunión.
											y una confrontación está a punto de acontecer
											que cambiará la ciencia para siempre.
									","
											Gostaria que voltassem comigo, só por um instante,
											ao século XIX,
											mais especificamente, a 24 de Junho de 1833.
											A Associação Britânica para o Avanço da Ciência
											vai realizar a sua terceira conferência na
Universidade de Cambridge.
											É a primeira noite da conferência,
											e está prestes a acontecer um confronto
											que mudará a ciência para sempre.
									","
											Je voudrais que vous retourniez
avec moi pour un instant
											au XIXe siècle,
											précisément au 24 juin 1833.
											L'Association Britannique
pour le Progrès de la Science
											tient sa troisième réunion
à l'Université de Cambridge.
											C'est la première nuit de la réunion,
											et une confrontation est
sur le point d'avoir lieu
											qui changera la science pour toujours.
									","
											Kommen Sie einen Moment mit mir
											ins 19. Jahrhundert,
											ganz genau zum 24. Juni 1833.
											Die ""British Association 
for the Advancement of Science""
											hält an der Universität Cambridge 
ihr drittes Treffen ab.
											Es ist der erste Abend dieses Treffens
											und eine Konfrontation bahnt sich an,
											welche die Wissenschaft 
für immer verändern wird.
									","
											Benimle bir dakikalığına geçmişe,
19. yüzyıla
											özellikle de 24 Haziran 1833'e
											gelmenizi istiyorum.
											Britanya Bilimsel İlerleme Derneği,
											Cambridge Üniversitesinde
üçüncü toplantısını yapıyor.
											Bu toplantının ilk gecesi
											ve bilimi tamamen değiştirecek bir
											karşılaşma gerçekleşmek üzere.
									",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
","
","
","
","
","
",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
											An elderly, white-haired man stands up.
											The members of the Association are shocked to realize
											that it's the poet Samuel Taylor Coleridge,
											who hadn't even left his house in years until that day.
											They're even more shocked by what he says.
									","
											Un hombre mayor, de pelo blanco, se pone de pie.
											Los miembros de la Asociación se sorprenden al darse cuenta
											que se trata del poeta Samuel Taylor Coleridge,
											que ni siquiera había salido de su casa durante años hasta ese día.
											Se sorprenden aún más por lo que dice:
									","
											Um homem velho, de cabelos brancos levanta-se.
											Os membros da Associação ficam chocados
ao perceber
											que é o poeta Samuel Taylor Coleridge,
											que não saía de sua casa há anos
até àquele dia.
											Ficam ainda mais chocados com o que ele diz.
									","
											Un homme âgé aux cheveux blancs se lève.
											Les membres de l'Association
sont choqués de voir
											qu'il s'agit du poète
Samuel Taylor Coleridge,
											qui n'avait pas quitté sa maison 
depuis plusieurs années jusqu'à ce jour.
											Ils sont encore plus choqués
par ce qu'il dit.
									","
											Ein älterer, weißhaariger Mann steht auf.
											Die Mitglieder der Gesellschaft 
sind schockiert, als sie feststellen,
											dass es der 
Dichter Samuel Taylor Coleridge ist,
											der bis zu diesem Tag sein Haus 
jahrelang nicht verlassen hatte.
											Und noch schockierter sind sie 
von dem, was er sagt.
									","
											Yaşlı, beyaz saçlı bir
adam ayağa kalkıyor.
											Derneğin üyeleri o adamın,
											o güne dek evini
yıllardır terk etmemiş şair
											Samuel Taylor Coleridge
olduğunu görünce şaşırıyorlar.
											Söylediği şey onları daha çok şaşırtıyor.
									",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
","
","
","
","
","
",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
											""You must stop calling yourselves natural philosophers.""
									","
											""Deben dejar de auto-proclamarse filósofos naturales""
									","
											""Parem de autodenominarem-se 
filósofos naturais.""
									","
											« Vous devez arrêter de
vous appeler philosophes naturels. »
									","
											""Sie müssen aufhören, 
sich Naturphilosophen zu nennen.""
									","
											""Kendinizi doğa filozofları olarak
adlandırmayı bırakmalısınız.""
									",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
","
","
","
","
","
",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
											Coleridge felt that true philosophers like himself
											pondered the cosmos from their armchairs.
											They were not mucking around in the fossil pits
											or conducting messy experiments with electrical piles
											like the members of the British Association.
									","
											Coleridge sentía que los verdaderos filósofos, como él,
											reflexionaban sobre el cosmos desde sus sillones.
											No estaban curioseando entre pilas de fósiles
											o realizando experimentos confusos con pilas eléctricas
											como los miembros de la Asociación Británica.
									","
											Coleridge sentia que verdadeiros filósofos como ele
											pensavam sobre os cosmos das suas poltronas.
											Não se andavam a sujar em escavações de fósseis
											nem a conduzir experiências com pilhas eléctricas
											como os membros da Associação Britânica.
									","
											Coleridge croit que
les vrais philosophes comme lui
											pensent au cosmos depuis leur fauteuil.
											Ils ne bidouillaient pas
dans les carrières de fossiles
											ni ne réalisaient d'expériences
avec des piles électriques
											comme les membres de l'Association Britannique.
									","
											Coleridge meinte, dass wahre Philosophen, 
wie er selbst,
											von ihrem Lehnstuhl aus 
über den Kosmos sinnierten.
											Sie lungerten nicht 
in Fossilgruben herum
											oder führten Experimente 
mit elektrischen Mengen durch,
											wie die Mitglieder der British Association.
									","
											Coleridge, kendisi
gibi gerçek filozofların,
											evreni koltuklarında otururken bile
düşündüğünü hissediyordu.
											Onlar fosil çukurlarında
boş boş dolanmıyordu ve
											Britanya Derneğinin
üyeleri gibi, elektrik kümeleriyle
											karmaşık deneyler yapmıyorlardı.
									",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
","
","
","
","
","
",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
"
											The crowd grew angry and began to complain loudly.
											A young Cambridge scholar named William Whewell stood up
											and quieted the audience.
											He politely agreed that an appropriate name
											for the members of the association did not exist.
									","
											La gente se enfureció y comenzó a quejarse en voz alta.
											Un joven erudito de Cambridge llamado William Whewell se puso de pie
											y calmó a la audiencia.
											Cortésmente acordó que no existía un nombre apropiado
											para los miembros de la asociación.
									","
											A multidão enfureceu-se e começou 
a queixar-se ruidosamente.
											Um jovem estudante de Cambridge 
chamado William Whewell levantou-se
											e calou a audiência.
											Concordou educadamente que 
um nome apropriado
											para os membros da associação não existia.
									","
											La colère de la foule grandissait
et la foule commençait à se plaindre bruyamment.
											Un jeune chercheur de Cambridge
nommé William Whewell s'est levé
											et a apaisé le public.
											Il a poliment reconnu qu'aucun nom approprié
											pour les membres de l'Association n'existait.
									","
											Die Menge wurde wütend und 
begann sich lautstark zu beschweren.
											Ein junger Cambridge-Gelehrter 
namens William Whewell stand auf
											und beruhigte das Publikum.
											Er stimmte höflich zu, 
dass kein geeigneter Name
											für die Mitglieder der Gesellschaft existierte.
									","
											Grup sinirlendi ve yakınmaya başladı.
											William Whewell adlı
genç bir Cambridge öğrencisi
											ayağa kalktı ve seyirciyi susturdu.
											Derneğin üyeleri için uygun bir adın
											olmadığını kibarca kabul etti.
									",The Philosophical Breakfast Club,Laura Snyder,12:34,"history,science,storytelling,technology,science and art,philosophy,innovation,culture,physics,activism,computers,math"
