en,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											We know more about
other planets than our own,
											and today, I want to show you
a new type of robot
											designed to help us
better understand our own planet.
											It belongs to a category
											known in the oceanographic community
as an unmanned surface vehicle, or USV.
											And it uses no fuel.
											Instead, it relies
on wind power for propulsion.
											And yet, it can sail around the globe
for months at a time.
											So I want to share with you
why we built it,
											and what it means for you.
									","
											Nous connaissons mieux 
les autres planètes que la nôtre,
											et aujourd'hui, je vais vous 
présenter un nouveau robot
											qui nous aidera à mieux
comprendre notre planète.
											Il appartient à une catégorie
											que les océanographes appellent
drone de surface (USV en anglais).
											Et il n'a pas besoin de carburant.
											Il utilise l'énergie éolienne 
pour la propulsion.
											Mais ça ne l'empêche pas de naviguer
autour du monde pendant des mois.
											Donc je veux vous expliquer
pourquoi nous l'avons construit
											et ce que cela signifie pour vous.
									","
											Sabemos mais sobre outros planetas
do que sobre o nosso.
											Hoje vou mostrar um novo tipo de robô
											concebido para nos ajudar
a compreender melhor o nosso planeta.
											Pertence a uma categoria conhecida
na comunidade oceanográfica
											por veículo de superfície,
sem tripulação — um USV.
											Não precisa de combustível.
											Em vez disso, usa a energia do vento
para a sua propulsão.
											Contudo, pode dar a volta ao globo
durante meses seguidos.
											Vou contar-vos porque é
que o construímos
											e o que é que significa para todos nós.
									","
											Diğer gezegenler hakkında kendi 
gezegenimizden daha fazla şey biliyoruz
											ve bugün sizlere kendi gezegenimizi 
daha iyi anlamak için tasarlanmış
											yeni bir tür robot göstermek istiyorum.
											Okyanus bilimi camiasında
											insansız yüzey aracı veya 
İYA diye bilinen bir kategoriye ait.
											Ve herhangi bir yakıt kullanmıyor.
											Onun yerine, ilerlemek için 
rüzgâr gücüne ihtiyaç duyuyor.
											Ancak Dünya etrafında yelkenle 
aylarca gidebiliyor.
											Sizlerle onu neden yaptığımızı 
ve sizin için ne anlama geldiğini
											paylaşmak istiyorum.
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											A few years ago, I was on a sailboat
making its way across the Pacific,
											from San Francisco to Hawaii.
											I had just spent the past 10 years
working nonstop,
											developing video games
for hundreds of millions of users,
											and I wanted to take a step back
and look at the big picture
											and get some much-needed thinking time.
											I was the navigator on board,
											and one evening, after a long session
analyzing weather data
											and plotting our course,
											I came up on deck and saw
this beautiful sunset.
											And a thought occurred to me:
											How much do we really know
about our oceans?
											The Pacific was stretching all around me
as far as the eye could see,
											and the waves were
rocking our boat forcefully,
											a sort of constant reminder
of its untold power.
											How much do we really know
about our oceans?
											I decided to find out.
									","
											Il y a quelques années, j'étais
sur un voilier dans le Pacifique,
											naviguant de San Francisco
jusqu'à Hawaï.
											Je venais de passer 10 ans
à travailler sans relâche,
											à développer des jeux vidéos
pour des millions d'utilisateurs,
											et je voulais prendre du recul
pour avoir une vue d'ensemble
											et prendre le temps de réfléchir.
											J'étais le navigateur,
											et un soir, après une longue session
d'analyse des données météorologiques,
											et de planification de notre trajet,
											je suis sorti sur le pont et j'ai vu
un coucher de soleil magnifique.
											Et je me suis dit :
											connaît-on vraiment nos océans ?
											Autour de moi, il n'y avait
que le Pacifique à perte de vue,
											et les vagues secouaient
notre bateau avec force,
											un rappel constant
de son pouvoir inimaginable.
											A quel point connaît-on
vraiment nos océans ?
											J'ai voulu le découvrir.
									","
											Há uns anos, eu ia num veleiro
a atravessar o Pacífico,
											de São Francisco até ao Havai.
											Tinha passado os 10 anos anteriores
a trabalhar sem parar,
											a desenvolver videojogos
para centenas de milhões de utilizadores,
											e queria recuar um pouco
para perspetivar a minha vida;
											sentia necessidade
de algum tempo para pensar,
											A bordo, era o navegador.
											Uma tarde, depois de uma longa sessão
a analisar os dados meteorológicos
											e a traçar a rota,
											subi ao convés e vi
um pôr-do-sol fascinante.
											Assaltou-me um pensamento.
											Até que ponto conhecemos
os nossos oceanos?
											O Pacífico estendia-se por todos os lados,
até onde a vista alcançava,
											e as ondas batiam com força,
sacudindo o barco,
											num lembrete permanente
do seu poder indizível.
											Até que ponto conhecemos
os nossos oceanos?
											Decidi descobrir.
									","
											Birkaç yıl önce, Pasifik'te 
San Francisco'dan Hawaii'ye
											yol alan bir yelkenli içindeydim.
											Son 10 yılı hiç durmadan
											yüz binlerce kullanıcısı olan video 
oyunları geliştirmek için harcamıştım
											ve bir adım geriye gidip 
büyük resme bakmak
											ve zamanımı ihtiyacını duyduğum 
düşünme ile geçirmek istedim.
											Teknede rotacıydım
											ve bir akşam, hava durumunu analiz edip
yolumuzu çizdiğim
											uzun bir seanstan sonra
											güverteye gelip bu güzel 
güneş batışını gördüm.
											Aklıma bir fikir geldi:
											Okyanuslarımız hakkında aslında 
ne kadar şey biliyoruz?
											Pasifik etrafımda gözlerin 
görebileceği kadar uzaklara gidiyordu
											ve dile getirilmeyen gücünü
hatırlatır şekilde
											dalgalar tekneyi tüm gücüyle sallıyordu.
											Okyanuslar hakkında aslında 
ne kadar şey biliyoruz?
											Öğrenmeye karar verdim.
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											What I quickly learned
is that we don't know very much.
											The first reason is just
how vast oceans are,
											covering 70 percent of the planet,
											and yet we know they drive
complex planetary systems
											like global weather,
											which affect all of us on a daily basis,
											sometimes dramatically.
											And yet, those activities
are mostly invisible to us.
									","
											J'ai vite appris
que l'on ne sait pas grand-chose.
											La première raison
est la taille des océans,
											qui occupent 70% de la planète,
											mais on sait qu'ils influencent 
des systèmes complexes,
											comme le climat mondial,
											qui nous affectent tous au quotidien,
											parfois de manière dramatique.
											Pourtant, cette activité
nous est presque invisible.
									","
											Rapidamente descobri
que não conhecemos muita coisa.
											A primeira razão é porque
os oceanos são enormes,
											cobrem 70% do planeta.
											No entanto, sabemos que influenciam
complexos sistemas do planeta
											— como o clima mundial —
											que nos afetam diariamente
											e, por vezes, de modo dramático.
											Porém, essas atividades
são quase invisíveis.
									","
											Çabucak öğrendiğim ki
pek fazla bir şey bilmiyoruz.
											Bunun ilk nedeni, okyanusların
çok geniş bir alanı,
											gezegenimizin yüzde 70'ini
kaplıyor olması,
											ve küresel hava durumu gibi
											karmaşık sistemlerini
işletiyor olmaları
											ki bunlar günlük hayatlarımızı etkiliyor,
											bazen çok yoğun bir şekilde.
											Ancak bunların çoğu bizlerin
görebildiği olaylar değil.
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											Ocean data is scarce by any standard.
											Back on land, I had grown used to
accessing lots of sensors —
											billions of them, actually.
											But at sea, in situ data
is scarce and expensive.
											Why? Because it relies on
a small number of ships and buoys.
											How small a number
was actually a great surprise.
											Our National Oceanic
and Atmospheric Administration,
											better known as NOAA,
											only has 16 ships,
											and there are less than
200 buoys offshore globally.
											It is easy to understand why:
											the oceans are an unforgiving place,
											and to collect in situ data,
you need a big ship,
											capable of carrying a vast amount of fuel
											and large crews,
											costing hundreds
of millions of dollars each,
											or, big buoys tethered to the ocean floor
with a four-mile-long cable
											and weighted down
by a set of train wheels,
											which is both dangerous to deploy
and expensive to maintain.
									","
											Les données sur l'océan sont très minces.
											Sur terre, j'avais l'habitude d'avoir 
accès à beaucoup de capteurs,
											des milliards de capteurs.
											Mais en mer, les données in situ
sont rares et coûtent cher.
											Pourquoi ? Parce qu'elles reposent
sur un nombre réduit de navires et bouées.
											A ma grande surprise,
ce nombre était vraiment petit.
											L'agence américaine d'observation 
océanique et atmosphérique,
											la NOAA en anglais,
											ne possède que 16 navires,
											et il y a moins de 200 bouées 
offshore dans le monde.
											Les raisons sont simples :
											l'océan ne pardonne pas,
											et pour obtenir des données
in situ, il faut des grands navires,
											capables de transporter 
beaucoup de carburant
											et un équipage important,
											et qui coûtent des centaines
de millions de dollars chacun,
											ou des bouées attachées 
au fond de l'océan par un câble de 6 km
											et alourdies par des essieux de train,
											qui sont dangereuses à poser
et dont l'entretien coûte cher.
									","
											Os dados sobre o oceano são escassos,
seja qual for a medida.
											Em terra, eu estava habituado
a utilizar muitos sensores
											— milhares de milhões de sensores.
											Mas, no mar, os dados ""in situ""
são escassos e caros.
											Porquê? Porque se baseiam num pequeno
número de barcos e de boias.
											Para minha surpresa,
esse número era pequeno.
											A nossa Administração Nacional
Oceânica e Atmosférica
											mais conhecida por NOAA,
											só tem 16 navios,
											e há menos de 200 boias
no mar alto, a nível mundial.
											É fácil perceber porquê:
											os oceanos são um local desfavorável.
											Para reunir dados ""in situ"",
é preciso um grande navio,
											capaz de transportar
grandes quantidades de combustível
											e uma grande tripulação.
											Custa centenas de milhões
de dólares cada um.
											As grandes boias estão ligadas
ao fundo do mar
											por um cabo de 6,5 km de comprimento
											e presas a um conjunto
de rodas de comboio,
											o que é perigoso de instalar
e dispendioso de manter.
									","
											Her şekilde okyanus verisi az.
											Karada, birçok sensöre 
erişimim olmasına alıştım —
											milyarlarca aslında.
											Ancak denizde anlık veri az ve pahalı.
											Neden? Çünkü az sayıda gemi
ve şamandıraya dayanıyor.
											Bu sayının çok küçük olması 
aslında büyük sürpriz.
											NOAA olarak bilinen
											Ulusal Okyanus ve Atmosfer Dairesi'nin
											sadece 16 gemisi var
											ve küresel olarak denizde 
200 şamandıradan az var.
											Nedenini anlamak kolay:
											Okyanuslar affetmeyen yerler
											ve anlık veriyi toplamak için 
her biri milyonlarca dolar olan,
											büyük miktarlarda yakıt
											ve büyük bir ekip taşıyabilen
											büyük bir gemiye
											veya 6,43 km uzunluğunda kablo ile
okyanus tabanına bağlanan
											ve bir dizi tren tekerleği ile batırılan 
büyük şamandıralara ihtiyaç var
											ki hem yerleştirmesi zor, 
hem de koruması pahalı.
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											What about satellites, you might ask?
											Well, satellites are fantastic,
											and they have taught us
so much about the big picture
											over the past few decades.
											However, the problem with satellites
											is they can only see through one micron
of the surface of the ocean.
											They have relatively poor
spatial and temporal resolution,
											and their signal needs to be corrected
for cloud cover and land effects
											and other factors.
									","
											Et les satellites, alors ?
											Les satellites sont formidables,
											et ils nous ont appris 
beaucoup de choses
											au cours des dernières décennies.
											Mais le problème des satellites,
											c'est qu'ils ne peuvent voir 
qu'un micromètre sous l'océan.
											Ils ont des résolutions
spatiales et temporelles médiocres,
											et leurs signaux doivent être corrigés
pour les nuages, l'influence de la Terre
											et d'autres facteurs.
									","
											Podem perguntar:
E então os satélites?
											Bom, os satélites são fantásticos
											e têm-nos ensinado muito
sobre o quadro geral
											nas últimas décadas.
											Mas o problema com os satélites
											é que só veem um micrómetro
abaixo da superfície do oceano.
											Têm uma resolução relativamente fraca
espacial e temporal
											e o sinal precisa de ser corrigido
											em função das nuvens
e dos efeitos sobre a terra
											e outros fatores.
									","
											Peki ya uydular diye sorabilirsiniz.
											Uydular harika
											ve birkaç on yıldır bize 
büyük resim hakkında
											çok fazla şey öğrettiler.
											Ancak uydularla ilgili sorun
											okyanus yüzeyinin sadece 
bir mikronunu görebilirler.
											Nispeten zayıf uzaysal ve 
dünyasal çözünürlüğe sahip
											ve sinyaller bulut kaplaması, 
kara efekti ve diğer faktörler
											için düzeltilmeli.
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
											So what is going on in the oceans?
											And what are we trying to measure?
											And how could a robot be of any use?
									","
											Donc que se passe-t-il dans les océans ?
											Que veut-on mesurer ?
											Comment un robot pourrait être utile ?
									","
											Então, o que se passa nos oceanos?
											O que é que estamos a tentar medir?
											Como é que um robô pode ser útil?
									","
											Peki okyanuslarda neler oluyor?
											Ne ölçmeye çalışıyoruz?
											Bir robot nasıl yardımcı olabilir?
									",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
"
","
","
","
",How a fleet of wind-powered drones is changing our understanding of the ocean,Sebastien de Halleux,12:41,"drones,oceans,alternative energy,exploration,science,nature,fish,biosphere,environment,TEDx,weather"
