en,tr,es,pt,title,speaker,duration,tags
"
","
","
","
",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
											Paula Stone Williams: So, I was the CEO
of a large, religious nonprofit,
											spoke at some of the largest
churches in America,
											was on television in 70 different markets,
											but more than anything else,
											I just wanted to be a good parent.
											I told all three of my children,
											""When the going gets tough,
											you have to choose the road less traveled,
											the narrow path.""
											I had no idea how difficult
that was going to become.
									","
											Paula Stone Williams: Büyük, kâr amacı
gütmeyen dini bir kuruluşun CEO'suydum,
											Amerika'nın en büyük kiliselerinde
konuşmalar yaptım,
											70'ten faklı piyasada televizyona çıktım
											ama hepsinden daha çok
											iyi bir ebeveyn olmak istiyordum.
											Üç çoçuğuma da şunu derdim,
											""Yolculuk zorlaştığında
											daha az gidilen yolu seçmen gerek,
											dar olan yolu.""
											Bunun ne kadar zor olacağına dair 
hiçbir fikrim yoktu.
									","
											Paula Stone Williams: Yo era la CEO 
de una gran asociación religiosa
											sin ánimo de lucro,
											hablé en algunas de las iglesias
más grandes de EE. UU.,
											salí en televisión
en 70 mercados distintos,
											pero por encima de todo,
											yo quería ser un buen padre.
											Les dije a mis tres hijos:
											""Cuando el viaje se vuelve difícil,
											tienen que elegir la ruta menos explorada,
											el camino estrecho"".
											No tenía ni idea 
de lo difícil que iba a ser.
									","
											Paula Stone Williams: Eu era CEO
de uma grande organização religiosa
											sem fins lucrativos,
											falei nalgumas das maiores
igrejas norte-americanas,
											estive na televisão
em 70 locais diferentes,
											mas, acima de tudo,
											o que eu queria era ser um bom pai.
											Disse aos meus três filhos:
											""Quando as coisas ficam difíceis,
											""vocês têm de escolher
o caminho menos percorrido,
											""o caminho mais estreito"".
											Não fazia ideia de como
isso ia ser difícil.
									",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
","
","
","
",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
											I knew from the time I was three
or four years of age
											that I was transgender.
											I knew if I came out,
I would lose everything.
											But the call toward authenticity is sacred
											and for the greater good,
											and it asks you to trust that the truth
not only sets you free,
											it will set everyone free.
											I decided to stake my life on it.
											So I came out.
											Turns out, if you spend most of your life
											working in the conservative
religious world,
											coming out as transgender
is not all that great for your career.
									","
											Üç veya dört yaşımdan beri
											transseksüel olduğumu biliyordum.
											Cinsel kimliğimi açıklarsam
her şeyi kaybedeceğimi de biliyordum.
											Özgünlüğe giden yol kutsaldır
											ve herkesin iyiliği için
											gerçeğin sadece sizi değil
											herkesi özgür kılacağına
güvenmenizi ister.
											Hayatımı bu amaca adamaya 
karar verdim.
											Bu yüzden açıkladım.
											Görünen o ki hayatınızın çoğunu
											muhafazakâr, dini dünyada
çalışarak geçirirseniz
											transseksüel olarak açılmanız 
kariyeriniz için hiç de iyi değil.
									","
											Supe desde los tres o cuatro años
											que era transgénero.
											Sabía que si lo hacía público,
perdería todo.
											Pero la llamada hacia
la autenticidad es sagrada,
											es por un bien mayor
											y te pide que confíes en que
la verdad no solo te hará libre,
											nos hará libres a todos.
											Decidí invertir mi vida en ello.
											Así que lo dije.
											Resulta que si uno se pasa
gran parte de su vida
											trabajando en el mundo
conservador religioso,
											decir que eres transgénero no
es muy bueno para tu carrera.
									","
											Desde a época em que eu
tinha três ou quatro anos
											eu sabia que era transsexual.
											Eu sabia que, se me assumisse,
ia perder tudo o que tinha.
											Mas o apelo à autenticidade
é sagrado
											e pelo bem maior
											ele pede-nos que confiemos
que a verdade nos liberta,
											e também liberta toda a gente.
											Decidi basear a minha vida
nesse princípio.
											Por isso, assumi-me.
											Acontece que, se passamos
a maior parte da nossa vida
											a trabalhar num mundo religioso
conservador,
											assumirmo-nos como transsexual
não é o melhor para a nossa carreira.
									",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
","
","
","
",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
","
","
","
",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
											Who knew?
									","
											Kim bilebilirdi ki?
									","
											¿Quién lo iba a decir?
									","
											Quem diria?
									",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
","
","
","
",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									",The story of a parent's transition and a son's redemption,Paula Stone Williams and Jonathan Williams,13:12,"Transgender,gender,faith,family,personal growth,religion,parenting,gender equality,Gender spectrum,LGBT,identity,social change"
