es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
											Hoy quiero hablar un poco
											sobre esfuerzo y trabajo.
											Cuando reflexionamos 
sobre el modo en que trabajamos
											la percepción simplista que tenemos
											es que las personas 
son como ratas en un laberinto:
											que no se interesan sino por el dinero
											y tan pronto les ofrecemos dinero
											podemos dirigir su trabajo de un modo,
											podemos dirigir su trabajo de otro modo.
											Por eso bonificamos a los banqueros
y tenemos diversas formas de pago.
											Y de verdad tenemos esta creencia 
increíblemente simplista
											sobre las razones por las cuales se trabaja
y la composición del mercado laboral.
									","
											Hoje quero falar um pouco
											sobre trabalho.
											Quando pensamos sobre como as pessoas trabalham,
											a intuição ingénua que temos
											é de que as pessoas são 
como ratinhos num labirinto –
											que a única coisa que as pessoas querem é dinheiro,
											e que quando damos dinheiro a uma pessoa,
											podemos direcioná-la a trabalhar desta maneira,
											ou a trabalhar daquela maneira.
											É por isso que damos bónus a banqueiros e pagamos de várias maneiras.
											Temos, de facto, uma visão extremamente simplista
											sobre o que leva as pessoas a trabalhar e sobre o que caracteriza o mercado de trabalho.
									","
											Je veux vous parler un peu
											d'effort et de travail.
											Quand on pense à la façon dont on travaille
											l'intuition naive que l'on a
											est qu'on est des rats dans un labyrinthe,
											que seul l'argent importe
											et que dès que l'on offre de l'argent aux gens,
											on peut les faire travailler d'une certaine façon,
											ou d'une autre.
											C'est pour cela que l'on donne des bonus aux banquiers et que l'on paye de toutes parts.
											On a vraiment une vision incroyablement simpliste
											au sujet de pourquoi l'on travaille et à quoi ressemble le marché du travail.
									","
											Heute möchte ich ein wenig
											über Arbeitskraft und Arbeit sprechen.
											Wenn wir darüber nachdenken,
wie Menschen funktionieren,
											sagt uns unser natürliches Feingefühl,
											dass Menschen sich wie Ratten 
in einem Labyrinth verhalten –
											dass sie nur an Geld
interessiert sind.
											Und wenn wir Leuten Geld geben,
											können wir ihre Arbeit in die eine
											oder die andere Richtung steuern.
											Deshalb geben wir Bankern Boni 
und zahlen so viel Geld.
											Unsere Sicht auf den Arbeitsmarkt 
und den Grund,
											aus dem Leute arbeiten,
ist wirklich einfach gestrickt.
									",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
","
","
","
",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
											Al mismo tiempo, 
si lo pensamos detenidamente,
											el mundo que nos rodea 
abunda en comportamientos extraños.
											Pensemos en el montañismo.
											Si leemos libros de personas 
que escalan montañas, montañas difíciles,
											¿Creen que esos libros rebosan
de momentos alegres y felices?
											No, están llenos de sufrimiento.
											En realidad, todos se refieren
a congelación y dificultad para caminar
											y dificultad para respirar...
											frío, circunstancias difíciles.
											Y si la gente solo intentara ser feliz,
											apenas coronaran la cima,
											deberían decir: ""Cometí un tremendo error.
											Nunca lo volveré a hacer"".
											(Risas)
											""Más bien, sentémonos en una playa 
en algún lugar a tomar mojitos"".
											En cambio, la gente desciende
											y después de recuperarse,
vuelve a escalar.
											Pensar en el montañismo como ejemplo,
											sugiere todo tipo de cosas.
											Sugiere que nos interesa
alcanzar el final, una cumbre.
											Sugiere que nos interesa
el combate, el desafío.
											Sugiere que existe
toda suerte de cosas
											que nos motivan a trabajar 
o a comportarnos de modos muy diversos.
									","
											Ao mesmo tempo, se pensarmos bem,
											existem vários tipos de comportamentos estranhos no mundo que nos rodeia.
											Pensem, por exemplo, no montanhismo e no alpinismo.
											Se lerem livros de pessoas que escalam montanhas, montanhas difíceis,
											acham que esses livros estão cheios de momentos de alegria e felicidade?
											Não, estão cheios de sofrimento.
											Na verdade, só falam sobre frieiras e sobre a dificuldade de andar
											e dificuldade em respirar,
											frio, circunstâncias desafiantes.
											Se as pessoas estivessem apenas a tentar ser felizes,
											no momento em que chegassem ao topo,
											diriam: ""Isto foi um erro terrível.
											""Nunca mais voltarei a fazê-lo.""
											(Risos)
											""Em vez disso, vou-me sentar numa praia qualquer a beber mojitos.""
											Mas, pelo contrário, as pessoas descem,
											e após recuperarem, voltam a subir.
											E se tomarmos o montanhismo como exemplo,
											este sugere uma variedade de coisas.
											Sugere que nós gostamos de alcançar uma meta, um cume.
											Sugere que gostamos da luta, do desafio.
											Sugere que há múltiplas outras coisas
											que nos motivam a trabalhar ou a agir de várias maneiras.
									","
											D'un autre coté, si vous réfléchissez,
											il y a toutes sortes de comportements bizarres autour de nous
											Prenez l'alpinisme et l'escalade
											Si vous lisez des livres de personnes qui gravissent de sommets difficiles,
											pensez-vous que ces livres sont remplis de moments de joie et de bonheur ?
											Non, il n'y a que des malheurs.
											ça nous parle de gelures, de la peine à marcher,
											des difficultés à respirer —
											du froid, des défis quotidiens
											Si les gens essayaient juste d'être heureux,
											arrivés au sommet,
											ils diraient: ""C'était un erreur monumentale.
											Je ne le referai jamais""
											(Rires)
											""Laissez-moi plutôt m'allonger sur une plage et boire des mojitos.""
											Mais au lieu de ça, les gens redescendent
											et après avoir récupéré, ils y retournent.
											Si vous prenez l'escalade comme exemple,
											on remarque un tas de choses.
											On remarque que l'on cherche à atteindre le bout, un sommet.
											On remarque qu'on s'intéresse au combat, aux défis.
											On remarque qu'il y a plein d'autres choses
											qui motivent notre façon de travailler et de se comporter.
									","
											Doch wenn Sie darüber nachdenken,
											gibt es in unserer Welt sehr 
merkwürdige Verhaltensweisen.
											Denken Sie an Dinge 
wie Bergsteigen und Klettern.
											Glauben Sie beim Lesen von Büchern 
von Menschen, die schwierige Berge erklommen,
											dass diese Bücher voller Momente 
der Freude und des Glücks sind?
											Nein, sie sind voller Elend.
											Tatsächlich dreht sich alles um Erfrierungen 
und Schwierigkeiten beim Laufen
											und Atembeschwerden –
											Kälte, herausfordernde Bedingungen.
											Und wenn Menschen 
beim Erreichen des Gipfels
											einfach nur glücklich sein wollen,
											würden sie sagen: 
""Das war ein schrecklicher Fehler.
											Ich werde es nie wieder tun.""
											(Lachen)
											""Stattdessen sitze ich lieber irgendwo 
am Strand und trinke Mojitos.""
											Doch stattdessen 
steigen die Menschen herab
											und nachdem sie sich erholt haben,
steigen sie wieder herauf.
											Und wenn Sie das Bergsteigen 
als Beispiel nehmen,
											dann weist dies auf
alle möglichen Dinge hin.
											Es zeigt, dass wir daran interessiert sind, 
ein Ziel zu erreichen, einen Höhepunkt.
											Es zeigt, dass wir kämpfen und uns
Herausforderungen stellen wollen.
											Es weist auch darauf hin, 
dass es alle möglichen Dinge gibt,
											die uns motivieren zu arbeiten
oder irgendwie zu verhalten.
									",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
","
","
","
",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
											En mi caso personal, empecé a
reflexionar sobre esto
											después de la visita de un estudiante.
											Era un estudiante de un curso 
que dicté hace algunos años.
											Y un día regresó al campus.
											Y me contó lo siguiente:
											Me dijo que había trabajado en una
presentación por más de dos semanas.
											Trabajaba para un banco importante.
											Se preparaba la fusión
y adquisición de una empresa.
											Y trabajaba arduamente en la presentación:
											gráficos, tablas, información.
											Trasnochaba todos los días.
											Y un día antes de entregarla,
											le envió la presentación a su jefe,
											quien le respondió:
											""Buena presentación,
pero la fusión se canceló"".
											Y el tipo cayó en
una profunda depresión.
											Ahora bien, en los momentos
en que trabajaba
											en verdad era feliz por completo.
											Todas las noches disfrutaba de su trabajo,
											trasnochaba, perfeccionaba la presentación.
											Pero, saber que nadie la vería
lo hizo sentir totalmente deprimido.
									","
											Pessoalmente, comecei a pensar sobre isto
											após uma visita de um aluno meu.
											Tinha sido meu aluno alguns anos antes.
											E um dia veio à universidade.
											E contou-me a seguinte história:
											Disse que, por mais de duas semanas, tinha estado a trabalhar numa apresentação de PowerPoint.
											Trabalhava num grande banco.
											Estava a preparar-se para uma operação de fusão e aquisição.
											E tinha estado a trabalhar arduamente nesta apresentação –
											gráficos, tabelas, informação.
											Ficava a trabalhar até tarde todos os dias.
											E na véspera do prazo final,
											enviou a sua apresentação de PowerPoint ao seu chefe,
											e o chefe respondeu-lhe, dizendo:
											""Boa apresentação, mas a fusão foi cancelada.""
											E o rapaz ficou profundamente deprimido.
											Ora, enquanto estava a trabalhar,
											ele andava, na verdade, bastante feliz.
											Desfrutava do seu trabalho todas as noites.
											Ficava acordado até tarde a aperfeiçoar a apresentação de PowerPoint.
											Mas saber que nunca ninguém veria o que tinha feito
deixou-o bastante deprimido.
									","
											Pour ma part, j'ai commencé à penser à ça
											après la visite d'un étudiant.
											C'était un de mes élèves que j'avais eu quelques années auparavant.
											Il est revenu un jour sur le campus.
											Et il m'a raconté cette histoire:
											Il m'a dit que depuis plus de deux semaines, il travaillait sur une présentation power point.
											Il travaillait pour une grosse banque.
											C'était pour se préparer à une action de fusion et d'acquisition.
											Il travaillait très dur sur cette présentation,
											graphiques, tableaux, données.
											Il travaillait jusqu'à tard la nuit au bureau, tous les jours.
											Et le jour avant la présentation,
											il a envoyé son power point à son patron,
											et son patron lui a répondu pour lui dire:
											""Bonne présentation, mais la fusion est annulée"".
											Le gars en a été profondément affecté.
											Pendant qu'il était en train de travailler,
											il était relativement content.
											Chaque nuit il prenait plaisir à travailler,
											il restait tard au bureau à perfectionner sa présentation.
											Mais savoir que personne ne la verrait jamais l'a déprimé.
									","
											Ich persönlich fing an 
darüber nachzudenken,
											nachdem ein Student zu Besuch kam.
											Das war ein Student,
den ich Jahre zuvor unterrichtet hatte.
											Und eines Tages kam er zurück auf den Campus.
											Und er erzählte mir folgende Geschichte:
											Er sagte, dass er schon mehr als zwei Wochen
an einer PowerPoint-Präsentation arbeitete.
											Er arbeitete in einer großen Bank.
											Es war eine Vorbereitung für 
eine Fusion und Akquisition.
											Und er arbeitete sehr hart 
an dieser Präsentation –
											Diagramme, Tabellen, Informationen.
											Jeden Tag blieb er bis spät in die Nacht.
											Und am Tag vor der Abgabe
											schickte er die Präsentation
zu seinem Chef.
											Und sein Chef schrieb ihm zurück und sagte:
											""Nette Präsentation,
aber die Fusion ist geplatzt.""
											Und der Typ war zutiefst deprimiert.
											Also, in dem Moment, als er arbeitete,
											war er eigentlich ganz glücklich.
											Jede Nacht gefiel ihm seine Arbeit.
											Er blieb bis spät in die Nacht. 
Er perfektionierte die Präsentation.
											Aber das Wissen, dass niemand sie je sehen würde, 
deprimierte ihn schon ziemlich.
									",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
","
","
","
",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
											Así que empecé a pensar
en cuál es la experiencia
											que tenemos con la idea
del fruto de nuestro esfuerzo.
											Y para empezar, creamos
un pequeño experimento
											en el que dábamos Legos a las personas, 
y les pedíamos que los ensamblaran.
											Y a algunas personas, 
les dimos Legos y les dijimos:
											""¿Les gustaría armar
este Bionicle por USD 3?
											Les pagaremos USD 3 por armarlo"".
											Y la gente decía que sí,
y armaba los Legos.
											Y cuando terminaban, los recibíamos
y los colocábamos bajo la mesa,
											y decíamos: ""¿Armarían otro,
esta vez por USD 2,70?""
											Si decían que sí, les dábamos otro.
											Y cuando terminaban, les preguntábamos,
											""¿Quieren armar otro?"" por USD 2,40, USD 2,10 
y así sucesivamente,
											hasta que en algún momento decían:
""No más, ya no me interesa"".
											Esto es lo que denominamos
la situación significativa.
											La gente construía un Bionicle tras otro.
											Después que terminaban uno, 
lo colocábamos debajo de la mesa.
											Y les decíamos que
al terminar el experimento
											íbamos a recogerlos y a desarmarlos,
											los devolveríamos a las cajas
y el siguiente participante los usaba.
									","
											Então, comecei a pensar sobre 
possíveis formas de experimentar
											com esta ideia dos frutos do nosso trabalho.
											E para começar, criámos uma pequena experiência
											em que dávamos Legos às pessoas e lhes pedíamos para construir coisas.
											A algumas pessoas, dávamos Legos e dizíamos:
											""Ei, gostaria de montar este Bionicle por três dólares?
											Pagamos-lhe três dólares para fazê-lo.""
											E as pessoas aceitavam e construíam com esses Legos.
											E quando terminavam, nós pegávamos na peça e colocávamo-la debaixo da mesa,
											e dizíamos: ""Gostaria de montar mais um, desta vez por $2,70?""
											Se dissessem que sim, nós dávamos-lhes mais um.
											E quando terminavam, perguntávamos:
											""Quer montar mais um?"" por $2,40, $2,10 e assim por diante,
											até que chegou a um ponto em que as pessoas disseram: ""Mais não. Não me compensa.""
											A isto designámos de condição significativa.
											As pessoas montavam Bionicles, um após o outro.
											Após terminarem cada um deles, nós colocávamo-los debaixo da mesa.
											E dizíamos-lhes que no final da experiência,
											vamos pegar em todos estes Bionicles e vamos desmontá-los,
											vamos colocá-los outra vez nas caixas e vamos usá-los com o próximo participante.
									","
											J'ai donc commencé a réfléchir sur comment en apprendre plus
											sur cette idée de ""fruits de notre labeur"".
											A commencer par cette petite expérience
											au cours de laquelle on donne au gens des Legos, et on leur demande d'effectuer une construction.
											A certaines personnes, on donne des Legos et précise:
											""ça vous dirait de construire ce Bionicle pour 3 dollars ?""
											""On vous on vous en donne 3 pour la peine""
											Les gens ont dit oui et se sont exécutés.
											Quand il eurent fini, on les leur a pris, mis en dessous de la table,
											et on leur a dit: ""ça vous dirait d'en faire un autre, 2,70$ cette fois-ci ?
											Ils ont dit oui, on leur en a fourni un deuxième.
											Lorsqu'ils eurent fini, on leur a demandé
											""Voulez-vous en construire un autre pour 2,40$ , 2,10$, et ainsi de suite
											Jusqu'à ce que les gens disent: ""Stop, ça ne vaut plus le coup.""
											C'est ce que l'on a appelé la condition d'épanouissement.
											Les cobayes ont construit Bionicle après Bionicle.
											Après qu'ils aient finit, on les a placé sous la table.
											Et on les a informé qu'à la fin de l'expérience,
											on prendrait tous ces Bionicles, on les désassemblerait,
											on les remettrait dans leur boites, et on les utiliserait pour le prochain participant.
									","
											Also fing ich an nachzudenken,
wie wir experimentieren könnten
											mit dieser Idee von den Früchten unserer Arbeit.
											Zuerst haben wir ein kleines Experiment entwickelt,
											in dem wir Menschen Legosteine gaben
und sie baten, damit etwas zu bauen.
											Einigen Leuten gaben wir Legos und sagten:
											""Hey, möchten Sie für drei Dollar
ein Bionicle bauen?
											Wir werden Ihnen drei Dollar dafür zahlen.""
											Und Menschen sagten ja und
sie bauten mit diesen Legos.
											Und als sie fertig waren, haben wir 
es genommen und unter den Tisch gelegt.
											Und wir sagten: ""Möchten Sie nun noch
ein weiteres bauen, diesmal für $2,70?""
											Wenn sie ja sagten, 
gaben wir ihnen ein weiteres.
											Danach fragten wir sie:
											""Möchten Sie noch eins bauen?"",
für $2,40, $2,10 und so weiter,
											bis irgendwann Leute sagten:
""Nicht weiter. Es lohnt sich nicht für mich.""
											Dies nannten wir den sinnvollen Zustand.
											Die Leute bauten ein Bionicle
nach dem anderen.
											Immer wenn sie eins fertig hatten,
verstauten wir es unter dem Tisch.
											Und wir erzählten ihnen, 
dass wir am Ende des Experimentes
											alle Bionicles nehmen und zerlegen werden.
											Wir werden sie zurück in die Verpackung legen 
und für den nächsten Teilnehmer nutzen.
									",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
","
","
","
",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
"
											Había otra condición.
											Para esta otra situación
me inspiré en David, mi estudiante.
											Y esta otra situación se denominó
la situación de Sísifo.
											Y si recuerdan la historia de Sísifo,
											Sísifo fue condenado por los dioses a empujar
siempre la misma piedra cuesta arriba por una colina
											y cuando estaba a punto de llegar a la cima,
											la roca se resbalaba y tenía
que comenzar de nuevo.
											Y podemos pensar que esta es la esencia
de la realización de trabajos inútiles.
											Podemos imaginar que si empujara
la roca en diferentes colinas
											por lo menos tendría
alguna sensación de progreso.
											Así mismo, si miramos
películas sobre prisiones,
											algunas veces un modo en que
los guardias torturan a los prisioneros
											es hacerles cavar un hoyo
											y cuando terminan, pedirles que
lo tapen y lo vuelvan a cavar.
											Algo ocurre con esta versión cíclica
											de realizar algo una
y otra vez y otra vez
											que parece especialmente desmotivante.
											Eso fue exactamente lo que hicimos
con la segunda situación del experimento.
											Le preguntamos a la gente:
""¿Quieren armar un Bionicle por USD 3?
											Si contestaban afirmativamente, lo armaban.
											Después les preguntábamos:
""¿Quieren armar otro por USD 2,70?""
											Si contestaban afirmativamente, 
les dábamos uno nuevo.
											y mientras lo armaban
											desarmábamos el que recién
habían terminado.
											Y cuando terminaban el nuevo,
											les decíamos: ""¿Armarían otro, 
esta vez por 30 centavos menos?""
											Y si aceptaban, le dábamos el que ellos
habían armado y nosotros desarmamos.
											Así que este era un círculo sin fin
											en el que ellos armaban y nosotros
desarmábamos frente a sus narices.
									","
											Havia uma outra condição.
											Esta outra condição foi inspirada 
no David, o meu aluno.
											E a esta outra condição demos o nome de condição sisífica.
											E se se lembram da história de Sísifo,
											Sísifo foi condenado pelos deuses a empurrar a mesma pedra até ao cimo de uma montanha,
											e sempre que estava quase a chegar ao final,
											a pedra resvalava e ele era obrigado a começar de novo.
											Podemos pensar nisto como sendo a essência de um trabalho fútil.
											Podem imaginar que, se ele empurrasse a pedra em diferentes montanhas,
											pelo menos, teria algum sentido de progresso.
											Além disso, se olharmos para os filmes sobre prisões,
											às vezes, os guardas torturam os prisioneiros
											pondo-os a escavar um buraco.
											Quando o prisioneiro termina, pedem-lhe para tapar o buraco e, em seguida, voltar a escavar.
											Há algo nesta versão cíclica
											de fazer uma coisa de forma repetida
											que parece ser particularmente desmotivante.
											Na segunda condição desta experiência, foi precisamente isso que fizemos.
											Perguntámos às pessoas: ""Gostaria de montar um Bionicle por três dólares?""
											Se dissessem que sim, montavam-no.
											Em seguida, perguntámos-lhes: ""Quer montar mais um por $2,70?""
											E se dissessem que sim, nós dávamos-lhes mais um.
											À medida que o iam montando,
											nós íamos desmontando o que tinham acabado de montar.
											E quando terminavam,
											nós dizíamos: ""Gostaria de montar mais um, 
desta vez por menos 30 cêntimos?""
											Se dissessem que sim, nós dávamos-lhes o que eles montaram e que nós desmontámos.
											Era um ciclo infinito,
											em que eles construíam e nós destruíamos diante dos seus olhos.
									","
											Il y avait un autre cas.
											Cet autre cas m'a été inspirée par David, mon élève.
											On a appelé ce cas, le cas Sisyphique.
											Si vous vous rappelez de l'histoire de Sisyphe,
											Sysiphe a été puni par les dieux à pousser un rocher au sommet d'une colline,
											et quand il arrivait presque au sommet,
											le rocher roulait sur l'autre versant et il devait recommencer à nouveau.
											On peut considérer cela comme l'essence même du travail futile.
											On peut imaginer que s'il poussait le rocher sur différentes collines,
											au moins, il aurait un certain sens du progrès.
											Si on s'intéresse à des films sur les prisons,
											les gardiens torturent parfois les prisonniers
											en les faisant creuser un trou
											et une fois que le prisonnier a fini, ils lui demandent de le reboucher, puis de recreuser.
											Il y a quelque chose dans cette version cyclique
											de répéter une chose encore et encore
											qui semble être particulièrement décourageante.
											Donc, dans le second cas de cette expérience, c'est précisément ce que l'on a fait.
											On a demandé: ""Ça vous dirait de construire un Bionicle pour 3 dollars ? "".
											Si ils disaient oui, ils le construisaient.
											On leur demandait ensuite, ""Voulez-vous en construire un autre pour 2,70$ ?"".
											Et, s'ils disaient oui, on leur en procurait un autre.
											Et pendant qu'il l'assemblait,
											on démontait celui qu'ils venaient de finir.
											Et une fois terminé,
											on leur demandait, ""Ça vous dirait d'en faire un autre, pour trente cents de moins ?"".
											Et s'ils disaient oui, on leur donnait celui qu'ils avaient construit et qu'on avait démonté.
											C'était donc un cycle sans fin,
											eux construisant et nous détruisant, juste sous leur yeux.
									","
											Da war noch eine weitere Bedingung.
											Diese andere Bedingung wurde
von meinem Studenten David angeregt.
											Und diese andere Bedingung 
nannten wir Sisyphos-Bedingung.
											Und wenn Sie sich an 
die Geschichte von Sisyphos erinnern,
											er wurde von den Göttern damit bestraft, 
den selben Felsen einen Hügel emporzurollen.
											Und als er fast am Ende war,
											rollte der Felsen wieder runter 
und er musste erneut anfangen.
											Und Sie können dies als Essenz
nutzloser Arbeit betrachten.
											Sie können sich vorstellen, wenn er wenigstens 
den Felsen auf verschiedene Hügel geschoben hätte,
											dann hätte er wenigstens irgendein 
Gefühl des Fortschritts gehabt.
											Oder wenn Sie sich Gefängnis-Filme ansehen:
											Manchmal ist die Art und Weise, 
wie die Wachen die Gefangenen quälen,
											die, sie ein Loch graben zu lassen.
											Und wenn der Gefangene fertig ist, muss er 
das Loch wieder zuschütten und erneut ausgraben.
											Diese zyklische Version, etwas immer und immer
											wieder zu tun, hat etwas Besonderes an sich,
											das besonders demotivierend scheint.
											In der zweiten Ausführung des Experimentes
war das genau das, was wir getan haben.
											Wir fragten Leute: ""Möchten Sie für 
drei Dollar ein Bionicle bauen?""
											Und wenn sie ja sagten, 
dann bauten sie eins.
											Dann fragten wir: ""Möchten Sie
für $2,70 noch eins bauen?""
											Und wenn sie ja sagten, 
haben wir Ihnen ein neues gegeben.
											Und während sie dieses aufbauten,
											haben wir das andere, was sie gerade 
gebaut hatten, wieder auseinander genommen.
											Und als sie das fertig hatten,
											sagten wir: ""Möchten Sie noch eins bauen, 
diesmal für 30 Cent weniger?""
											Und wenn sie ja sagten, gaben wir ihnen 
dasjenige, was sie gebaut und wir zerlegt hatten.
											Das war also ein endloser Zyklus davon,
											dass sie bauen und 
wir vor ihren Augen zerstören.
									",What makes us feel good about our work?,Dan Ariely,20:26,"TEDx,behavioral economics,business,leadership,motivation,productivity,work"
