en,fr,es,tr,title,speaker,duration,tags
"
","
","
","
",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
											When I was about eight years old,
											I first heard about something
called climate change or global warming.
											Apparently, that was something
humans had created by our way of living.
											I was told to turn off
the lights to save energy
											and to recycle paper to save resources.
											I remember thinking
that it was very strange
											that humans, who are
an animal species among others,
											could be capable of changing
the Earth's climate.
											Because if we were,
and if it was really happening,
											we wouldn't be talking
about anything else.
											As soon as you'd turn on the TV,
everything would be about that.
											Headlines, radio, newspapers,
											you would never read or hear
about anything else,
											as if there was a world war going on.
											But no one ever talked about it.
											If burning fossil fuels was so bad
that it threatened our very existence,
											how could we just continue like before?
											Why were there no restrictions?
											Why wasn't it made illegal?
									","
											A l'âge de 8 ans environ,
											j'ai entendu parler pour la première fois
											de changement climatique
ou réchauffement climatique.
											Apparemment, c'était quelque chose 

											que les humains avaient créé
de par leur manière de vivre.
											On me disait d'éteindre les lumières
pour économiser l'énergie,
											et de recycler le papier
pour économiser les ressources.
											Je me rappelle avoir pensé
que c'était vraiment étrange
											que les humains, qui sont
une espèce animale parmi d'autres,
											soient capables de changer
le climat de la Terre.
											Car si nous le pouvions, et si cela
était réellement en train de se passer,
											nous ne parlerions que de cela.
											Dès qu'on aurait allumé la TV, 
tout aurait été consacré à ce sujet.
											Gros titres, radio, journaux,
											vous n'auriez jamais pu lire ou entendre 
quoi que ce soit d'autre,
											comme si une guerre mondiale faisait rage.
											Mais personne n'en parlait jamais.
											Si brûler des combustibles fossiles
											était mauvais au point 
de menacer notre existence,
											comment pouvions-nous 
continuer à le faire ?
											Pourquoi n'y avait-il aucune restriction ?
											Pourquoi n'était-ce pas déclaré illégal ?
									","
											Cuando tenía ocho años,
											escuché de algo llamado 
calentamiento global o cambio climático,
											creado por los humanos
con nuestro estilo de vida.
											Me dijeron que apagara las luces
para ahorrar energía
											y reciclara papel para ahorrar recursos.
											Recuerdo extrañarme de que
											los humanos, aún siendo 
solo una especie animal,
											fuéramos capaces de cambiar
el clima de la Tierra.
											Porque, de ser así,
											no se hablaría de nada más.
											Al encender la tele,
sería el centro de atención.
											En periódicos, radios y noticieros
											no se leería ni se escucharía 
sobre otro tema,
											como al estar en medio de una guerra.
											Pero nadie hablaba de eso.
											Si los combustibles fósiles
eran una amenaza,
											¿por qué seguíamos como si nada?
											¿Por qué no había restricciones?
											¿Por qué no eran ilegales?
									","
											İklim değişikliği ve küresel 
ısınma terimleriyle ilk tanışmam
											8 yaşımdayken oldu.
											Belli ki bunlar insanların yaşam
biçimleri ile ortaya çıkan şeylerdi.
											Bana hep tasarruf yapmak için
ışıkları kapatmam
											ve kaynakları korumak için kağıtları 
geri dönüşüme yollamam söyleniyordu.
											Aslında diğerleri gibi 
bir hayvan türü olan insanların,
											dünyanın iklimini değiştirebilecek
kadar güçlü olmalarının
											çok garip olduğunu 
düşündüğümü hatırlıyorum.
											Çünkü eğer bu kapasitedeysek 
ve bu durum gerçekten yaşanıyorsa
											bundan başka bir şey konuşmuyor olurduk.
											Televizyonu açar açmaz
herkes bunu konuşuyor olurdu.
											Manşetlerde, radyolarda, gazetelerde,
											sanki bir dünya savaşı yaşanıyormuşcasına
											bu konudan başka bir şey görmezdik.
											Fakat kimse bunun hakkında konuşmadı.
											Fosil yakıtları yakmak eğer çok kötüyse 
ve bizim varoluşumuzu tehdit ediyorsa
											nasıl eskisi gibi davranabilirdik?
											Niye buna hiçbir sınırlama getirilmedi?
											Niye bu yasa dışı hâle getirilmedi?
									",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
","
","
","
",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
											To me, that did not add up.
											It was too unreal.
											So when I was 11, I became ill.
											I fell into depression,
											I stopped talking,
											and I stopped eating.
											In two months, I lost
about 10 kilos of weight.
											Later on, I was diagnosed
with Asperger syndrome,
											OCD and selective mutism.
											That basically means I only speak
when I think it's necessary -
											now is one of those moments.
									","
											Pour moi, cela n'avait aucun sens.
											C'était trop irréel.
											De sorte qu'à 11 ans, 
je suis tombée malade.
											Je suis tombée en dépression,
											j'ai arrêté de parler,
											et j'ai arrêté de manger.
											En deux mois, j'ai perdu environ 10 kilos.
											Par la suite, j'ai reçu le diagnostic
de syndrome d'Asperger,
											TOC et mutisme sélectif.
											Cela signifie que je ne parle que
lorsque je pense que c'est nécessaire -
											comme c'est le cas maintenant.
									","
											Para mí, no tenía sentido.
											Era demasiado irreal.
											Así que a los 11 años, enfermé.
											Caí en depresión.
											Dejé de hablar
											y de comer.
											En dos meses, perdí 10 kilos.
											Me diagnosticaron Asperger,
											TOC y mutismo selectivo,
											o sea que solo hablo cuando es necesario,
											como en este momento.
									","
											Benim aklıma yatmamıştı.
											Gerçek olamazdı.
											On bir yaşımdayken hastalandım.
											Depresyona girdim,
											konuşmamaya başladım
											ve yemeyi kestim.
											2 ayda yaklaşık 10 kg verdim.
											Daha sonra bana Asperger Sendromu, OKB
											ve seçici konuşmamazlık tanısı konuldu.
											Bunun anlamı sadece gerekli olduğunu 
düşündüğüm zamanlarda konuşuyordum.
											Ve bu tam da o zamanlardan biri.
									",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
","
","
","
",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Alkış)
									",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
","
","
","
",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
											For those of us who are on the spectrum,
											almost everything is black or white.
											We aren't very good at lying,
											and we usually don't enjoy
participating in this social game
											that the rest of you seem so fond of.
									","
											Pour ceux d'entre nous qui en sont,
											quasiment tout est blanc ou noir.
											Nous ne sommes pas très doués pour mentir,
											et en général, nous n'aimons pas 
prendre part à ce jeu social
											que le reste d'entre vous 
semblent tant apprécier.
									","
											Para aquellos en el espectro,
											casi todo es blanco o negro.
											No mentimos bien
											y no disfrutamos este juego social
											que el resto ama tanto.
									","
											Bizim gibi spektrumda olanlar için
											neredeyse her şey ya siyah ya da beyazdır.
											Yalan söylemekte iyi değilizdir
											ve genellikle hepinizin bayıldığı
bu tarz bir sosyal oyunda
											olmaktan hoşlanmayız.
									",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
","
","
","
",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkaha)
									",The disarming case to act right now on climate change,Greta Thunberg,11:12,"climate change,environment,sustainability,politics,education,society,social change,pollution,Anthropocene"
