pt,en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
											Há coisas que dizemos
											quando nos deparamos
com o olhar de um estranho
											ou de um vizinho que passa.
											Nós dizemos: ""Olá, tudo bem?
											""Está um dia lindo.
											""Como se sente?""
											Isso soa meio sem sentido, não é?
E, algumas vezes, é.
											Não tem significado semântico.
											Não interessa como estamos
ou como está o dia.
											Isso é outra coisa.
											Tem um significado social.
											O que realmente queremos dizer é:
											""Eu sei que você está aí"".
									","
											There are things we say
											when we catch the eye of a stranger
											or a neighbor walking by.
											We say, ""Hello, how are you?
											It's a beautiful day.
											How do you feel?""
											These sound kind of meaningless, right?
And, in some ways, they are.
											They have no semantic meaning.
											It doesn't matter how you are
or what the day is like.
											They have something else.
											They have social meaning.
											What we mean when we say those things is:
											I see you there.
									","
											Hay cosas que decimos
											cuando vemos a un extraño
											o al vecino que pasa.
											Decimos: ""Hola, ¿cómo está?
											Es un bello día.
											¿Cómo se siente?""
											Suenan sin sentido, ¿no?
Y en cierta manera lo son.
											No tienen un sentido semántico.
											No importa cómo está o qué tal es el día.
											Tienen algo más.
											Tienen sentido social.
											Lo que queremos decir es:
											Yo lo veo.
									","
											Bir yabancıyla veya

											yanımızdan geçen bir komşumuzla
göz göze geldiğimizde,
											söylediğimiz şeyler vardır:
											''Merhaba, Nasılsınız?
											Güzel bir gün.
											Nasıl hissediyorsunuz?''
											Bunlar kulağa oldukça anlamsız geliyor, 
değil mi? Ve bazı açılardan, öyleler de.
											Bunların anlamsal hiçbir değeri yok.
											Önemli olan nasıl olduğunuz veya havanın 
nasıl olduğu değil.
											Başka bir şeyleri var.
											Bunların sosyal anlamı var.
											Bunları söylediğimizde:
											Seni tanıyorum.
									","
											Nous disons certaines choses
											quand nous croisons le regard d'un inconnu
											ou d'un voisin qui passe devant nous.
											Nous disons :
« Bonjour, comment allez-vous ?
											C'est une belle journée.
											Comment ça va ? »
											Cela semble insignifiant, n'est-ce pas ?
Et ça l'est en partie.
											Cela n'a pas de sens sémantique.
											Peu importe comment vous allez
ou quelle est la météo.
											Mais il y a autre chose.
											Cela a un sens social.
											En disant ces choses, nous disons :
											« Je vous vois. »
									","
											Wir sagen Dinge,
											wenn wir den Blick eines Fremden
											oder eines vorübergehenden
Nachbarn erhaschen.
											Wir sagen: ""Hallo, wie gehts?
											Es ist ein schöner Tag.
											Wie gehts Ihnen?""
											Das klingt ziemlich bedeutungslos.
Und irgendwie ist es das auch.
											Es hat keine semantische Bedeutung.
											Es ist egal, wie es einem geht
oder wie der Tag ist.
											Es hat etwas anderes.
											Es hat eine soziale Bedeutung.
											Was wir meinen, wenn wir
solche Dinge sagen, ist:
											Ich sehe dich dort.
									",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
","
","
","
","
","
",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
											Sou obcecada por falar com estranhos.
											Faço contato visual, digo olá,
											ofereço ajuda, ouço.
											Ouço todo o tipo de histórias.
									","
											I'm obsessed with talking to strangers.
											I make eye contact, say hello,
											I offer help, I listen.
											I get all kinds of stories.
											About seven years ago, I started
documenting my experiences
											to try to figure out why.
											What I found was that something
really beautiful was going on.
											This is almost poetic.
											These were really profound experiences.
											They were unexpected pleasures.
											They were genuine emotional connections.
											They were liberating moments.
									","
											Me obsesiona hablar con extraños.
											Los veo, digo hola,
											ofrezco ayuda, escucho.
											Tengo toda clase de historias.
											Hace siete años, comencé 
a documentar mis experiencias
											para descubrir por qué.
											Descubrí que estaba pasando
algo realmente bello.
											Es casi poético.
											Eran realmente experiencias profundas.
											Eran placeres inesperados.
											Eran auténticas conexiones emocionales.
											Eran momentos liberadores.
									","
											Yabancılarla konuşmaktan zevk alıyorum.
											Göz teması kurarım, merhaba derim,
											yardım teklif ederim, dinlerim.
											Her türlü hikâyeyi duyarım.
											Yaklaşık 7 yıl önce tecrübelerimi,
nedenini anlamak için
											belgelemeye başladım.
											Bulduğum şey güzel bir şeyin
devam ettiğiydi.
											Bu neredeyse şiirsel.
											Bunlar gerçekten önemli deneyimlerdi.
											Beklenmedik zevklerdi.
											Gerçek duygusal bağlardı.
											Özgürleştirici anlardı.
									","
											Mon obsession est de parler
à des inconnus.
											Je croise leur regard, je dis bonjour,
											j'offre mon aide, j'écoute.
											J'entends toutes sortes d'histoires.
											Il y a sept ans, j'ai commencé
à documenter mes expériences
											pour essayer de comprendre pourquoi.
											J'ai découvert que quelque chose
de magnifique avait lieu.
											C'est presque poétique.
											C'étaient des expériences très profondes.
											C'étaient des plaisirs inattendus.
											C'étaient de vrais liens émotionnels.
											C'étaient des moments libérateurs.
									","
											Ich bin davon besessen,
mit Fremden zu sprechen.
											Ich nehme Blickkontakt auf, sage hallo,
											ich biete Hilfe an, höre zu.
											Ich höre alle möglichen Geschichten.
											Vor etwa 7 Jahren begann ich,
meine Erlebnisse festzuhalten,
											um herauszufinden, warum.
											Ich merkte, dass etwas Wunderbares ablief.
											Das ist beinahe poetisch.
											Das sind wirklich
tiefgreifende Erfahrungen.
											Unerwartete Vergnügen.
											Echte emotionale Verbindungen.
											Befreiende Momente.
									",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
","
","
","
","
","
",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
											Há uns sete anos comecei a
documentar minhas experiências
											para descobrir o porquê.
											Descobri que algo
realmente belo acontecia.
											Quase poético.
											Eram experiências profundas.
											Prazeres inesperados
											Conexões emocionais genuínas.
											Momentos de libertação.
									","
											So one day, I was standing on a corner
waiting for the light to change,
											which, I'm a New Yorker,
											so that means I was actually standing
in the street on the storm drain,
											as if that could get me across faster.
											And there's an old man
standing next to me.
											So he's wearing, like, a long overcoat
and sort of an old-man hat,
											and he looked like somebody from a movie.
											And he says to me,
											""Don't stand there. You might disappear.""
											So this is absurd, right?
											But I did what he said.
I stepped back onto the sidewalk.
											And he smiled, and he said,
											""Good. You never know.
											I might have turned around,
											and zoop, you're gone.""
									","
											Un día estaba esperando en la esquina
a que la señal cambiara,
											soy de Nueva York,
											es decir que estaba en la calle
en la rejilla de drenaje,
											como si esto me hiciera cruzar más rápido.
											Y hay un hombre viejo a mi lado.
											Viste un abrigo largo
y un sombrero de viejo,
											y parecía un personaje de película.
											Me dice:
											""No se pare ahí, puede desaparecer"".
											Es absurdo, ¿no?
											Pero hice lo que dijo.
Me paré en el andén.
											Sonrió y dijo:
											""Bien. Nunca se sabe.
											Pude haber volteado,
											y zap, Ud. no está"".
									","
											Bu yüzden bir gün, köşede trafik
ışığının değişmesini bekliyordum,
											New Yorklu olduğum için
											aslında bu yolda rögarın üstünde
durduğum anlamına geliyor,
											sanki beni daha çabuk karşıya
geçirecekmiş gibi.
											Yanımda yaşlı bir adam vardı.
											Uzun bir palto giyiyordu ve bir tür 
yaşlı adam şapkası vardı
											ve bir filmden çıkmış biri gibiydi.
											Bana,
											''Orada durma. Kaybolabilirsin.'' dedi.
											Yani bu saçma, değil mi?
											Ama dediğini yaptım ve kaldırıma çıktım.
											Bana güldü ve dedi ki:
											'' Güzel. Asla bilemezsin.
											Arkamı döndüğümde,
											hoop, kaybolmuşsun.''
									","
											Un jour, attendant à un carrefour
que le feu passe vert,
											je suis new-yorkaise,
											j'attendais donc au milieu de la rue,
sur la bouche d'égout,
											comme si cela me ferait
traverser plus vite.
											Il y avait un vieil homme à côté de moi.
											Il portait un long manteau
et un chapeau de vieil homme,
											il semblait tout droit sorti d'un film.
											Il m'a dit :
											« Ne restez pas là.
Vous pourriez disparaître. »
											C'est absurde.
											Mais j'ai fait ce qu'il a dit
et suis retournée sur le trottoir.
											Il a souri et a dit :
											« Bien. On ne sait jamais.
											J'aurais pu me retourner
											et, pouf, vous auriez disparu. »
									","
											Ich stand einmal an einer Ecke
an der Ampel und wartete auf Grün.
											Für mich als New Yorkerin bedeutet das,
ich stand auf der Straße auf einem Gully,
											als würde ich dadurch
schneller rüberkommen.
											Ein alter Mann stand neben mir.
											Er trug einen langen Mantel
und eine Art Rentnerhut.
											und er sah wie jemand aus einem Film aus.
											Und er sagte zu mir:
											""Stehen Sie nicht dort.
Sie könnten verschwinden.""
											Das ist absurd, oder?
											Aber ich tat, was er sagte.
Ich trat auf den Bürgersteig zurück.
											Er lächelte und sagte:
											""Gut. Man weiß nie.
											Ich hätte mich umdrehen können
											und schwups, wären Sie weg gewesen.""
									",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
","
","
","
","
","
",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
											Certo dia eu estava parada na esquina
à espera do sinal de peões.
											Como sou nova-iorquina,
											isso significa que eu estava
na rua, em cima de uma sarjeta,
											como se isso me fizesse atravessar 
mais depressa.
											Estava um senhor ao meu lado.
											Tinha um sobretudo
e um chapéu de velho.
											Olhou para mim como num filme
											e disse-me:
											""Não fique aí. Pode desaparecer.""
											Que absurdo, não é?
											Mas fiz o que ele disse.
Voltei para o passeio.
											Ele sorriu e disse:
											""Que bom. Nunca se sabe.
											""Eu podia virar-me
											""e zap, você desaparecia.""
									","
											This was weird,
											and also really wonderful.
											He was so warm, and he was
so happy that he'd saved me.
											We had this little bond.
											For a minute, I felt like
my existence as a person
											had been noticed,
											and I was worth saving.
											The really sad thing is,
											in many parts of the world,
											we're raised to believe
that strangers are dangerous by default,
											that we can't trust them,
that they might hurt us.
											But most strangers aren't dangerous.
											We're uneasy around them
because we have no context.
											We don't know what their intentions are.
											So instead of using our perceptions
and making choices,
											we rely on this category of ""stranger.""
									","
											Fue extraño,
											y también maravilloso.
											Estaba contento y muy feliz
de haberme salvado.
											Tuvimos ese pequeño vínculo.
											Por un minuto, sentí que
mi existencia como persona
											había sido notada,
											y merecía ser salvada.
											Lo triste es
											que en muchas partes del mundo,
											nos crían para creer que los extraños
son peligrosos por defecto,
											que no podemos confiar en ellos,
que nos pueden herir.
											Pero la mayoría de los extraños
no son peligrosos.
											Nos sentimos incómodos cerca de ellos
porque no tenemos contexto.
											No conocemos sus intenciones.
											En vez de usar nuestras percepciones
para tomar decisiones,
											nos apoyamos en la categoría de ""extraño"".
									","
											Bu garipti,
											ayrıca gerçekten harikaydı.
											Çok sıcakkanlıydı ve beni
kurtardığı için çok mutluydu.
											Bu küçük bağı oluşturduk.
											Bir dakika boyunca, insan
olarak varoluşumun
											fark edildiğini
											ve kurtarılmaya değer olduğumu hissettim.
											Asıl üzücü olan şey,
											dünyanın çoğu bölgesinde
											yabancıların hükmen tehlikeli olduğuna,
											onlara güvenemeyeceğimize, bize zarar
vereceklerine inanarak büyütüldük.
											Ama çoğu yabancı zararsız.
											Onların yanında huzursuzuz, çünkü
onlar hakkında bir bilgimiz yok.
											Niyetlerini bilmiyoruz.
											Kendi algılarımızı kullanmak ve kendimiz
karar vermek yerine
											''yabancı'' kategorisine inanıyoruz.
									","
											C'était étrange
											et également merveilleux.
											Il était si chaleureux
et si heureux de m'avoir sauvée.
											Nous avions ce petit lien.
											Pendant une minute, j'avais l'impression
que mon existence en tant que personne
											avait été remarquée
											et que je méritais d'être sauvée.
											Ce qui est vraiment triste est que,
											dans une grande partie du monde,
											on nous apprend à croire que,
par défaut, les inconnus sont dangereux,
											qu'ils sont indignes de confiance
et pourraient nous faire du mal.
											Mais la plupart des inconnus
ne sont pas dangereux.
											Nous sommes mal à l'aise
car nous ne les connaissons pas.
											Nous ne connaissons pas leurs intentions.
											Au lieu d'utiliser nos perceptions
et de faire des choix,
											nous nous reposons
sur la catégorie « inconnu ».
									","
											Das war schräg,
											aber auch wunderschön.
											Er war so warmherzig und so froh,
mich gerettet zu haben.
											Wir hatten eine kurze Verbindung.
											Eine Minute lang hatte ich das Gefühl,
											als Persönlichkeit wahrgenommen zu werden
											und es wert zu sein, gerettet zu werden.
											Das Traurige ist,
											dass wir in vielen Teilen der Welt
											dazu erzogen werden, zu glauben,
Fremde seien automatisch gefährlich,
											wir könnten ihnen nicht vertrauen,
sie könnten uns verletzen.
											Aber die meisten Fremden
sind nicht gefährlich.
											Wir fühlen uns in ihrer Nähe unwohl,
weil wir keinen Kontext haben.
											Wir kennen ihre Absichten nicht.
											Anstatt aber unsere Wahrnehmungen
zu nutzen und Entscheidungen zu treffen,
											verlassen wir uns
auf die Kategorie ""Fremder"".
									",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
","
","
","
","
","
",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
"
											Foi estranho
											e ao mesmo tempo maravilhoso.
											Ele foi muito gentil e ficou
muito feliz por me ter salvado.
											Tínhamos uma ligação.
											Por um minuto senti que
a minha existência enquanto pessoa
											tinha sido notada,
											e que eu merecia ser salva.
											É triste o facto de que,
											em muitos lugares do mundo,
											somos criados para acreditar
que todos os estranhos são perigosos,
											que não podemos confiar neles,
que eles podem nos fazer mal.
											Mas a maioria dos estranhos 
não são perigosos.
											Ficamos desconfortáveis na presença 
deles porque estamos deslocados.
											Não sabemos quais são suas intenções.
											Então, em vez de usarmos a nossa 
perceção e fazer escolhas,
											nós agarramo-nos a essa categoria 
do ""estranho"".
									","
											I have a four-year-old.
											When I say hello to people on the street,
											she asks me why.
											She says, ""Do we know them?""
									","
											Tengo una hija de cuatro años.
											Cuando saludo gente en la calle,
											me pregunta por qué.
											Me dice: ""¿Los conocemos?""
									","
											4 yaşında bir kızım var.
											Ne zaman sokakta insanlara selam versem,
											bana nedenini soruyor.
											''Onları tanıyor muyuz?'' diyor.
									","
											J'ai un enfant de 4 ans.
											Quand je dis bonjour
à des gens dans la rue,
											elle me demande pourquoi.
											« On les connaît ? » me demande-t-elle.
									","
											Ich habe eine Vierjährige.
											Wenn ich Menschen auf der Straße grüße,
											fragt sie mich, warum.
											Sie sagt: ""Kennen wir sie?""
									",Why you should talk to strangers,Kio Stark,11:52,"anthropology,communication,community,personality,humanity,society,TED Books,friendship"
