en,es,tr,pt,title,speaker,duration,tags
"
","
","
","
",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
											In the early days of Twitter,
it was like a place of radical de-shaming.
											People would admit
shameful secrets about themselves,
											and other people would say,
""Oh my God, I'm exactly the same.""
											Voiceless people realized
that they had a voice,
											and it was powerful and eloquent.
											If a newspaper ran some racist
or homophobic column,
											we realized we could do
something about it.
											We could get them.
											We could hit them with a weapon
that we understood but they didn't —
											a social media shaming.
											Advertisers would withdraw
their advertising.
											When powerful people
misused their privilege,
											we were going to get them.
											This was like the
democratization of justice.
											Hierarchies were being leveled out.
											We were going to do things better.
									","
											En los principios de Twitter era como 
un lugar de radicales antipudor,
											La gente admitía 
sus propios secretos vergonzosos
											y otras personas decían, ""¡Dios mío, 
a mí me pasa exactamente lo mismo"".
											Las personas sin voz constataron 
que tenían una voz,
											y esta era poderosa y elocuente.
											Si un periódico publicaba 
alguna columna racista u homófoba,
											sabíamos que podíamos 
hacer algo al respecto.
											Podríamos pillarlos.
											Podíamos darles con el arma 
que entendíamos, y ellos no,
											una humillación en los medios sociales.
											Los anunciantes retirarían su publicidad.
											Si las personas poderosas hacían 
mal uso de su privilegio,
											íbamos a por ellas.
											Esto era como 
la democratización de la justicia.
											Las jerarquías se estaban nivelando.
											Íbamos a hacer mejor las cosas.
									","
											Twitter ilk zamanlarda, 
bir radikal utandırmama yeri gibiydi.
											İnsanlar kendileri hakkında utanç verici 
sırları itiraf ederdi
											ve diğer insanlar da şöyle derdi, 
""Aman Tanrım, ben de tam öyleyim.""
											Sessiz insanlar sesleri 
olduğunu fark etti,
											güçlü ve etkiliydi.
											Eğer bir gazete ırkçı veya 
homofobik bir yazı yazarsa,
											onunla ilgili bir şeyler 
yapabileceğimizi fark ettik.
											Onları cezalandırabiliyorduk.
											Bizim anladığımız, ama onların anlamadığı 
bir silahla onları vurabiliyorduk:
											Sosyal medyada utandırma.
											Reklamcılar reklamlarını geri çekerdi.
											Güçlü insanlar ayrıcalıklarını 
yanlış kullandıklarında,
											onları cezalandırırdık.
											Adaletin demokratikleşmesi gibiydi.
											Hiyerarşi yatay hâle getiriliyordu.
											İşleri daha iyi şekilde yapacaktık.
									","
											Nos seus primórdios, o Twitter era como 
um lugar de des-humilhação radical.
											As pessoas confessavam segredos
constrangedores sobre si mesmas,
											e outras pessoas diziam: 
""Meu Deus, eu também sou assim!""
											Pessoas sem voz perceberam 
que agora tinham uma voz,
											e que ela era poderosa e eloquente.
											Se um jornal publicava uma coluna
racista ou homofóbica,
											descobríamos que podíamos
fazer algo a respeito.
											Podíamos apanhá-los.
											Podíamos atingi-los com uma arma
que nós conhecíamos, mas eles não:
											a humilhação nas redes sociais.
											Os anunciantes acabavam
por retirar os seus anúncios.
											Quando as pessoas poderosas 
abusavam do seu privilégio,
											nós íamos atrás delas.
											Era uma espécie
de democratização da justiça.
											As hierarquias estavam a ser niveladas.
											Nós íamos melhorar as coisas.
									",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
","
","
","
",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
											Soon after that, a disgraced
pop science writer called Jonah Lehrer —
											he'd been caught plagiarizing
and faking quotes,
											and he was drenched in shame
and regret, he told me.
											And he had the opportunity
											to publicly apologize
at a foundation lunch.
											This was going to be the most
important speech of his life.
											Maybe it would win him some salvation.
											He knew before he arrived
											that the foundation was going to be
live-streaming his event,
											but what he didn't know
until he turned up,
											was that they'd erected a giant screen
Twitter feed right next to his head.
											(Laughter)
											Another one in a monitor screen
in his eye line.
									","
											Poco después, Jonah Lehrer, escritor 
detractor de la ciencia emergente,
											fue pillado plagiando 
y falseando citas.
											Y esto le sumió en vergüenza 
y remordimientos, me dijo.
											Y tuvo la oportunidad
											de pedir disculpas públicamente 
en el almuerzo de una fundación.
											Este iba a ser el discurso 
más importante de su vida.
											Tal vez él lograra un poco de perdón.
											Sabía antes de su llegada
											que la fundación iba a trasmitir 
en directo su evento,
											pero lo que no sabía, 
hasta aparecer es que
											habían puesto una gran pantalla 
con un feed
											de Twitter al lado de su cabeza.
											(Risas)
											Y otra pantalla a la altura 
de sus ojos.
									","
											Bundan kısa bir süre sonra, Jonah Lehrer 
adında rezil edilmiş bir pop bilim yazarı —
											izinsiz ve sahte alıntıları 
fark edilmişti,
											bana söylediği şey, utanç ve
pişmanlığa boğulduğuydu.
											Bir kuruluşun öğle yemeğinde
											toplum içinde özür dileme 
imkânına sahip olmuştu.
											Bu hayatının en önemli konuşması olacaktı.
											Belki ona bir kurtuluş getirecekti.
											Kuruluşun organizasyonu
											canlı olarak yayınlayacağını oraya 
varmadan önce biliyordu;
											ancak oraya çıkmadan önce,
											başının tam üstüne Twitter'a akış geçen
büyük bir ekran koyduklarını bilmiyordu.
											(Gülüşmeler)
											Görüş hizasına da başka 
bir monitör ekranı.
									","
											Depois disso, um desgraçado escritor
de ciência popular chamado Jonah Lehrer
											foi apanhado a fazer plágio 
e a falsificar citações,
											e ficou cheio de vergonha 
e arrependimento, como me disse.
											Teve a oportunidade
											de fazer um pedido de desculpas público 
durante um almoço da fundação.
											Este iria ser o discurso
mais importante da sua vida.
											Talvez até fosse a sua salvação.
											Ele sabia, antes de chegar.
											que a fundação ia transmitir
o evento ao vivo,
											mas o que ele não sabia, até lá chegar,
											era que tinham colocado um ecrã gigante
com o ""feed"" do Twitter ao seu lado.
											(Risos)
											E outro num monitor 
no seu campo de visão.
									",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
","
","
","
",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
											I don't think the foundation did this
because they were monstrous.
											I think they were clueless:
I think this was a unique moment
											when the beautiful naivety of Twitter
											was hitting the increasingly
horrific reality.
									","
											No creo que los de la fundación 
lo hicieran porque eran monstruosos.
											Creo que estaban despistados. 
Creo que este fue un momento único
											cuando la bella ingenuidad de Twitter
											golpeaba la realidad 
cada vez más horrible.
									","
											Kuruluşun bunu canavar oldukları 
için yaptığını sanmıyorum.
											Bence hiçbir fikirleri yoktu: 
Bence Twitter'ın güzel saflığının,
											giderek korkunç bir gerçeğe 
doğru yaklaştığı
											eşsiz bir andı.
									","
											Eu acho que a fundação não fez isso
por serem pessoas horríveis.
											Acho que não tinham a menor ideia:
acho que foi um momento único
											em que a bela ingenuidade do Twitter
											chocou com a nossa realidade
cada vez mais horrível.
									",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
","
","
","
",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
											And here were some of the Tweets
that were cascading into his eye line,
											as he was trying to apologize:
									","
											Y estos fueron algunos de los tuits 
que se desplegaban ante sus ojos,
											como el suyo tratando 
de pedir disculpas:
									","
											Özür dilemeye çalışırken, 
göz hizasından art arda
											geçen twitlerden bazıları şöyle:
									","
											E aqui temos alguns ""tweets"" que 
apareciam no seu campo de visão,
											enquanto ele tentava pedir desculpa:
									",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
","
","
","
",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
"
											""Jonah Lehrer, boring us
into forgiving him.""
											(Laughter)
									","
											""Jonah Lehrer, nos aburre hasta 
que le perdonemos"".
											(Risas)
									","
											""Jonah Lehrer onu affetmemiz 
için bizi sıkıyor.""
											(Gülüşmeler)
									","
											""Jonah Lehrer, aborrecendo-nos 
para que o possamos perdoar""
											(Risos)
									",When online shaming goes too far,Jon Ronson,17:11,"culture,humanity,social media,society,technology"
