tr,en,de,title,speaker,duration,tags
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Ben bir şehir planlamacısıyım
											eskiden de sanat avukatıydım
											mimarlık ve sanat tarihi okudum
											ve bugün sizinle tasarım hakkında değil
											Amerika hakkında konuşmak istiyorum.
											Amerika ekonomik olarak nasıl daha esnek olabilir
											ve Amerika nasıl daha sağlıklı olabilir
											ve Amerika nasıl
											daha fazla çevre dostu olabilir.
											bu forumun küresel bir forum olduğunun farkındayım
											ama bence Amerika hakkında konusmalıyım
											her yerde değil ama
											birçok yerde,
											Dünya çapında Amerikan fikirlerinin daha iyi ya da daha kötü bir amaç için
											sahiplenilmesi veya taklit edilmesi gibi bir
											bir tarihin varlığı söz konusu
									","
											So I'm a city planner, an urban designer,
											former arts advocate,
											trained in architecture and art history,
											and I want to talk to you today not about design
											but about America
											and how America can be more economically resilient,
											how America can be healthier,
											and how America can be
											more environmentally sustainable.
											And I realize this is a global forum,
											but I think I need to talk about America
											because there is a history,
											in some places, not all,
											of American ideas being appropriated,
											being emulated, for better or for worse,
											around the world.
									","
											Ich bin ein Stadtplaner,
ein urbaner Gestalter,
											ehemals Fürsprecher für Kunst
											mit einem Hintergrund in Architektur 
und Kunstgeschichte,
											und möchte heute mit Ihnen 
nicht übers Entwerfen,
											sondern über die USA sprechen,
											wie sie ihre ökonomische 
Widerstandskraft stärken kann,
											wie sie gesünder werden kann
											und wie die USA
											nachhaltiger für die Umwelt werden kann.
											Mir ist bewusst, 
dass dies ein globales Forum ist,
											aber ich halte es für nötig, 
über die USA zu sprechen,
											denn in der Vergangenheit
											wurden an einigen Orten, nicht allen,
											US-amerikanische Ideen übernommen,
											und komme, was wolle kopiert,
											überall auf der Welt.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Şimdiye dek başımıza gelen en kötü şey
											suburb'ların çarpık kentleşmesidir.
											biz konuşurken, bu fikir bir çok yerde uygulanıyor.
											suburb'lerdeki çarpık kentleşme derken aslında peyzaj mimarlığı organizasyonlarına
											ve otomobil kullanımının gerekli olduğu yerlerde ki
											peyzaj mimarlığı düzenlemesinden bahsediyorum.
											eskiden otomobil bir özgürlük aracıydı,
											şimdilerde ise egsoz gazi çıkaran
											zaman israf eden ve ölümcül
											bir protez araca dönüştü.
											Bir çoğumuzun,
											hatta çoğu Amerika'lının,
											gündelik hayatını yaşamak için arabaya ihtiyacı var.
											aslında alternatif bir seçenek var.
											Biliyorsunuz, söylüyoruz, dünyanın yarısı şehirlerde yaşıyor.
											Peki, Amerika'da, şehirlerde yaşamak
											yine bir arabaya muhtaç olacağın
											bir yerde yaşamak anlamına geliyor.
											Benim görevim ise
											şehirlerimizi daha yürünebilir bir hale getirmek.
											Ama tasarım argümanları
											ekonomistlerden, tıp uzmanlarından
											ve çevrecilerden
											öğrendiğim argümanlar kadar
											etkili olmaz.
											bu yüzden bugün size
											kabaca 3 argüman sunacağım,
									","
											And the worst idea we've ever had
											is suburban sprawl.
											It's being emulated in many places as we speak.
											By suburban sprawl, I refer to the reorganization
											of the landscape and the creation of the landscape
											around the requirement of automobile use,
											and that the automobile that was once an instrument of freedom
											has become a gas-belching,
											time-wasting and life-threatening
											prosthetic device
											that many of us need just to,
											most Americans, in fact, need,
											just to live their daily lives.
											And there's an alternative.
											You know, we say, half the world is living in cities.
											Well, in America, that living in cities,
											for many of them, they're living in cities still
											where they're dependent on that automobile.
											And what I work for, and to do,
											is to make our cities more walkable.
											But I can't give design arguments for that
											that will have as much impact
											as the arguments that I've learned
											from the economists, the epidemiologists
											and the environmentalists.
											So these are the three arguments that I'm going
											to give you quickly today.
									","
											Und unsere schlechteste Idee aller Zeiten
											sind zersiedelte Städte.
											Die Idee wird genau jetzt 
in vielen Städten kopiert.
											Damit meine ich die Umorganisation
											der Landschaft und 
die Erschaffung von Landschaft
											um die Ansprüche von Autofahrern,
											und dass das Auto einst 
ein Instrument der Freiheit war
											und nun eine Benzin rülpsende,
											zeitverschwendende und lebensbedrohliche
											Prothese ist,
											die einige von uns,
											im Prinzip die meisten US-Amerikaner,
											für die Alltagsbewältigung benötigen.
											Und hier ist eine Alternative.
											Wir sagen, die halbe Welt lebt in Städten.
											In den USA heißt Stadtleben
											für viele, dass sie immer noch
											abhängig von einem Auto sind.
											Und meine Arbeit besteht darin,
											Städte erlaufbarer zu machen.
											Ich kann aber keine 
Design-Argumente vorlegen,
											die schlagkräftiger sind als
											die Argumente, die ich
											von Ökonomen, Epidemiologen
											und Umweltschützern erfahren habe.
											Diese drei Argumente möchte ich Ihnen also
											heute kurz vorstellen.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Ben 70'li yıllarda büyürken
											sıradan Amerikan aile
											gelirinin onda birini ulaşım için verirdi.
											O zamandan beri karayolların sayısını iki kat olmuş
											artık Amerika'da gelirimizin
											beşte birini ulaşım için veriyoruz.
											senede 20.000 ile 50.000 dolar
											arası kazanan,
											çalışan aileler,
											bu günlerde ulaşıma konuttan biraz daha
											fazla para harcıyorlar
											çünkü ''yeterli olana kadar sür'' fenomeni adı altında
											insanlar şehir merkezlerinden ve iş yerlerinden
											daha da uzaklaşmak durumunda kalıyorlar
											bu yüzden günde iki, üç, dört saat
											işten eve gelip gidiyorlar.
											Ve böyle muhitler, mesela
											Kaliforniya'nın 'Central Valley',
											konut piyasasının çökmesiyle
											ve benzin fiyatlarının artmasıyla
											zarar görmekle kalmadı, yerle bir oldular.
											Hatta son zamanlarda gördüğümüz
											yarı boş mahalleler de böyle yerlerdedir.
											Farz edin ki, bütün paranızı ev kredinize yatırmışsınız
											ve birden evin değeri düşüyor
											ve onun üstüne işe gitmenin masrafı iki kat olmuş.
									","
											When I was growing up in the '70s,
											the typical American spent one tenth of their income,
											American family, on transportation.
											Since then, we've doubled the number of roads
											in America, and we now spend one fifth
											of our income on transportation.
											Working families, which are defined as
											earning between 20,000 and 50,000 dollars
											a year in America
											are spending more now on transportation
											than on housing, slightly more,
											because of this phenomenon called ""drive till you qualify,""
											finding homes further and further and further
											from the city centers and from their jobs,
											so that they're locked in this, two, three hours,
											four hours a day of commuting.
											And these are the neighborhoods, for example,
											in the Central Valley of California
											that weren't hurt when the housing bubble burst
											and when the price of gas went up;
											they were decimated.
											And in fact, these are many
											of the half-vacant communities that you see today.
											Imagine putting everything you have into your mortgage,
											it goes underwater, and you have to pay
											twice as much for all the driving that you're doing.
									","
											Als ich in den 70ern aufwuchs,
											verwendete die durchschnittliche 
US-amerikanische Familie
											ein Zehntel ihres Einkommens 
auf den Transport.
											Seitdem haben wir die Zahl 
der Straßen in den USA verdoppelt
											und verwenden nun ein Fünftel
											unseres Einkommens auf den Transport.
											Arbeitende Familien in den USA,
											die mit einem Einkommen 
von 20.000 bis 50.000 Dollar
											pro Jahr definiert werden,
											verwenden heute mehr auf Transport
											als auf ihre Unterkunft, etwas mehr,
											aufgrund eines Phänomens namens 
""Fahre, bis du es wert bist"",
											also weiter und weiter 
vom Stadtzentrum
											und von ihrem Job entfernte 
Behausungen zu finden,
											sodass sie jeden Tag zwei, drei,
											sogar vier Stunden pendeln müssen.
											Hier geht es um Wohngebiete zum Beispiel
											im Central Valley in Kalifornien,
											die vom Platzen der Immobilienblase
wenig beeinflusst waren,
											doch als der Benzinpreis hoch ging,
											schwanden sie dahin.
											Heute sehen wir viele
											dieser halb-unbewohnten Gebiete.
											Stellen Sie sich vor, 
Sie stecken alles in Ihre Hypothek,
											die säuft ab und Sie müssen nun
											doppelt so viel für 
jede einzelne Fahrt bezahlen.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Bizim toplumumuzun üzerindeki etkisini artık anladık
											biz arabalarımız için
											daha fazla çalışmak zorundayız.
											Bir şehir farklı önceliklere
											karar verdiğinde ne oluyor?
											Ve galiba Amerika'da bunun en iyi örneği
											Oregon eyaletinin Portland şehridir.
											1970'lerde Portland kendisini Amerika'nın diğer kentlerinin hepsinden
											farklı kılan bir sürü karar
											almaya başladı
											Çoğu şehir yayılma halkasını
											büyütürken,
											Portland ise bir büyüme sınırı getirdi.
											Çoğu şehir, trafiğin akımını sağlamak için
											karayollarını genişletirken,
											paralel park etmeyi ve ağaçları kaldırırken,
											Portland bir 'ince sokaklar' politikasını hayata geçirdi.
											Çoğu şehir karayollarına yatırım yaparken,
											Portland ise bisiklete ve yürümeye
											yatırım yaptı.
											Bisiklet tesislerine 60 milyon dolar harcadılar.
											Bu büyük para gibi gelse de,
											30 yıl boyunca harcandığını unutmamak lazım.
											Yani yılda iki milyon dolar—çok değil—
											ve yeniden yapmaya karar verdiklerin yoncanın
											fiyatının yarısı.
											Bu değişiklikler ve diğerleri
											Porland'dakilerin yaşam tarzını değiştirmiş
											ve günde arabayla gidilen mesafe oranları
											yani her bireyin ne kadar araba kullandığı
											zirveye ulaştığı 1996 yılından beri
											düşüyor.
											ve şimdi ülkenin geri kalanından
											%20 daha az araba kullanıyorlar.
											Tipik bir Portland'lı
											eskisine göre günde 4 mil ve 11 dakika
											daha az araba kullanıyor.
											Ekonomist Joe Cortright'in hesaplarına göre
											4 mil
											ve 11 dakika
											toplanınca bütün bölgenin gelirinin
											%3.5'ine eşittir.
									","
											So we know what it's done to our society
											and all the extra work we have to do
											to support our cars.
											What happens when a city decides
											it's going to set other priorities?
											And probably the best example we have here
											in America is Portland, Oregon.
											Portland made a bunch of decisions in the 1970s
											that began to distinguish it
											from almost every other American city.
											While most other cities were growing
											an undifferentiated spare tire of sprawl,
											they instituted an urban growth boundary.
											While most cities were reaming out their roads,
											removing parallel parking and trees
											in order to flow more traffic,
											they instituted a skinny streets program.
											And while most cities were investing in more roads
											and more highways, they actually invested
											in bicycling and in walking.
											And they spent 60 million dollars on bike facilities,
											which seems like a lot of money,
											but it was spent over about 30 years,
											so two million dollars a year — not that much —
											and half the price of the one cloverleaf
											that they decided to rebuild in that city.
											These changes and others like them changed
											the way that Portlanders live,
											and their vehicle-miles traveled per day,
											the amount that each person drives,
											actually peaked in 1996,
											has been dropping ever since,
											and they now drive 20 percent less
											than the rest of the country.
											The typical Portland citizen drives
											four miles less, and 11 minutes less per day
											than they did before.
											The economist Joe Cortright did the math
											and he found out that those four miles
											plus those 11 minutes
											adds up to fully three and a half percent
											of all income earned in the region.
									","
											Wir wissen also, was es 
unserer Gesellschaft angetan hat
											und all die zusätzliche Arbeit, 
die wir machen müssen,
											um unsere Autos zu finanzieren.
											Was passiert, wenn eine Stadt entscheidet,
											dass sie ihre Prioritäten anders setzt?
											Das wahrscheinlich beste Beispiel in den USA
											ist Portland, Oregon.
											Portland traf in den 70ern 
eine Reihe von Entscheidungen,
											die es mehr und mehr
											von fast jeder anderen Stadt 
in den USA abhoben.
											Während die meisten anderen Städte sich
											zu einer verwaschenen 
Ersatzreifenform zersiedelten,
											legte Portland eine Grenze 
für urbanes Wachstum fest.
											Während die meisten Städte
ihre Straßen erweiterten,
											Parkstreifen und Bäume entfernten,
											damit mehr Verkehr durchpasste,
											rief Portland ein Programm 
für schlanke Straßen auf den Plan.
											Und während die meisten Städte
in mehr Straßen
											und Autobahnen investierten, investierte Portland
											in Radfahren und Fußgänger.
											Sie gaben 60 Millionen Dollar 
für Fahrradinfrastruktur aus,
											was wie eine Menge Geld aussieht,
											aber es wurde im Laufe von 
etwa 30 Jahren ausgegeben,
											also zwei Millionen pro Jahr –
gar nicht so viel –
											und die Hälfte einer Autobahnkreuzung,
											die sie in ihrer Stadt 
wieder aufbauen wollten.
											Diese und ähnliche Änderungen veränderten
											die Lebensweise der Portländer.
											Ihre Fahrzeugmeilen pro Tag,
											die Strecke, die jede Person zurücklegt,
											erreichten 1996 ihre Spitze,
											und fällt seitdem stetig.
											Heute fahren sie 20 Prozent weniger
											als der Rest des Landes.
											Ein typischer Bewohner Portlands fährt
											6 km weniger und 11 Minuten weniger pro Tag
											als zuvor.
											Der Ökonom Joe Cortright rechnete nach
											und fand heraus, dass diese sechs Kilometer
											und diese elf Minuten
											zusammen volle 3,5 Prozent
											des Gesamteinkommens in der Region ergeben.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Yani eğer o parayı araba kullanarak harcamıyorlarsa,
											ve bu arada araba için verdiğimiz paranın
											%85'i yerel ekonomimizden ayrılıyor—
											eğer o parayı araba kullanmaya harcamıyorlarsa,
											nereye harcıyorlar?
											Portland'in ünü kişi başına en çok
											araç üstü bagaja,
											bağımsız kitabevlerine
											pavyonlara sahip olmasıymış.
											Biraz abartıyorum, biraz
											ama doğrudur ki Portland'lılar
											eğlence için Amerika'nın gerisinden
											daha fazla para veriyorlar.
											Aslında Oregon'lular diğer eyaletlerden
											alkole daha fazla para harcıyorlar
											belki iyi belki kötü birşeydir ama
											en azından arabaya daha az biniyorlar.
									","
											So if they're not spending that money on driving —
											and by the way, 85 percent of the money
											we spend on driving leaves the local economy —
											if they're not spending that money on driving,
											what are they spending it on?
											Well, Portland is reputed to have
											the most roof racks per capita,
											the most independent bookstores per capita,
											the most strip clubs per capita.
											These are all exaggerations, slight exaggerations
											of a fundamental truth, which is Portlanders
											spend a lot more on recreation of all kinds
											than the rest of America.
											Actually, Oregonians spend more on alcohol
											than most other states,
											which may be a good thing or a bad thing,
											but it makes you glad they're driving less.
									","
											Wenn sie dieses Geld 
also nicht fürs Fahren ausgeben –
											übrigens verlassen 85 % des Geldes,
											das wir fürs Fahren aufwenden, 
die lokale Wirtschaft –
											wenn sie das Geld nicht fürs Fahren ausgeben,
											wofür geben sie es dann aus?
											Tja... Portland hat den Ruf,
											die meisten Dachgepäckträger,
											die meisten unabhängigen Buchläden,
											und die meisten Strip-Clubs pro Kopf zu haben.
											Das sind alles leichte Übertreibungen
											einer elementaren Wahrheit: Portländer
											verbringen sehr viel mehr Zeit 
mit Erholung aller Art
											als der Rest der USA.
											Die Bewohner Oregons geben 
auch mehr Geld für Alkohol aus
											als die meisten anderen Staaten,
											was entweder eine gute 
oder schlechte Sache ist.
											Aber man ist froh, 
dass sie weniger Auto fahren.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
