fr,en,de,es,tr,title,speaker,duration,tags
"
","
","
","
","
",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
											Je voudrais vous parler de quelque chose
											qui était très cher à Karen, à savoir
											comment on découvre ce qui fait la singularité d'un projet.
											Comment découvrir ce qui rend un projet unique, aussi unique que peut l'être une personne,
											parce qu'il me semble que chercher cette unicité
											c'est une façon de répondre aux forces de la mondialisation
											que cette singularité est essentielle pour rendre un endroit unique
											et pour traduire l'unicité d'un projet sous forme de bâtiment.
									","
											So, what I'd like to talk about is something
											that was very dear to Kahn's heart, which is:
											how do we discover what is really particular about a project?
											How do you discover the uniqueness of a project as unique as a person?
											Because it seems to me that finding this uniqueness
											has to do with dealing with the whole force of globalization;
											that the particular is central to finding the uniqueness of place
											and the uniqueness of a program in a building.
									","
											Das, worüber ich gerne sprechen möchte,
											ist etwas, das Kahn sehr am Herzen lag:
											Wie entdecken wir die wirkliche Besonderheit an einem Projekt?
											Wie entdecken wir das Einzigartige an einem Projekt, das so einzigartig wie ein Mensch ist?
											Denn es scheint mir, dass das Entdecken dieser Einzigartikgkeit
											etwas mit dem Bewältigen der ganzen Wucht der Globalisierung zu tun hat,
											dass das Besondere wesentlich für das Entdecken der Einzigartigkeit eines Ortes
											und der Einzigartigkeit eines Programms in einem Gebäude ist.
									","
											Me gustaría hablarles de algo muy preciado
											para el corazón de Karen, que es,
											¿cómo se descubre qué cosa hace verdaderamente particular a un proyecto?
											¿Cómo se descubre la singularidad de un proyecto, tan único como una persona?,
											porque me parece que encontrar esta singularidad
											tiene que ver con tratar con toda la fuerza de la globalización:
											que lo particular es el eje para encontrar la singularidad de lugar
											y la singularidad de un programa en un edificio.
									","
											Burada anlatmak istediğim şey şu,
											bu Kahn'ın da yüreğinin bir parçasıydı;
											bir projede asıl önemli olanı 
nasıl keşfederiz?
											Tıpkı bir insanda olduğu gibi, 
bir projenin eşsizliğini nasıl keşfederiz?
											Çünkü bana öyle geliyor ki,
											bu eşsizliği keşfetmek
küreselleşmenin tüm gücüyle alakalı.
											Bir yerin ve bir binadaki programın
eşsizliğini bulmak, buradaki ana nokta.
									",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
","
","
","
","
",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
											Je vais donc vous emmener à Wichita, dans le Kansas
											où on m'a demandé, il y a quelques années, de dessiner les plans d'un Musée des Sciences
											sur un site en plein centre ville, près du fleuve.
											J'ai pensé que le secret du site était de faire en sorte que le bâtiment fasse partie du fleuve
											Malheureusement, le site était séparé du fleuve par le McLean's Boulevard.
											J'ai donc suggéré qu'on dévie le boulevard.
											Ce qui a donné instantanément naissance aux Amis du McLean's Boulevard
											(Rires)
											Et il a fallu 6 mois pour le dévier.
									","
											And so I'll take you to Wichita, Kansas,
											where I was asked some years ago to do a science museum
											on a site, right downtown by the river.
											And I thought the secret of the site was to make the building of the river, part of the river.
											Unfortunately, though, the site was separated from the river by McLean Boulevard
											so I suggested, ""Let's reroute McLean,""
											and that gave birth instantly to Friends of McLean Boulevard.
											(Laughter)
											And it took six months to reroute it.
									","
											Deshalb nehme ich Sie jetzt nach Wichita in Kansas mit,
											wo ich vor einigen Jahren gebeten wurde, ein Wissenschaftsmuseum
											auf einem Gelände am Fluss im Stadtzentrum zu planen.
											Und ich dachte mir, das Geheimnis dieses Geländes war, das Gebäude am Fluss zu einem Teil des Flusses zu machen.
											Leider war das Gelände aber vom Fluss durch den McLean-Boulevard abgeschnitten.
											Deshalb schlug ich vor, den McLean zu verlegen,
											und das rief sofort die ""Freunde des McLean Boulevard"" ins Leben.
											(Lachen)
											Es brauchte sechs Monate, ihn zu verlegen.
									","
											Bueno, los llevaré a Wichita, Kansas,
											donde hace unos años me pidieron que hiciera un museo de ciencias
											en un sitio, en el centro de la ciudad, junto al río.
											Y pensé que el secreto del lugar era hacer que el edificio fuera parte del río mismo.
											Desafortunadamente, el lugar estaba separado del río por el boulevard McLean.
											De modo que sugerí que desviáramos el McLean.
											Así surgieron los Amigos del Boulevard McLean.
											(Risas)
											Y nos llevó seis meses desviarlo.
									","
											Şimdi sizi Wichita, Kansas'a götüreyim.
											Birkaç yıl önce, bu şehrin 
yanındaki bir alana
											bir bilim müzesi yapmam istenmişti.
											Bu alanın sırrının binayı nehrin bir 
parçası olarak yapmak olduğunu düşündüm.
											Ne yazık ki alan nehirden McLean 
bulvarıyla ayrılmıştı.
											O zaman şunu önerdim:
""Haydi McLean'ın yönünü değiştirelim.""
											ve bu durum, aniden McLean 
savunucularını ortaya çıkardı.
											(Gülüşmeler)
											Bu yön değiştirme altı ay sürdü.
									",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
","
","
","
","
",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
											La première photo que j'ai montré à la commission de construction était
											celle de l'observatoire astronomique de Jantar Mantar à Jaïpur
											parce que, comme je l'ai dit, qu'est-ce qui fait d'un bâtiment, un bâtiment pour la Science?
											Et il me semblait que cette structure, complexe, riche et pourtant
											totalement rationnelle, c'est un instrument — quelque chose qui a à voir avec la Science,
											et qu'un bâtiment pour la science devait être différent et unique et en parler.
											Ma première esquisse, c'était de dire
											coupons le chenal et faisons une île, faisons un bâtiment insulaire.
											J'étais tout excité, et je suis retourné voir la commission
											mais ils étaient consternés: une île?
											Avant, il y avait une île, l'Ackerman Island,
											et le chenal a été rempli au cours la Grande Dépression pour créer des emplois.
											(Rires)
									","
											The first image I showed the building committee was
											this astronomic observatory of Jantar Mantar in Jaipur
											because I talked about what makes a building a building of science.
											And it seemed to me that this structure — complex, rich and yet
											totally rational: it's an instrument — had something to do with science,
											and somehow a building for science should be different and unique and speak of that.
											And so my first sketch after I left was to say,
											""Let's cut the channel and make an island and make an island building.""
											And I got all excited and came back, and
											they sort of looked at me in dismay and said, ""An island?
											This used to be an island — Ackerman Island —
											and we filled in the channel during the Depression to create jobs.""
											(Laughter)
									","
											Das erste Bild, das ich der Baukommission zeigte, war
											dieses astronomische Observatorium in Jantar Mantar in Jaipur,
											weil ich davon sprach, was ein Gebäude zu einem Gebäude der Wissenschaft machte.
											Und mir schien, dass diese Struktur – komplex, reich und doch
											vollkommen rational: es ist ein Instrument – etwas mit Wissenschaft zu tun hatte,
											und ein Gebäude für die Wissenschaft sollte irgendwie anders und einzigartig sein, und das auch zeigen.
											Ich ging wieder und dachte bei meiner ersten Skizze deshalb
											""Gehen wir in den Kanal hinein, machen wir eine Insel und ein Gebäude auf der Insel.""
											Und ich war ganz begeistert, und kam zurück,
											und sie schauten mich entsetzt an und sagten: ""Eine Insel?
											""Das war früher einmal eine Insel – die Ackerman Insel –
											und wir haben den Kanal während der Depression zugeschüttet, um Arbeitsplätze zu schaffen.""
											(Lachen)
									","
											La primera imagen que le mostré al comité de la construcción fue
											este observatorio astronómico de Jantar Mantar en Jaipur,
											porque hablé sobre qué hace que un edificio sea una construcción de la ciencia.
											Y me pareció que esta estructura, compleja, rica y sin embargo
											completamente racional, era un instrumento – tenía algo que ver con la ciencia,
											y de alguna manera construir para la ciencia debería ser diferente, único y hablar de eso.
											Y así mi primer bosquejo después de marcharme fue decir:
											cortemos el canal, hagamos una isla y construyamos un edificio insular.
											Me entusiasmé mucho, volví y
											ellos me miraron medio consternados y dijeron: ¿una isla?
											Anteriormente era una isla, la Isla Ackerman,
											pero rellenamos el canal durante la Gran Depresión para crear empleos.
											(Risas)
									","
											İnşaat komitesine gösterdiğim ilk görsel
											Jaipur'daki bu Jantar Mantar gözlemeviydi.
											Çünkü bir binayı,
bilim binası yapan şeyden bahsettim.
											Bu karmaşık, zengin
ama yine de makul olan yapı
											bana bilimle bağlantılı göründü
											ve bir şekilde bilim inşa etmek,
farklı ve eşsiz olmalı ve konuşulmalı.
											Ayrıldıktan sonra yaptığım ilk taslak
											""Şu kanalı keselim, bir ada oluşturalım
ve bir ada binası yapalım.""
											Çok heyecanlanarak geri döndüm.
											Bana bir tür umutsuzlukla bakıp
dediler ki; ""Ada mı?""
											Bu bir adaydı eskiden,
yani Ackerman Adası,
											biz büyük buhran sırasında o kanalı
iş sahası yaratmak için doldurmuştuk""
											(Gülüşmeler)
									",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
","
","
","
","
",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
											Mais le processus était enclenché et ils m'ont dit
											vous ne pouvez pas tout mettre sur une île,
											une partie doit se trouver sur le continent
											parce qu'on ne veut pas tourner le dos à la communauté.
											C'est là qu'un concept est né, avec des galeries formant une sorte d'île
											et vous pouviez les traverser ou bien marcher sur leur toit,
											et il y avait tout un tas d'autres caractéristiques intéressantes
											Vous pouviez venir des bâtiments côtiers
											traverser les galleries pour déboucher sur des aires de jeu — il y a un paysage.
											Si vous étiez plutôt radin, vous pouviez emprunter un pont pour aller sur le toit
											jeter un oeil aux expositions, être complètement séduit
											et rebrousser chemin pour payer les cinq dollars de droit d'entrée.
											(Rires)
											Le client était content, enfin, il avait intérêt,
											parce qu'on était à 4 millions de dollars de dépassement de budget, mais bon, il était plutôt content.
									","
											And so the process began and they said,
											""You can't put it all on an island;
											some of it has to be on the mainland because
											we don't want to turn our back to the community.""
											And there emerged a design: the galleries sort of forming an island
											and you could walk through them or on the roof.
											And there were all kinds of exciting features:
											you could come in through the landside buildings,
											walk through the galleries into playgrounds in the landscape.
											If you were cheap you could walk on top of a bridge to the roof,
											peek in the exhibits and then get totally seduced,
											come back and pay the five dollars admission.
											(Laughter)
											And the client was happy — well, sort of happy
											because we were four million dollars over the budget, but essentially happy.
									","
											Und so nahm alles seinen Anfang, und sie sagten,
											""Sie können nicht alles auf eine Insel bauen;
											ein Teil davon muss am Ufer bleiben, weil
											wir uns nicht von der Gemeinschaft abwenden möchten.""
											Und da entstand ein Entwurf: Die Galerien bildeten eine Art Insel,
											und man konnte durch sie durch oder über das Dach gehen.
											Und es gab es viele aufregende Details:
											Man konnte durch die Gebäude am Ufer hereinkommen,
											und durch die Galerien auf Spielplätze im Grünen gehen.
											Wenn jemand sparen wollte, konnte er über eine Brücke zum Dach spazieren,
											durch die Fenster die Ausstellung erspähen und dazu verführt werden,
											wiederzukommen und die fünf Dollar für eine Eintrittskarte zu bezahlen.
											(Lachen)
											Und der Kunde war glücklich damit – naja, fast glücklich,
											weil wir das Budget um vier Millionen Dollar überzogen hatten, aber im Grunde war er glücklich damit.
									","
											Entonces comenzó el proceso y dijeron:
											no se puede poner todo en una isla,
											algo tiene que estar en el continente porque
											no queremos darle la espalda a la comunidad.
											Y surgió un diseño, la galería formando una especie de isla,
											y uno podía caminar por ella o sobre el techo,
											y había toda clase de atracciones.
											Uno podía entrar por los edificios en tierra firme,
											caminar por las galerías hacia los patios – había un paisaje.
											Si uno fuera tacaño podría caminar por encima del puente hacia el techo,
											echarle una ojeada a las exposiciones y luego totalmente seducido,
											volver y pagar la entrada de cinco dólares.
											(Risas)
											Y el cliente estaba feliz, bueno, más o menos feliz,
											porque estábamos cuatro millones de dólares por encima del presupuesto, pero esencialmente feliz.
									","
											Sonrasında süreç başladı ve dediler ki;
											""Her şeyi adaya taşıyamazsın,
											bazı kısımlar ana karada kalmalı
											çünkü toplumumuza
sırt çevirmek istemiyoruz.""
											Sonra bir tasarım oluşturdular, 
bir ada şekillendiren geçitler,
											geçitlerin kenarlarından 
veya üstlerinden yürüyebilirdiniz.
											Pek çok heyecan verici özelliği vardı.
											Binalara kara tarafından girebilir,
											geçitlerden manzaradaki 
oyun alanlarına geçebilirdiniz.
											Eğer ucuza bir şey yapmak isterseniz
köprüden geçitlerin üstüne çıkabilir,
											sergileri izleyip mest olabilir,
											geri dönüp girişe
beş dolar ödeyebilirdiniz.
											(Gülüşmeler)
											Müşteri de mutlu olurdu, 
yani çoğunlukla mutlu olurdu.
											çünkü bütçeyi 4 milyon dolar aşmıştık
ama sonuçta mutluyduk.
									",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
","
","
","
","
",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
"
											Mais moi, j'étais toujours embêté, parce que je trouvais que tout cela était capricieux.
											C'était complexe, mais il y avait quelque chose de capricieux dans cette complexité là.
											C'était, je dirais, une complexité compositionnelle
											et je trouvais que si je voulais réaliser ce dont je vous ai parlé plus tôt
											un bâtiment pour la Science, il fallait qu'il y ait une sorte d'idée génératrice -
											une espèce de géométrie génératrice.
											C'est de là qu'est née l'idée d'une géométrie génératrice toroïdale,
											avec un centre — un toroïde dont le centre qui s'enfonce profondément dans le sol pour le bâtiment ""côtier"",
											et un autre dont le centre est dans le ciel pour le bâtiment insulaire.
											Un toroïde, pour ceux qui ne le savent pas,
											c'est la surface d'un donut, ou selon vos goûts, d'un bagel.
											Et à partir cette idée ont dérivé tout un ensemble
											de variations de plans et de possibilités différentes,
											et puis, le plan lui même a évolué en lien avec les expositions,
											et vous voyez ici l'intersection entre le plan et la géométrie toroïdale.
									","
											But I was still troubled, and I was troubled because I felt this was capricious.
											It was complex, but there was something capricious about its complexity.
											It was, what I would say, compositional complexity,
											and I felt that if I had to fulfill what I talked about —
											a building for science — there had to be some kind of a generating idea,
											some kind of a generating geometry.
											And this gave birth to the idea of having toroidal generating geometry,
											one with its center deep in the earth for the landside building
											and a toroid with its center in the sky for the island building.
											A toroid, for those who don't know,
											is the surface of a doughnut or, for some of us, a bagel.
											And out of this idea started spinning off many,
											many kinds of variations of different plans and possibilities,
											and then the plan itself evolved in relationship to the exhibits,
											and you see the intersection of the plan with the toroidal geometry.
									","
											Aber ich grübelte weiter, weil ich das Gefühl hatte, dass das Design irgendwie launenhaft aussah.
											Es war komplex, aber da war etwas Launenhaftes an seiner Komplexität.
											Ich fand, es war komplex in seiner Zusammensetzung;
											und ich hatte das Gefühl, wenn ich das erfüllen müsste, wovon ich sprach –
											ein Gebäude für die Wissenschaft – dann müsste es etwas Schöpferisches haben,
											eine Art schöpferische Geometrie.
											Und das führte zur Idee, eine ringförmige schöpferische Geometrie zu entwerfen,
											eine Ringform mit ihrer Mitte tief in der Erde für das Gebäude an Land,
											und eine Ringform mit ihrer Mitte im Himmel für das Gebäude auf der Insel.
											Für die, die es nicht wissen, eine Ringform – oder Toroid genannt –
											ist die Oberfläche eines Doughnuts, oder für einige von uns, eines Bagels.
											Aus dieser Idee entstanden viele,
											viele Arten von Variationen verschiedener Pläne und Möglichkeiten,
											und dann entwickelte sich der Plan selbst in Beziehung zu den Ausstellungsstücken,
											und Sie sehen den Querschnitt des Plans mit der ringförmigen Geometrie.
									","
											Pero yo todavía estaba preocupado, y lo estaba porque sentía que esto era caprichoso.
											Era complejo, pero había algo caprichoso en su complejidad.
											Era, lo que yo diría, complejidad composicional
											y yo pensaba que si tuviera que cumplir lo que había hablado,
											un edificio para la ciencia, debía haber una especie de idea generadora –
											una suerte de geometría generadora.
											Y esto dio lugar a la idea de tener geometría generadora toroidal,
											con su centro – una con su centro en lo profundo del corazón del edificio de tierra firme,
											y un toroide con su centro en el cielo para el edificio insular.
											Un toroide, para los que no lo saben,
											es la superficie de una dona o, para algunos de nosotros, de un bagel.
											Y de esta idea comenzaron a desprenderse muchas,
											muchas variaciones de diferentes planos y posibilidades,
											y luego el plano mismo evolucionó en relación a las exhibiciones,
											y uno ve la intersección del plano con la geometría toroide.
									","
											Ancak benim işler hala kötüydü, 
öyleydi çünkü bu durum çok değişkendi.
											Karmaşıktı ama bu karmaşıklıkta 
fazla değişken bir şeyler vardı.
											Yani, bileşimsel bir karmaşıklık vardı.
											Eğer söylediğimi yapmak zorunda olsaydım,
örneğin, bir bilim binası,
											kendi kendini üreten bir tür
fikir de olmak zorundaydı.
											Bir tür kendi kendini üreten geometri.
											Bu bana bir fikir verdi,
toroid şekilli geometri.
											Karadaki binası için 
merkezi yer altında olan,
											ada binası için de, 
gökyüzündeki merkezinde bir toroid.
											Bilmeyenler için bir toroid,
											bir donat veya anlayacağımız şekilde,
simit şeklindedir.
											Bu fikirden pek çok ama pek çok,
											farklı plan ve olasılıklar ortaya çıktı,
											planın kendisi sergilerle 
alakalı hale geldi.
											Plan ile toroidal geometrinin
kesişimini görüyorsunuz.
									",Building uniqueness,Moshe Safdie,17:46,"architecture,cities,collaboration,creativity,design,museums,visualizations"
