en,es,pt,fr,title,speaker,duration,tags
"
","
","
","
",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
											It was a Sunday afternoon
back in April of this year.
											My phone was ringing,
											I picked it up.
											The voice said, ""It's Rebecca.
											I'm just calling to invite you
											to my funeral.""
											I said, ""Rebecca,
what are you talking about?""
											She said, ""Joy, as my friend,
you have to let me go.
											It's my time.""
											The next day, she was dead.
									","
											Un domingo por la tarde,
en abril de este año,
											sonó mi teléfono
											y lo atendí.
											Una voz dijo: ""Soy Rebecca.
											solo te llamo para invitarte
											a mi funeral"".
											Le dije: ""¿De qué hablas, Rebecca?"".
											Me respondió: ""Joy, eres mi amiga,
y debes dejarme ir.
											Es mi hora"".
											Murió al otro día.
									","
											Era uma tarde de domingo
em abril deste ano.
											O meu telefone estava a tocar.
											Eu atendi.
											A voz disse: ""É a Rebecca.
											""Ligo apenas para te convidar
											""para o meu funeral.""
											Eu disse: ""Rebecca, do que é que falas?
											Ela disse: ""Joy, como minha amiga,
tens de me deixar partir,
											""chegou a minha hora.""
											No dia seguinte, ela estava morta.
									","
											C'était un dimanche après-midi d'avril
cette année.
											Mon téléphone a sonné
											et j'ai décroché.
											La voix a dit : « C'est Rebecca,
											je t'appelle pour t'inviter
											à mes funérailles. »
											J'ai lui dit : « Rebecca,
qu'est-ce que tu dis ? »
											Elle m' a répondu : « Joy, tu es mon amie,
tu dois me laisser partir.
											Mon temps est venu. »
											Le jour suivant, elle mourait.
									",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
","
","
","
",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
											Rebecca was 31 years old when she died.
											She had an eight-year struggle
with breast cancer.
											It came back three times.
											I failed her.
											The scientific community failed her.
											And the medical community failed her.
											And she's not the only one.
											Every five seconds,
											someone dies of cancer.
											Today, we medical
researchers are committed
											to having Rebecca and people like her
											be one of the last patients that we fail.
									","
											Rebecca tenía 31 años cuando falleció.
											Había luchado durante ocho años
contra un cáncer de mama.
											Le había vuelto tres veces.
											Y yo le fallé.
											La comunidad científica le falló.
											Y también le falló la comunidad médica.
											Pero no es la única.
											Cada cinco segundos
											alguien muere de cáncer.
											Los médicos investigadores
nos hemos comprometido
											a que Rebecca y gente como ella
											sean los últimos pacientes
a los que les fallamos.
									","
											A Rebeca tinha 31 anos quando morreu.
											Ela teve uma luta de oito anos
com um cancro da mama.
											Voltou 3 vezes.
											Eu não a ajudei.
											A comunidade científica não a ajudou
											e a comunidade médica não a ajudou.
											Mas não é só ela.
											Em cada cinco segundos,
											alguém morre de cancro.
											Hoje, nós, investigadores médicos,
estamos empenhados
											em que a Rebeca, e pessoas como ela,
											sejam dos últimos pacientes
que não podemos ajudar.
									","
											Rebecca avait 31 ans quand elle est morte.
											Elle a lutté contre un cancer du sein
pendant huit ans.
											Il est revenu trois fois.
											Je l'ai laissé tomber.
											La communauté scientifique aussi.
											Et la communauté médicale aussi.
											Elle n'est pas la seule dans son cas.
											Toutes les cinq secondes,
											quelqu'un meurt du cancer.
											Aujourd'hui, les chercheurs en médecine
comme moi, nous sommes engagés
											à faire de Rebecca
et des autres patients dans sa situation
											les derniers patients que
nous ne pouvons pas aider.
									",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
","
","
","
",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
											The US government alone has spent
over 100 billion on cancer research
											since the 1970s,
											with limited progress
in regards to patient survival,
											especially for certain types
of very aggressive cancers.
											So we need a change because, clearly,
											what we've been doing so far
has not been working.
									","
											Desde los años 70, el gobierno de EE. UU.
ha gastado más de 100 mil millones
											en la investigación del cáncer,
											pero la supevivencia de los pacientes
ha tenido un progreso limitado,
											especialmente en ciertos tipos
de cánceres muy agresivos.
											Necesitamos un cambio,
											pues, claramente, lo que hemos hecho
hasta ahora no ha funcionado.
									","
											O governo dos EUA, sozinho, 
gastou mais de 100 mil milhões
											na investigação do cancro,
desde os anos 70,
											com progressos limitados em relação
à sobrevivência dos doentes,
											especialmente em certos tipos
de cancros muito agressivos.
											Logo, precisamos de uma mudança
porque, claramente
											o que temos vindo a fazer até à data,
não tem funcionado.
									","
											Le gouvernement américain a dépensé
plus de 100 milliards de dollars
											pour la recherche sur le cancer
											depuis les années 70,
											avec des progrès tout relatifs
par rapport à la survie des patients,
											en particulier pour certains types
de tumeurs très agressives.
											Manifestement,
un changement est nécessaire
											car nos efforts jusqu'à présent
ne portent pas leurs fruits.
									",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
","
","
","
",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
											And what we do in medicine
is to send out firefighters,
											because cancer is like a big fire.
											And these firefighters
are the cancer drugs.
											But we're sending them out
without a fire truck —
											so without transportation, without ladders
											and without emergency equipment.
											And over 99 percent of these firefighters
never make it to the fire.
											Over 99 percent of cancer drugs
never make it to the tumor
											because they lack transportation and tools
											to take them to the location
they're aiming for.
											Turns out, it really is all about
location, location, location.
									","
											En medicina, lo que hacemos
es enviar a los bomberos,
											porque el cáncer es como un gran incendio.
											Estos bomberos son 
los medicamentos contra el cáncer.
											Pero los enviamos sin su camión,
											es decir, sin medio
de transporte, sin escaleras
											y sin equipo de emergencia.
											Más del 99 % de estos bomberos
nunca llega al incendio.
											Más del 99 % de los medicamentos 
contra el cáncer nunca llegan al tumor
											porque carecen de los medios 
de transporte y de las herramientas
											que los lleven al lugar
al que deben dirigirse.
											Es verdad, entonces, que el lugar
es lo más importante.
									","
											E o que fazemos na medicina
é enviar bombeiros,
											porque o cancro é como um grande incêndio,
											e estes bombeiros são os medicamentos
contra o cancro,
											mas estamos a enviá-los
sem o camião-cisterna,
											ou seja, sem transporte, sem escadas
											e sem equipamento de emergência.
											Mais de 99% destes bombeiros
nunca chegam ao incêndio.
											Mais de 99% dos medicamentos
contra o cancro nunca chegam ao tumor
											porque não têm transporte, nem ferramentas
											para levá-los ao local do destino.
											Acontece que tem tudo a ver
com a localização.
									","
											La médecine envoie des pompiers
pour prendre une image,
											parce que la tumeur est
pareille à un gros incendie.
											Ces pompiers, ce sont
les traitements anticancéreux.
											Mais on les envoie
sans camion d'incendie -
											c'est-à-dire sans transport, sans échelle
											et sans équipement d'urgence.
											Plus de 90% des pompiers
n'arrivent jamais à l'incendie.
											Plus de 90% du traitement
n'arrive jamais jusqu'à la tumeur
											parce qu'il n'a pas de moyens
de transport et les outils
											pour le mener là où il doit être largué.
											En fait, c'est la localisation et rien que
la localisation qui est cruciale.
									",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
","
","
","
",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									",How nanoparticles could change the way we treat cancer,Joy Wolfram,10:53,"cancer,medicine,medical research,science,disease,human body,health,biology,TEDx"
