es,pt,en,de,title,speaker,duration,tags
"
","
","
","
",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
											Hay un antiguo proverbio que dice:
											es muy difícil encontrar un gato negro 
en una habitación oscura,
											especialmente cuando no hay ningún gato.
											Me parece una descripción 
particularmente acertada de la ciencia
											y de cómo trabaja,
											dando vueltas alrededor en un cuarto 
oscuro, chocando con las cosas,
											tratando de averiguar qué forma podría tener esto,
											lo que podría ser,
											hay informes de un gato por ahí,
											que pueden ser o no ser fiables,
											y así sucesivamente.
									","
											Existe um velho provérbio que diz:
											""É muito difícil encontrar um gato preto 
num quarto escuro,
											""sobretudo quando não existe gato.""
											Considero-a uma boa descrição da ciência
											e de como ela funciona —
											tateando num quarto escuro, 
indo contra coisas,
											tentando descobrir que forma 
poderá ser esta,
											o que poderá ser aquilo,
											há relatos de um gato algures por aí,
											podem ser fiáveis, podem não ser,
											e assim por diante.
									","
											There is an ancient proverb that says
											it's very difficult to find a black cat in a dark room,
											especially when there is no cat.
											I find this a particularly apt description of science
											and how science works —
											bumbling around in a dark room, bumping into things,
											trying to figure out what shape this might be,
											what that might be,
											there are reports of a cat somewhere around,
											they may not be reliable, they may be,
											and so forth and so on.
									","
											Ein altes Sprichwort berichtet 
von der Schwierigkeit,
											eine schwarze Katze 
in einem dunklen Raum zu finden,
											besonders, wenn es keine Katze gibt.
											Ich finde das eine sehr 
passende Beschreibung
											von Wissenschaft und 
ihrer Funktionsweise –
											man tapert in einem dunklen Raum herum,
stolpert über Gegenstände,
											versucht, die Form von diesem 
oder jenem zu erraten,
											es kursieren Gerüchte über eine Katze,
											keiner weiß, ob sie stimmen,
und so weiter und so fort.
									",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
","
","
","
",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
											Ahora sé que esto es diferente a la forma 
en que la mayoría de las personas
											piensan acerca de la ciencia.
											La ciencia, se nos dice generalmente,
											es un mecanismo muy bien ordenado para
											entender el mundo,
											de conseguir hechos, 
de obtener datos,
											que está basada en normas,
											que los científicos utilizan esa cosa 
llamada el método científico
											y que hemos estado haciendo esto durante 
más o menos 14 generaciones hasta ahora,
											y que el método científico es 
un conjunto de reglas
											para conseguir hechos sólidos
y objetivos a partir de los datos.
									","
											Eu sei que isto é diferente da forma como 
a maioria das pessoas
											pensa sobre a ciência.
											Dizem-nos geralmente que a ciência
											é um mecanismo muito 
bem ordenado que visa
											compreender o mundo,
											obter factos, obter dados,
											que é baseada em regras,
											que os cientistas utilizam aquilo a que 
chamamos de método científico,
											e que já o fazemos há, mais 
ou menos, 14 gerações,
											e que o método científico é 
um conjunto de regras
											que serve para extrair factos 
puros e duros dos dados.
									","
											Now I know this is different than the way most people
											think about science.
											Science, we generally are told,
											is a very well-ordered mechanism for
											understanding the world,
											for gaining facts, for gaining data,
											that it's rule-based,
											that scientists use this thing called the scientific method
											and we've been doing this for 14 generations or so now,
											and the scientific method is a set of rules
											for getting hard, cold facts out of the data.
									","
											Nun weiß ich, dass diese Auffassung 
nicht mit der der meisten Leute übereinstimmt.
											Im Allgemeinen wird uns eingetrichtert,
Wissenschaft sei
											ein wohlgeordneter Mechanismus,
um die Welt zu verstehen,
											Fakten zu sammeln, Daten zu erheben;
sie ist regelbasiert
											und Wissenschaftler verwenden 
die sogenannte ""wissenschaftliche Methode"",
											jetzt schon seit 14 Generationen oder so,
											und diese Methode ist ein Regelsatz,
											der die knallharten Fakten 
aus den Daten herausholt.
									",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
","
","
","
",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
											Me gustaría decirles que este no es el caso.
											Así que está el método científico,
											pero lo que realmente sucede 
es lo siguiente. (Risas)
									","
											Gostaria de dizer-vos que não é o caso.
											Bem, existe o método científico,
											mas, o que, realmente, se passa é isto.
(Risos)
									","
											I'd like to tell you that's not the case.
											So there's the scientific method,
											but what's really going on is this. (Laughter)
									","
											Ich möchte Sie vom Gegenteil überzeugen.
											Hier haben wir die wissenschaftliche Methode,
aber tatsächlich passiert das hier. (Lachen)
									",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
","
","
","
",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
											[El Método Científico vs. Tirarse Pedos Alrededor]
									","
											[O Método Científico vs Largar Gases]
									","
											[The Scientific Method vs. Farting Around]
									","
											[Wissenschaftliche Methode vs. Herumrülpsen]
									",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
","
","
","
",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
"
											Y está pasando un poco así.
									","
											E para ser mais preciso.
									","
											And it's going on kind of like that.
									","
											Und es läuft ungefähr so ab.
									",The pursuit of ignorance,Stuart Firestein,18:33,"education,humor,neuroscience,science,mind,curiosity,teaching"
