de,en,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
											Als Kind war ich an allen Dingen interessiert, die mit Luft- oder Weltraum zu tun hatten.
											Ich schaute Nova auf dem PBS-Kanal.
											Unsere Schule zeigte ""Bill Nye the Science Guy"".
											Als ich in der Grundschule war, schenkte mir mein Nachbar
											ein Buch zum Geburtstag.
											Ein Astronomie-Buch.
											Und ich las zahllose Stunden darin
											und es war eine Kombination all dieser Dinge,
											die mich dazu bewog, Weltraumforschung als meinen persönlichen Traum
											zu verfolgen, und Teil dieses Traumes war es schon immer,
											nur ein Mal rund um das Sonnensystem zu fliegen
											und verschiedene Planeten, Monde und Raumschiffe zu besuchen.
									","
											As a kid, I was fascinated with all things air and space.
											I would watch Nova on PBS.
											Our school would show Bill Nye the Science Guy.
											When I was in elementary school, my next door neighbor,
											he gave me a book for my birthday.
											It was an astronomy book,
											and I poured over that thing for hours on end,
											and it was a combination of all these things
											that inspired me to pursue space exploration
											as my own personal dream, and part of that dream was,
											I always wanted to just fly around the solar system
											and visit different planets and visit moons and spacecraft.
									","
											De niño me fascinaba todo sobre la aeronáutica y el espacio.
											Miraba Nova, en la PBS.
											En la escuela pasaban a Bill Nye ""El tipo de la ciencia"".
											Cuando estaba en la escuela primaria, mi vecino
											me regaló un libro para mi cumpleaños.
											Era un libro de astronomía
											y me zambullí en su lectura durante horas.
											Fue una combinación de todo esto
											lo que me inspiró a seguir la exploración espacial
											como mi sueño personal, y parte de ese sueño fue
											el querer viajar por el Sistema Solar
											y visitar diferentes planetas, satélites y naves.
									","
											Enfant, j'étais fasciné par tout ce qui concernait l'air et l'espace.
											Je regarderais Nova sur PBS.
											Notre école nous montrait Bill Nye, l'homme de la Science.
											Quand j'étais à l'école primaire, mon voisin
											m'a offert un livre pour mon anniversaire.
											C'était un livre d'astronomie,
											et je m'y suis plongé pendant des heures et des heures,
											c'était une combinaison de toutes ces choses
											qui m'ont amené à faire de l'exploration de l'espace
											mon rêve personnel ; une partie de ce rêve était
											que j'ai toujours voulu me balader dans le système solaire
											et visiter les différentes planètes, les lunes et les engins spatiaux.
									","
											Enquanto jovem, era fascinado com tudo 
do ar e espaço.
											Via o 'Nova' na PBS.
											A minha escola transmitia o 'Bill Nye, Homem da Ciência'
											Quando andava no Básico, o meu vizinho,
											deu-me um livro no meu aniversário.
											Era um livro de astronomia,
											e eu passava horas a fio a olhar para aquilo.
											Foi uma combinação de tudo isto
											que me inspirou a perseguir a exploração do espaço
											como um sonho pessoal. E parte desse sonho era
											querer voar à volta do sistema solar
											e visitar os diferentes planetas, visitar as luas 
e as naves espaciais.
									",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
","
","
","
","
",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
											Einige Jahre später absolvierte ich mein Studium an der UCLA
											und fand mich bei der NASA wieder,
											wo ich für das Düsenantriebs-Labor arbeitete,
											und dort wurde unserem Team die Herausforderung gestellt,
											eine 3D-Visualisierung des Sonnensystems zu erstellen
											und heute möchte ich Ihnen zeigen, was wir bisher geschafft haben.
									","
											Well, a number of years later, I graduated from UCLA
											and I found myself at NASA,
											working for the jet propulsion laboratory,
											and there our team was challenged
											to create a 3D visualization of the solar system,
											and today I want to show you what we've done so far.
									","
											Bueno, unos años más tarde me gradué en la UCLA
											y me encontré en la NASA
											trabajando en el Laboratorio de Propulsión a Chorro,
											donde nuestro equipo recibió el desafío
											de crear una visualización 3D del Sistema Solar.
											Hoy quiero mostrarles lo hecho hasta el momento.
									","
											Des années plus tard, j'ai obtenu mon diplôme de l'UCLA
											et je me suis retrouvé à la NASA,
											à travailler pour le laboratoire de propulsion à réaction ;
											c'est là que notre équipe a été mise au défi
											de créer une visualisation 3D du système solaire.
											Aujourd'hui, je veux vous montrer ce que nous avons accompli jusqu'à présent.
									","
											Bem, alguns anos depois, acabei o curso na UCLA
											e quando dei conta estava na NASA,
											a trabalhar para o laboratório de propulsão a jacto,
											onde a nossa equipa foi desafiada
											a criar uma visualização tri-dimensional do
sistema solar.
											Hoje quero-vos mostrar o que fizemos até agora.
									",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
","
","
","
","
",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
											Der Knackpunkt hierbei ist, dass Sie alles, was ich gleich hier tun werde
											zu Hause machen können, weil wir dies für die Nutzung
											durch die Öffentlichkeit - für Sie alle - entwickelt haben.
									","
											Now, the kicker is, everything I'm about to do here
											you can do at home, because we built this
											for the public for you guys to use.
									","
											Lo emocionante de lo que mostraré aquí
											es que Uds. pueden repetirlo en casa, pues construimos esto
											para el público, para que Uds. lo usen.
									","
											Le plus beau, c'est que tout ce que je suis sur le point de le faire ici,
											vous pouvez le faire chez vous, parce que nous l'avons construit
											pour que le grand public puisse l'utiliser.
									","
											Ora, o bónus disto é que tudo que vou fazer aqui
											podem fazer em casa, porque construímos isto
											para o público poder usar.
									",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
","
","
","
","
",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
											Sie sehen also jetzt gerade die Erde -
											die Vereinigten Staaten und Kalifornien
											und San Diego und Sie können die Maus
											oder die Tastatur verwenden, um Dinge herumzudrehen.
									","
											So what you're looking at right now is the Earth.
											You can see the United States and California
											and San Diego, and you can use the mouse
											or the keyboard to spin things around.
									","
											Lo que vemos en este momento es la Tierra.
											Pueden ver Estados Unidos, California
											y San Diego, y pueden usar el ratón
											o el teclado para girar la imagen.
									","
											Ce que vous voyez à droite maintenant, c'est la Terre.
											Vous pouvez voir les États-Unis, la Californie
											et San Diego ; vous pouvez utiliser la souris
											ou le clavier pour faire tourner les images.
									","
											Portanto, o que estão a ver neste momento é a Terra.
											Podem ver os Estados Unidos e a Califórnia
											e San Diego, e podem usar o rato
											ou o teclado para rodarem as coisas.
									",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
","
","
","
","
",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
"
											Nun ist dies nichts Neues. Jeder, der schon einmal Google Earth benutzt hat,
											hat dies schon einmal gesehen, aber unsere Gruppe sagt
											immer gerne, dass wir das Gegenteil von Google Earth machen.
											Google Earth reicht von dieser Ansicht bis hin zu ihrem Hintergarten.
											Wir gehen von dieser Ansicht bis hinaus zu den Sternen.
											Die Erde ist also schon cool, aber was wir wirklich zeigen wollen,
											sind die Raumsonden,
											also werde ich die Oberfläche wieder zurückbringen
											und nun sehen Sie einige Satelliten, die die Erde
											umkreisen.
											Dies sind einige unserer wissenschaftlichen Erd-Orbiter.
											Wir haben Militär-, Wetter-, Kommunikations-
											und Spionagesatelliten nicht eingeschlossen.
											Täten wir dies, wäre es ein komplettes Chaos,
											weil es dort oben jede Menge Zeug gibt.
											Und das Coole ist, dass wir tatsächlich 3D-Modelle
											für einige dieser Raumsonden erstellt haben. Wenn Sie also
											irgendeine besuchen möchten, dann müssen Sie sie nur durch einen Doppelklick auswählen.
									","
											Now, this isn't new. Anyone who's used Google Earth
											has seen this before, but one thing we like to say
											in our group is, we do the opposite of Google Earth.
											Google Earth goes from this view down to your backyard.
											We go from this view out to the stars.
											So the Earth is cool, but what we really want to show
											are the spacecraft,
											so I'm going to bring the interface back up,
											and now you're looking at a number of satellites
											orbiting the Earth.
											These are a number of our science space Earth orbiters.
											We haven't included military satellites and weather satellites
											and communication satellites and reconnaissance satellites.
											If we did, it would be a complete mess,
											because there's a lot of stuff out there.
											And the cool thing is, we actually created 3D models
											for a number of these spacecraft, so if you want to visit
											any of these, all you need to do is double-click on them.
									","
											Esto no es nuevo. Cualquiera que haya usado Google Earth
											ya lo conoce, pero algo que nos gusta decir
											en nuestro grupo, es que hacemos lo contrario a Google Earth.
											Google Earth va desde esta vista hasta sus casas.
											Nosotros vamos desde esta vista hacia las estrellas.
											La Tierra es genial, pero lo que nosotros queremos mostrar
											son las naves espaciales.
											Así que voy a levantar la interfaz visual
											y verán algunos de los satélites
											que orbitan la Tierra.
											Estos son algunos de los orbitadores científicos de la Tierra.
											No hemos incluido los satélites militares, ni los meteorológicos
											ni los de comunicaciones, ni los de reconocimiento.
											De hacerlo, sería una total confusión
											porque hay muchísimas cosas allí.
											Lo genial es que hemos creado modelos tridimensionales
											de algunas de estas naves, así que si quieren
											visitar alguna, solo tienen que hacer clic sobre ella.
									","
											Ce n'est pas nouveau. Tous ceux qui ont utilisé Google Earth
											ont déjà vu ça, mais dans notre groupe, nous nous plaisons à dire
											que nous faisons le contraire de Google Earth.
											Google Earth part de ce point de vue pour descendre jusqu'à votre jardin.
											Nous partons de ce point de vue pour aller vers les étoiles.
											La Terre, c'est sympa, mais ce que nous voulons vraiment montrer,
											ce sont les engins spatiaux.
											Je vais faire réapparaître l'interface,
											vous voyez un certain nombre de satellites
											en orbite autour de la terre.
											Il s'agit de certains de nos orbiteurs scientifiques.
											Nous n'avons inclus ni les satellites militaires, ni les satellites météorologiques
											ni les satellites de télécommunications, ni les satellites de reconnaissance.
											Si nous l'avions fait, ça aurait été une pagaille totale,
											parce qu'il y a beaucoup de choses là-bas.
											Ce qui est sympa, c'est que nous avons effectivement créé des modèles 3D
											d'un certain nombre de ces engins, donc si vous voulez en visiter,
											vous n'avez qu'à double-cliquer dessus.
									","
											Isto aqui não é novo. Quem já usou o Google Earth
											já viu isto, mas o que gostamos de dizer
											no nosso grupo é que fazemos o contrário 
do Google Earth.
											O Google Earth parte desta vista 
e desce até ao vosso quintal.
											Nós partimos desta vista e subimos até às estrelas.
											Portanto, a Terra é fixe, mas o que realmente 
queremos mostar
											são as naves.
											Portanto, vou voltar à interface,
											e agora estão a olhar para um número de sátelites
											que orbitam a terra.
											Estes são alguns dos objectos orbitais da Terra.
											Não incluímos satélites militares ou meteorológicos,
											nem satélites de comunicação e de reconhecimento.
											Se incluíssemos, seria um caos,
											porque existe muita coisa por lá.
											E o engraçado nisto é que criámos modelos 3D
											para um número destas naves, portanto 
se quiserem visitar
											qualquer uma destas, basta clicar sobre elas.
									",Tour the solar system from home,Jon Nguyen,7:53,"Planets,TEDx,demo,exploration,science,software,space,technology,cosmos,visualizations,astronomy,Moon,computers,NASA,solar system"
