en,pt,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											So, Ma was trying to explain
something to me
											about Grandma and when they grew up,
											but I couldn't pay attention to her
											because I was five years old,
and I was petrified.
											I had just seen The Green Lady.
											Now, about a week earlier,
I'd watched that movie ""Godzilla,""
											the one about that huge lizard-like beast
storming a major city,
											and the thought of a green monster
coming for me was stuck in my mind.
											And yet there I was,
at the tip of Lower Manhattan with my mom,
											just staring at her:
											her horns,
											her muscles —
											all of it just frightened me.
											And I didn't know
whether she was a monster or a hero.
											So I decided to consult
the Google of the day —
											""Ma! Ma!""
									","
											A minha mãe estava 
a tentar explicar-me algo
											sobre a infância dela e sobre a avó,
											mas eu não conseguia prestar atenção
											porque eu tinha cinco anos,
e estava aterrorizado.
											Eu tinha acabado de ver ""A Senhora Verde"".
											Cerca de uma semana antes, 
eu tinha visto o filme ""Godzilla"",
											sobre uma criatura-lagarto gigante 
a invadir uma cidade grande,
											e a imagem de um monstro verde 
vir atrás de mim não me saía da cabeça.
											E mesmo assim, ali estava eu, 
na Baixa de Manhattan com a minha mãe,
											a olhar para a senhora:
											os seus chifres,
											os seus músculos...
											tudo isso me assustava.
											Eu não sabia se ela era 
um monstro ou uma heroína.
											Então, decidi consultar 
o Google que usava na altura:
											""Mãe! Mãe!""
									","
											Ma estaba tratando de explicarme algo
											sobre la abuela y cuando eran pequeños,
											pero no podía prestarle atención
											porque yo tenía cinco años 
y estaba petrificado.
											Acabo de ver a la señora verde.
											Una semana antes había visto 
esa película ""Godzilla"",
											el de esa enorme bestia lagartija 
que asalta una ciudad importante,
											y pensar que un monstruo verde viniera 
a por mí, me tenía obsesionado.
											Y sin embargo allí estaba yo, en la punta 
del Bajo Manhattan con mi mamá,
											mirándola fijamente:
											sus cuernos,
											sus músculos,
											todo me asustó.
											Y no sabía si ella era 
un monstruo o una heroína.
											Así que decidí consultar
el Google de la época.
											""¡Ma! ¡Ma!""
									","
											Maman essayait de m'expliquer
quelque chose à propos de mamie
											et de leur enfance
											mais je ne lui prêtais pas attention
											car j'avais cinq ans
et que j'étais pétrifié.
											Je venais de voir « La femme verte ».
											Environ une semaine plus tôt,
j'avais regardé « Godzilla »
											l'histoire d'un énorme lézard
qui détruit une grande ville
											et l'idée qu'un monstre vert s'en prenne
à moi était ancrée dans mon esprit.
											Pourtant j'étais là, au bout
de Lower Manhattan avec ma mère,
											à la regarder fixement :
											ses cornes,
											ses muscles —
											tout ça m'effrayait.
											J'ignorais si c'était
un monstre ou une héroïne.
											J'ai décidé de consulter
la page Google du jour —
											« Maman ! Maman ! »
									","
											Mama wollte mir etwas über Oma
und ihre Kindheit erzählen,
											aber ich konnte ihr nicht zuhören,
											denn ich war 5 Jahre alt
und zu Tode erschrocken.
											Ich hatte gerade ""die grüne Dame"" gesehen.
											Die Woche davor hatte ich
den Film ""Godzilla"" gesehen;
											den mit der Riesenbestie,
die eine Stadt bedroht,
											und der Gedanke eines grünen Monsters,
das mich holt, setzte sich bei mir fest.
											Da stand ich mit meiner Mutter
an der Südspitze Manhattans
											und starrte sie einfach an:
											ihre Hörner, ihre Muskeln —
											all das erschreckte mich.
											Ich wusste nicht, ob sie
ein Monster oder eine Heldin war.
											Also fragte ich das damalige Google:
											""Mama! Mama!""
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											My mother explained that The Green Lady
is actually the Statue of Liberty
											and that she was waving immigrants in.
											Now, the part of her explanation
that really messed with my young head
											was the fact that, according to Ma,
											long before us,
											The Green Lady was actually brown,
											brown like me,
											and that she changed
colors over the years,
											much like America.
											Now, the part that really
is intriguing about this
											is that when she changed colors,
											she made me think about myself.
											It all made sense to me,
											because as a first-generation American,
											I was surrounded by immigrants.
											In fact, within my immediate social circle
of the people who support me,
											who enrich my life,
											at least two are foreign-born.
											My life as a US citizen is in many ways
shaped by newcomers,
											and chances are,
											so is yours.
									","
											Ela explicou-me que ""A Senhora Verde""
é, na verdade, a Estátua da Liberdade,
											e que estava a receber os imigrantes.
											A parte da explicação que realmente 
mexeu com a minha cabeça de criança
											foi o facto de que, segundo a minha mãe,
											antes dos nossos tempos,
											""A Senhora Verde"" era castanha,
											castanha como eu,
											e que a sua cor foi mudando 
ao longo dos anos,
											tal como os Estados Unidos da América.
											O mais intrigante disto tudo
											foi que a sua mudança de cor
me fez pensar em mim próprio.
											Tudo isso fazia sentido para mim, pois,
como primeira geração nascida nos EUA,
											estava rodeado de imigrantes.
											Aliás, dentro do círculo social 
de pessoas que me apoiam,
											que enriquecem a minha vida,
											pelo menos duas nasceram no estrangeiro.
											A minha vida enquanto 
norte-americano foi, de várias formas,
											marcada por recém-chegados,
											e aposto que as vossas também foram.
									","
											Mi madre me explicó que la señora verde
era en realidad la Estatua de la Libertad
											y que estaba saludando a los inmigrantes.
											La parte de su explicación que de verdad 
se me metió en mi joven cabeza
											fue el hecho de que, según mamá,
											mucho antes de nosotros,
											la señora verde era realmente marrón,
											marrón como yo
											y que cambió de color 
a lo largo de los años,
											como EE.UU.
											Y la parte que realmente 
intriga al respecto
											es que al cambiar de color,
											me hizo pensar en mí.
											Todo tenía sentido para mí,
											porque como primera generación
de estadounidense,
											yo estaba rodeado de inmigrantes.
											De hecho, en mi círculo social inmediato 
de las personas que me apoyan,
											que enriquecen mi vida,
											al menos dos son nacidos 
en el extranjero.
											Mi vida como ciudadano de EE.UU. 

											está, de muchas maneras,
moldeada por los recién llegados,
											y probablemente la de Uds. también.
									","
											Ma mère m'a expliqué que la femme verte
était la Statue de la Liberté
											et qu'elle faisait signe aux immigrants.
											Dans son explication, ce qui a semé
le trouble dans mon jeune esprit
											était le fait que, d'après maman,
											bien avant nous,
											la femme verte était marron,
											marron comme moi,
											et qu'elle avait changé de couleur
au fil des années,
											comme l'Amérique.
											Ce qui est fascinant ici, c'est
que quand elle a changé de couleur,
											elle m'a fait penser à moi-même.
											Ça faisait sens pour moi,
											car, Américain de première génération,
											j'étais entouré d'immigrants.
											En fait, dans mon cercle social immédiat
des gens qui me soutiennent,
											qui enrichissent ma vie,
											au moins deux sont nés à l'étranger.
											Ma vie de citoyen des États-Unis est
façonnée par les nouveaux arrivants
											et il y a de grandes chances
que la vôtre l'est aussi.
									","
											Meine Mutter erklärte mir,
											dass die grüne Dame
die Freiheitsstatue sei,
											und dass sie die Immigranten hereinwinke.
											Aber eines verwirrte mich
als kleiner Junge an ihrer Erklärung:
											Laut Mama sei die grüne Dame
											vor langer Zeit einmal braun gewesen.
											So braun wie ich.
											Und im Laufe der Jahre
habe sie ihre Farbe geändert,
											so wie Amerika auch.
											Der richtig spannende Teil
dieser Geschichte ist,
											dass sie mich durch ihre Farbänderung
über mich selbst nachdenken ließ.
											Es leuchtete mir ein,
											denn als Kind von Einwanderern
war ich von Einwanderern umgeben.
											In meinem direkten sozialen Umfeld
von Menschen, die mir nahe stehen,
											die mein Leben bereichern,
											sind mindestens zwei im Ausland geboren.
											Mein Leben als US-Bürger ist vielfach
von Neuankömmlingen geprägt.
											Sehr wahrscheinlich
ist das bei Ihnen auch so.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											There are more than 40 million
immigrants in the USA.
											According to census data,
											a quarter of the nation's children
have at least one foreign-born parent.
											I know all these statistics
because I study global migration patterns.
											I'm a journalist,
and for the last few years,
											I've been documenting
the lives of US citizens
											who've lost people to deportation.
											And the numbers are enormous.
											From 2008 to 2016,
											more than three million people
were ""ordered removed"" —
											that's the technical term
for being deported.
											There is an economic, a political,
a psychological and an emotional cost
											to those deportations —
											the moments when these circles are broken.
									","
											Há mais de 40 milhões 
de imigrantes nos EUA.
											Segundo os dados do censo,
											um quarto das crianças norte-americanas 
têm, pelo menos, um pai estrangeiro.
											Eu conheço todas estas estatísticas
											porque estudo
os padrões da migração global.
											Sou um jornalista e,
ao longo dos últimos anos,
											tenho documentado
as vidas dos cidadãos norte-americanos
											que perderam alguém devido à deportação.
											E os números são astronómicos.
											Desde 2008 até 2016,
											mais de três milhões de pessoas
receberam ordens para serem ""retiradas"",
											que é o termo técnico
para serem deportadas.
											Algo assim carrega um custo económico,
político, psicológico e emocional,
											os momentos em que 
esses círculos são quebrados.
									","
											Hay más de 40 millones 
de inmigrantes en EE.UU.
											Según datos del censo, una cuarta parte
											de los hijos de la nación tienen 
al menos un padre nacido en el extranjero.
											Conozco todas estas estadísticas porque 
estudio los patrones de migración global.
											Soy periodista y, durante los últimos años,
											he documentado las vidas 
de los ciudadanos estadounidenses
											que han perdido gente por la deportación.
											Y los números son enormes.
											De 2008 a 2016
											""se ordenó la expulsión"" 
de más de tres millones de personas,
											ese es el término técnico 
para ""ser deportado"".
											Hay un costo económico, político, 
psicológico y emocional
											por esas deportaciones...
											en esos momentos en los que 
se rompen los círculos.
									","
											Il y a plus de 40 millions
d'immigrants aux États-Unis.
											D'après les recensements,
											un quart des enfants de la nation
ont au moins un parent né à l'étranger.
											Je connais toutes ces statistiques
											car j'étudie les schémas
de migration mondiale.
											Je suis journaliste
et ces dernières années,
											j'ai relaté la vie de citoyens américains
											ayant perdu des proches
du fait de la déportation.
											Les chiffres sont énormes.
											Entre 2008 et 2016,
											on a « ordonné le renvoi »
de plus de trois millions de personnes —
											c'est le terme technique
de la déportation.
											Il y a un coût économique, politique,
psychologique et émotionnel
											à ces déportations —
											les moments où ces cercles sont brisés.
									","
											Es gibt mehr als 40 Millionen 
Einwanderer in den USA.
											Laut Volkszählung hat 1/4
der in den USA geborenen Kinder
											mindestens ein im Ausland
geborenen Elternteil.
											Ich kenne diese Statistiken,
											denn ich erforsche
globale Migrationsmuster.
											Ich bin Journalist
und in den letzten Jahren
											habe ich das Leben
von US-Bürgern dokumentiert,
											die Menschen durch
Abschiebungen verloren haben.
											Die Zahlen sind unheimlich hoch.
											Von 2008 bis 2016
											wurde für über 3 Millionen 
die ""Ausweisung angeordnet"" —
											so nennt man diese Abschiebung offiziell.
											Ökonomische, politische,
psychologische und emotionale Kosten
											entstehen aus diesen Abschiebungen,
											in den Momenten, wenn Bindungen zerreißen.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											I once asked a US soldier,
											""Why did you volunteer to fight this war?""
									","
											Uma vez, perguntei a uma soldado:
											""Porque é que decidiste 
lutar nesta guerra?""
									","
											Una vez le pregunté 
a una soldado estadounidense:
											""¿Por qué te alistaste voluntaria 
para pelear esta guerra?""
									","
											J'ai demandé à une soldate américaine :
											« Pourquoi être volontaire
pour cette guerre ? »
									","
											Einmal fragte ich eine US-Soldatin:
											""Warum gehen Sie freiwillig in den Krieg?""
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
