en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
											Cancer.
											It's a devastating disease
that takes an enormous emotional toll.
											Not only on the patient,
but the patient's loved ones, as well.
											It is a battle that the human race
has been fighting for centuries.
											And while we've made some advancements,
											we still haven't beaten it.
											Two out of five people in the US
will develop cancer in their lifetime.
											Of those, 90 percent will succumb
to the disease due to metastases.
									","
											Kanser.
											Duyguları harap eden,
yıkıcı bir hastalık.
											Sadece hasta değil
hastanın yakınları için de.
											Bu insanoğlunun asırlardır
sürdürdüğü bir savaş
											ve epeyce ilerleme kaydetmiş olsak da
											henüz kanseri yenemedik.
											ABD'de her 5 kişiden 2'si hayatlarının
bir döneminde kansere yakalanacak.
											Bunlardan yüzde 90'ı metastaz nedeniyle
hastalığa yenik düşecek.
									","
											Cancer.
											Cette maladie dévastatrice sur laquelle
on met beaucoup d'émotions personnelles.
											Non seulement pour les patients,
mais pour leurs proches également.
											C'est une bataille que l'humanité mène
depuis des siècles.
											Et bien que nous ayons fait des progrès,
											nous ne l'avons pas encore remportée.
											Aux US, 4 personnes sur 10 développeront
un cancer au cours de leur vie.
											Parmi eux, 90% succomberont à la maladie
à cause des métastases.
									","
											O cancro.
											É uma doença devastadora
que tem uma enorme carga emotiva.
											Não só para o doente, mas também
para os entes queridos do doente.
											É uma batalha que os seres humanos
travam há séculos.
											Embora tenhamos feito
alguns progressos,
											ainda não o conseguimos vencer.
											Duas em cada cinco pessoas nos EUA
vão ter cancro durante a sua vida.
											Dessas, 90% sucumbirão
à doença, devido a metástases.
									",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
","
","
","
",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
											Metastasis is a spread of cancer
from a primary site to a distal site,
											through the circulatory
or the lymphatic system.
											For instance, a female patient
with breast cancer
											doesn't succumb to the disease simply
because she has a mass on her breast.
											She succumbs to the disease
because it spreads
											to the lungs, liver,
lymph nodes, brain, bone,
											where it becomes unresectable
or untreatable.
											Metastasis is a complicated process.
											One that I've studied
for several years now.
											And something that my team
and I discovered recently
											was that cancer cells are able
to communicate with each other
											and coordinate their movement,
											based on how closely packed they are
in the tumor microenvironment.
											They communicate with each other
through two signaling molecules
											called Interleukin-6 and Interleukin-8.
									","
											Metastaz, kanserin başlangıç
bölgesinden daha uzak bölgelere
											dolaşım veya lenf sistemi 
yoluyla yayılmasıdır.
											Örneğin, göğüs kanseri olan
bir kadın hasta
											hastalığa göğsünde bir kitle olması 
nedeniyle yenik düşmez.
											Hastalığa yenilme nedeni, hastalığın
											akciğer, karaciğer, lenf nodülleri
beyin ve kemiklere yayılarak
											cerrahi yöntemle alınamaz veya
tedavi edilemez hale gelmesidir.
											Metastaz karmaşık bir süreçtir.
											Bu benim yılllardır 
üzerinde çalıştığım bir konu.
											Ben ve takımım bir süre önce
											kanser hücrelerinin birbiriyle 
iletişim kurabildiklerini
											ve tümör mikro ortamındaki
sıkışıklık ve yoğunluğa göre
											hareketlerini koordine
edebildiklerini keşfettik.
											Birbirleriyle Interleukin-6 
ve Interleukin-8 adlı
											iki sinyal molekülü aracılığıyla 
iletişim kuruyorlar.
									","
											Les métastases sont l'extension du cancer
du premier stade jusqu'à la phase finale,
											à travers les systèmes circulatoires
ou lymphatiques.
											Par exemple, une patiente
atteinte d'un cancer du sein
											ne succombe pas à la maladie simplement
car elle a une tumeur dans son sein.
											Elle succombe à la maladie
lorsqu'elle s'étend
											aux poumons, au foie, aux ganglions,
au cerveau ou aux os,
											où cela devient inopérable et incurable.
											Les métastases ont un processus complexe,
											que j'étudie depuis maintenant
plusieurs années.
											Et quelque chose que mon équipe et moi
avons découvert récemment
											est que les cellules cancéreuses peuvent
communiquer les unes avec les autres
											et coordonner leurs mouvements,
											selon leur proximité
dans le micro-environnement de la tumeur.
											Elles communiquent entre elles
grâce à deux molécules de signal
											appelées Interleukine 6 et Interleukine 8.
									","
											As metástases são o alastramento do cancro
de um local primário a um local distante,
											através do sistema circulatório
ou linfático.
											Por exemplo, uma doente
com cancro da mama
											não sucumbe à doença
só porque tem um tumor na mama.
											Sucumbe à doença, porque ele se espalha
											aos pulmões, ao fígado, aos ossos,
aos nódulos linfáticos, ao cérebro,
											onde se torna impossível
de ser operado ou tratado.
											A metástase é um processo complicado,
											um processo que tenho estudado
já há vários anos a esta parte.
											Uma coisa que a minha equipa e eu
descobrimos recentemente
											foi que as células cancerosas
podem comunicar umas com as outras
											e coordenar os seus movimentos,
											com base na sua concentração
no microambiente do tumor.
											Comunicam umas com as outras
através de duas moléculas de sinalização
											chamadas interleucina-6
e interleucina-8.
									",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
","
","
","
",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
											Now, like anything else in nature,
											when things get a little too tight,
the signal is enhanced,
											causing the cancer cells
to move away faster from the primary site
											and spread to a new site.
											So, if we block this signal,
using a drug cocktail that we developed,
											we can stop the communication
between cancer cells
											and slow down the spread of cancer.
											Let me pause here for a second
											and take you back to when
this all began for me in 2010,
											when I was just a sophomore in college.
											I had just started working
in Dr Danny Wirtz's lab
											at Johns Hopkins University.
											And I'll be honest: I was a young,
naive, Sri Lankan girl,
									","
											Doğadaki diğer şeylerde olduğu gibi,
											işler biraz sıkıya binince
sinyaller artıyor
											ve bu kanser hücrelerinin daha hızlı 
bir şekilde birincil alandan ayrılıp
											yeni bir alana yayılmasına 
neden oluyor.
											Eğer bu sinyali geliştirmiş olduğumuz
ilaç kokteyli ile engelleyebilirsek
											kanser hücreleri arasındaki 
iletişimi engelleyebilir
											ve böylece kanserin yayılmasını 
yavaşlatabiliriz.
											Burada biraz durup sizleri
											benim için bütün bunların başladığı
2010 yılına götürmeme izin verin.
											Henüz üniversitedeki ikinci yılımdı,
											John Hopkins Üniversitesi'nde 
Dr Danny Wirtz'in laboratuvarında
											çalışmaya daha yeni başlamıştım
											ve doğruyu söylemem gerekirse
genç ve saf, Sri Lanka'lı bir kızdım
									","
											Maintenant, comme partout dans la nature,
											lorsque les choses sont trop serrées,
le signal est renforcé,
											entraînant les cellules cancéreuses
à bouger plus vite du stade primaire
											et à s'étendre sur un nouveau site.
											Dons, si nous bloquons le signal, grâce
à notre nouveau cocktail de médicaments,
											nous pouvons stopper la communication
entre les cellules cancéreuses
											et ralentir l'aggravation du cancer.
											Laissez-moi faire une pause
											et vous ramener au moment où tout
a commencé pour moi, en 2010,
											lorsque j'étais en deuxième année
à l'Université.
											Je venais juste de commencer à travailler
dans le labo du Dr Danny Wirtz
											à l'Université Johns Hopkins.
											Et pour être honnête, j'étais une jeune
et naïve Sri Lankaise,
									","
											Tal como tudo na natureza,
											quando as coisas ficam
demasiado concentradas,
											soa um sinal
											que leva as células cancerosas
a afastar-se
											mais rapidamente
do local primário
											e a espalharem-se para um novo local.
											Se bloquearmos este sinal,
											usando um ""cocktail"" de drogas
que desenvolvemos,
											podemos deter a comunicação
entre as células cancerosas
											e abrandar a disseminação do cancro.
											Vou suspender aqui por momentos
											e recuar até quando
tudo isto começou para mim, em 2010,
											quando eu ainda estava na faculdade.
											Tinha começado a trabalhar
no laboratório do Dr. Danny Wirtz
											na Universidade Johns Hopkins.
											Para ser sincera, eu era uma rapariga
do Sri Lanka, jovem e ingénua
									",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
","
","
","
",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risos)
									",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
","
","
","
",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
"
											who had no previous research experience.
											And I was tasked
to look at how cancer cells move
											in a 3D collagen I matrix
											that recapsulated, in a dish,
											the conditions that cancer cells
are exposed to in our bodies.
											This was new and exciting for me,
											because previous work had been done
on 2D, flat, plastic dishes
											that really weren't representative
											of what the cancer cells
are exposed to in our bodies.
											Because, let's face it,
											the cancer cells in our bodies
aren't stuck onto plastic dishes.
											It was during this time
that I attended a seminar
											conducted by Dr Bonnie Bassler
from Princeton University,
											where she talked about how bacteria cells
communicate with each other,
											based on their population density,
and perform a specific action.
									","
											ve araştırma deneyimim de yoktu.
											Bana verilen görev
bir kaptaki, kapsül içindeki,
											3 boyutlu kolajen I matris içindeki,
											vücudumuzdaki koşullara
											tabi tutulan kanser hücrelerinin
hareketlerini izlemekti.
											Bu benim için yeni
ve heyecan verici bir şeydi
											çünkü daha önce yapılan çalışma 2 boyutlu
düz, plastik kaplar üzerinde yapılmıştı,
											bu da kanser hücrelerinin
											vücudumuzda maruz kaldıkları koşulları
çok temsil etmiyordu.
											Çünkü, kabul etmeliyiz ki
											vücudumuzdaki kanser hücreleri 
plastik tabaklara yapışıp kalmıyor.
											O sırada, Princeton Üniversitesi'nden
											Dr. Bonnie Bassler'ın verdiği 
bir seminere katıldım ve o
											bakteri hücrelerinin nüfus yoğunluklarına 
bağlı olarak nasıl iletişim kurdukları
											ve belirli bir hareketi nasıl 
yaptıklarından söz etti.
									","
											qui n'avait aucune expérience 
dans la recherche.
											J'étais mandatée pour observer
le mouvement des cellules cancéreuses
											dans une matrice 3D de collagène I
											qui reproduisait en laboratoire
											les conditions dans lesquelles le cancer
se développe dans notre corps.
											C'était nouveau et excitant pour moi,
											car un travail préliminaire
avait été fait en 2D, à plat,
											qui n'avait vraiment pas été représentatif
											de la manière de vivre des cellules
cancéreuses dans notre corps.
											Car, il faut bien se le dire,
											les cellules cancéreuses dans le corps
ne restent pas dans une boite de Petri.
											C'est à cette même époque
que j'ai participé à un séminaire
											organisé par le Dr Bonnie Bassler,
de l'Université de Princeton,
											où elle parlait de la communication
des cellules des bactéries,
											à partir de leur densité de population,
et leur action spécifique.
									","
											que não tinha nenhuma experiência
de investigação.
											Tinha a tarefa de observar
o movimento das células cancerosas
											numa matriz de colagénio a 3D
											que reproduziam, numa placa,
											as condições a que as células cancerosas
estão expostas no nosso corpo.
											Para mim, era uma coisa nova e excitante,
											porque o mesmo trabalho
já tinha sido feito a 2D,
											em placas chatas, de plástico
											que não eram representativas
											das condições a que as células cancerosas
estão expostas no nosso corpo.
											Porque, temos que ser honestos,
											as células cancerosas no nosso corpo
não estão confinadas a placas de plástico.
											Foi nesta altura
que frequentei um seminário
											realizado pela Dra. Bonnie Bassier
da Universidade de Princeton,
											em que ela explicou como as células
bacterianas comunicam umas com as outras,
											conforme a densidade da sua população
e realizam uma ação específica.
									",How cancer cells communicate — and how we can slow them down,Hasini Jayatilaka,10:19,"cancer,medicine,science,medical research,discovery,innovation,TEDx,human body"
