pt,en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
											Nós temos registos históricos
que nos permitem saber
											como é que os gregos antigos se vestiam
											como viviam, como lutavam...
											Mas, como é que eles pensavam?
									","
											We have historical records that allow us
to know how the ancient Greeks dressed,
											how they lived,
											how they fought ...
											but how did they think?
									","
											Hay registros históricos para saber
cómo se vestían los antiguos griegos,
											cómo vivían,
											cómo peleaban...
											pero ¿qué pensaban?
									","
											Antik Yunanların nasıl giyindikleri,
nasıl yaşadıkları,
											nasıl savaştıklarına dair
bilgi edinmemizi sağlayan
											tarihi kayıtlar var...
											Peki nasıl düşünürlerdi?
									","
											Des preuves historiques nous permettent de
connaître les vêtements des Grecs anciens,
											leur manière de vivre,
											leur façon de combattre,
											mais comment pensaient-ils ?
									",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
","
","
","
","
",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
											Uma ideia comum é de que 

											os aspetos mais profundos 
do pensamento humano
											— a nossa capacidade de imaginar,
											de ser consciente,
de sonhar —
											têm sido sempre os mesmos.
											Outra possibilidade
											é que as transformações sociais
que modelaram a nossa cultura
											podem ter, também, modificado 
as estruturas do pensamento humano.
									","
											One natural idea is that the deepest
aspects of human thought —
											our ability to imagine,
											to be conscious,
											to dream —
											have always been the same.
											Another possibility
											is that the social transformations
that have shaped our culture
											may have also changed
the structural columns of human thought.
									","
											Una idea natural es que los aspectos
más profundos del pensamiento:
											la capacidad de imaginar,
											de ser consciente,
											de soñar,
											siempre han sido los mismos.
											Otra posibilidad
											es que las transformaciones sociales
que han dado forma a nuestra cultura
											pueden haber cambiado las columnas
estructurales del pensamiento humano.
									","
											İnsanın düşünce sisteminin
											hayal kurma,
											bilinçli olma,
											rüya görme yetimiz gibi 
en derin yönlerinin
											hep aynı olduğuna dair
genel bir görüş vardır.
											Diğer bir ihtimal ise
											kültürümüzü şekillendiren 
sosyal dönüşümlerin
											aynı şekilde insanın düşünce 
kodlarını da değiştirmiş olmasıdır.
									","
											C'est un lieu commun de penser
											que les aspects les plus profonds
de la pensée —
											nos capacités à imaginer,
											à être conscient,
											à rêver —
											ont toujours été les mêmes.
											Une autre possibilité
											est que les transformations sociales
qui ont façonné notre culture
											peuvent aussi avoir changé
la structure même de la pensée humaine.
									",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
","
","
","
","
",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
											Todos nós podemos ter 
opiniões diferentes sobre isto.
											Na verdade, é um debate filosófico
de longa data.
											Mas será que esta questão 
poderá ser tratada pela ciência?
									","
											We may all have different
opinions about this.
											Actually, it's a long-standing
philosophical debate.
											But is this question
even amenable to science?
									","
											Podemos tener diferentes
opiniones sobre esto.
											En realidad, es un debate 
filosófico de larga tradición.
											Pero ¿es esta pregunta acaso
abordable por la ciencia?
									","
											Bu konuda hepimizin 
farklı görüşleri olabilir.
											Aslında bu uzun zamandır 
süregelen felsefi bir tartışmadır.
											Peki bu konu bilimle de
bağlantılı olabilir mi?
									","
											Nous pouvons tous avoir
un avis différent à ce sujet.
											En fait, c'est un débat philosophique
de longue date.
											Mais peut-on poser
cette question à la science ?
									",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
","
","
","
","
",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
											Aqui, eu gostaria de propor que,
									","
											Here I'd like to propose
											that in the same way we can reconstruct
how the ancient Greek cities looked
											just based on a few bricks,
											that the writings of a culture
are the archaeological records,
											the fossils, of human thought.
									","
											Aquí me gustaría proponer
que, así como podemos
											reconstruir el aspecto de
las antiguas ciudades griegas
											a partir de unos ladrillos,
											los escritos de una cultura
son los registros arqueológicos,
											los fósiles del pensamiento humano.
									","
											Ben şunu önermek isterim;
											aynı şekilde, sadece birkaç kalıntıdan
hareketle Antik Yunan şehirlerinin
											eski yapısını anlayabiliriz,
											çünkü bir kültürün yazma eserleri,
insanın düşüncesinin
											arkeolojik kayıtları, kalıntılarıdır.
									","
											Je voudrais vous proposer d'avoir
											une approche similaire à la reconstruction
de la forme des anciennes villes grecques
											en se basant sur quelques briques,
											et considérer les écrits
comme des indices archéologiques,
											des fossiles, de la pensée humaine.
									",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
","
","
","
","
",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
"
											da mesma forma
que conseguimos reconstruir
											como eram as antigas cidades gregas
											com base apenas nalguns tijolos,
											as escritas de uma cultura
são os registos arqueológicos,
											os fósseis do pensamento humano.
									","
											And in fact,
											doing some form of psychological analysis
											of some of the most ancient
books of human culture,
											Julian Jaynes came up in the '70s
with a very wild and radical hypothesis:
											that only 3,000 years ago,
											humans were what today
we would call schizophrenics.
											And he made this claim
											based on the fact that the first
humans described in these books
											behaved consistently,
											in different traditions
and in different places of the world,
											as if they were hearing and obeying voices
											that they perceived
as coming from the Gods,
											or from the muses ...
											what today we would call hallucinations.
											And only then, as time went on,
											they began to recognize
that they were the creators,
											the owners of these inner voices.
											And with this, they gained introspection:
											the ability to think
about their own thoughts.
									","
											Y, de hecho,
											haciendo algún tipo
de análisis psicológico
											de algunos de los libros más antiguos
de la cultura humana,
											Julian Jaynes sugirió en los años 70
una hipótesis fantástica y muy radical:
											que hace solo 3000 años
											los humanos eran lo que hoy
llamaríamos esquizofrénicos.
											Hizo esta afirmación
											apoyándose en el hecho de que los
humanos descritos en estos libros
											se comportaban de manera sistemática
											en diferentes tradiciones
y distintos lugares del mundo,
											como si oyeran y obedecieran voces
											que percibían como
procedentes de los dioses,
											o de las musas...
											Lo que hoy llamaríamos alucinaciones.
											Y solo luego, 
con el transcurso del tiempo,
											empezaron a reconocer que
ellos mismos eran los creadores,
											los dueños de esas voces interiores.
											Y con esto, ganaron introspección:
											la capacidad de pensar
los propios pensamientos.
									","
											Aslında,
											insan kültürüne dair 
çok eski birkaç kitabın
											bir çeşit psikolojik analizlerini yaparak
											Julian Jaynes, 70'li yıllarda çok garip
ve radikal bir hipotez ortaya attı:
											3.000 yıl önce,
											insanlar bugünkü tabirle şizofrendi.
											Jaynes bu tezini şuna dayandırıyordu:
											Bu kitaplarda anlatılan ilk insanlar,
											mütemadiyen
											farklı geleneklerde 
ve dünyanın farklı yerlerinde
											tanrılardan ya da ilham perilerinden
											geldiğini hissettikleri sesler duyuyor ve
itaat ediyormuş gibi
											davranışlar sergiliyordu,
											bugün halüsinasyon dediğimiz şey.
											Ancak, zaman geçtikçe
											bu iç seslerin sahipleri, 
yaratıcıları olduklarını
											anlamaya başladılar.
											Böylece, ""iç gözlem"" sahibi oldular:
											Kendi düşünceleri hakkında 
düşünme yetisi.
									","
											Et en fait,
											par une sorte d'analyse psychologique
											de quelques-uns des plus anciens livres
de la culture humaine,
											Julian Jaynes formula dans les années 70
une hypothèse assez folle et radicale :
											qu'il y a seulement 3 000 ans,
											les humains étaient ce que nous appelons
maintenant des schizophrènes.
											Et il base son allégation
											sur le fait que les premiers humains
décrits dans ces livres
											se comportent toujours,
											dans des traditions
et des lieux différents,
											comme s'ils entendaient des voix
et leur obéissaient,
											car ils les percevaient
comme venant des dieux,
											ou des muses...
											Ce que nous appelons aujourd'hui
des hallucinations.
											Et ce n'est que plus tard,
le temps passant,
											qu'il commencèrent à reconnaitre
qu'ils étaient les créateurs,
											les émetteurs de ces voix intérieures.
											Et ainsi, ils trouvèrent l'introspection :
											La capacité à réfléchir
à leurs propres pensées.
									",Your words may predict your future mental health,Mariano Sigman,12:14,"cognitive science,communication,future,identity,health,language,mental health,mind,science,neuroscience,speech,self,writing,brain"
