es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
											(Aplauso)
									","
											(Música)
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
","
","
","
","
","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
											Gracias.
											Muchas gracias.
											Tal como la persona que hablo antes que yo, soy una — virgen en TED, creo —
											Es mi primera vez aquí, y no se que decir.
									","
											Obrigada.
											Muito obrigada.
											Tal como o orador antes de mim 
— acho que isto é o TED Virgem —
											para mim também é a primeira vez
											(Risos)
											e não sei o que dizer.
									","
											Teşekkür ederim.
											Çok teşekkür ederim.
											Benden önceki konuşmacı gibi, ben de— sanırım şöyle söylenebilir, TED bakiresiyim—
											Hem burada ilk defa yer alıyorum, hem de ne söyleyeceğimi bilmiyorum.
									","
											Merci.
											Merci beaucoup.
											Comme l'intervenant avant moi, je suis — J'imagine une novice du TED —
											C'est aussi la première fois que je suis présente ici.. je ne sais pas quoi dire.
									","
											Danke schön.
											Vielen Dank.
											Wie die Sprecherin vor mir bin ich – das ist die TED-Jungfrau, vermute ich mal –
											bin ich auch das erste Mal hier, und ich weiß nicht, was ich sagen soll.
									","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
","
","
","
","
","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
											(Aplauso)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
","
","
","
","
","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
											Estoy realmente feliz que el Sr. Anderson me haya invitado.
											Y estoy también agradecida de que tengo la oportunidad de tocar para todos ustedes.
											La pieza que acabo de tocar es de Józef Hofmann.
											se llama Caleidoscopio.
											Hofmann es un pianista y compositor Polaco de finales del siglo XVIIII,
											y es considerado uno de los mas grandes pianistas de todos los tiempos.
									","
											Sinto-me muito feliz por 
Mr. Anderson me ter convidado.
											Estou muito grata por ter a oportunidade 
de tocar para todos vós.
											A música que acabei de tocar 
é de Józef Hofmann.
											Chama-se ""Caleidoscópio"".
											Hofmann é um pianista e compositor polaco 
do final do século XIX.
											É considerado 
um dos maiores pianistas de sempre.
									","
											Bay Anderson beni davet ettiği için gerçekten çok mutluyum.
											Herkes için çalma şansını elde ettiğim için de gerçekten minnettarım.
											Ve az önce çaldığım parça Józef Hofmann'ındı.
											Adı Kaleydoskop.
											Hofmann 19. yüzyıl sonlarında yaşamış Polonyalı bir piyanist ve bestekar,
											ve geniş çevrelerce tüm zamanların en büyük piyanistlerinden biri olarak değerlendiriliyor.
									","
											Je suis très heureuse d'avoir était invité par Mr Anderson.
											Je suis vraiment reconnaissante d'avoir la chance de jouer pour chacun de vous.
											Le morceau que je viens d'interpréter est de Józef Hofmann.
											Ça s'appelle le Kaléidoscope.
											Hofmann est un pianiste et compositeur de la fin du 19ème siècle.
											il est reconnut comme l'un des plus grands pianistes dans le monde.
									","
											Ich bin wirklich froh, dass Herr Anderson mich eingeladen hat.
											Ich bin wirklich dankbar, dass ich die Chance bekomme, für alle zu spielen.
											Und das Stück, dass ich gerade gespielt habe, ist von Józef Hofmann.
											Es heißt Kaleidoskop.
											Und Hofmann ist ein polnischer Pianist und Komponist des späten 19. Jahrhunderts,
											und er wird weithin als einer der größten Pianisten aller Zeiten angesehen.
									","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
","
","
","
","
","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
"
											Tengo otra pieza que quisiera tocar para ustedes
											se llama ""Variaciones de Abegg"" de Robert Schumann
											Un compositor Alemán del siglo Diecinueve.
											El Nombre de Abegg — Abegg es de hecho A-B-E-G-G (por las notas en ingles),
											Y es el tema principal de la melodía
											Estas letras vienen del apellido de una de las amigas de Schumann
									","
											Tenho outra peça que gostaria de tocar.
											Chama-se ""Variações Abegg"", 
de Robert Schumann,
											um compositor alemão do século XIX.
											O nome ""Abegg"" - ""Abegg"" é A-B-E-G-G,
									","
											Sizin için çalmak istediğim bir başka parça daha var.
											Robert Schumann'ın ''Abegg Çeşitlemeleri''
											kendisi 19. yüzyıl Alman bestekarı.
											Abegg adı— Abegg aslında A-B-E-G-G (la-si-mi-sol-sol),
											ve melodinin ana teması bu.
											Bu isim Schumann'ın bayan arkadaşlarından birinin soyadından geliyor.
									","
											Il y'a un autre morceau que j'aimerai jouer pour vous.
											C'est ""Abegg Variations"" de Robert Schumann,
											un compositeur allemand du 19ème siècle.
											Ce nom Abegg s'écrit A-B-E-G-G,
											et ces lettres sont le thème principal de la mélodie.
											C'est originaire du nom de famille d'une des ""amies"" de Schummann.
									","
											Ich habe ein anderes Stück, das ich für Sie spielen möchte.
											Es heißt ""Abegg Variationen"" von Robert Schumann,
											ein deutscher Komponist des 19. Jahrhunderts.
											Der Name Abegg — Abegg ist nämlich A-B-E-G-G,
											und das ist das Hauptmotiv der Melodie.
											Es kommt von dem Familiennamen von einer von Schumanns Freundinnen.
									","Improvising on piano, aged 14",Jennifer Lin,24:05,"creativity,entertainment,music,performance,piano,wunderkind,live music"
