en,tr,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
											In 1982, a young nurse was suffering
from severe, unrelenting depression.
											She couldn’t work, socialize,
											or even concentrate well enough
to read the newspaper.
									","
											1982 yılında genç bir hemşire
sert, amansız depresyon geçiriyordu.
											Çalışamıyor, sosyalleşemiyor
											ve hatta gazete okumak için
bile yeterince odaklanamıyordu.
									","
											En 1982, une jeune infirmière souffrait
d'une dépression sévère et incessante.
											Elle ne pouvait travailler, socialiser
											ou même se concentrer assez
pour lire le journal.
									","
											Em 1982, uma jovem enfermeira
teve uma depressão grave, incessante.
											Não conseguia trabalhar, socializar
											nem concentrar-se o suficiente
para ler o jornal.
									","
											1982 klagte eine junge Krankenschwester
über schwere, hartnäckige Depressionen.
											Arbeit und Kontakte litten
											und die Konzentration reichte
nicht einmal zum Zeitunglesen.
									",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
","
","
","
","
",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
											One treatment changed everything.
											After two courses of electroconvulsive
therapy, or ECT, her symptoms lifted.
											She went back to work, then on to graduate
school, where she earned high grades.
											At first, she talked openly about
her life changing treatment.
											But as she realized many people had an
extremely negative impression of ECT,
											she stopped sharing her experience.

									","
											Bir tedavi, her şeyi değiştirdi.
											İki elektrokonvülsif terapi, yani EKT
seansı sonrası, semptomları iyileşti.
											İşe geri döndü, sonra da yüksek
notlar aldığı okulundan mezun oldu.
											İlk başta yaşamını değiştiren
tedaviden açıkça bahsetti.
											Fakat sonra, insanların EKT üzerinde
aşırı olumsuz düşünceleri olduğunu görünce
											deneyimini paylaşmaktan vazgeçti.
									","
											Un traitement a tout changé.
											Après deux sessions
d'électroconvulsivothérapie, ou ECT,
											ses symptômes ont disparu.
											Elle est retournée au travail,
puis a continué l'école,
											où elle a eu de très bonnes notes.
											Au début, elle parlait de manière ouverte
de son traitement révolutionnaire.
											Mais lorsqu'elle comprit que beaucoup
avaient une impression négative de l'ECT,
											elle arrêta de partager son expérience.
									","
											Um tratamento mudou tudo:
											Depois de dois tratamentos de terapia
de eletrochoques, ou ECT,
											os sintomas desapareceram.
											Voltou ao trabalho,
											depois voltou a estudar
e obteve notas altas.
											A princípio, falava abertamente
do tratamento que alterara a sua vida.
											Mas, quando se apercebeu que muita gente
tinha uma impressão negativa da ECT,
											deixou de partilhar a sua experiência.
									","
											Doch eine Behandlung änderte alles.
											Nach zwei Sitzungen Elektrokrampftherapie,
kurz EKT, verschwanden ihre Symptome.
											Sie ging wieder arbeiten und schloss
ein Aufbaustudium mit guten Noten ab.
											Zunächst sprach sie offen
über die Behandlung,
											die ihr Leben veränderte.
											Aber als sie feststellte,
dass viele sehr negativ über EKT dachten,
											hörte sie auf, darüber zu berichten.
									",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
","
","
","
","
",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
											ECT carried a deep stigma,
											leftover from a history that bears little
resemblance to the modern procedure.
											The therapy was first
used in medicine in 1938.
											In its early years, doctors administered a
strong electrical current to the brain,
											causing a whole-body seizure
during which
											patients might bite their tongues
or even break bones.

											Modern ECT is very different.
											While a patient is under 
general anesthesia,
											electrodes deliver a series
of mild electrical pulses to the brain.
											This causes huge numbers of neurons
to fire in unison:
											a brief, controlled seizure.
											A muscle relaxant keeps spasms
from spreading to the rest of his body.
											The only physical indication of the
electricity flooding the brain
											is a twitching foot.

											The treatment lasts for about a minute,
and most patients are able
											to resume normal activities about an
hour after each session.
									","
											EKT'de, modern prosedür ile
											çok az benzerlikler taşıyan bir
tarihten kalma derin bir leke vardır.
											Terapi, tıpta ilk kez 1938'de kullanıldı.
											İlk yıllarında doktorlar beyne 
güçlü bir elektrik akımı uyguluyordu,
											bu da hastaların dillerini
ısırmalarına veya kemiklerinin
											kırılmasına neden olabilecek
bir tüm-vücut felcine neden oluyordu.
											Modern EKT çok farklıdır.
											Bir hasta genel anestezi altındayken
											elektrotlar beyne bir dizi
hafif elektrik titreşimleri gönderir.
											Bu da yüksek sayıda nöronun
aynı anda ateşlenmesine neden olur:
											Kısa, kontrol edilebilir felç.
											Kas rahatlatıcı, spazmların, vücudun
geri kalanına yayılmasını engeller.
											Beyne elektik akımı verildiğinin
tek fiziksel göstergesi,
											ayak kaslarının seğirmesidir.
											Tedavi yaklaşık bir dakika sürer
ve çoğu hasta her seanstan
											yaklaşık bir saat sonra
normal aktivitelerine geri döner.
									","
											L'ECT était regardée d'un mauvais œil,
											cela provenant de son passé
très différent de la procédure moderne.
											La thérapie fut utilisée
pour la première fois en médecine en 1938.
											Dans ses premières années,
											les docteurs administraient
un fort courant électrique au cerveau,
											causant une convulsion générale :
											les patients pouvaient se mordre la langue
ou même se casser des os.
											L'ECT moderne est très différente.
											Pendant qu'un patient est sous
anesthésie générale,
											des électrodes délivrent une série
d'impulsions électriques légères
											au cerveau.
											Cela pousse un grand nombre de neurones
à s'activer à l'unisson :
											une convulsion brève et contrôlée.
											Un relaxant musculaire empêche les spasmes
de se propager au reste du corps.
											La seule indication physique 
de l'électricité circulant dans le cerveau
											est le tremblement du pied.
											Le traitement dure environ une minute
											et la plupart des patients reprennent
des activités normales
											environ une heure après chaque session.
									","
											A ECT tinha um profundo estigma
											deixado por uma história
											que tem pouca semelhança
com os procedimentos modernos.
											A terapia foi usada em medicina
pela primeira vez, em 1938.
											Nos primeiros anos,
											os médicos administravam
uma forte corrente elétrica no cérebro,
											provocando uma convulsão em todo o corpo,
											durante a qual os doentes podiam trincar
a língua, ou mesmo partir ossos.
											A ECT moderna é muito diferente.
											Enquanto o doente está
sob anestesia geral,
											os elétrodos enviam uma série
de impulsos elétricos suaves ao cérebro.
											Isto faz com que um grande número
de neurónios disparem em uníssono:
											uma convulsão breve e controlada.
											Um relaxante muscular impede
											que os espasmos se espalhem
pelo resto do corpo.
											A única indicação física
da eletricidade a inundar o cérebro
											é uma contração no pé.
											O tratamento dura cerca de um minuto
											e a maioria dos doentes pode retomar
as suas atividades normais,
											uma hora depois de cada sessão.
									","
											Die EKT war stark stigmatisiert,
											ein Überbleibsel ihrer Geschichte,
											die mit der heutigen Praxis
wenig zu tun hat.
											Die Therapie wurde in der Medizin
erstmals 1938 angewendet.
											In den Anfangsjahren setzten Ärzte
das Gehirn einem starken Stromfluss aus.
											Das führte zu Krampfanfällen,
											in deren Verlauf sich Patienten
auf die Zunge beißen
											oder sogar Knochen brechen konnten.
											Die moderne EKT ist ganz anders.
											Während der Patient 
unter Vollnarkose steht,
											fügen Elektroden dem Gehirn
schwache Stromschläge zu.
											Das führt zur gleichzeitigen Aktivierung
einer großen Zahl Neuronen —
											also einem kurzen,
kontrollierten Krampfanfall.
											Ein Muskelrelaxans hält Krämpfe
vom restlichen Körper fern.
											Das einzige Anzeichen dafür,
dass Elektrizität das Gehirn durchflutet,
											ist ein zuckender Fuß.
											Die Behandlung dauert etwa eine Minute
											und die meisten Patienten sind nach
einer Stunde wieder fit für den Alltag.
									",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
","
","
","
","
",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
											ECT is commonly used to treat severe cases
of major depression or bipolar disorder
											in patients who haven’t responded
to other therapies,
											or who have had adverse 
reactions to medication.
											Half or more of those who undergo 
treatment experience an improvement
											in their symptoms.

									","
											EKT yaygın olarak diğer terapilere
cevap vermeyen ağır depresyon
											veya bipolar rahatsızlık
durumlarında ya da ilaç tedavisine
											olumsuz reaksiyon veren hastalarda
tedavi amacıyla kullanılıyordu.
											Tedavi olanların yarısı
veya daha fazlası, semptomlarında
											bir gelişme tecrübe ediyor.
									","
											L'ECT est couramment utilisée pour traiter
les cas graves de dépression
											ou de trouble bipolaire
											chez des patients qui ne répondent pas
à d'autres thérapies
											ou sur qui les médicaments ont
des effets indésirables.
											La moitié ou plus de ceux qui subissent
ce traitement voient une amélioration
											de leurs symptômes.
									","
											A ECT é usada habitualmente para tratar
casos graves de grande depressão
											ou transtorno bipolar
											em doentes que não reagem
a outras terapias
											ou que têm reações adversas
aos medicamentos.
											Metade ou mais dos que fazem
este tratamento, experimentam melhoras
											quanto aos seus sintomas.
									","
											EKT wird oft bei schweren Depressionen
oder bipolaren Störungen angewendet,
											wenn Patienten nicht
auf andere Therapien ansprechen
											oder eine Unverträglichkeit
gegen Medikamente vorliegt.
											Bei über der Hälfte
der behandelten Patienten
											zeigt sich eine Linderung der Symptome.
									",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
","
","
","
","
",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
"
											Most patients treated with ECT have two or
three sessions per week for several weeks.
											Some begin to notice an improvement
in their symptoms after just one session,
											while others take longer to respond.

											Patients often continue less frequent
treatments for several months to a year,
											and some need occasional maintenance
sessions for the rest of their lives.
									","
											EKT tedavisi gören çoğu hasta birkaç
hafta, haftada iki veya üç seans görür.
											Bazıları bir seans sonrası
semptomlarında bir gelişme fark eder,
											diğerlerinin ise tepki
vermesi daha uzun sürer.
											Hastalar genelde yılda birkaç aylığına
daha az sıklıkla tedaviye devam eder
											ve bazılarının hayatlarının geri kalanı
boyunca, ara sıra bakıma ihtiyacı vardır.
									","
											La plupart des patients traités par ECT
ont deux ou trois sessions
											par semaine pendant plusieurs semaines.
											Certains remarquent une amélioration
de leurs symptômes après une seule session
											alors que d'autres mettent
plus de temps à y répondre.
											Les patients continuent des traitements
moins fréquents de quelques mois à un an
											et certains ont besoin de sessions
pour le reste de leur vie.
									","
											A maioria dos doentes tratados com ECT
											tem duas ou três sessões por semana
durante várias semanas.
											Alguns começam a sentir melhoras
dos sintomas ao fim duma só sessão
											enquanto outros levam mais tempo a reagir.
											Os doentes continuam
com tratamentos menos frequentes
											durante vários meses a um ano
											e alguns precisam de sessões
de manutenção ocasional
											durante o resto da vida.
									","
											Meist werden für eine gewisse Zeit
2 bis 3 Sitzungen pro Woche angeordnet.
											Manche Patienten verspüren
schon nach einer Sitzung Linderung,
											bei anderen dauert es länger.
											Viele setzen die Behandlung
in Intervallen bis zu einem Jahr fort;
											einige brauchen lebenslang
gelegentliche Nachbehandlungen.
									",The truth about electroconvulsive therapy (ECT),Helen M. Farrell,4:15,"TED-Ed,health care,health,human body,invention,animation,science,neuroscience,neurology,brain,mental health,depression"
