es,pt,tr,en,fr,title,speaker,duration,tags
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Joe Kowan: Tengo miedo escénico.
											Siempre he tenido miedo escénico,
											y no solo un poco,
											sino un poco más.
											Y no me importó hasta los 27.
											Fue al empezar a escribir canciones
y incluso entonces
											solo me las tocaba a mí mismo.
											Saber que mis compañeros estaban 
en casa me hacía sentir incómodo.
									","
											Eu tenho medo do palco.
											Sempre tive medo do palco,
											e não só um bocadinho,
											é um bocadinho grande.
											E isso nem sequer importava até eu ter 27 anos.
											Foi aí que comecei a escrever canções,
mas mesmo nessa altura,
											eu só as tocava para mim.
											Só por saber que os meus colegas de quarto estavam 
na mesma casa deixava-me desconfortável.
									","
											Joe Kowan: Sahne korkum var.
											Her zaman sahne korkum vardı
											ve az da değil,
											çok fazla.
											Ve 27 yaşına gelene kadar bu bir sorun değildi.
											Bu benim şarkı yazmaya başladığım zamandı ve sonrasında
											onları sadece kendim için çaldım.
											Tek bildiğim aynı evde kalan oda arkadaşımın
beni rahatsız ettiği idi.
									","
											Joe Kowan: I have stage fright.
											I've always had stage fright,
											and not just a little bit,
											it's a big bit.
											And it didn't even matter until I was 27.
											That's when I started writing songs, and even then
											I only played them for myself.
											Just knowing my roommates were in the 
same house made me uncomfortable.
									","
											Joe Kowan : J'ai le trac.
											J'ai toujours eu le trac,
											et pas qu'un peu,
											vraiment beaucoup.
											Ça ne m'a pas posé de problème
jusqu'à mes 27 ans,
											lorsque j'ai commencé à écrire des chansons, 
et même à cette époque-là,
											je ne les jouais que pour moi.
											Le simple fait de savoir que mes colocataires
étaient dans la maison me rendait mal à l'aise.
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Pero tras unos años no me bastaba 
con escribir canciones.
											Tenía todas estas historias e ideas 
y quería compartirlas.
											Pero fisiológicamente, no podía hacerlo.
											Tenía ese miedo irracional.
											Pero cuanto más escribía y practicaba,
											más quería actuar.
									","
											Mas passados uns dois anos,
só escrever canções não era suficiente.
											Eu tinha tantas histórias e ideias,
e queria partilhá-las com outras pessoas.
											Mas fisiologicamente, eu não conseguia.
											Eu tinha um medo irracional.
											Mas quanto mais escrevia, e quanto mais praticava,
											mais queria tocar para os outros.
									","
											Ama bir kaç yıl sonra,
sadece şarkılar yazmak yeterli gelmedi.
											Tüm bu fikirlere ve hikayelere sahiptim 
ve bunları insanlarla paylaşmak istiyordum
											ama fiziksel olarak, yapamıyordum.
											Bu saçma korkuya sahiptim.
											Ama daha fazla yazdıkça ve pratik yaptıkça,
											daha fazla bunu sergilemek istedim.
									","
											But after a couple of years, 
just writing songs wasn't enough.
											I had all these stories and ideas,
and I wanted to share them with people,
											but physiologically, I couldn't do it.
											I had this irrational fear.
											But the more I wrote, and the more I practiced,
											the more I wanted to perform.
									","
											Mais après quelques années,
écrire des chansons ne m'a plus suffi.
											J'avais toutes ces histoires et ces idées,
et je voulais les partager avec des gens,
											mais physiologiquement,
je n'en étais pas capable.
											J'avais cette peur irrationnelle.
											Mais plus j'écrivais et plus je répétais,
											plus j'avais envie de jouer sur scène.
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Así que la semana de mi 30 cumpleaños
											decidí que iría a ese local de micrófono abierto
											y acabaría con ese miedo.
											Bueno, cuando llegué, estaba lleno.
											Había unas 20 personas.
											(Risas)
											Y todos parecían enojados.
											Pero respiré profundamente 
y me dispuse a tocar,
											y me sentía bastante bien.
									","
											Então na semana do meu 30.º aniversário,
											decidi que iria a uma sessão de 
microfone aberto local,
											e deixar este medo para trás.
											Bem, quando lá cheguei, estava cheio.
											Havia tipo, 20 pessoas lá.
											(Risos)
											E todas pareciam zangadas.
											Mas eu respirei fundo, e inscrevi-me para tocar,
											e senti-me bastante bem.
									","
											30. yaş günümün olduğu hafta,
											yerel açık mikrofona gitmeye
											bu korkuyu arkamda bırakmaya karar verdim.
											Pekala, oraya vardığım zaman,
ağzına kadar doluydu.
											20 kadar insan vardı.
											(Gülüşmeler)
											Ve hepsi sinirli gözüküyordu.
											Ama derin bir nefes aldım ve çalmak için kayıt oldum
											ve oldukça iyi hissediyordum.
									","
											So on the week of my 30th birthday,
											I decided I was going to go to this local open mic,
											and put this fear behind me.
											Well, when I got there, it was packed.
											There were like 20 people there.
											(Laughter)
											And they all looked angry.
											But I took a deep breath, and I signed up to play,
											and I felt pretty good.
									","
											Donc la semaine de mes 30 ans,
											j'ai décidé d'aller à une soirée
ouverte aux amateurs près de chez moi,
											et de surmonter cette peur.
											Quand je suis arrivé, c'était blindé.
											Il y avait genre 20 personnes.
											(Rires)
											Et ils avaient tous l'air de mauvaise humeur.
											Mais j'ai respiré profondément,
je me suis inscrit pour jouer,
											et je me suis senti plutôt bien.
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Muy bien, hasta 10 minutos antes de mi turno,
											cuando todo mi cuerpo se rebeló y 
me envolvió una ola de ansiedad.
											Cuando uno experimenta miedo, 
el sistema nervioso simpático se activa.
											Así que uno tiene un explosión de adrenalina, 
aumenta el ritmo cardíaco,
											la respiración es más rápida.
											Luego los sistemas no esenciales comienzan a cerrarse, como la digestión. (Risas)
											La boca se seca y la sangre 
se aleja de las extremidades,
											de forma que ya no funcionan los dedos.
											Las pupilas se dilatan, los músculos se contraen, 
el sentido de hormigueo se activa,
											básicamente todo tu cuerpo es gatillo fácil.
(Risas)
											Ese estado no es apropiado para 
tocar música folclórica.
											(Risas)
											Es decir, su sistema nervioso es idiota.
											¿Realmente? 200 mil años de evolución humana 
y todavía no se le puede explicar la diferencia
											entre un tigre diente de sable y 20 folksingers
											un noche de martes con micro abierto.
											(Risas)
											Nunca he sentido tanto miedo... hasta ahora.
											(Risas y aplausos)
									","
											Bastante bem, até cerca de 10 minutos 
antes da minha vez,
											quando todo o meu corpo se revoltou,
e uma onda de ansiedade tomou conta de mim.
											Quando se sente medo,
o nosso sistema nervoso simpático entra em ação.
											Dá-nos uma onda de adrenalina,
o nosso batimento cardíaco aumenta,
											a nossa respiração acelera.
											A seguir, os nossos sistemas não-essenciais
começam a desligar-se, como a digestão. (Risos)
											Por isso a nossa boca fica seca, e o sangue
foge das extremidades,
											portanto, os nosso dedos já não funcionam.
											As pupilas dilatam-se, os músculos contraem-se,
o nosso sentido de Homem-Aranha dá o alarme,
											basicamente todo o nosso corpo tem o
dedo no gatilho. (Risos)
											Este estado não é bom
para tocar música folclórica.
											(Risos)
											Quer dizer, o nosso sistema nervoso é um idiota.
											A sério? Duzentos milhares de anos de evolução
humana, e continua sem saber a diferença
											entre um tigre dente-de-sabre 
e 20 cantores de folclore
											numa noite de terça-feira de microfone aberto?
											(Risos)
											Eu nunca estive mais aterrorizado — até agora.
											(Risos e aplausos)
									","
											Oldukça iyi ta ki bana sıra gelmesine 10 dakika kalaya,
											tüm vucudumun isyan edip ve
bu kaygı dalgası beni tümden yıkayana kadar.
											Şimdi korkuyu hissettiğiniz zaman,
sizin bunu anlayan sinir sisteminiz devreye giriyor.
											Bu yüzden bir adrenelin akını,
kalbinizin atış ritmini,
											nefes alıp vermenizi hızlandırır.
											Devamında gereksiz sistemler kapanmaya 
başlıyor, sindirim gibi. (Gülüşmeler)
											Ağzınız kuruyor ve kan 
eliniz ve ayağınızdan çekiliyor,
											o yüzden parmaklarınız artık çalışmıyor.
											Göz bebekleriniz büyüyor, kaslarınız kasılıyor,
hisleriniz sızlıyor,
											anlayacağınız tüm vücudunuz eli tetikte.
											Bu durum halk müziği sahnelemek için
elverişli bir durum değil
											(Gülüşmeler)
											Yani, sinir sisteminiz bir aptal.
											Gerçekten? İki yüz bin yıllık insan evrimi ve hala
kılıç dişli bir kaplan ile
											salı gecesi serbest mikrofonda
											20 kişilik halk şarkıcısını ayırt edemiyor?
											(Gülüşmeler)
											Daha önce hiç bu kadar korkmamıştım— şimdiye kadar.
											(Gülüşme ve tezahüratlar)
									","
											Pretty good, until about 10 minutes before my turn,
											when my whole body rebelled, and 
this wave of anxiety just washed over me.
											Now, when you experience fear, 
your sympathetic nervous system kicks in.
											So you have a rush of adrenaline, 
your heart rate increases,
											your breathing gets faster.
											Next your non-essential systems start 
to shut down, like digestion. (Laughter)
											So your mouth gets dry, and blood is routed
away from your extremities,
											so your fingers don't work anymore.
											Your pupils dilate, your muscles contract,
your Spidey sense tingles,
											basically your whole body is trigger-happy.
(Laughter)
											That condition is not conducive 
to performing folk music.
											(Laughter)
											I mean, your nervous system is an idiot.
											Really? Two hundred thousand years of human evolution, and it still can't tell the difference
											between a saber tooth tiger and 20 folksingers
											on a Tuesday night open mic?
											(Laughter)
											I have never been more terrified — until now.
											(Laughter and cheers)
									","
											Plutôt bien, 
jusqu'à 10 minutes environ avant mon passage,
											quand tout mon corps s'est rebellé, 
et cette vague d'anxiété s'est emparée de moi.
											Quand on a peur, 
le système nerveux sympathique se manifeste.
											Donc vous avez une montée d'adrénaline,
votre cœur bat plus vite,
											vous respirez plus vite.
											Et puis, vos systèmes secondaires commencent 
à s'arrêter, comme la digestion. (Rires)
											Donc votre bouche devient sèche, 
le sang ne circule plus vers les extrémités,
											donc vos doigts ne fonctionnent plus.
											Vos pupilles se dilatent, vos muscles se contractent,
vos instincts sont à leur paroxysme,
											en gros, tout votre corps est
sur le point d'exploser. (Rires)
											Cet état n'est pas favorable 
pour jouer de la musique folk.
											(Rires)
											Votre système nerveux est stupide.
											Sérieusement ? Deux mille ans d'évolution
et il ne peut toujours pas
											faire la différence entre un tigre à dents de sabre
et 20 chanteurs folk
											à une soirée ouverte aux chanteurs amateurs ?
											(Rires)
											Je n'ai jamais été aussi terrifié
— jusqu'à maintenant.
											(Rires et acclamations)
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Fue mi turno,
											y de alguna manera, me meto en el escenario, 
empiezo mi canción,
											abro la boca para cantar la primera línea,
											y ese vibrato totalmente horrible...
											ya saben, cuando la voz vacila y retumba.
											Y no es esa buena clase de vibrato, 
como un cantante de ópera,
											es todo mi cuerpo que 
se convulsiona con miedo.
											Es decir, es una pesadilla.
											Me da vergüenza, la audiencia 
está claramente incómoda,
											están centrados en mi malestar.
											Fue tan horrible...
											Pero esa fue mi primera experiencia 
real como cantautor solista.
									","
											Então, quando chegou a minha vez,
											e de alguma forma, eu consigo chegar ao palco, 
começo a minha canção,
											abro a boca para cantar pela primeira vez,
											e um horrível vibrato
											— sabem, quando a voz vibra —
é o que sai.
											E isto não é o bom tipo de vibrato,
como o de um cantor de opera,
											isto é o meu corpo inteiro a convulsar com medo.
											Quer dizer, é um pesadelo.
											Eu estou envergonhado, o público está
claramente desconfortável,
											eles estão focados no meu desconforto.
											Foi tão mau.
											Mas isso foi a minha primeira experiência a sério
como um cantor-compositor.
									","
											Sonra benim sıramdı
											ve her nasılsa kendimi sahneye 
atabildim, şarkıma başladım,
											Ağzımı açtım ilk mısrayı söylemeye başladım
											ve tamamıyla felaket vibrato —
											bilirsiniz, ses dalgalarınız —
fışkırarak gelir.
											Ve operadakilerde olduğu gibi
iyi bir vibrato değil
											bu benim tüm bedenimin korkuyla sarsılmasıydı.
											Demek istediğim, bir kabustu.
											Utanmıştım, dinleyiciler
açıkça rahatsız olmuşlardı,
											benim sıkıntıma odaklanmışlardı.
											Çok kötüydü.
											Ama bu benim bir şarkıcı ve 
yazar olarak ilk tecrübemdi.
									","
											So then it was my turn,
											and somehow, I get myself onto 
the stage, I start my song,
											I open my mouth to sing the first line,
											and this completely horrible vibrato —
											you know, when your voice wavers — 
comes streaming out.
											And this is not the good kind of vibrato, 
like an opera singer has,
											this is my whole body just convulsing with fear.
											I mean, it's a nightmare.
											I'm embarrassed, the audience 
is clearly uncomfortable,
											they're focused on my discomfort.
											It was so bad.
											But that was my first real experience 
as a solo singer-songwriter.
									","
											Donc mon tour est arrivé,
											j'arrive malgré tout à aller sur scène,
je commence à chanter,
											j'ouvre la bouche
pour chanter la première phrase,
											et ce vibrato absolument affreux —
											vous savez, quand votre voix tremblote —
sort de ma bouche.
											Ce n'est pas le bon type de vibrato,
comme celui d'un chanteur d'opéra,
											c'est tout mon corps qui tremble de peur.
											C'est vraiment un cauchemar.
											J'ai honte, le public est
visiblement mal à l'aise,
											concentré sur mon mal-être.
											C'était vraiment mauvais.
											Mais c'était ma première expérience en tant que 
que chanteur-compositeur solo.
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
											Y sucedió algo bueno... 
Tuve un mínimo atisbo
											de conexión con el público como esperaba.
											Y quería más. Pero sabía que 
debía superar este nerviosismo.
									","
											E algo bom aconteceu —
eu tive um minúsculo vislumbre
											daquela conexão com o público 
de que eu estava à espera.
											E eu queria mais. Mas eu sabia que
tinha que ultrapassar este nervosismo.
									","
											Ve iyi bir şey oldu —
Dinleyicilerle olan bağlantının küçücük
											bakışını yakalamıştım ve bu benim istediğimdi.
											Ve daha fazlasını istedim.Ama biliyordum ki
bu gerginliği geride bırakmam gerekiyordu.
									","
											And something good did happen —
I had the tiniest little glimpse
											of that audience connection that I was hoping for.
											And I wanted more. But I knew 
I had to get past this nervousness.
									","
											Et quelque chose de positif s'est passé —
j'ai eu une minuscule
											connexion avec le public,
ce que j'espérais.
											J'en voulais plus. Mais je savais qu'il fallait
que je surpasse mon anxiété.
									",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
"
","
","
","
","
",How I beat stage fright,Joe Kowan,8:03,"communication,entertainment,fear"
