en,pt,es,title,speaker,duration,tags
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
											In 2015, 25 teams from around the world
											competed to build robots
for disaster response
											that could perform a number of tasks,
											such as using a power tool,
											working on uneven terrain
											and driving a car.
											That all sounds impressive, and it is,
											but look at the body
of the winning robot, HUBO.
											Here, HUBO is trying to get out of a car,
											and keep in mind,
											the video is sped up three times.
									","
											Em 2015,
25 equipas de todo o mundo
											competiram para construir robôs
para cenários de desastre
											que pudessem cumprir inúmeras tarefas,
											como usar uma ferramenta eléctrica,
											trabalhar em terreno irregular,
											e conduzir um carro.
											Tudo isto parece impressionante,
e realmente é,
											mas vejam o corpo de HUBO,
o robô vencedor.
											Aqui, o HUBO está a tentar
sair de um carro,
											e não se esqueçam,
											o vídeo está acelerado três vezes.
									","
											En 2015, 25 equipos de todo el mundo
											compitieron en la construcción
de robots antidesastres
											que pudieran realizar tareas
como usar una herramienta,
											trabajar en terreno irregular
y conducir un auto.
											Eso suena increíble, y lo es.
											Pero miren el cuerpo
del robot ganador, HUBO.
											En este video HUBO
trata de salir del auto,
											y tomen en cuenta que la velocidad
del video es tres veces la normal.
											(Risas)
									",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
											(Laughter)
									","
											(Risos)
									","
											HUBO, del equipo KAIST de Corea,
es un robot último modelo
											con capacidades impresionantes,
											pero su cuerpo no parece distinto
al de los robots de hace décadas.
											Si miran a los otros robots del concurso,
											sus movimientos aún se ven,
pues, muy robóticos.
											Sus cuerpos son complejas estructuras
mecánicas hechas con materiales rígidos
											como metal y motores
eléctricos convencionales.
											Está claro que no fueron
diseñados para ser baratos,
											seguros para la gente
y adaptables a retos impredecibles.
											Hemos hecho grandes progresos
con el cerebro de los robots,
											pero su cuerpo sigue siendo primitivo.
											Ella es mi hija Nadia.
											Solo tiene cinco años, pero puede 
salir del auto más rápido que HUBO.
											(Risas)
									",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
											HUBO, from team KAIST out of Korea,
is a state-of-the-art robot
											with impressive capabilities,
											but this body doesn't look
all that different
											from robots we've seen a few decades ago.
											If you look at the other robots
in the competition,
											their movements also still look,
well, very robotic.
											Their bodies are complex
mechanical structures
											using rigid materials
											such as metal and traditional
rigid electric motors.
											They certainly weren't designed
											to be low-cost, safe near people
											and adaptable to unpredictable challenges.
											We've made good progress
with the brains of robots,
											but their bodies are still primitive.
									","
											O HUBO, da equipa coreana KAIST,
é um robô topo-de-gama,
											com capacidades impressionantes,
											mas o seu corpo
não é assim tão diferente
											dos robôs que víamos há algumas décadas.
											Se virem os outros robôs em competição,
											os movimentos deles
ainda parecem muito robotizados.
											Os corpos deles são
estruturas mecânicas complexas
											que usam materiais rígidos,
											como o metal
e os tradicionais motores eléctricos.
											Eles certamente não foram projectados
											para serem de baixo custo,
seguros perto de pessoas,
											e adaptáveis a desafios imprevisíveis.
											Temos feito um bom progresso
com os cérebros dos robôs
											mas os seus corpos
ainda são primitivos.
									","
											También puede columpiarse con facilidad,
											mucho mejor que cualquier robot nuevo
con apariencia humana.
									",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
											This is my daughter Nadia.
											She's only five years old
											and she can get out of the car
way faster than HUBO.
									","
											Esta é a minha filha Nadia.
											Ela tem apenas cinco anos
											e consegue sair do carro
muito mais rápido do que o HUBO.
									","
											A diferencia de HUBO, el cuerpo humano
utiliza materiales blandos y moldeables
											como los músculos y la piel.
											Necesitamos una nueva generación de robots
									",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
											(Laughter)
									","
											(Risos)
									","
											inspirados en la elegancia,
eficiencia y los materiales blandos
									",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
"
","
","
",The artificial muscles that will power robots of the future,Christoph Keplinger,10:54,"innovation,robots,human body,science,design,technology,future,invention,prosthetics,engineering,nature,TEDx"
