en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											(Guitar)
									","
											(Guitarra)
									","
											(Guitare)
									","
											(Gitarrenspiel)
									","
											(Gitar)
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											(Singing)
									","
											(Cantando)
									","
											(Chant)
									","
											(Gesang)
									","
											(Şarkı)
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											Rollercoaster,
											carousel.
									","
											Montaña rusa,
									","
											Montagnes russes,
									","
											Achterbahn,
											Karussell
									","
											Hız treni,
											atlı karınca.
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											Where the highs are heaven,
											but the lows,
											oh, they can be hell.
									","
											tiovivo,
											Donde las alturas son el cielo,
											pero los puntos bajos,
											oh, pueden ser el Infierno.
									","
											carrousel.
											Où les hauts sont le paradis,
											mais les bas,
											oh, ce peut être l'enfer.
									","
											Wo die Höhen himmlisch sind
											Aber die Tiefen
											oh, sie können die Hölle sein
									","
											Yokuşlar cennete çıkıyorken,
											fakat inişler,
											ah, onlar cehennem olabilir.
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											You can grab the ring,
											you can ring that bell,
									","
											Puedes agarrar el aro,
											puedes hacer sonar esa campana,
									","
											Tu peux attraper la sonnerie,
											tu peux sonner cette cloche,
									","
											Du kannst den Ring greifen
											Du kannst die Glocke läuten
									","
											Yüzüğü alabilirsin,
											zili çalabilirsin,
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											when the ride is over,
											you can never tell.
									","
											cuando el viaje ha terminado,
											nunca hay forma de saber.
									","
											quand le tour est fini,
											tu ne sais jamais.
									","
											Wann die Fahrt zu Ende ist
											weiß man nie
									","
											gezintinin ne zaman bittiğini
											hiçbir zaman söyleyemezsin.
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
											People tell you this one thing —
											will make your life complete.
									","
											La gente te dice que una sola cosa...
											hará que tu vida sea completa.
									","
											Les gens te disent que cette chose
											complétera ta vie.
									","
											Leute sagen dir, diese eine Sache —
											macht dein Leben komplett.
									","
											İnsanlar sana bu şeyin —
											hayatını tamamlayacağını söylerler.
									","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
"
","
","
","
","
","""Rollercoaster""",Sara Ramirez,4:59,"music,guitar,live music,performance,singer,entertainment"
