en,fr,es,title,speaker,duration,tags
"
","
","
",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
											I was born in 1993
in the northern part of North Korea,
											in a town called Hyesan,
											which is on the border with China.
											I had loving parents
											and one older sister.
											Before I was even 10 years old,
											my father was sent to a labor camp
											for engaging in illegal trading.
											Now, by ""illegal trading"" —
											he was selling clogs, sugar,
rice and later copper
											to feed us.
									","
											Je suis née en 1993
dans la partie nord de la Corée du Nord,
											dans un village appelé Hyesan,
											qui est à la frontière avec la Chine.
											J'avais des parents aimants
											et une sœur aînée.
											Avant mes 10 ans,
											mon père a été envoyé
dans un camp de travail
											pour avoir pris part à du trafic illicite.
											Par « trafic illicite » —
											il vendait du tissu, du sucre,
du riz et puis du cuivre
											pour nous nourrir.
									","
											Nací en 1993 al norte 
de Corea del Norte,
											en un pueblo llamado Hyesan
											que está en la frontera con China.
											Tenía padres amorosos
											y una hermana mayor.
											Antes de siquiera tener 10 años
											enviaron a mi padre
a un campo de trabajos forzados
											por haberse involucrado
en comercio ilegal.
											Este ""comercio ilegal""
											era vender zuecos, azúcar,
arroz y, posteriormente, cobre
											para alimentanos.
									",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
","
","
",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
											In 2007, my sister and I
decided to escape.
											She was 16 years old,
											and I was 13 years old.
									","
											En 2007, ma sœur et moi
avons décidé de nous enfuir.
											Elle avait 16 ans
											et j'avais 13 ans.
									","
											En 2007, mi hermana y yo
decidimos escapar.
											Ella tenía 16 años
											y yo tenía 13.
									",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
","
","
",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
											I need you to understand
what the word ""escape"" means
											in the context of North Korea.
											We were all starving,
											and hunger means death in North Korea.
											So it was the only option for us.
											I didn't even understand
the concept of escape,
											but I could see the lights
from China at night,
											and I wondered if I go where the light is,
											I might be able to find a bowl of rice.
									","
											Il faut que vous compreniez
le sens du mot « s'enfuir »
											dans le contexte nord-coréen.
											Nous étions tous affamés
											et la faim signifie la mort
en Corée du Nord.
											C'était donc la seule option
qui s'offrait à nous.
											Je ne comprenais même pas
le concept de l'évasion,
											mais la nuit, je pouvais voir
les lumières de la Chine
											et je me demandais si,
en allant là où était la lumière,
											je pourrais trouver un bol de riz.
									","
											Me gustaría que entendieran
lo que significa ""escapar""
											en el contexto de Corea del Norte.
											Todos moríamos de hambre,
											y el hambre equivale a muerte
en Corea del Norte.
											Así que era nuestra única opción.
											Yo ni siquiera entendía
el concepto de ""escapar"",
											pero podía ver
las luces nocturnas de China
											y me preguntaba 
si yendo a donde había luz
											podría encontrar un tazón de arroz.
									",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
","
","
",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
											It's not like we had a grand plan or maps.
											We did not know anything
about what was going to happen.
											Imagine your apartment
building caught fire.
											I mean, what would you do?
											Would you stay there to be burned,
											or would you jump off out of the window
											and see what happens?
											That's what we did.
											We jumped out of the house
											instead of the fire.
									","
											Ce n'est pas comme si nous avions
un plan grandiose ou des cartes.
											Nous ne savions pas ce qui allait arriver.
											Imaginez que votre immeuble prenne feu.
											Que feriez-vous ?
											Resteriez-vous là à brûler
											ou sauteriez-vous par la fenêtre
											pour voir ce qui arrivera ?
											C'est ce que nous avons fait.
											Nous avons sauté en dehors de la maison
											plutôt que de rester dans l'incendie.
									","
											No teníamos un gran plan o mapas.
											No teníamos ni idea
de lo que estaba por suceder.
											Imaginen que su apartamento
se está incendiando.
											¿Qué harían?
											¿Se quedarían para quemarse dentro
											o saltarían por la ventana
y verían qué sucede?
											Eso fue lo que hicimos.
											Saltamos para salir de la casa
											en vez de quedarnos en el fuego.
									",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
","
","
",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
"
											North Korea is unimaginable.
											It's very hard for me
											when people ask me
what it feels like to live there.
											To be honest,
											I tell you:
											you can't even imagine it.
											The words in any language can't describe,
											because it's a totally different planet,
											as you cannot imagine
your life on Mars right now.
									","
											La Corée du Nord est inimaginable.
											C'est très dur pour moi
											quand les gens me demandent
comment est la vie là-bas.
											Pour être honnête,
											je vous le dis :
											vous ne pouvez même pas l'imaginer.
											Les mots d'aucune langue
ne peuvent le décrire
											car c'est une tout autre planète,
											comme vous ne pouvez pas imaginer
votre vie sur Mars.
									","
											Corea del Norte es inconcebible.
											Para mí es muy difícil
											cuando la gente me pregunta
cómo se siente vivir ahí.
											Siendo honesta,
											déjenme decirles
que no pueden ni imaginárselo.
											En cualquier idioma,
las palabras no pueden describirlo
											porque es un planeta
completamente distinto.
											Al igual que, en este momento,
no pueden describir su vida en Marte.
									",What I learned about freedom after escaping North Korea,Yeonmi Park,10:48,"human rights,humanity,social change,Asia,activism"
