tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
											Twitter'ı kullanmadığım zamanlarda
											internette hikayeler anlatmayı denedim,
											yeni dijital araçlarla neler
											yapabileceğimizi denedim.
											Twitter'daki işimde,
											aslında yazarlar ve
											hikaye anlatanlarla da çalışıp
											insanların denedikleri
											sınırları genişletmeye çalışıyorum.
											İnsanların yaptığı bazı
											etkileyici örneklerden
											bahsetmek istiyorum bugün,
											onlar internetteki esnek kişilikleri ve anonimliği kullanıp
											gerçek ve hayal ürünü arasındaki çizgiyi bulandırıyor.
									","
											So in my free time outside of Twitter
											I experiment a little bit
											with telling stories online, experimenting
											with what we can do with new digital tools.
											And in my job at Twitter,
											I actually spent a little bit of time
											working with authors and storytellers as well,
											helping to expand out the bounds
											of what people are experimenting with.
											And I want to talk through some examples today
											of things that people have done
											that I think are really fascinating
											using flexible identity and anonymity on the web
											and blurring the lines between fact and fiction.
									","
											Quand je ne travaille pas chez Twitter,
											j'explore ce qu'on peut faire
											au niveau de la narration
											avec les nouveaux outils numériques.
											Et quand je bosse chez Twitter,
											je pense un peu de temps
											avec des auteurs et des écrivains :
											je les aide à pousser plus loin
											leurs expérimentations.
											Je voudrais vous donner quelques exemples
											de ce qu'ils ont fait,
											des choses qui m'impressionnent vraiment,
											qui jouent sur la souplesse identitaire 
et l'anonymat du web,
											qui brouillent les limites entre réalité et fiction.
									","
											In meiner Freizeit, abseits von Twitter,
											experimentiere ich etwas damit,
											online Geschichten zu erzählen
											und neue digitale Tools auszuprobieren.
											Bei meiner Arbeit bei Twitter
											habe ich auch schon ein bisschen
mit Autoren und Erzählern gearbeitet
											und geholfen, die Grenzen,
an die man stößt, zu erweitern.
											Heute möchte ich einige Beispiele
von Leuten anführen,
											die ich wirklich faszinierend finde.
											Sie arbeiten mit flexibler Identität 
und Anonymität im Internet
											und lassen die Grenzen zwischen
Realität und Fiktion verschwimmen.
									",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
","
","
","
",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
											Ama başlangıç olarak 1930lara gitmek istiyorum.
											Twitter denen şeyden çok evvel,
											radyo yayınları vardı
											ve milyonlarca insanı
											tek yayın noktalarına bağlıyordu.
											Ve işte bu tek noktalardan hikayeler yayılıyordu.
											Bazıları, tanıdık hikayelerdi.
											Bazıları, yeni hikayelerdi.
											Ve bir süre bildiğimiz şekildeydiler,
											ama sonra radyo, o ortamın özelliklerine uygun şekilde
											kendiliğinden gelişmeye başladı
											Radyoda canlı yayınlanan [radyo tiyatrosu?-ç.n.] bölümleri düşünün.
									","
											But I want to start and go back to the 1930s.
											Long before a little thing called Twitter,
											radio brought us broadcasts
											and connected millions of people
											to single points of broadcast.
											And from those single points emanated stories.
											Some of them were familiar stories.
											Some of them were new stories.
											And for a while they were familiar formats,
											but then radio began to evolve its own
											unique formats specific to that medium.
											Think about episodes that happened live on radio.
									","
											Mais commençons par retourner aux années 30.
											Longtemps avant ce petit truc nommé Twitter,
											la radio nous présentait des émissions
											et connectait des millions de personnes
											à des points uniques de diffusion.
											Et de ces points uniques, des histoires arrivaient.
											Certaines connues.
											Certaines nouvelles.
											Pendant un temps les formats étaient classiques,
											puis la radio a évolué et a créé
											ses propres formats, spécifiques à ce média.
											Pensez aux épisodes joués en direct.
									","
											Aber ich möchte mit 
den 1930er Jahren anfangen.
											Lange bevor es dieses Etwas
namens Twitter gab,
											brachte uns das Radio Radiosendungen
											und hat Millionen Menschen
											durch einzelne Sendungen 
miteinander verbunden.
											Von diesen einzelnen Punkten
wurden Geschichten verbreitet,
											von denen einige bereits bekannt waren.
											Einige Geschichten waren neu.
											Eine Zeit lang waren das gängige Formate,
											aber dann begann das Radio, eigene,
spezifische Formate zu entwickeln.
											Denken Sie an Episoden, 
die live im Radio übertragen wurden.
									",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
","
","
","
",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
											Canlı oyunun ve
											yazılı hayal ürünlerinin tefrika edilmesiyle
											işte bu yeni format ortaya çıkıyor.
											Radyodan bahsetmemin sebebi,
											radyonun yeni formatlar ve sonra da yeni hikayeler oluşturan
											bir ortama uygun bir örnek olması.
									","
											Combining the live play
											and the serialization of written fiction,
											you get this new format.
											And the reason why I bring up radio is that I think
											radio is a great example of how a new medium
											defines new formats which then define new stories.
									","
											Le fait de combiner le direct avec
											les feuilletons de fiction littéraire
											donne ce nouveau format.
											Si je vous parle de la radio,
c'est que je pense
											que c'est un bon exemple 
de comment un nouveau média
											crée de nouveaux formats 
qui créent de nouvelles histoires.
									","
											Durch die Kombination von Live-Übertragung
											und Einbindung schriftlicher Geschichten
											erhält man dieses neue Format.
											Ich spreche deshalb vom Radio,
weil Radio ein gutes Beispiel dafür ist,
											wie ein neues Medium
neue Formate definiert,
											die dann neue Geschichten schaffen.
									",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
","
","
","
",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
											Elbette bugün, oynayacak/deneyimleyecek
											tamamen yeni bir ortamımız var,
											sanal dünya.
											Bu Twitter'daki doğrulanmış kullanıcıların
											ve aralarındaki ilişkilerin bir haritası.
											Binlerce ve binlerce.
											Bu noktaların her biri
											kendi yayıncısı.
											Bu çok çok kalabalık dünyada, yayının tek sınırı
											araçlara erişim.
											Bu yeni ortamda insanların hikayeler anlatmayı
											öğrenmesiyle beraber çılgınca yeni formatlar
											oluştuğunu görmeye başlıyoruz.
											Yaratıcı deneyler için çok geniş bir sınırımız
											olduğuna inanıyorum,
											İnternet denen mecrayı keşfettik
											ve İnternetin el değmemiş topraklarına yerleşmeye başladık,
											ve şimdi onu, üzerinde yeni yapılar inşa etmek
											için kullanmaya hazırız.
											Bu yapılar, İnternet'in yaratmamıza olanak sağladığı
											yeni hikaye anlatıcılığı formatları oluyor.
									","
											And of course, today, we have an entirely new
											medium to play with,
											which is this online world.
											This is the map of verified users on Twitter
											and the connections between them.
											There are thousands upon thousands of them.
											Every single one of these points
											is its own broadcaster.
											We've gone to this world of many to many,
											where access to the tools is the only barrier to broadcasting.
											And I think that we should start to see
											wildly new formats emerge
											as people learn how to tell stories in this new medium.
											I actually believe that we are in a wide open frontier
											for creative experimentation, if you will,
											that we've explored and begun to settle
											this wild land of the Internet
											and are now just getting ready
											to start to build structures on it,
											and those structures are the new formats
											of storytelling that the Internet will allow us to create.
									","
											Bien sûr, aujourd'hui, on a un média tout neuf
											avec lequel jouer,
											c'est le monde de l'Internet.
											Voici la carte des utilisateurs certifiés sur Twitter
											et des connexions entre eux.
											Il y en a des milliers et des milliers.
											Chacun de ces points
											est son propre diffuseur.
											On est entré dans ce monde
de « plusieurs vers plusieurs »,
											où l'accès aux outils 
est la seule limite à la diffusion.
											Je pense qu'on va voir émerger
											des formats totalement nouveaux
											au fur et à mesure que les gens apprennent 
à raconter des histoires via ce nouveau média.
											Je suis persuadé que 
nous avons là une frontière ouverte
											aux expérimentations créatrices,
si vous voulez,
											que nous avons commencé
l'exploration et la domestication
											de cette nouvelle terre d'Internet.
											Nous sommes sur le point
											de commencer à la structurer
											et ces structures sont les nouveaux formats
											de narration qu'Internet nous permet de créer.
									","
											Natürlich können wir heute 
mit einem völlig neuen Medium spielen,
											nämlich dieser Online-Welt.
											Das ist eine Karte
verifizierter Twitter-Nutzer
											und ihren Verbindungen untereinander.
											Es gibt Abertausende davon.
											Jeder einzelne dieser Punkte
ist ein eigener Sender.
											Wir haben uns in eine Welt der
Kommunikation zwischen vielen entwickelt,
											in denen der Zugang zu den Werkzeugen
die einzige Sendehürde ist.
											Wir werden beginnen,
völlig neue Formate entstehen zu sehen,
											während Leute lernen, Geschichten
in diesem neuen Medium zu erzählen.
											Wir stehen an einer weit geöffneten Grenze
											für kreative Experimente.
											Wir erkundeten
dieses wilde Land des Internets
											und begannen es zu besiedeln.
											Wir sind gerade erst dabei,
											Strukturen darauf zu bauen.
											Diese Strukturen sind
die neuen Erzählformate,
											die wir nun durch das Internet
schaffen können.
									",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
","
","
","
",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
"
											Bu durumun, var olan yöntemlerin
											evrimiyle olacağına inanıyorum.
											Örneğin, kısa hikayelerde —
											insanlar, e-readerlar ve dijital marketler sayesinde
											kısa hikayelerin bir rönesans döneminden
											geçtiğini söylüyor.
											Yazar Hugh Howey,
											Amazon'daki kısa hikayelerde bir deneme için
											""Wool"" adında bir çok kısa bir öykü yayınladı.
											""Wool""un bir seri haline gelmesini
											planlamadığını söyledi
											ancak okuyucular ilk hikayeyi o kadar beğenip
											daha fazlasını istedi ki o da daha fazlasını yazdı.
											İlkinden biraz daha uzun olan ""Wool 2""yi çıkardı,
											daha da uzun olan ""Wool 3""ü çıkardı ve
											60,000 kelimelik bir roman olan
											""Wool 5""le işin doruğuna çıktı.
											Howey'in e-kitaplarında hızlı bir geridönüş sistemine sahip
											olmasının, bunları yapmasını sağladığını düşünüyorum.
											Nispeten kısa bir sürede yazıp
											yayımlayabilmesi mümkün oldu.
											O ve okuyucuları arasında bir aracı yoktu.
											Sadece o [yazar] ve okuyucuları vardı
											ve yazar, okuyucuların
											geri dönüşleri ve coşkusundan besleniyordu.
											Yani bütün bu proje bir deneydi.
											Kısa bir hikayeyle başladı
											ve sanırım, bu deney
											Howey'in formatının bir parçası haline geldi.
											Formatın bir parçası olan deney,
											bu ortamın sağladığı bir durum.
									","
											I believe this starts with an evolution
											of existing methods.
											The short story, for example,
											people are saying that the short story
											is experiencing a renaissance of sorts
											thanks to e-readers, digital marketplaces.
											One writer, Hugh Howey, experimented
											with short stories on Amazon
											by releasing one very short story called ""Wool.""
											And he actually says that he didn't intend
											for ""Wool"" to become a series,
											but that the audience loved the first story so much
											they demanded more, and so he gave them more.
											He gave them ""Wool 2,"" which was a little bit longer than the first one,
											""Wool 3,"" which was even longer,
											culminating in ""Wool 5,""
											which was a 60,000-word novel.
											I think Howey was able to do all of this because
											he had the quick feedback system of e-books.
											He was able to write and publish
											in relatively short order.
											There was no mediator between him and the audience.
											It was just him directly connected with his audience
											and building on the feedback and enthusiasm
											that they were giving him.
											So this whole project was an experiment.
											It started with the one short story,
											and I think the experimentation actually became
											a part of Howey's format.
											And that's something that this medium enabled,
											was experimentation being a part of the format itself.
									","
											Je crois que ça commence par une évolution
											des méthodes existantes.
											La nouvelle, par exemple.
											On dit que la nouvelle
											vit une sorte de renaissance
											grâce aux liseuses,
aux espaces de vente en ligne.
											Un écrivain, Hugh Howey, a fait une tentative
											de publier des nouvelles sur Amazon
											avec une très courte nouvelle :
« Wool » [Laine]
											Il dit qu'il n'avait pas du tout prévu
											que « Wool » deviendrait une série
											mais le public a tellement aimé
la première nouvelle,
											qu'ils en voulaient plus,
alors il leur en a donné plus.
											Il leur a donné « Wool 2 »,
un peu plus longue que la première,
											« Wool 3 », encore plus longue,
											jusqu'à « Wool 5 » :
											un roman de 60 000 mots.
											Je pense que si Howey a pu faire tout ça,
											c'est grâce au système de feedback 
rapide des e-books.
											Il a pu écrire et publier
											relativement vite.
											Il n'y a pas eu de médiateur entre lui et le public.
											C'était juste lui, 
directement connecté avec son public
											et il construisait
sur les retours et l'enthousiasme
											qu'il lui donnait.
											Tout ce projet était une expérimentation.
											Ça a débuté avec une nouvelle
											et je pense que l'expérimentation est devenue
											partie intégrante du format de Howey.
											Voilà une chose que ce média a permise :
											l'expérimentation comme élément du format.
									","
											Es beginnt mit einer Evolution
											bestehender Methoden.
											Es heißt die Kurzgeschichte, zum Beispiel,
											erlebt eine Art Wiedergeburt,
											dank den E-Readers,
den digitalen Marktplätzen.
											Ein Schriftsteller, Hugh Howey,
											experimentierte mit
Kurzgeschichten auf Amazon
											durch die Veröffentlichung einer
sehr kurzen Geschichte namens ""Wool"".
											Er sagt, dass er eigentlich
gar nicht vorhatte,
											dass ""Wool"" eine Serie wird,
											aber dem Publikum gefiel
die erste Geschichte so sehr,
											dass sie mehr verlangten
und so gab er ihnen mehr.
											Er gab ihnen ""Wool 2"", 
das ein wenig länger als die erste war,
											""Wool 3"", das noch länger war,
											bis hin zu ""Wool 5"",
											das ein 60 000-Wörter-Roman war.
											Howey war in der Lage, all dies zu tun,
											weil er das schnelle Feedback-System
von E-Books hatte.
											Er konnte in relativ kurzer Zeit
schreiben und publizieren.
											Es gab keinen Vermittler
zwischen ihm und dem Publikum.
											Er war direkt mit seinen Lesern verbunden
											und baute auf dem Feedback
und der Begeisterung auf,
											die sie ihm gaben.
											Das ganze Projekt war ein Experiment.
											Es begann mit einer Kurzgeschichte,
											und das Experimentieren wurde tatsächlich
											ein Teil von Howeys Format.
											Dieses Medium ermöglichte es,
											dass das Experimentieren
Teil des Formats selbst wird.
									",Adventures in Twitter fiction,Andrew Fitzgerald,11:55,"culture,literature,social media,storytelling,technology,writing"
