en,pt,fr,title,speaker,duration,tags
"
","
","
","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
											What do you think of when I say the word ""design""?
											You probably think of things like this,
											finely crafted objects that you can hold in your hand,
											or maybe logos and posters and maps
											that visually explain things,
											classic icons of timeless design.
											But I'm not here to talk about that kind of design.
											I want to talk about the kind
											that you probably use every day
											and may not give much thought to,
											designs that change all the time
											and that live inside your pocket.
											I'm talking about the design
											of digital experiences
											and specifically the design of systems
											that are so big that their scale
											can be hard to comprehend.
											Consider the fact that Google processes
											over one billion search queries every day,
											that every minute, over 100 hours
											of footage are uploaded to YouTube.
											That's more in a single day
											than all three major U.S. networks broadcast
											in the last five years combined.
											And Facebook transmitting the photos,
											messages and stories
											of over 1.23 billion people.
											That's almost half of the Internet population,
											and a sixth of humanity.
									","
											Em que é que pensam 
quando eu digo a palavra ""design""?
											Provavelmente pensam em coisas como estas,
											objetos finamente trabalhados 
que podem segurar na vossa mão
											ou talvez logos e pósteres e mapas
											que explicam as coisas visualmente,
											ícones clássicos de ""designs"" intemporais.
											Mas não estou aqui para falar
sobre esse tipo de ""design"".
											Eu quero falar sobre aquilo
											que vocês provavelmente usam todos os dias
											e podem não dar muita atenção,
											""designs"" que mudam a toda a hora
											e que vivem dentro do vosso bolso.
											Estou a falar do ""design""
											de experiências digitais
											e, especificamente, do ""design""
de sistemas tão grandes
											que a sua escala 
pode ser difícil de compreender.
											Considerem que o Google
											processa mais de mil milhões
de pesquisas todos os dias,
											que a cada minuto, 
mais de 100 horas de vídeo
											são carregadas para o YouTube.
											Isto é mais num único dia
											do que as três maiores redes
dos EUA, em conjunto,
											transmitiram nos últimos cinco anos.
											E o Facebook a transmitir as fotos,
											mensagens e histórias
											de muito mais de mil milhões de pessoas.
											Isso é quase metade
da população da Internet
											e um sexto da Humanidade.
									","
											A quoi pensez-vous lorsque 

											je prononce le mot « design » ?
											Vous pensez certainement
à des choses comme celles-ci,
											des objets réalisés avec habileté
que vous pouvez tenir dans votre main,
											ou peut-être des logos, des affiches
											ou des cartes
qui portent un message visuel,
											des icônes classiques et intemporelles.
											Mais je ne suis pas ici
pour parler de ce type de design.
											Je veux parler de celui
que vous utilisez
											probablement chaque jour
et auquel vous ne pensez pas.
											Des formes de design 
qui évoluent en permanence
											et qui se trouvent dans votre poche.
											Je parle du design
											que vous expérimentez 
grâce au numérique
											et plus spécifiquement 
le design de systèmes informatiques
											qui sont si démesurés que leur échelle
peut être difficile à comprendre.
											Réfléchissez au fait que Google
											répond à plus d'un milliard
											de recherches chaque jour,
											que chaque minute, plus de 100 heures
											de vidéos sont mises en ligne sur YouTube.
											C'est plus en un jour
que ce que les trois principaux réseaux
											d'information nord-américains ont diffusé
au cours des cinq dernières années.
											Facebook transmet les photos,
											les messages et les histoires
de plus de 1,23 milliard de personnes.
											C'est près de la moitié 
des utilisateurs d'Internet
											et un sixième de l'humanité.
									","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
","
","
","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
											These are some of the products
											that I've helped design over the course of my career,
											and their scale is so massive
											that they've produced unprecedented
											design challenges.
											But what is really hard
											about designing at scale is this:
											It's hard in part because
											it requires a combination of two things,
											audacity and humility —
											audacity to believe that the thing that you're making
											is something that the entire world wants and needs,
											and humility to understand that as a designer,
											it's not about you or your portfolio,
											it's about the people that you're designing for,
											and how your work just might help them
											live better lives.
											Now, unfortunately, there's no school
											that offers the course Designing for Humanity 101.
											I and the other designers
											who work on these kinds of products
											have had to invent it as we go along,
											and we are teaching ourselves
											the emerging best practices
											of designing at scale,
											and today I'd like share some of the things
											that we've learned over the years.
									","
											Estes são alguns dos produtos
											que eu ajudei a desenhar
ao longo da minha carreira.
											A escala deles é tão grande
											que produziram desafios 
de ""design"" sem precedentes.
											Mas o que é realmente difícil
											no ""design"" à escala é isto:
											É difícil, em parte,
											porque requer uma combinação 
de duas coisas,
											audácia e humildade.
											Audácia para acreditar
que a coisa que estamos a fazer
											é algo que toda a gente quer e precisa,
											e humildade para perceber
que, como ""designer"",
											não se trata de nós ou do nosso portefólio.
											Trata-se das pessoas
para quem estamos a desenhar,
											e de como o nosso trabalho
											as pode ajudar a viver vidas melhores.
											Agora, infelizmente, não há nenhuma escola
											com o curso ""Introdução ao 
'Design' para a Humanidade"".
											Eu e outros ""designers""
											que trabalhamos neste tipo de produtos
											tivemos de ir inventando
à medida que avançamos.
											Estamos a ensinar a nós mesmos
											as mais recentes e melhores práticas
											para ""design"" à escala.
											Hoje gostaria de partilhar
algumas das coisas
											que temos aprendido ao longo dos anos.
									","
											J'ai contribué à concevoir
ces produits
											au cours de ma carrière,
											et dont l'échelle est si grande
											qu'ils ont généré des défis 
de conception graphique sans précédent.
											Ce qui est vraiment difficile
											dans la conception de projets
											de cette ampleur est ceci :
											c'est difficile d'une part du fait
											que cela nécessite 
la combinaison de deux choses,
											l'audace et l'humilité.
											L'audace de croire que 
la chose que vous concevez
											est quelque chose dont le reste du monde
a besoin et veut,
											et l'humilité de comprendre
qu'en tant que designer,
											ce n'est pas de vous ou de votre portfolio
dont il est question,
											mais des personnes pour lesquelles
vous concevez des projets,
											et comment votre travail pourrait 
aider à améliorer leur vie.
											Malheureusement, il n'y a pas d'écoles
											qui proposent des cours
											de Design pour l'Humanité 101.
											Moi et d'autres designers
travaillant sur ce genre de produits
											avons eu à tout inventer 
au fur et à mesure,
											et nous avons appris ensemble
											les bonnes pratiques
											du design à grande échelle.
											Aujourd'hui, j'aimerais partager
											quelques enseignements
appris au fil des ans.
									","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
","
","
","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
											Now, the first thing that you need to know
											about designing at scale
											is that the little things really matter.
											Here's a really good example of how
											a very tiny design element can make a big impact.
											The team at Facebook that manages
											the Facebook ""Like"" button
											decided that it needed to be redesigned.
											The button had kind of gotten out of sync
											with the evolution of our brand
											and it needed to be modernized.
											Now you might think, well, it's a tiny little button,
											it probably is a pretty straightforward,
											easy design assignment, but it wasn't.
											Turns out, there were all kinds of constraints
											for the design of this button.
											You had to work within specific
height and width parameters.
											You had to be careful to make it work
											in a bunch of different languages,
											and be careful about using
fancy gradients or borders
											because it has to degrade gracefully
											in old web browsers.
											The truth is, designing this tiny little button
											was a huge pain in the butt.
									","
											A primeira coisa que é preciso saber
											acerca do ""design"" à escala
											é que as pequenas coisas
são realmente importantes.
											Aqui está um exemplo muito bom
											de como um elemento de ""design"" 
muito pequeno pode ter um grande impacto.
											A equipa do Facebook
											que gere o botão ""Gosto"" do Facebook
											decidiu que ele precisava 
de ser redesenhado.
											O botão, de certa forma,
ficou fora de sincronização
											com a evolução da nossa marca
											e precisava de ser modernizado.
											Podem pensar:
											""É um botão muito pequeno,
											""provavelmente é uma tarefa simples, 
fácil de desenhar"",
											mas não era.
											Acontece que havia
muitos constrangimentos
											para o ""design"" deste botão.
											Tinha de se trabalhar com parâmetros
específicos de altura e largura.
											Tinha de se ter muito cuidado
para que funcionasse
											numa série de linguagens diferentes,
											e ter cuidado com o uso de gradientes
e bordas extravagantes
											porque tinha de esbater-se dignamente
											nos navegadores antigos.
											A verdade é que desenhar
este botão tão pequenino
											foi uma grande trabalheira.
									","
											La première chose à savoir
sur ce type de design
											est que les petites choses
ont de l'importance.
											Voici un bon exemple de comment
un tout petit élément de design
											peut avoir un impact énorme.
											L'équipe de Facebook en charge
											du bouton « J'aime »
											a décidé qu'il fallait le redesigner.
											Le bouton n'était plus en adéquation
avec l'évolution de notre marque
											et il avait besoin d'être modernisé.
											Vous pourriez vous dire 
qu'il s'agit d'un tout petit bouton,
											qu'il s'agit d'une tâche facile,
mais ça ne l'était pas.
											Il s'avère qu'il y a 
toutes sortes de contraintes
											sur le design de ce bouton.
											Il fallait travailler avec
											des paramètres précis
de hauteur et de largeur,
											il fallait faire attention 
à ce qu'il fonctionne
											dans un tas de langues différentes,
											et utiliser des bordures
et inclinaisons agréables
											parce qu'il devait se décliner
dans d'anciens navigateurs Internet.
											La vérité est que la conception
											de ce tout petit bouton
											nous a causé beaucoup de soucis.
									","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
","
","
","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
											Now, this is the new version of the button,
											and the designer who led this project estimates
											that he spent over 280 hours
											redesigning this button over the course of months.
											Now, why would we spend so much time
											on something so small?
											It's because when you're designing at scale,
											there's no such thing as a small detail.
											This innocent little button
											is seen on average 22 billion times a day
											and on over 7.5 million websites.
											It's one of the single most viewed
design elements ever created.
											Now that's a lot of pressure for a little button
											and the designer behind it,
											but with these kinds of products,
											you need to get even the tiny things right.
									","
											Esta é a nova versão do botão.
											O ""designer"" que liderou este projeto
											calcula que gastou mais de 280 horas
											a redesenhar este botão ao longo de meses.
											Porque é que nós gastaríamos tanto tempo
											numa coisa tão pequena?
											Porque, quando se está a desenhar à escala,
											não existe o ""pequeno detalhe"".
											Este pequeno e inocente botão
											é visto, em média, 22 mil milhões
de vezes por dia
											em mais de 7,5 milhões de ""websites"".
											É um dos elementos de ""design"" 
criados até hoje, mais visto.
											É muita pressão para um botão pequenino
											e para o ""designer"" por trás dele.
											Mas com este tipo de produtos
											é preciso fazer bem até as coisas pequenas.
									","
											Voici la nouvelle version du bouton,
											et le designer qui a mené ce projet estime
											qu'il a passé plus de 280 heures
											à repenser ce bouton 
au cours des derniers mois.
											Pourquoi passerions-nous autant de temps
											sur quelque chose de si petit ?
											Parce que dans le design à grande échelle,
le plus important est le petit détail.
											Ce petit bouton innocent
											est vu en moyenne
											22 milliards de fois par jour
											et sur plus de 7,5 millions
											de sites Internet.
											C'est l'un des éléments de design
											les plus consultés jamais créés.
											Ça fait beaucoup de pression
pour un petit bouton,
											et pour le designer en charge,
mais avec ce type de produits,
											il faut faire attention 
aux plus petits détails.
									","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
","
","
","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
"
											Now, the next thing that you need to understand
											is how to design with data.
											Now, when you're working on products like this,
											you have incredible amounts of information
											about how people are using your product
											that you can then use to influence
											your design decisions,
											but it's not just as simple as following the numbers.
											Let me give you an example
											so that you can understand what I mean.
											Facebook has had a tool for a long time
											that allowed people to report photos
											that may be in violation of our community standards,
											things like spam and abuse.
											And there were a ton of photos reported,
											but as it turns out,
											only a small percentage were actually
											in violation of those community standards.
											Most of them were just your typical party photo.
											Now, to give you a specific hypothetical example,
											let's say my friend Laura hypothetically
											uploads a picture of me
											from a drunken night of karaoke.
											This is purely hypothetical, I can assure you.
											(Laughter)
											Now, incidentally,
											you know how some people are kind of worried
											that their boss or employee
											is going to discover embarrassing photos of them
											on Facebook?
											Do you know how hard that is to avoid
											when you actually work at Facebook?
											So anyway, there are lots of these photos
											being erroneously reported as spam and abuse,
											and one of the engineers on the team had a hunch.
											He really thought there was something else going on
											and he was right,
											because when he looked
through a bunch of the cases,
											he found that most of them
											were from people who were requesting
											the takedown of a photo of themselves.
											Now this was a scenario that the team
											never even took into account before.
											So they added a new feature
											that allowed people to message their friend
											to ask them to take the photo down.
											But it didn't work.
											Only 20 percent of people
											sent the message to their friend.
											So the team went back at it.
											They consulted with experts in conflict resolution.
											They even studied the universal principles
											of polite language,
											which I didn't even actually know existed
											until this research happened.
											And they found something really interesting.
											They had to go beyond just helping people
											ask their friend to take the photo down.
											They had to help people express to their friend
											how the photo made them feel.
									","
											A próxima coisa que precisam de perceber
											é como desenhar com dados.
											Quando trabalhamos com produtos como este,
											temos quantidades incríveis de informação
											sobre como as pessoas usam o produto
											que podemos usar para influenciar
											as nossas decisões de ""design"".
											Mas não é tão simples
como seguir os números.
											Deixem-me dar-vos um exemplo
											para que consigam perceber
o que quero dizer.
											O Facebook tem uma
ferramenta há muito tempo
											que permite que as pessoas
denunciem fotografias
											que possam violar as normas
da nossa comunidade,
											coisas como ""spam"" e abusos.
											Havia imensas fotografias denunciadas,
											mas acontece que apenas 
uma pequena percentagem
											estava realmente a violar 
essas normas da comunidade.
											A maior parte delas eram apenas
fotografias normais de festas.
											Para vos dar um exemplo
específico hipotético,
											digamos que a minha amiga Laura,
hipoteticamente,
											denuncia uma foto minha 
de uma noite de bebedeira de ""karaoke"".
											Isto é puramente hipotético,
posso garantir-vos.
											(Risos)
											A propósito,
											vocês sabem como 
algumas pessoas se preocupam
											que o seu patrão ou empregados
											descubram fotos embaraçosas deles
no Facebook?
											Sabem como é difcícil evitar isso
											quando se trabalha no Facebook?
											De qualquer forma,
há imensas destas fotografias
											que são erradamente denunciadas
como ""spam"" e abuso.
											Um dos engenheiros da equipa
teve um pressentimento.
											Pensou que devia estar 
a acontecer qualquer coisa
											e estava certo.
											Quando olhou
para uma série de casos,
											descobriu que a maior parte deles 
eram de pessoas
											que estavam a pedir 
que retirassem essa fotografia deles.
											Este foi um cenário
											que a equipa nunca antes 
tinha tido em consideração.
											Então adicionaram uma nova ferramenta
											que permitia às pessoas enviar
uma mensagem ao seu amigo
											para pedir-lhe que retire a fotografia.
											Mas não resultou.
											Apenas 20% das pessoas 
enviavam a mensagem ao seu amigo.
											Então a equipa voltou ao problema.
											Consultaram especialistas
em resolução de conflitos.
											Até estudaram os princípios universais
											de linguagem educada,
											coisa que eu nem sabia que existia
											até esta pesquisa acontecer.
											E encontraram algo realmente interessante.
											Tinham de ir mais longe do que
ajudar apenas as pessoas
											a pedir ao seu amigo
para tirar a fotografia.
											Tinham de ajudar as pessoas
a expressar ao seu amigo
											a forma como a fotografia os fazia sentir.
									","
											Le second principe à comprendre
											est comment concevoir un design
avec de l'information.
											Quand on travaille 
sur ces produits,
											il y a un nombre incalculable 
d'informations
											au sujet des personnes
qui les utilisent
											que vous pouvez utiliser pour
influer sur vos décisions de design,
											mais ce n'est pas aussi simple
que de respecter des chiffres.
											Je vais vous donner un exemple.
											Facebook a eu longtemps 
un outil permettant aux utilisateurs
											de signaler des photos qui pouvaient 
violer les conditions d'usage,
											comme les spams ou les injures.
											Il y a eu un tas de photos signalées,
											mais il s'avère que 
seulement un faible pourcentage
											d'entre elles était en réalité
en violation des normes d'utilisateurs.
											La plupart étaient juste
des photos classiques de fêtes.
											Pour vous donner 
un exemple hypothétique,
											disons que mon amie Laura
hypothétiquement télécharge
											des photos de moi
lors d'une soirée de karaoké arrosée.
											C'est purement hypothétique,
											je peux vous l'assurer.
											(Rires)
											Entre parenthèses,
											vous savez comme 
certaines personnes ont peur
											que leur patron ou employé découvre 
des photos embarrassantes d'eux
											sur Facebook ?
											Savez-vous combien
c'est dur d'éviter ça
											quand vous travaillez à Facebook ?
											Quoi qu'il en soit, il y a 
beaucoup de photos de ce type
											qui sont signalées par erreur
comme spam ou injure,
											et un des ingénieurs de l'équipe
a eu une intuition.
											Il a senti qu'il y avait autre chose
et il a eu raison,
											car lorsqu'il a étudié
une partie de ces cas,
											il s'est rendu compte que 
la plupart venait
											de personnes qui demandaient 
la suppression de photos d'eux-mêmes.
											Voilà un scénario que l'équipe 
n'avait jamais considéré auparavant.
											Donc ils ont ajouté
une nouvelle fonction
											qui permettait aux gens d'écrire 
à leur ami pour leur demander
											de retirer une photo.
											Mais ça n'a pas marché.
Seulement 20% des gens
											ont envoyé le message à leur ami.
											L'équipe s'est penchée
encore sur la question.
											Ils ont consulté des experts
en résolution de conflits.
											Ils ont même étudié
les principes universels de la politesse,
											dont j'ignorais totalement l'existence
avant cette recherche.
											Ils ont trouvé 
quelque chose de très intéressant.
											Ils devaient dépasser le fait
de simplement aider les gens
											à demander à leur ami 
de retirer la photo.
											Ils devaient aider les gens
à expliquer à leur ami
											comment ils se sentaient
à cause de la photo.
									","How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,12:56,"business,culture,design,technology,graphic design"
