es,pt,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
											La fealdad envolvente
											de nuestros entornos cotidianos en Estados Unidos
											es la entropía hecha visible.
											No podemos sobrestimar la cantidad de desesperanza
											que estamos generando en lugares como éste.
											Principalmente, quiero persuadirlos de la necesidad de hacer algo mejor
											si vamos a continuar el proyecto de civilización en Estados Unidos.
											A propósito, esto no ayuda.
											Nadie la está pasando mejor debido a esto.
									","
											A fealdade envolvente
											dos ambientes quotidianos nos EUA
											é a entropia tornada visível.
											(Risos)
											Não podemos fazer ideia 
da dimensão do desespero
											que estamos a gerar em locais como este.
											Sobretudo, queria convencer-vos 
de que temos que fazer melhor
											se queremos continuar 
o projeto de civilização nos EUA.
											A propósito, isto não ajuda.
											(Risos)
											Ninguém vai ter um dia melhor 
por causa disto.
									","
											The immersive ugliness
											of our everyday environments in America
											is entropy made visible.
											We can't overestimate the amount of despair
											that we are generating with places like this.
											And mostly, I want to persuade you that we have to do better
											if we're going to continue the project of civilization in America.
											By the way, this doesn't help.
											Nobody's having a better day down here because of that.
									","
											La laideur envahissante
											de notre environnement quotidien en Amérique
											c'est l'entropie rendue visible.
											On ne peut surestimer la quantité de désespoir
											que nous créons avec de tels espaces.
											Et avant tout, j'aimerais vous convaincre que nous devons faire mieux
											si nous devons poursuivre le projet de civilisation de l'Amérique.
											Au fait, ceci n'arrange pas les choses.
											Ceci n'égaye pas notre journée
									","
											Die allumfassende Hässlichkeit
											unserer tagtäglichen Umgebung in den USA
											ist sichtbar gemachter Verfall.
											Wir können den Grad der Verzweiflung gar nicht überschätzen,
											die wir mit Orten wie diesen verursachen.
											Vor allem möchte ich Sie davon überzeugen, dass wir uns mehr anstrengen müssen,
											wenn wir das Projekt der Zivilisation in Amerika fortführen wollen.
											Dies hier übrigens hilft kein bisschen.
											Niemand hier unten hat deshalb einen angenehmeren Tag.
									","
											Amerika'daki
											gündelik yaşantımızdaki
sürükleyici çirkinlik
											düzensizliği görünür kılıyor.
											Bu tür mekânlar ile meydana getirdiğimiz
											umutsuzluk miktarını
gözümüzde büyütemeyiz.
											Bilhassa, eğer Amerika'daki
medeniyet projesine devam edeceksek
											daha iyisini yapmamız gerektiği
konusunda sizi ikna etmek istiyorum.
											Bu arada, bu yardım etmez.
											Bundan dolayı kimse burada
daha iyi bir gün geçirmiyor.
									",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
","
","
","
","
","
",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
											Hay muchas formas de describir esto,
											a mí me gusta llamarlo ""el tugurio automovilístico nacional"".
											Lo puedes llamar desfachatez suburbana.
											Me parece más apropiado llamarlo
											la mayor equivocación en la asignación de recursos en la historia del mundo.
											Lo puedes llamar un revoltijo de las externalidades de la tecnosis.
											Y es un problema tremendo para nosotros.
											Para nosotros, el problema sobresaliente
											es que estos lugares no valen la pena.
											Vamos a hablar de eso un poco más.
											Un sentido de lugar.
											Tu capacidad de crear lugares significativos con calidad y carácter
											depende totalmente de tu capacidad de definir el espacio con edificios,
											y emplear los vocabularios, gramáticas,
											sintaxis, ritmos y patrones de la arquitectura
											que nos indiquen quiénes somos.
									","
											Há muitas maneiras de descrevê-lo.
											Gosto de lhe chamar 
""a favela nacional do automóvel"".
											Podem chamar-lhe a expansão urbana.
											Acho que é mais apropriado chamar-lhe
											a pior atribuição de recursos 
na história do mundo.
											Podem chamar-lhe uma
externalidade da ""tecnose"" que descambou.
											(Risos)
											É um problema tremendo para nós.
											O resultado 
— o problema que ressalta daqui —
											é que são locais com que 
não vale a pena preocuparmo-nos.
											Havemos de falar mais nisso.
											Um sentimento de lugar:
											a nossa capacidade de criar locais 
que tenham sentido
											e locais com qualidade e carácter
											depende totalmente da nossa capacidade 
de definir o espaço com edifícios
											e utilizar os vocábulos, as gramáticas,
											as sintaxes, os ritmos 
e os padrões da arquitetura
											a fim de nos informarem sobre quem somos.
									","
											There are a lot of ways you can describe this.
											You know, I like to call it ""the national automobile slum.""
											You can call it suburban sprawl.
											I think it's appropriate to call it
											the greatest misallocation of resources in the history of the world.
											You can call it a technosis externality clusterfuck.
											And it's a tremendous problem for us.
											The outstanding — the salient problem about this for us
											is that these are places that are not worth caring about.
											We're going to talk about that some more.
											A sense of place:
											your ability to create places that are meaningful and places of quality and character
											depends entirely on your ability to define space with buildings,
											and to employ the vocabularies, grammars,
											syntaxes, rhythms and patterns of architecture
											in order to inform us who we are.
									","
											Il y a plusieurs façons de décrire ceci
											vous savez, j'appelle ça ""le bidonville national de l'automobile""
											Vous pouvez appeler cela urbanisation tentaculaire.
											Je pense qu'on peut appeler ça
											la pire allocation des ressources dans l'histoire de l'Humanité.
											Vous pouvez appeler cela un brouillamini de technorrhée externe.
											Et c'est un énorme problème pour nous.
											Evidemment - le problème frappant pour nous avec cette situation
											est qu'il s'agit là d'espaces dont nous ne nous préoccupons pas.
											Nous en parlerons un peu plus.
											Le sens du lieu.
											La capacité à pouvoir créer des lieux qui ont un sens, des lieux de qualité et de caractère
											dépend entièrement de notre capacité à définir l'espace et le bâti
											et à employer des vocabulaires, des grammaires
											des syntaxes, des rythmes et les motifs de l'architecture
											afin d'enseigner qui nous sommes.
									","
											Es gibt viele Arten, das zu beschreiben,
											ich für meinen Teil nenne es den ""nationalen Auto-Slum"".
											Man kann es auch Zersiedelung nennen.
											Ich finde, es ist angemessen,
											es die größte Fehlverteilung von Ressourcen der Weltgeschichte zu nennen.
											Man kann es auch ein Technose-Externalitäts-Desaster nennen.
											Es ist wirklich ein Riesenproblem für uns.
											Das hervorstechende, das wichtigste Problem daran für uns ist,
											dass dies Orte sind, die nicht schätzenswert sind.
											Wir werden darauf noch zurückkommen.
											Ein Sinn für den Ort.
											Unsere Fähigkeit, Orte zu erschaffen, die signifikant sind, und Orte von Qualität und Charakter,
											hängt völlig von unserer Fähigkeit ab, den Raum durch Gebäude zu bestimmen
											und Vokabular, Grammatik,
											Syntax, Rhythmus und Architekturmuster einzusetzen,
											um uns darüber Auskunft zu geben, wer wir sind.
									","
											Bunu tanımlamanın bir sürü yolu var.
											Ben buna ""ulusal otomobil mahallesi""
demeyi seviyorum.
											Siz buna banliyö genişlemesi
diyebilirsiniz.
											Sanırım buna dünya tarihindeki

											en büyük yanlış kaynak dağıtımı
demek de doğrudur.
											Siz buna teknolojinin getirdiği
dışsal kargaşa da diyebilirsiniz.
											Bu bizim için çok büyük bir sorun.
											Bizim için öne çıkan,
dikkat çeken sorun şu ki
											böyle yerlerin önemsemeye
değer yerler olmaması.
											Bunun hakkında biraz daha konuşacağız.
											Yer duygusu;
											anlamlı, kaliteli ve karakterli yerler
oluşturma yeteneğiniz,
											tamamen, binalarla alan
oluşturma yeteneğinize,
											bize kim olduğumuz hakkında
bilgi vermek amacıyla
											söz dağarcığını,
dil bilgisini, söz dizimini,
											ritmi ve mimarinin kalıplarını
kullanma yeteneğinize bağlıdır.
									",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
","
","
","
","
","
",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
											El ámbito público en Estados Unidos tiene dos roles:
											Es donde vive nuestra civilización y nuestra vida cívica,
											y es la manifestación física del bien común.
											Cuando degradas el ámbito público,
											automáticamente degradas la calidad de tu vida cívica,
											y el carácter de toda materialización de vida pública y comunitaria que allí ocurre.
											En Estados Unidos, el ámbito público se manifiesta por lo general en la forma de la calle,
											ya que no tenemos las milenarias catedrales, plazas
											y mercados públicos de culturas más antiguas.
											Y tu capacidad de definir el espacio y crear lugares que vale la pena cuidar.
											proviene de una corriente cultural que llamamos la cultura del diseño cívico.
											Este es un cuerpo de conocimiento, métodos, técnicas y principios
											que botamos a la basura después de la Segunda Guerra Mundial,
											y decidimos que ya no la necesitamos; no la vamos a usar más.
											Por consiguiente, podemos ver los resultados a nuestro alrededor.
											El ámbito público nos tiene que indicar no sólo dónde estamos geográficamente,
											sino que nos tiene que indicar dónde estamos en nuestra cultura.
											De dónde venimos, qué clase de personas somos, y tiene que —
											— al hacer lo anterior, tiene que darnos un vistazo de nuestro rumbo
											para así poder vivir en un presente alentador.
											Y si hay una tremenda —
											si hay una gran catástrofe en los lugares que hemos construido,
											los entornos humanos que nos hemos creado en los últimos 50 años,
											es que nos han privado de la capacidad de vivir en un presente alentador.
									","
											O domínio público nos EUA tem dois papéis:
											é o local de habitação
da nossa civilização e da nossa vida cívica
											e é a manifestação física do bem comum.
											Quando degradamos o domínio público,
											degradamos automaticamente 
a qualidade da nossa vida cívica
											e o carácter de todas as representações
da vida pública
											e da vida comunitária que ali existem.
											O domínio público aparece sobretudo 
na forma de ruas, nos EUA
											porque não temos as praças
de catedrais e de mercados
											com 1000 anos de idade 
das culturas mais antigas.
											A nossa capacidade de definir espaço 
e de criar locais que mereçam ser tratados
											decorre dum corpo de cultura 
a que chamamos a cultura do ""design"" cívico.
											É um corpo de conhecimentos, 
métodos, aptidões e princípios
											que deitámos para o lixo 
depois da II Guerra Mundial
											e decidimos que não precisávamos 
mais dele, que já não o íamos usar.
											Por consequência, podemos ver 
o resultado à nossa volta.
											O domínio público tem que nos informar 
onde estamos geograficamente,
											e também tem que nos informar 
onde estamos na nossa cultura.
											Donde viemos, que tipo de povo somos.
											Fazendo isso, tem que nos proporcionar 
uma ideia de para onde vamos
											a fim de nos permitir habitar 
num presente com esperança.
											Se há um senão catastrófico 
sobre os locais que construímos
											— os ambientes humanos que fizemos
nos últimos 50 anos —
											é que eles nos privaram
da capacidade de viver
											num presente com esperança.
									","
											The public realm in America has two roles:
											it is the dwelling place of our civilization and our civic life,
											and it is the physical manifestation of the common good.
											And when you degrade the public realm,
											you will automatically degrade the quality of your civic life
											and the character of all the enactments of your public life and communal life that take place there.
											The public realm comes mostly in the form of the street in America
											because we don't have the 1,000-year-old cathedral plazas
											and market squares of older cultures.
											And your ability to define space and to create places that are worth caring about
											all comes from a body of culture that we call the culture of civic design.
											This is a body of knowledge, method, skill and principle
											that we threw in the garbage after World War II
											and decided we don't need that anymore; we're not going to use it.
											And consequently, we can see the result all around us.
											The public realm has to inform us not only where we are geographically,
											but it has to inform us where we are in our culture.
											Where we've come from, what kind of people we are, and it needs to,
											by doing that, it needs to afford us a glimpse to where we're going
											in order to allow us to dwell in a hopeful present.
											And if there is one tremendous —
											if there is one great catastrophe about the places that we've built,
											the human environments we've made for ourselves in the last 50 years,
											it is that it has deprived us of the ability to live in a hopeful present.
									","
											L'espace public en Amérique a deux rôles:
											C'est le lieu où réside notre civilisation et notre vie civique
											et c'est la manifestation physique du bien commun.
											Et lorsque l'on dégrade l'espace public,
											on dégrade automatiquement la qualité de la vie civique
											et le caractère des différentes facettes de la vie publique et de la communauté
											L'espace public se manifeste essentiellement sous la forme de la rue, en Amérique
											parce que nous n'avons pas les parvis millénaires
											ni les places du marché propres aux cultures plus anciennes.
											Et notre capacité à définir l'espace et à créer des lieux qui méritent que l'on s'en préoccupe
											tout provient d'une discipline culturelle qu'on appelle la culture du design civique
											C'est un ensemble qui combine le savoir, la méthodologie, le savoir-faire et le sens du principe
											que nous avons jeté à la poubelle après la Seconde Guerre Mondiale
											et nous avons décidé que nous n'en avions pas besoin; que nous n'allions pas nous en servir
											Par conséquent, nous voyons le résultat partout autour de nous
											L'espace public doit non seulement nous indiquer où nous sommes géographiquement
											mais il doit aussi nous indiquer où nous sommes dans notre culture
											D'où nous venons, quel type de gens nous sommes, et il doit —
											— en faisant cela, il doit nous donner une indication d'où nous allons
											afin que nous puissions vivre dans un présent doté d'espoir
											L'énorme —
											L'énorme catastrophe qui résulte des lieux que nous avons construits
											de l'environnement humain que nous avons créé depuis 50 ans,
											est liée au fait qu'ils nous ont privés de notre capacité à vivre dans un présent doté d'espoir
									","
											Der öffentliche Raum in Amerika hat zwei Aufgaben:
											Er ist das Zentrum unserer Kultur und unseres städtischen Lebens,
											und er ist die physische Manifestation des Gemeinwohls.
											Und wenn man den öffentlichen Raum herabwürdigt,
											würdigt man automatisch auch die Qualität des städtischen Lebens herab
											und den Charakter aller Vorgänge des öffentlichen Lebens, die sich dort abspielen.
											Der öffentliche Bereich nimmt in Amerika meist die Form der Straße an,
											weil wir nicht die 1000 Jahre alten Vorplätze der Kathedralen
											und die Marktplätze älterer Kulturen haben.
											Unsere Fähigkeit, den Raum zu definieren und Orte zu erschaffen, die schätzenswert sind,
											kommt von einer Kultur, die wir Städtebaukultur nennen.
											Es ist ein Agglomerat von Wissen, Methoden, Fertigkeiten und Prinzipien,
											die wir nach dem Zweiten Weltkrieg auf den Müll geworfen haben.
											Wir haben beschlossen, sie nicht mehr nötig zu haben, sie nicht mehr zu benutzen.
											Und folgerichtig können wir das Ergebnis davon überall um uns herum beobachten.
											Der öffentliche Raum muss nicht nur Auskunft darüber geben, wo wir uns auf der Landkarte befinden,
											er muss uns auch darüber Auskunft geben, wo wir uns in unserer Kultur befinden.
											Wo wir herkommen, was wir für Menschen sind, und er muss uns,
											indem er das leistet, uns einen Blick auf die Zukunft erlauben,
											um es uns zu ermöglichen, in einer hoffnungsvollen Gegenwart zu leben.
											Und wenn es eine erschütternde –
											wenn es eine große Katastrophe wegen der von uns gebauten Orte gibt,
											wegen der menschlichen Umgebungen, die wir uns in den letzten 50 Jahren gebaut haben,
											dann ist es die, dass sie uns der Möglichkeit beraubt haben, in einer hoffnungsvollen Gegenwart zu leben.
									","
											Amerika'da kamusal alanın iki rolü var.
											Birisi, medeniyetimizin ve kentsel
yaşamımızın ikamet ettiği yer,
											diğeri ise kamu yararının
fiziksel tezahürü.
											Kamusal alanı küçülttüğünüz zaman,
											kentsel yaşamınızın kalitesi ile
sosyal hayatınız ve toplumsal yaşamınızın
											orada meydana gelen
tüm yasalarının karakterini
											otomatik olarak küçültmüş olacaksınız.
											Amerika'da kamusal alan,
çoğunlukla sokak şeklinde
											çünkü bizde bin yıllık katedral alanları,
eski kültürlerdeki kent meydanları yok.
											Mekân tanımlama ve önemsemeye değer
yerler oluşturmadaki yeteneğiniz tamamen,
											sivil tasarım kültürü diye adlandırdığımız
kültür yığınlarından meydana gelir.
											Bu yığınlar, İkinci Dünya Savaşı sonrası

											çöpe attığımız ve artık bunları kullanmaya

											gereksinim duymadığımıza karar verdiğimiz
bilgi birikimi, yöntem, beceri ve ilkedir.
											Bunun sonucunda, neticeyi
etrafımızdaki her yerde görebiliriz.
											Kamusal alan bize yalnızca coğrafi
olarak nerede olduğumuzu değil,
											aynı zamanda kültürel olarak da
nerede olduğumuzu,
											nereden geldiğimizi,
nasıl insanlar olduğumuzu bildirmeli.
											Bunu yaparak umut dolu
bir şimdide yaşamamız amacıyla
											nereye gittiğimize
bir göz atmamıza izin vermeli.
											Eğer inşa etmiş olduğumuz mekânlar
ve kendimiz için son elli yılda
											kurmuş olduğumuz beşerî çevre ile ilgili
büyük bir yıkım varsa bu demektir ki
											biz umut dolu bir şimdide yaşama
yeteneğinden mahrum bırakıldık.
									",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
","
","
","
","
","
",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
											Los entornos en los que vivimos, típicamente, son como estos.
											Resulta que esto es el cinturón de asteroides de la basura arquitectónica, a 3,2 kilómetros al norte de mi pueblo.
											Y recuerden, para crear un lugar de carácter y calidad,
											tienen que ser capaces de definir el espacio.
											¿Y eso cómo se logra aquí?
											Si se paran en la salida del supermercado ""Wal*Mart"" acá,
											y tratan de mirar hacia el supermercado ""Target"" de allá,
											no lo pueden ver por la curvatura de la Tierra. (Risas)
											Así es como la naturaleza nos dice que estamos definiendo mal el espacio.
											Como consecuencia, estos son lugares en dónde nadie quiere estar.
											Estos serán lugares que no valdrá la pena cuidar.
									","
											Os ambientes em que vivemos, 
habitualmente, são assim.
											Isto é o cinto de asteroides 
de lixo arquitetural
											a três quilómetros da minha cidade.
											Não se esqueçam, para criar um local 
com carácter e qualidade,
											temos que saber definir espaço.
											Como é que isso está a ser feito aqui?
											Se nos situarmos
aqui em frente do Wal-Mart
											e tentarmos olhar ali para a loja Target,
											não conseguimos vê-la 
por causa da curvatura da Terra.
											(Risos)
											É a forma de a Natureza nos dizer
											que estamos a fazer um mau trabalho, 
ao definir espaço.
											Por conseguinte, estes serão locais 
onde ninguém vai querer estar.
											Serão locais com que 
não vale a pena preocuparmo-nos.
									","
											The environments we are living in, more typically, are like these.
											You know, this happens to be the asteroid belt of architectural garbage two miles north of my town.
											And remember, to create a place of character and quality,
											you have to be able to define space.
											So how is that being accomplished here?
											If you stand on the apron of the Wal-Mart over here
											and try to look at the Target store over here,
											you can't see it because of the curvature of the Earth. (Laughter)
											That's nature's way of telling you that you're doing a poor job of defining space.
											Consequently, these will be places that nobody wants to be in.
											These will be places that are not worth caring about.
									","
											Les lieux dans lesquels nous vivons sont typiquement comme ça
											Vous voyez ici la ceinture d'astéroïdes d'architecture-poubelle située à trois kilomètres au nord de ma ville.
											Et n'oubliez pas, pour créer un lieu de caractère et de qualité,
											vous devez pouvoir définir l'espace.
											Comment a-t-on accompli cela ici?
											Si vous vous placez devant le Wall-Mart ici
											et essayez de regarder vers le magasin Target par là
											vous ne le voyez pas à cause de la courbure de la Terre (Rires)
											C'est la nature qui vous dit, à sa façon, que vous définissez mal l'espace.
											Par conséquent, ce seront des lieux où personne ne voudra être
											Ce sont des lieux qui nous laissent indifférents
									","
											Die Umgebungen, in denen wir leben, sehen normalerweise wie diese hier aus.
											Das ist der Asteroidengürtel aus Architekturmüll drei Kilometer nördlich von meiner Heimatstadt.
											Vergessen wir nicht: Um einen Ort von Charakter und Qualität zu schaffen,
											muss man in der Lage sein, den Raum zu definieren.
											Wie also wird das hier gemacht?
											Wenn man hier auf dem Platz vor Wal-Mart steht
											und versucht, auf den Target-Laden hier drüben zu schauen,
											kann man ihn wegen der Erdkrümmung nicht sehen. (Gelächter)¥
											So teilt die Natur einem mit, dass man den Raum schlecht gestaltet hat.
											Logischerweise sind das Orte, an denen niemand gerne ist.
											Es sind Orte, die nicht schätzenswert sind.
									","
											İçinde yaşadığımız muhitler,
genel olarak, bunun gibidir.
											Burası benim şehrimin 3 km kuzeyindeki
mimari zırvalığın asteroid kuşağı olmakta.
											Unutmayın, karakterli ve kaliteli
mekânlar meydana getirmek için
											alan oluşturma yeteneğine
sahip olmanız gerekir.
											Peki burada bunu nasıl başarabiliriz?
											Eğer burada Walmart'ın önünde durur
											ve buradaki Target mağazasına
bakmaya çalışırsanız
											Dünya'nın eğriliği nedeniyle
onu göremezsiniz. (Kahkahalar)
											Bu, doğanın size alan oluşturmada
kötü bir iş çıkardığınızı söyleme şekli.
											Hâliyle, bunlar kimsenin içinde
olmak istemediği mekânlar olacak.
											Bunlar, önemsemeye
değmeyen mekânlar olacak.
									",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
","
","
","
","
","
",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
"
											Tenemos como, ¿saben? como 38.000 lugares
											que no vale la pena cuidar en Estados Unidos.
											Cuando tengamos suficientes de estos, tendremos una nación que no vale la pena defender.
											Y quiero que piensen en eso cuando piensen en
											esos jóvenes que están en lugares como Irak,
											derramando su sangre en la arena.
											Pregúntense, ¿Cuál será su último recuerdo del hogar?
											¡Espero que no sea el corte de andén entre el restaurante ""Chuck E. Cheese"" y el hipermercado ""Target""!
											Pues eso no es lo suficientemente valioso como para justificar el derramamiento de su sangre (Aplausos).
											Necesitamos mejores lugares en este país.
									","
											Atualmente, temos 
cerca de 38 000 locais nos EUA
											com que não vale a pena preocuparmo-nos.
											Quando houver muitos, teremos uma nação 
que não vale a pena ser defendida.
											Queria que pensassem nisso,
											quando pensam nos jovens 
que estão em locais como o Iraque,
											a derramar o sangue na areia, 
e se interrogam:
											""Qual será o último pensamento deles 
sobre a sua terra?"".
											Espero que não seja a curva 
entre o Chuck E. Cheese e a loja Target
											porque isso não merece o sangue 
derramado pelos norte-americanos.
											(Aplausos)
											Precisamos de melhores espaços neste país.
									","
											We have about, you know, 38,000 places
											that are not worth caring about in the United States today.
											When we have enough of them, we're going to have a nation that's not worth defending.
											And I want you to think about that when you think about
											those young men and women who are over in places like Iraq,
											spilling their blood in the sand,
											and ask yourself, ""What is their last thought of home?""
											I hope it's not the curb cut between the Chuck E. Cheese and the Target store
											because that's not good enough for Americans to be spilling their blood for. (Applause)
											We need better places in this country.
									","
											Il y a, vous savez, environ 38000 lieux
											qui nous laissent indifférents aux Etats-Unis aujourd'hui.
											Lorsque nous en aurons suffisamment, notre nation nous laissera indifférents
											Et j'aimerais que vous réfléchissiez à cela lorsque vous pensez
											aux jeunes hommes et femmes qui sont à des endroits comme l'Irak,
											à verser leur sang sur le sable.
											Et posez-vous la question: quelle est leur dernière pensée de leur pays natal?
											J'espère que ce n'est pas la courbe entre le Chuck E. Cheese et le magasin Target!
											Parce que cela ne suffit pas à justifier le sang versé par ces Américains. (Applaudissements)
											Nous méritons de meilleurs lieux dans ce pays.
									","
											Wir haben heute ungefähr 38.000 Orte in den USA,
											die nicht schätzenswert sind.
											Wenn es genug davon gibt, haben wir eine ganze Nation, die nicht schützenswert ist.
											Ich möchte, dass Sie daran denken, wenn Sie an die jungen Männer
											und Frauen denken, die in Ländern wie dem Irak sind
											und ihr Blut im Wüstensand vergießen.
											Fragen Sie sich: Was ist deren letzte Erinnerung an ihre Heimat?
											Hoffentlich nicht der Bordstein zwischen ""Chuck E. Cheese"" und ""Target""!
											Denn das wäre nicht gut genug für einen Amerikaner, um dafür sein Blut zu vergießen. (Applaus)
											Wir brauchen bessere Orte in diesem Land.
									","
											Bugün Amerika'da yaklaşık 38.000 tane
önemsemeye değmeyen mekân var.
											Onlardan bıkıp usandığımız zaman
											savunmaya değmeyen
bir memleketimiz olacak.
											Sizden, Irak gibi yerlerde
kanlarını kuma döken
											o genç adam ve kadınları
düşünmenizi ve kendinize
											""Evlerini en son ne zaman düşündüler?""
											diye sormanızı istiyorum.
											Umarım Chuck E. Cheese ile Target
arasındaki kaldırım rampası değildir
											çünkü bu Amerikalıların kanlarını
dökmesi için yeterince iyi değil.
											Bu ülkede daha iyi mekânlara
ihtiyacımız var.
									",The ghastly tragedy of the suburbs,James Howard Kunstler,19:44,"alternative energy,architecture,cars,cities,consumerism,culture,design,energy,transportation"
