en,tr,fr,es,pt,title,speaker,duration,tags
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											How y'all doing?
											Good.
											I came here to give you a science lesson
											about animal mating systems
											and why defining monogamy
has been a challenge for scientists.
											But you won't need a textbook
or to download an online lecture.
											All you'll simply need to do
is revisit the song ""OPP""
											by Naughty by Nature.
									","
											Nasılsınız?
											İyi.
											Buraya sizlere hayvanların
çiftleşme sistemleriyle ilgili
											ve tek eşliliği tanımlamanın 

											bilim insanlarını neden zorladığı
hakkında bir ders vermeye geldim.
											Ama bir ders kitabına ya da
çevrim içi ders indirmenize gerek yok.
											Sadece Naughty by Nature'ın
''OPP'' şarkısını
											gözden geçirmeniz yeterli.
									","
											Comment allez-vous ?
											Bien.
											Je suis venue vous donner
un cours de science
											sur les systèmes
de reproduction animaliers
											et pourquoi définir la monogamie
a été un défi pour les scientifiques.
											Vous n'aurez pas besoin de manuel
ou de télécharger un cours en ligne.
											Tout ce que vous aurez à faire,
c'est de revisiter la chanson « OPP »
											de Naughty by Nature.
									","
											¿Cómo están todos?
											Bien.
											Vine aquí para darles una 
lección de ciencias
											sobre el sistema de apareamiento animal
											y por qué definir la monogamia
ha sido un reto para los científicos.
											Pero no necesitarán un libro de texto
o descargar una conferencia.
											Todo lo que necesitan es
recordar la canción ""OPP""
											por ""Naughty by Nature"".
									","
											Como estão todos?
											Boa.
											Vim aqui
para vos dar uma lição de ciências
											sobre o sistema de acasalamento animal
											e a razão por que os cientistas
têm dificuldade em definir ""monogamia"".
											Mas não é preciso um manual
ou descarregar uma lição ""online"".
											Simplesmente temos 
de revisitar a canção ""OPP""
											dos Naughty by Nature.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											It was released in 1991.
											Now, ""OPP"" is a call-and-response song.
											So throughout the talk,
I'm going to put lyrics up on the screen,
											and I'm going to recite some
											and I'm going to prompt you
											when it's your turn
to do the response, OK?
									","
											Bu şarkı 1991'de yayınlandı.
											Şimdi, ''OPP'' aşık atışması 
şeklinde bir şarkı.
											Konuşma boyunca sözleri 
ekrana yansıtacağım
											ve bazılarını nakledeceğim
											ve cevap sırası size gelince
											size sufle edeceğim, anlaştık mı?
									","
											Elle est sortie en 1991.
											« OPP » est une chanson
d'appel et de réponse.
											Durant mon intervention,
je vais mettre des paroles à l'écran,
											je vais en réciter certaines
											et je vous ferai signe
											quand ce sera à votre tour
de répondre, d'accord ?
									","
											Fue lanzada en 1991.
											""OPP"" es una canción 
para cantar y responder.
											Así que, a lo largo de la charla,
voy a poner la letra en la pantalla,
											voy a recitar algunas partes
											y voy a darles indicaciones
											cuando sea su turno 
de responder, ¿está bien?
									","
											Foi lançada em 1991.
											""OPP"" é uma canção
de ""perguntas e respostas"".
											Durante a palestra,
vou colocar parte da letra no ecrã,
											e vou recitar parte dela,
											e vou pedir-vos
											que dêem a resposta
quando for a vossa vez, ok?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Cheers)
									","
											(Tezahüratlar)
									","
											(Acclamations)
									","
											(Aclamaciones)
									","
											(Vivas)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Now, I know some people
in this audience know this song,
											so I need you to lead the way
with the tempo and the rhythm,
											if that's alright, OK?
											Right, y'all ready?
									","
											Bazı seyircilerin
bu şarkıyı bildiğini biliyorum,
											bu yüzden tempo ve ritmi
benim yönlendirmem gerekiyor,
											sakıncası yoksa, tamam mı?
											Peki, hazır mıyız?
									","
											Je sais que certains ici
connaissent cette chanson,
											j'ai besoin que vous donniez
le tempo et le rythme
											si cela vous va, d'accord ?
											Vous êtes prêts ?
									","
											Sé que algunas personas
conocen la canción,
											y necesito que lideren
con el tiempo y el ritmo,
											si pueden, ¿vale?
											Bien, ¿están listos?
									","
											Eu sei que algumas pessoas
presentes conhecem a música,
											vou pedir que liderem 
com o compasso e o ritmo,
											se puder ser, ok?
											Certo, preparados?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											You down with OPP?
									","
											OPP'ye hasta mısın?
									","
											Ça te dit de la CAP ?
									","
											¿Están con OPP?
									","
											Conhecem o OPP?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Audience: Yeah, you know me!
									","
											Seyirci: Evet, beni bilirsin!
									","
											Public : Oui, tu me connais !
									","
											Público: ¡Sí, claro!
									","
											Público: Sim, sabes como sou!
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											DNL: You down with OPP?
									","
											DNL: OPP'ye hasta mısın?
									","
											DNL : Ça te dit de la CAP ?
									","
											DNL: ¿Están con OPP?
									","
											DNL: Conhecem o OPP?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
