es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
											Vemos a través de los ojos.
											Pero también vemos con el cerebro.
											Y ver con el cerebro a menudo se denomina imaginación.
											Y estamos familiarizados con los paisajes de nuestra propia imaginación,
											nuestro paisaje interior. Vivimos con él toda la vida.
											Sin embargo, también existen alucinaciones.
											Y las alucinaciones son completamente diferentes.
											Éstas no parecen ser de nuestra propia creación.
											A éstas parece que no las podamos controlar.
											Parece que vienen del exterior,
											para imitar la percepción.
									","
											Nós vemos com os olhos
											mas também vemos com o cérebro.
											E ver com o cérebro é muitas vezes
apelidado de imaginação.
											Conhecemos as paisagens
da nossa própria imaginação,
											as nossas paisagens interiores.
											Vivemos com elas toda a vida.
											Mas também há as alucinações.
											E as alucinações
são totalmente diferentes.
											Não parecem ser criadas por nós.
											Não parecem estar sob o nosso controlo.
											Parecem vir do exterior,
											Parecem imitar a perceção.
									","
											Gözlerle görürüz.
											Fakat aynı zamanda beyinle de görürüz.
											Ve beyinle görme çoğunlukla hayal gücü olarak adlandırılır.
											Ve bizler kendi hayal gücümüzün, içsel dünyamızın manzaralarına
											alışkınız. Bütün hayatımız boyunca onlarla yaşamışızdır.
											Fakat bir de halüsinasyonlar var.
											Ve halüsinasyonlar tamamen farklı.
											Bizim ürünümüz değillmiş gibilerdir.
											Bizim kontrolümüzde değilmiş gibilerdir.
											Dışardan gelmiş gibi görünürler,
											algıyı taklit ederler.
									","
											Nous voyons avec les yeux.
											Mais nous voyons également avec notre cerveau.
											Et voir avec notre cerveau est souvent appelé imagination.
											Et nous sommes habitués aux paysages de notre imagination,
											à nos paysages intérieurs. Nous avons vécu toute notre vie avec eux.
											Mais il y a aussi les hallucinations.
											Et les hallucinations sont complètement différentes.
											Elles ne paraissent pas être de notre création.
											Elles ne semblent pas être sous notre contrôle.
											On dirait qu'elles viennent de l'extérieur,
											et imitent notre perception.
									","
											Wir sehen mit den Augen.
											Aber ebenso sehen wir mit dem Gehirn.
											Und das Sehen mit dem Gehirn wird oft als Phantasie bezeichnet.
											Und die Landschaften unserer Phantasie sind uns vertraut.
											Wir verbringen unser ganzes Leben mit ihnen.
											Aber es gibt auch Halluzinationen.
											Und Halluzinationen sind völlig anders.
											Sie scheinen nicht unsere eigene Schöpfung zu sein.
											Wir können sie anscheinend nicht kontrollieren.
											Sie scheinen von außen zu kommen,
											und sie imitieren scheinbar die reale Wahrnehmung.
									",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
","
","
","
","
",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
											Así es que voy a hablar de alucinaciones.
											Sobre un tipo particular de alucinaciones visuales
											que veo entre mis pacientes.
											Hace unos meses recibí una llamada telefónica
											de una residencia de ancianos donde trabajo.
											Me dijeron que uno de los residentes, una anciana de unos 90 años,
											estaba viendo cosas.
											Y se preguntaban si se había vuelto loca.
											O quizá, como ella era una señora de edad,
											si quizá había sufrido una apoplejía o si sufría de Alzheimer.
									","
											Por isso, vou falar de alucinações
											e de uma espécie específica
de alucinação visual
											que observo em muitos dos meus pacientes.
											Há uns meses, recebi um telefonema
											de uma casa de repouso onde trabalho.
											Disseram-me que uma das residentes,
uma senhora nonagenária,
											estava a ""ver"" coisas.
											Pensavam que ela tinha enlouquecido.
											Ou, talvez por ser uma senhora idosa,
											que talvez tivesse sofrido um ACV,
ou a doença de Alzheimer.
									","
											Evet ben de halüsinasyonlar hakkında konuşacağım.
											Ve hastalarım arasında gördüğüm bir çeşit
											görsel halüsinasyondan bahsedeceğim.
											Birkaç ay önce bir telefon geldi
											çalıştığım yerdeki bakımevlerinden birinden.
											Dediklerine göre, 90 yaşlarındaki bayan misafirlerden biri
											birşeyler görüyormuş.
											Delirdiğini düşünmüşler.
											Veya yaşlı olduğu için
											inme geçirdiğini veya Alzheimer olduğunu düşünmüşler.
									","
											Je vais donc parler des hallucinations.
											Et d'un type particulier d'hallucinations visuelles
											que je rencontre chez certains de mes patients.
											J'ai reçu un coup de fil il y a quelques mois
											d'une maison de retraite où je travaille.
											Ils m'ont dit qu'une de leurs pensionnaires, une vielle dame de 90 ans,
											voyaient des choses.
											Et ils se demandaient si elle ne devenait pas cinglée.
											Ou, parce qu'elle était agée,
											si elle n'avait pas eu une attaque ou était atteinte d''Alzheimer.
									","
											Ich werde also über Halluzinationen sprechen.
											Und zwar über eine besondere Form von visuellen Halluzinationen,
											die bei meinen Patienten auftritt.
											Vor ein paar Monaten bekam ich einen Anruf
											aus einem Pflegeheim, in dem ich arbeite.
											Sie sagten mir, dass eine der Bewohnerinnen, eine über 90 Jahre alte Dame,
											Dinge sah.
											Und sie haben sich gefragt, ob sie jetzt übergeschnappt ist.
											Oder, weil sie ja eine alte Dame war,
											ob sie einen Schlaganfall oder Alzheimer hatte.
									",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
","
","
","
","
",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
											Así es que me preguntaron si podía ir a ver a Rosalee,
											la señora mayor.
											Fui a verla.
											Y resultaba más que evidente
											que estaba completamente sana,
											y lúcida con una buena inteligencia.
											No obstante, ella se había asustado y desconcertado mucho.
											porque había estado viendo cosas.
											Y me dijo,
											algo que las enfermeras no habían mencionado,
											y es que era ciega,
											que hacía cinco años se había quedado completamente ciega debido a una degeneración macular.
											Pero durante los últimos días, había estado viendo cosas.
									","
											Por isso, pediram-me para ir lá
e observar a Rosalie,
											a senhora idosa.
											Eu fui vê-la.
											A primeira coisa evidente
											era que ela estava perfeitamente saudável,
											lúcida e com excelente raciocínio.
											Mas estava muito agitada e muito confusa
											porque ela andava a ""ver"" coisas.
											E disse-me
											— as enfermeiras não o tinham referido —
											que era cega,
											que cegara completamente,
de degeneração da mácula, cinco anos antes.
											Mas agora, nos últimos dias,
ela ""via"" coisas.
									","
											Bu yüzden bana, gidip yaşlı hastayı, Rosalie'yi
											görüp göremeyeceğimi sordular.
											Onu görmeye gittim.
											Çok açıkça belliydi ki,
											bu misafir gayet aklı başında,
											anlaşılır ve akıllı idi.
											Fakat çok korkmuş ve şaşırmıştı
											çünkü birşeyler görüyordu.
											Ve bana dedi ki —
											hemşireler bunu belirtmemişlerdi —
											kör olduğunu,
											beş yıldır, makula dejenerasyonu nedeniyle tamamen kör olduğunu söyledi.
											Fakat şimdi, son birkaç gündür, birşeyler görüyormuş.
									","
											Et ils m'ont donc demandé si je pouvais venir rendre visite à Rosalie,
											cette vieille dame.
											Je suis donc allé la voir.
											Il était évident au premier coup d'œil
											qu'elle était en parfaite santé,
											complètement lucide, et d'une grande intelligence.
											Pourtant elle était très surprise et très déroutée
											par les choses qu'elle voyait.
											Et elle me dit -
											les infirmières ne l'avaient pas mentionnées-
											qu'elle était aveugle,
											qu'elle avait complètement perdu la vue depuis cinq ans suite à une dégénérescence maculaire.
											Mais désormais, depuis quelques jours, elle voyait des choses.
									","
											Also fragten Sie mich, ob ich kommen und einen Blick auf Rosalie,
											die alte Dame, werfen könnte.
											Ich ging also hin.
											Es war sofort klar,
											dass Sie geistig völlig gesund,
											bei klarem Verstand und recht intelligent war.
											Aber sie war ziemlich erschrocken und verwirrt
											weil sie etwas gesehen hatte.
											Und sie sagte mir —
											das hatten die Schwestern nicht erwähnt —
											dass sie blind war,
											völlig blind aufgrund einer Makuladegeneration, seit fünf Jahren.
											Aber jetzt, seit einigen Tagen, hatte sie wieder etwas gesehen.
									",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
","
","
","
","
",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
											Así que le pregunté, ""¿Qué tipo de cosas?""
											Y ella dijo: ""Gente en traje oriental,
											en cortinas, subiendo y bajando escaleras.
											Un hombre que se gira hacia mí y sonríe.
											Y tiene dientes enormes a un lado de la boca.
											Animales también.
											Veo un edificio blanco. Está nevando, la nieve es blanda.
											Veo un caballo, con un arnés, retirando la nieve.
											Entonces, una noche la escena cambia.
											Veo perros y gatos que vienen hacia mí.
											Llegan a un cierto punto y luego se detiene.
											Luego la escena cambia de nuevo.
											Veo a muchos de los niños. Están subiendo y bajando escaleras.
											Llevan colores brillantes, rosa y azul,
											como el vestido Oriental""
									","
											Então perguntei-lhe:
""Que género de coisas?""
											E ela respondeu:
""Pessoas com trajes orientais,
											""vestes drapeadas,
a subir e a descer escadas.
											""Um homem que se volta para mim e sorri.
											""Mas tem dentes enormes
num dos lados da boca.
											""Também vejo animais.
											""Vejo um edifício branco.
Está a nevar, a nevar levemente.
											""Vejo um cavalo, com arreios,
a limpar a neve.
											""Uma noite, o cenário muda.
											""Vejo gatos e cães a andar
na minha direção.
											""Chegam a um determinado ponto e param.
											""Depois muda tudo de novo.
											""Vejo muitas crianças.
Elas sobem e descem escadas.
											""Usam cores claras, cor-de-rosa e azul
											""como as roupas orientais.""
									","
											Ben de dedim ki, ""Ne gibi şeyler?""
											Ve dedi ki, ""Doğulu kıyafetler giymiş insanlar,
											kalın kumaşlar içinde, merdivenlerden inip çıkıyorlar.
											Bir adam bana doğru dönüyor ve gülüyor.
											Fakat ağzının bir tarafında çok büyük dişleri var.
											Hayvanlar da var.
											Beyaz bir bina görüyorum. Kar yağıyor, yumuşak bir kar.
											Bu atı görüyorum, koşum takımıyla, karı öteye sürüklüyor.
											Sonra bir gece sahne değişiyor.
											Bana doğru gelen kedi ve köpekler görüyorum.
											Belli bir noktaya geliyor ve duruyorlar.
											Sonra yeniden değişiyor.
											Bir sürü çocuk görüyorum. Merdivenlerden inip çıkıyorlar.
											Parlak renkler giyiyorlar, pembe ve mavi,
											Doğulu elbiseler gibi.""
									","
											Je lui ai alors dit, ""Quelle sorte de choses ?""
											Et elle me répondit, ""Des gens en robes orientales,
											en toges, montant et descendant les escaliers.
											Un homme qui se retourne vers moi et me sourit.
											Mais il a une énorme dent d'un coté de la bouche.
											Des animaux aussi.
											J'ai vu un bâtiment blanc. Il neigait, une neige légère.
											J'ai vu un cheval, avec un harnais, qui enlèvait la neige.
											Puis, une nuit, la scène a changé.
											J'ai vu des chiens et des chats qui marchaient vers moi,
											Ils s'approchaient jusqu'à un certain point puis s'arrêtaient.
											Puis cela a changé de nouveau.
											J'ai vu plein d'enfants. Ils montaient et descendaient les marches.
											Leurs vêtements étaient de couleurs éclatantes, du rose et du bleu,
											à la manière des vêtements venus d'Orient.""
									","
											Also fragte ich: ""Was haben Sie gesehen?""
											Und sie sagte: ""Leute in orientalischer Kleidung,
											im Schleier, die Treppen auf und ab gehen.
											Ein Mann dreht sich zu mir um und lächelt.
											Aber er hat auf einer Seite seines Mundes riesige Zähne.
											Und auch Tiere.
											Ich sehe ein weißes Gebäude. Es schneit weichen Schnee.
											Ich sehe dieses Pferd mit Geschirr, das den Schnee wegzieht.
											Und eines Nachts ändern sich die Bilder.
											Ich sehe Katzen und Hunde auf mich zukommen.
											Sie kommen bis zu einer bestimmten Stelle und bleiben dann stehen.
											Dann verändert es sich wieder.
											Ich sehe viele Kinder. Sie gehen Treppen auf und ab.
											Sie sind leuchtend bunt gekleidet, rosa und blau,
											wie im Orient.""
									",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
","
","
","
","
",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
"
											""A veces,"" me decía, ""antes de que llegara la gente
											tenía alucinaciones con cuadrados rosa y azul en el suelo,
											que parecían ir hasta el techo.""
											""Entonces,"" le pregunté,""¿es esto como un sueño?""
											Y ella: ""No, no es como un sueño. Es como una película.""
											Ella dijo: ""Tiene color. Tiene movimiento.
											Pero es completamente silencioso, como una película muda.""
											Y me explicó que se trataba de una película bastante aburrida.
											Ella dijo: ""Todas estas personas con la vestimenta oriental,
											paseando arriba y abajo, muy repetitivo, muy limitado.""
											(Risas)
									","
											""Às vezes, antes de aparecerem pessoas,
											""eu podia ter alucinações
de quadrados rosas e azuis no chão,
											""que pareciam chegar ao teto"".
											Perguntei: 
""E é parecido com um sonho?""
											E ela respondeu: ""Não, não é um sonho.
É como um filme.""
											Ela afirmou:
""Tem cor. Tem movimento.
											""Mas é completamente silencioso,
como um filme mudo.""
											E acrescentou que era um filme
muito aborrecido.
											Disse: ""Todas aquelas pessoas
com roupas orientais,
											""a subir e a descer, é muito repetitivo,
muito limitado.""
											(Risos)
									","
											Bazen, insanlar belirmeden önce,
											yerden tavana doğru çıkan pembe ve mavi kareler
											gördüğünü de söyledi.
											""Rüya gibi mi?"" diye sordum.
											""Hayır rüya gibi değil, film gibi"" diye cevap verdi.
											""Rengi var, hareket var.
											Fakat tamamen sessiz, sessiz bir film gibi."" dedi.
											Ve bunun oldukça da sıkıcı bir film olduğunu söyledi.
											""Bu Doğulu elbiseler içindeki insanlar
											sürekli şekilde aşağı yukarı yürüyorlar.""
											(Gülüşmeler)
									","
											Parfois, me dit-elle, avant que ces gens n'arrivent
											elle pouvait halluciner des carreaux roses et bleus sur le sol,
											qui semblaient monter au plafond.
											Je lui demandai, ""Est-ce comme un rêve ?""
											Et elle répondit, ""Non, ce n'est pas comme dans un rêve. C'est comme un film.""
											Elle ajouta, ""Il y a des couleurs, du mouvement.
											Mais c'est entièrement silencieux, comme un film muet.""
											Et elle me dit que ce film était plutôt ennuyeux.
											""Tous ces gens en robes orientales,
											montant et descendant sans arrêt. C'est très répétitif et limité !""
											(Rires)
									","
											Manchmal, so sagte sie, sind es vor den Leuten
											rosa und blaue Quadrate auf dem Boden, die sie halluziniert,
											und die scheinen zur Decke hinaufzugehen.
											Ich sagte: ""Ist das so wie ein Traum?""
											Und sie sagte: ""Nein, es ist nicht wie ein Traum. Es ist wie ein Film.""
											Sie sagte: ""Es ist in Farbe. Es bewegt sich.
											Aber es ist ganz still, wie ein Stummfilm.""
											Und sie sagte, dass es ein ziemlich langweiliger Film ist.
											Sie sagte: ""Diese ganzen Leute in orientalischer Kleidung,
											die rauf und runter laufen - immer das Gleiche, ziemlich dröge.""
											(Gelächter)
									",What hallucination reveals about our minds,Oliver Sacks,18:48,"biology,brain,medicine,mental health,mind,psychology,sight,neuroscience"
