en,fr,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
											As patients,
											we usually remember
the names of our doctors,
											but often we forget
the names of our nurses.
											I remember one.
											I had breast cancer a few years ago,
											and somehow I managed
to get through the surgeries
											and the beginning
of the treatment just fine.
											I could hide what was going on.
											Everybody didn't really have to know.
											I could walk my daughter to school,
											I could go out to dinner with my husband;
											I could fool people.
											But then my chemo was scheduled to begin
											and that terrified me
											because I knew that I was going to lose
every single hair on my body
											because of the kind of chemo
that I was going to have.
											I wasn't going to be able
to pretend anymore
											as though everything was normal.
									","
											En tant que patients,
											nous nous souvenons en général
du nom de nos médecins
											mais oublions souvent
le nom de nos infirmiers.
											Je me souviens d'un nom.
											Il y a quelques années,
j'ai eu un cancer du sein
											et j'ai réussi à bien vivre les chirurgies
											et le début du traitement.
											Je pouvais cacher ce qu'il se passait.
											Personne n'avait pas à savoir.
											Je pouvais accompagner ma fille à l'école,
											aller au restaurant avec mon mari ;
											je pouvais duper les gens.
											Puis ma chimio devait commencer
											et cela me terrifiait
											car je savais que j'allais perdre
tous mes cheveux et poils
											du fait du type de chimio
que j'allais avoir.
											Je n'allais plus pouvoir faire semblant
											que tout allait bien.
									","
											Como pacientes,
											costumamos lembrar-nos
dos nomes dos nossos médicos,
											mas nem sempre do nome dos enfermeiros.
											Eu lembro-me de uma enfermeira.
											Tive cancro de mama há alguns anos,
											e consegui lidar com as cirurgias,
											e o início do tratamento foi tranquilo.
											Eu podia esconder
o que me estava a acontecer.
											Ninguém precisava de saber.
											Eu podia levar minha filha à escola,
											eu podia sair para jantar com meu marido;
											podia enganar as pessoas.
											Então o início da quimioterapia
foi marcado
											e isso aterrorizou-me,
											pois eu sabia que iria perder 
cada fio de cabelo de todo o meu corpo
											por causa do tipo de quimio
que eu teria de fazer.
											Eu já não conseguiria fingir
											que estava tudo normal.
									","
											Bir hasta olarak,
											doktorların adını çoğu zaman hatırlar
											fakat hemşirelerin adını genelde unuturuz.
											Ben birini hatırlıyorum.
											Birkaç yıl önce
göğüs kanserine yakalandım.
											Bir şekilde operasyonları atlattım

											ve tedavinin başlangıcı gayet iyiydi.
											Hastalığımı saklayabiliyordum.
											Herkesin bilmesi de şart değildi.
											Kızımı okuluna bırakabiliyordum.
											Kocamla yemeğe çıkabiliyordum;
											insanları kandırabiliyordum.
											Ama daha sonra kemoterapi
programım başlayacaktı
											ve bu beni dehşete düşürüyordu,
											çünkü alacağım kemoterapi nedeniyle
											bütün saçlarımın döküleceğini biliyordum.
											Artık kimseye, 
sanki her şey normalmiş gibi
											rol yapamayacaktım.
									","
											Como pacientes,
											por lo general recordamos
los nombres de nuestros médicos,
											pero a menudo olvidamos
los nombres de nuestros enfermeros.
											Yo recuerdo una.
											Hace unos años, tuve cáncer de mama
											y de alguna manera logré
superar las cirugías
											y el comienzo del tratamiento muy bien.
											Podía ocultar lo que estaba pasando.
											Nadie tenía por qué saberlo.
											Podía llevar a mi hija a la escuela,
											podía salir a cenar con mi marido;
											podía engañar a la gente.
											Pero luego llegó la quimio
											y eso me aterraba
											porque sabía que iba a perder
todo el cabello
											por el tipo de quimio que tendría.
											Ya no podría fingir
											que todo estaba normal.
									",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
","
","
","
","
",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
											I was scared.
											I knew what it felt like to have
everybody treating me with kid gloves,
											and I just wanted to feel normal.
											I had a port installed in my chest.
											I went to my first day of chemotherapy,
											and I was an emotional wreck.
											My nurse, Joanne, walked in the door,
											and every bone in my body was telling
me to get up out of that chair
											and take for the hills.
											But Joanne looked at me and talked
to me like we were old friends.
											And then she asked me,
											""Where'd you get your highlights done?""
									","
											J'avais peur.
											Je savais ce que c'était de voir tout
le monde me prendre avec des pincettes
											et je voulais me sentir normale.
											J'avais un cathéter dans la poitrine.
											Je me suis rendue
à mon premier jour de chimiothérapie
											et j'allais très mal émotionnellement.
											Mon infirmière, Joanne, est entrée
											et tout mon corps me disait
de me lever de cette chaise
											et de fuir.
											Mais Joanne m'a regardée, m'a parlé
comme si nous étions de vieilles amies.
											Puis elle m'a demandé :
											« Où as-tu fait faire tes mèches ? »
									","
											Eu estava assustada.
											Eu sabia como iria ser
todos a tratar-me como flor de estufa,
											e eu só me queria sentir normal.
											Eu tinha um cateter no meu peito.
											Eu fui ao meu primeiro dia
de quimioterapia,
											e sentia-me arrasada.
											A minha enfermeira Joanne
entrou pela porta
											e cada parte do meu corpo dizia-me
para me levantar da cadeira
											e fugir dali para fora.
											Mas Joanne olhou para mim e falou comigo
como se fôssemos velhas amigas.
											E então ela perguntou-me:
											""Onde é que fez essas madeixas?""
									","
											Çok korkuyordum.
											Herkes bana kristal vazo gibi davranacaktı
ve nasıl olduğunu biliyordum
											ama ben normal hissetmek istiyordum.
											Göğsüme bir port katater takıldı.
											İlk kemoterapi seansına gittim
											ve duygusal olarak harap hâldeydim.
											Kapıdan hemşirem Joanne girdi,
											vücudumdaki bütün hücreler 
kalk şu sandalyeden ve
											tepelere doğru koş diyordu.
											Joanne bana baktı ve sanki 
eski bir dostmuş gibi konuştu.
											Sonra şu soruyu sordu;
											""Bu röfleyi nerede yaptırdın?""
									","
											Estaba asustada.
											Sabía lo que era que todos
me trataran con pinzas
											y sencillamente quería sentirme normal.
											Tenía un catéter en el pecho.
											Fui a mi primer día de quimioterapia
											y estaba muy mal de ánimo.
											Mi enfermera, Joanne, entró por la puerta
											y cada hueso de mi cuerpo me pedía
											que me levantara
de aquella silla y huyera.
											Pero Joanne me miró y me habló
como si fuéramos viejas amigas.
											Luego me preguntó:
											""¿Dónde te hiciste las mechas?""
									",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
","
","
","
","
",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Risas)
									",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
","
","
","
","
",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
											And I was like, are you kidding me?
											You're going to talk to me about my hair
when I'm on the verge of losing it?
											I was kind of angry,
											and I said, ""Really? Hair?""
											And with a shrug
of her shoulders she said,
											""It's gonna grow back.""
											And in that moment she said
the one thing I had overlooked,
											and that was that at some point,
my life would get back to normal.
											She really believed that.
											And so I believed it, too.
									","
											Je me disais : « C'est une blague ?
											Tu vas me parler de mes cheveux
alors que je vais tous les perdre ? »
											J'étais un peu en colère
											et j'ai dit : « Vraiment, les cheveux ? »
											Avec un haussement d'épaules, elle a dit :
											« Ils repousseront. »
											A ce moment-là, elle a dit la chose
que j'avais négligée
											qui était qu'à un moment donné,
ma vie redeviendrait normale.
											Elle le croyait vraiment.
											Et donc j'y ai également cru.
									","
											E eu pensei: ""Está a brincar comigo""?
											""Você vai falar-me sobre cabelos
quando estou prestes a perdê-los?""
											Eu estava irritada,
											e perguntei-lhe: ""A sério? Cabelos?""
											E encolhendo os ombros ela disse:
											""Eles vão crescer de novo.""
											Naquele momento, ela disse
o que eu não tinha percebido:
											Dali a algum tempo,
a minha vida voltaria ao normal.
											Ela realmente acreditava naquilo.
											Então, eu acreditei também.
									","
											Ne yani, benimle dalga mı geçiyordu?
											Zaten bütün saçlarımı kaybetmek
üzereydim, bu sorulacak şey miydi?
											Kızdım biraz
											ve ""Ciddi misin sen? Saç mı?"" dedim.
											Omzunu silkti ve şöyle dedi;
											""Tekrar çıkarlar""
											O an söylediği bu şey
benim atladığım şeydi;
											nasılsa bir noktada, hayatım
tekrar normale dönecekti.
											Buna samimiyetle inanıyordu
											ve bu yüzden ben de inandım.
									","
											Me dije: ¿Es una broma?
											¿Me hablará de mi cabello
cuando estoy a punto de perderlo?
											Me enojó un poco
											y le dije: ""¿En serio, el cabello?""
											Y encogiendo los hombros me dijo:
											""Volverá a crecer"".
											En ese momento me dijo algo
que yo había pasado por alto,
											concretamente que mi vida
volvería a la normalidad algún día.
											Ella realmente lo creía.
											Así que yo lo creí también.
									",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
","
","
","
","
",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
"
											Now, worrying about losing your hair
when you're fighting cancer
											may seem silly at first,
											but it's not just that you're worried
about how you're going to look.
											It's that you're worried that everybody's
going to treat you so carefully.
											Joanne made me feel normal
for the first time in six months.
											We talked about her boyfriends,
											we talked about looking
for apartments in New York City,
											and we talked about my reaction
to the chemotherapy —
											all kind of mixed in together.
											And I always wondered,
											how did she so instinctively
know just how to talk to me?
									","
											S'inquiéter de perdre ses cheveux
quand on se bat contre un cancer
											peut sembler idiot
											mais vous ne vous inquiétez pas
seulement de votre apparence.
											Vous vous inquiétez que tout le monde
vous traite si délicatement.
											Joanne m'a fait me sentir normale
pour la première fois en six mois.
											Nous avons parlé de ses copains,
											nous avons parlé de recherche
d'appartements à New York
											et nous avons parlé de ma réaction
à la chimiothérapie —
											tout cela mélangé.
											Je me suis toujours demandé :
											« Comment a-t-elle si instinctivement
su comment me parler ? »
									","
											Preocupar-nos com a perda de cabelo
quando se está a lutar contra o cancro
											pode parecer inicialmente uma tolice,
											mas não é só preocupação
com a nossa aparência.
											É estarmos preocupados com o cuidado
com que os outros nos vão tratar.
											A Joanne fez-me sentir normal
pela primeira vez em seis meses.
											Falámos sobre os seus namorados,
											falámos sobre a procura de
apartamentos em Nova Iorque,
											e falámos sobre a minha reação
à quimioterapia
											— e tudo misturado.
											Eu sempre me perguntei
											como é que ela tão instintivamente
sabia tão bem como falar comigo?
									","
											Kanserle savaşırken
saçlarını kaybetmekten korkmak
											başlangıçta aptalca görünebilir
											ama bu sadece dış görünüşten
kaygı duymakla ilgili değildir.
											Seni endişelendiren şey; herkesin
sana çok dikkatli davranacağıdır.
											Altı aydır bana kendimi ilk kez,
Joanne normal hissettirmişti.
											Sevgilileri hakkında konuştuk.
											New York'ta bir daire bulmaktan konuştuk
											ve benim kemoterapiye
vereceğim tepkiyi konuştuk,
											yani, bir dereden bir tepeden konuştuk.
											Ama hep merak ettim
											benimle bu şekilde konuşacağını
nasıl sezmişti?
									","
											Preocuparse por la pérdida del cabello
cuando uno lucha contra el cáncer
											puede parecer una tontería al principio,
											pero no es que uno solo
se preocupe por el aspecto,
											sino porque todo el mundo 
lo tratará con demasiado cuidado.
											Joanne me hizo sentir normal
por primera vez en seis meses.
											Hablamos de sus novios,
											hablamos de buscar
apartamento en Nueva York
											y hablamos de mi reacción
a la quimioterapia...
											todo mezclado.
											Y siempre me preguntaba,
											¿cómo supo tan instintivamente
cómo hablarme?
									",A tribute to nurses,Carolyn Jones,10:48,"cancer,empathy,community,compassion,health,family,humanity,health care,medicine,life,personal growth,society,TEDMED,death"
