en,es,pt,title,speaker,duration,tags
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
											We are all activists now.
									","
											Todos somos activistas.
									","
											Hoje, somos todos ativistas.
									",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
											Thank you.
									","
											Gracias.
									","
											Obrigada,
									",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
											I'll just stop here.
									","
											ya no sigo.
									","
											Vou ficar por aqui.
									",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
"
","
","
",How the US government spies on people who protest — including you,Jennifer Granick,14:25,"activism,democracy,government,United States,surveillance,law,security,politics,social change,society,TEDx,technology,terrorism,encryption"
