en,tr,es,fr,title,speaker,duration,tags
"
","
","
","
",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
											Five years ago, I stood on the TED stage,
and I spoke about my work.
											But one year later,
											I had a terrible accident as I left a pub
one dark night with friends,
											in Scotland.
											As we followed the path through a forest,
I suddenly felt a massive thud,
											then a second thud,
											and I fell to the ground.
											I had no idea what had hit me.
									","
											Beş yıl önce TED sahnesinde durduğumda
işim hakkında konuşuyordum.
											Ama bir yıl sonra,
											İskoçya'da karanlık bir gecede 
arkadaşlarımla bir bardan çıktığımda
											çok kötü bir kaza geçirdim.
											Ormanda bir yolu takip ederken
aniden çok büyük bir çarpışma hissettim,
											sonra bi tane daha
											ve ardından yere düştüm.
											Bana neyin çarptığı hakkında 
hiçbir fikrim yoktu.
									","
											Hace cinco años di una charla TED
sobre mi trabajo.
											Pero un año después
											sufrí un terrible accidente
al salir de un bar con amigos
											una noche oscura, en Escocia.
											Mientras caminábamos 
por el sendero de un bosque,
											de pronto sentí un golpe
seco, luego otro más
											y me desplomé,
											sin saber qué me había golpeado.
									","
											Il y a cinq ans j'ai discuté
de mon travail sur le plateau de TED.
											Un an plus tard, un soir,
											j'ai été victime d'un grave accident en
sortant d'un café avec des amis,
											en Écosse.
											Nous suivions un chemin dans une forêt,
et j'ai soudain senti un impact violent,
											puis un deuxième,
											et je suis tombée au sol.
											Je ne savais pas ce qui m'avait heurtée.
									",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
","
","
","
",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
											I later found out that when
the gate was opened on a garden,
											a wild stag stampeded along the path
and ran straight into me.
											Its antler penetrated my trachea
and my esophagus
											and stopped at my spinal cord
and fractured my neck.
											My best friend found me
lying on the floor,
											gurgling for help
through a hole in my neck.
											And we locked eyes,
and although I couldn't speak,
											she could understand what I was thinking.
											And she told me, ""Just breathe.""
											And so, whilst focusing on my breath,
I had a strong sense of calmness,
											but I was certain that I was going to die.
											Somehow, I was content with this,
											because I've always tried
to do my best in life whenever I can.
											So I just continued to enjoy each breath
as one more moment —
											one breath in and one breath out.
											An ambulance came,
I was still fully conscious,
											and I analyzed everything on the journey,
because I'm a scientist:
											the sound of the tires on the road,
the frequency of the street lights
											and eventually, the city street lights.
											And I thought, ""Maybe I will survive.""
											And then I passed out.
									","
											Sonradan öğrendim ki
bir bahçe kapısı açıldığında
											vahşi bir geyik o yolda
koşarken bana çarpmış.
											Boynuzu soluk borumu
ve yutağımı delip geçmiş
											ve omuriliğimde durup boynumu çatlatmış.
											En yakın arkadaşım beni yerde yatarken
											ve boğazımdaki bir delikten 
yardım için ağlarken buldu.
											Göz göze geldiğimizde 
konuşamıyor olsam bile
											düşündüğüm şeyi anladı.
											Ardından bana şöyle dedi:
""Sadece nefes al.""
											Nefesime odaklanırken
güçlü bir sakinlik hissettim
											fakat öleceğime emindim.
											Bir şekilde, bu durumdan memnundum
											çünkü hayatta her zaman yapabileceğimin
en iyisini yapmaya çalıştım.
											Her nefesimin, her anımın tadını 
çıkarmaya devam ettim —
											nefes alıp nefes verirken.
											Bir ambulans geldi, 
bilincim hala tamamen yerindeydi,
											ve bir bilim insanı olduğum için
yolculuktaki her şeyi analiz ettim:
											yoldaki tekerleklerin sesini,
sokak lamblarının sıklığını,
											ve nihayetinde, şehir ışıklarını.
											""Belki kurtulurum."" diye düşündüm.
											Sonrasında bayıldım.
									","
											Después supe que cuando 
se abrió la verja de una jardín,
											un venado salvaje salió descontrolado
y se abalanzó directamente sobre mí.
											Me incrustó su cuerno 
en la tráquea y el esófago,
											hasta la columna vertebral
y me quebró el cuello.
											Mi mejor amiga me encontró
tendida en el piso,
											balbuceando pidiendo ayuda
con un orificio en el cuello.
											Intercambiamos miradas 
y, si bien yo no podía hablar,
											ella leyó mis pensamientos.
											Me dijo, ""Solo trata de respirar"".
											Y mientras me concentraba en respirar,
sentí una intensa sensación de calma,
											pero tenía la certeza de que iba a morir.
											Y en cierto modo, estaba tranquila,
											pues en mi vida siempre 
intenté hacer lo mejor posible.
											Y así traté de disfrutar de cada
respiración como un momento más,
											en cada inhalación y en cada exhalación.
											La ambulancia llegó, yo aún 
estaba muy consciente
											y durante el viaje hice un análisis
de todo, porque soy científica:
											el sonido de las ruedas sobre el asfalto,
la frecuencia de los semáforos
											y también las luces de la ciudad.
											Y pensé, ""Quizá sobreviva"".
											Luego me desmayé.
									","
											J'ai appris plus tard qu'un portail
ouvert sur un jardin,
											a permis à un cerf sauvage de courir
sur ce sentier, et il m'a foncé dessus.
											Ses bois ont traversé ma trachée
et mon œsophage,
											ils ont fracturé mon cou, sans atteindre
ma colonne vertébrale.
											Ma meilleure amie m'a
trouvée gisant sur le sol,
											gargouillant des appels à l'aide,
la gorge transpercée.
											Nous nous sommes regardées, 
je ne pouvais pas parler,
											mais elle voyait bien ce que je pensais.
											Elle m'a dit :
« Contente-toi de respirer. »
											Je me suis concentrée sur ma respiration,
et j'ai ressenti une grande sérénité,
											mais j'étais sûre que j'allais mourir.
											Cependant, ça ne m'inquiétait pas,
											car j'ai toujours fait
de mon mieux dans ma vie.
											J'ai donc continué d'apprécier
chaque respiration, chaque moment —
											d'inspirer, et d'expirer.
											A l'arrivée de l'ambulance,
j'étais encore consciente.
											D'esprit scientifique, 
j'ai tout analysé lors du trajet :
											le bruit des pneus sur la route,
le nombre de lampadaires dans les rues
											et finalement, les lumières en ville.
											Je me suis dit :
« Je vais peut-être survivre. »
											Puis je me suis évanouie.
									",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
","
","
","
",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
											I was stabilized at a local hospital
and then airlifted to Glasgow,
											where they reconstructed my throat
and put me in a coma.
											And while I was in the coma,
I had many alternate realities.
											It was like a crazy mix
of ""Westworld"" and ""Black Mirror.""
											But that's a whole other story.
											My local TV station reported live
from outside the hospital
											of a Cambridge scientist
who was in a coma,
											and they didn't know
if she would live or die or walk or talk.
											And a week later,
I woke up from that coma.
											And that was the first gift.
											Then I had the gift to think,
the gift to move,
											the gift to breathe
											and the gift to eat and to drink.
											That took three and a half months.
									","
											Yerel bir hastanede stabilize edilip
daha sonra uçakla Glasgow'a taşınmışım.
											Orada boğazımı yeniden düzenleyip 
beni komaya sokmuşlar.
											Komadayken pek çok alternatif
gerçekliğe tanık oldum.
											""Westworld"" ve ""Black Mirror""
karışımı gibiydi.
											Fakat o bambaşka bir hikaye.
											Yerel televizyonum hastane dışından
canlı yayın yapıyordu,
											komada bir Cambridge
bilim insanı hakkında
											ama yaşayacağımı, öleceğimi, yürüyeceğimi
veya konuşacağımı bilmiyorlardı.
											Bir hafta sonra, komadan uyandım.
											Bu ilk hediyeydi.
											Sonrasında düşünme hediyesini, 
hareket edebilme hediyesini,
											nefes alabilme hediyesini
											ve yiyip içebilme hediyesini aldım.
											Bu üç buçuk ay sürdü.
									","
											Me estabilizaron en un hospital de la zona
y me llevaron a Glasgow por vía aérea,
											donde me reconstruyeron 
la garganta y me indujeron un coma.
											Y mientras estaba en ese estado,
viví varias realidad alternativas.
											Fue una rara mezcla 
de ""Westworld"" y ""Black Mirror"".
											Pero esa es otra historia.
											La estación televisiva del lugar
transmitió en vivo afuera del hospital
											e informaron que una científica 
de Cambridge estaba en coma
											y no se sabía si saldría o no con vida,
o si volvería a caminar o a hablar.
											Una semana después, me desperté del coma.
											Ese fue el primer regalo.
											Luego tuve la fortuna
de pensar, de moverme,
											de respirar,
											de comer y de beber.
											Eso me llevó tres meses y medio.
									","
											A l'hôpital, ils m'ont stabilisée
puis hélitreuillée sur Glasgow.
											Là, ils ont reconstruit ma gorge
et m'ont plongée dans le coma.
											Dans ce coma, j'ai vu
des tas de réalités alternatives.
											Un mélange dingue entre
« Westworld » et « Black Mirror ».
											Mais c'est une autre histoire.
											La chaîne télé locale relatait
en direct devant l'hôpital,
											le coma d'une scientifique de Cambridge
											sans savoir si elle allait survivre, 
mourir, marcher ou parler.
											Une semaine plus tard,
je suis sortie du coma.
											C'était comme un premier cadeau.
											Puis il y eut le cadeau de penser,
celui de bouger,
											suivi du cadeau de respirer
											ou encore de manger et de boire.
											Cela a pris trois mois et demi.
									",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
","
","
","
",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
											But there was one thing
that I never got back, though,
											and that was my privacy.
											The tabloid press
made the story about gender.
											Look — I'm transgender,
it's not that big a deal.
											Like, my hair color or my shoe size
is way more interesting.
											When I last spoke here —
									","
											Fakat yeniden kazanamadığım bir şey vardı,
											mahremiyetim.
											Magazin basını hikayeyi
cinsiyet ile ilgili yaptı.
											Bakın — ben trans bireyim,
çok önemli bir şey değil.
											Saç rengim, ayakabı numaram
çok daha ilgi çekici.
											Burada geçen konuştuğumda —
									","
											Pero hubo algo que nunca recuperé:
											mi privacidad.
											La prensa amarilla se centró
en el tema del género.
											Está claro, soy transgénero,
nada del otro mundo.
											Digamos que mi color de pelo
y cuánto calzo es más interesante.
											La última vez que hablé aquí,
									","
											Mais y a une chose
que je n'ai jamais récupérée :
											ma vie privée.
											La presse à sensation
n'a parlé que de mon genre.
											Vous savez — Je suis transsexuelle,
ce n'est pas super important.
											La couleur de mes cheveux,
ma pointure, sont plus intéressantes.
											La dernière fois que —

									",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
","
","
","
",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									",The press trampled on my privacy. Here's how I took back my story,Kate Stone,6:18,"health,society,social change,personal growth,storytelling,gender,gender equality,humanity,journalism,identity,life,media,Transgender"
