en,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
											Today I stand before you
as a man who lives life to the full
											in the here and now.
											But for a long time,
											I lived for death.
									","
											Hoje, apresento-me perante vocês
como um homem que vive a vida em pleno
											aqui e agora.
											Mas, durante muito tempo,
vivi para a morte.
									","
											Bugün karşınızda, hayatını burada ve
şu anda dolu dolu yaşayan
											bir adam olarak duruyorum.
											Fakat uzun süre,
											ölüm için yaşadım.
									","
											Aujourd'hui, je me tiens devant vous
en homme vivant sa vie pleinement
											dans l'instant présent.
											Mais, pendant longtemps,
											j'ai vécu pour la mort.
									",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
","
","
","
",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
											I was a young man who believed
											that jihad is to be understood
in the language of force and violence.
											I tried to right wrongs
through power and aggression.
											I had deep concerns
for the suffering of others
											and a strong desire
to help and bring relief to them.
											I thought violent jihad was noble,
											chivalrous
											and the best way to help.
									","
											Eu era um jovem que acreditava
											que a Jiade deve ser entendida
na linguagem da força e da violência.
											Tentei corrigir as coisas erradas
através da força e da agressão.
											Tinha grande preocupação
com o sofrimento dos outros
											e um profundo desejo
de ajudá-los e aliviá-los.
											Pensava que a Jiade violenta era nobre,
											cavaleiresca,
											e a melhor forma de ajudar.
									","
											Cihadın, güç ve şiddetin dili
											olarak anlaşılması gerektiğine
inanan, genç bir adamdım.
											Yanlışları, güç ve 
saldırganlıkla düzeltmeye çalışmıştım.
											Diğer insanların ıstırapları için
derin endişelerim vardı ve onlara
											yardım etmek, onları teselli etmek
için güçlü bir tutku besliyordum.
											Şiddet içeren cihat benim için soylu,
											yiğit bir şeydi
											ve yardımın en iyi yoluydu.
									","
											J'étais un jeune homme qui croyait
											que le djihad devait être compris
											dans la langue de la force
et de la violence.
											J'ai essayé de réparer les erreurs
via le pouvoir et l'agression.
											J'étais profondément préoccupé
par la souffrance des autres
											et j'avais un fort désir
de les aider et les soulager.
											Je croyais
qu'un djihad violent était noble,
											chevaleresque
											et la meilleure façon d'aider.
									",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
","
","
","
",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
											At a time when so many of our people —
											young people especially —
											are at risk of radicalization
											through groups like al-Qaeda,
											Islamic State and others,
											when these groups are claiming
											that their horrific brutality
and violence are true jihad,
											I want to say that their idea
of jihad is wrong —
											completely wrong —
											as was mine, then.
									","
											Numa época em que tanta da nossa gente
— jovens, em especial —
											correm o risco da radicalização
											dentro de grupos como a al-Qaeda,
o Estado Islâmico e outros,
											quando estes grupos andam a afirmar
											que a sua horrível brutalidade
e violência são a verdadeira Jiade,
											quero dizer que essa ideia
de Jiade está errada,
											totalmente errada,
											tal como eu estava, nessa altura.
									","
											İnsanlarımızın çoğunun — özellikle de
											gençlerin — El-Kaide,
											İslam Devleti ve diğerleri gibi
											gruplar aracılığıyla
											bir radikalleşme riskinde oldukları;
											bu gruplar, korkunç vahşiliklerinin
											ve şiddetlerinin gerçek cihat olduğunu
iddia ettikleri bu zamanda,
											onların cihat fikirlerinin, tıpkı benimki
gibi, yanlış olduğunu — tamamen
											yanlış olduğunu —
											söylemek istiyorum.
									","
											A une époque où tant de personnes —
											en particulier les jeunes —
											risquent de se radicaliser
											via des groupes comme Al-Qaïda,
											l’État Islamique et d'autres,
											alors que ces groupes prétendent
											que leurs horribles brutalité
et violence sont le vrai djihad,
											je veux dire que leur idée
du djihad est fausse —
											complètement fausse —
											la mienne l'était aussi.
									",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
","
","
","
",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
											Jihad means to strive to one's utmost.
											It includes exertion and spirituality,
											self-purification
											and devotion.
											It refers to positive transformation
											through learning, wisdom
and remembrance of God.
											The word jihad stands
for all those meanings as a whole.
											Jihad may at times
take the form of fighting,
											but only sometimes,
											under strict conditions,
											within rules and limits.
									","
											Jiade significa lutar
com todas as forças possíveis.
											Inclui esforço extremo e espiritualidade,
											autopurificação e devoção.
											Refere-se a uma transformação positiva
											através da aprendizagem, da sabedoria,
e da evocação de Deus.
											A palavra Jiade encerra
todos estes sentidos num todo.
											Por vezes, a Jiade assume
a forma de combate,
											mas apenas por vezes,
sob estritas condições,
											dentro de regras e de limites.
									","
											Cihat, insanın son
noktaya kadar uğraşmasıdır.
											Gayreti, maneviyatı,
											arınmayı
											ve fedakârlığı içerir.
											Öğrenme, akıl ve Tanrı'nın hatırlanması
											aracılığıyla gerçekleştirilen,
pozitif dönüşüm anlamına gelir.
											Cihat kelimesi, bir
bütün olarak bu anlamlara gelir.
											Cihat, zaman zaman, bir savaş
biçimine giriyor olabilir fakat
											bu yalnızca bazen,
											sert koşullar altında, kurallar
											ve sınırlar içerisinde olur.
									","
											Le Djihad, c'est s'efforcer
de faire de son mieux.
											Cela inclut l'effort physique 
et la spiritualité,
											l'auto-purification
											et la dévotion.
											Cela fait référence
à une transformation positive
											à travers l'apprentissage, la sagesse
et la commémoration de Dieu.
											Le mot « djihad » signifie
tout cela en même temps.
											Parfois, le djihad
peut prendre la forme d'un combat,
											mais seulement parfois,
											selon des conditions strictes,
											selon des règles et des limites.
									",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
","
","
","
",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
"
											In Islam,
											the benefit of an act must outweigh
the harm or hardship it entails.
											More importantly,
											the verses in the Koran
that are connected to jihad or fighting
											do not cancel out the verses
that talk about forgiveness,
											benevolence
											or patience.
									","
											No Islão, o benefício de um ato
											tem que se sobrepor
ao mal ou ao sofrimento que provoca.
											Mais importante ainda,
											os versículos do Corão
relacionados com a Jiade ou a luta
											não cancelam os versículos
que falam sobre perdão,
											benevolência ou paciência.
									","
											İslam'da,
											bir eylemin menfaati, o eylemin yol açtığı
zarara veya zorluğa üstün gelmelidir.
											Daha da önemlisi;
											cihat ya da savaşla
bağlantılı Kuran ayetleri;
											bağışlayıcılık, iyilik ya da
											sabır ile ilgili ayetlerin
											etkisini yok etmez.
									","
											Dans l'islam,
											le bénéfice d'un acte doit dépasser
le tort ou la souffrance qu'il entraîne.
											De surcroit,
											les vers du Coran qui sont liés
au djihad ou au combat
											n'annulent pas les vers
évoquant le pardon,
											la bienveillance
											ou la patience.
									",Inside the mind of a former radical jihadist,Manwar Ali,17:22,"activism,community,death,Islam,humanity,identity,Middle East,religion,society,TEDx,war,terrorism,violence"
