en,fr,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											When I was in the fifth grade,
											I bought an issue
of ""DC Comics Presents #57""
											off of a spinner rack
at my local bookstore,
											and that comic book changed my life.
											The combination of words and pictures
did something inside my head
											that had never been done before,
											and I immediately fell in love
with the medium of comics.
											I became a voracious comic book reader,
											but I never brought them to school.
											Instinctively, I knew that comic books
didn't belong in the classroom.
											My parents definitely were not fans,
											and I was certain that my teachers
wouldn't be either.
											After all, they never used them to teach,
											comic books and graphic novels were never
allowed during silent sustained reading,
											and they were never sold
at our annual book fair.
											Even so, I kept reading comics,
											and I even started making them.
											Eventually I became
a published cartoonist,
											writing and drawing
comic books for a living.
									","
											En CM2, j'ai ramené, en classe,
											un exemplaire de 
« DC Comics Presents », numéro 57,
											que je venais d'acheter
à la librairie du quartier.
											Cette BD a transformé ma vie.
											La combinaison de mots et d'images
a généré quelque chose dans mon esprit
											qui n'était jamais arrivé auparavant,
											et je suis immédiatement
tombé amoureux des BD.
											Je suis devenu
un lecteur vorace de BD,
											mais je ne les ai
jamais emmenées à l'école.
											D'instinct, je savais qu'elles n'avaient
pas leur place dans une salle de classe.
											Mes parents n'étaient
vraiment pas enthousiastes,
											et j'étais certain que mes profs
ne le seraient pas non plus.
											Après tout, ils ne les ont jamais
utilisées pour enseigner.
											Les BD ou romans illustrés n'étaient pas
autorisé durant les heures de lecture,
											et n'étaient pas vendus
à notre foire annuelle du livre.
											Cependant, j'ai continué à lire des BD,
et j'ai même commencé à en créer.
											Finalement, je suis devenu
un dessinateur publié
											qui écrit et dessine des BD pour vivre.
									","
											Beşinci sınıftayken,
											sahafçımdaki eğri büğrü bir raftan 
bir ""DC Comics Presents #57""
											çizgi roman dergisi aldım
											ve o çizgi roman hayatımı değiştirdi.
											Sözcüklerle resimlerin uyumu, 
daha önce hiç yaşamadığım
											bir şeyi bana yaşatmıştı
											ve hemen çizgi roman medyasına
hayran olmuştum.
											Çizgi roman delisi olmuştum,
											ancak onları asla okula götürmedim.
											Çünkü bu çizgi romanların 
sınıfa ait olmadıklarını biliyordum.
											Ailem kesinlikle bu romanların 
hayranı değildi
											ve öğretmenlerimin de onlara 
hayran olmayacağından emindim.
											Her şeyden önce, onlar çizgi romanları 
asla öğretmek için kullanmazlardı,
											çizgi ve grafik romanlar uzun süreli 
sessiz okuma için uygun değillerdi
											ve yıllık kitap fuarımızda 
asla satılmazlardı.
											Buna rağmen, çizgi roman okumaya 
devam ettim
											ve hatta kendim çizmeye başladım.
											Sonunda geçinmek için 
yazdığı ve çizdiği
											çizgi romanları yayınlanan bir 
karikatürist olmuştum.
									","
											Cuando estaba en quinto grado,
											compré una edición de
""DC Comics Presenta #57""
											de un estante giratorio
en mi librería local,
											y ese libro de cómics cambió mi vida.
											La combinación de palabras e imágenes
hizo algo dentro de mi cabeza
											que nunca antes había sucedido
											e inmediatamente me enamoré
del medio de los cómics.
											Me convertí en un lector voraz de cómics
											pero nunca los llevé a la escuela.
											Instintivamente, sabía que los cómics
no pertenecían al aula.
											Mis padres definitivamente
no eran fanáticos,
											y estaba seguro de que 
mis profesores tampoco lo serían.
											Después de todo, nunca
los usarían para enseñar,
											los cómics y novelas gráficas nunca
eran permitidos en una lectura silenciosa
											y nunca fueron vendidos
en nuestra feria anual del libro.
											A pesar de ello, seguí leyendo cómics,
											incluso comencé a crearlos.
											Finalmente me convertí
en un caricaturista,
											escribiendo y dibujando
libros de cómics para vivir.
									","
											Ich war in der fünften Klasse,
											als ich eine Ausgabe
von „DC Comics Presents #57“ kaufte,
											aus einem Drehständer
in meiner lokalen Buchhandlung.
											Dieses Comic hat mein Leben verändert.
											Die Mischung von Wörtern und Bildern
hat etwas in meinem Kopf ausgelöst,
											das noch nie zuvor passiert war
											und ich verliebte mich sofort
in das Medium Comic.
											Ich las ein Comic nach dem anderen,
											aber ich nahm sie nie mit zur Schule.
											Comics gehören nicht in ein Klassenzimmer.
Das wusste ich instinktiv.
											Meine Eltern mochten Comics nicht;
											meine Lehrer sicherlich auch nicht.
											Sie benutzten sie nie für den Unterricht.
											Comics und Bilderromane
waren während dem Unterricht verboten
											und sie wurden nie bei unserer
jährlichen Buchmesse verkauft.
											Trotzdem las ich weiterhin Comics
											und kreierte sogar selbst welche.
											Ich wurde publizierter Karikaturist.
											Mit den Comics verdiente ich
meinen Lebensunterhalt.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											I also became a high school teacher.
											This is where I taught:
											Bishop O'Dowd High School
in Oakland, California.
											I taught a little bit of math
and a little bit of art,
											but mostly computer science,
											and I was there for 17 years.
											When I was a brand new teacher,
											I tried bringing comic books
into my classroom.
											I remember telling my students
on the first day of every class
											that I was also a cartoonist.
											It wasn't so much that I was planning
to teach them with comics,
											it was more that I was hoping comics
would make them think that I was cool.
									","
											Je suis aussi devenu
un professeur de lycée.
											J'ai enseigné dans ce lycée : Lycée
Bishop O'Dowd, à Oakland - Californie.
											J'ai enseigné un peu de maths, d'art,
mais principalement l'informatique.
											et ce durant 17 ans.
											Encore tout jeune enseignant,
											j'ai essayé d'introduire
des BD dans ma classe.
											Je me souviens avoir annoncé
à mes étudiants le premier jour,
											que j'étais aussi dessinateur de BD.
											Mon intention n'était pas
de leur apprendre l'art de la BD,
											mais j'espérais leur faire penser
que j'étais « cool ».
									","
											Aynı zamanda bir lise öğretmeni olmuştum.
											Burası eğitim verdiğim yer:
											Kaliforniya'nın Oakland şehrindeki 
Bishop O'Dowd Lisesi.
											Biraz matematik ve biraz da el işi 
dersleri veriyordum,
											ancak genelde bilgisayar dersleri 
veriyordum
											ve 17 yıl boyunca orada çalıştım.
											Yepyeni bir öğretmenken,
											çizgi romanları sınıfıma getirmeyi 
denedim.
											Okulun ilk günü her sınıftan öğrencilerime
aynı zamanda bir karikatürist olduğumu
											söylediğimi hatırlıyorum.
											Onlara çizgi romanlarla öğretmeyi 
planlamada pek sıkıntı yoktu,
											çizgi romanların onlara havalı olduğumu
düşündürmesini bekliyordum.
									","
											También me convertí
en profesor de secundaria.
											Aquí es donde enseñé:
											Secundaria Bishop O'Dowd
en Oakland, California.
											Enseñé un poco de matemáticas
y un poco de arte,
											pero más que todo computación
											y estuve allí por 17 años.
											Cuando era un flamante profesor nuevo
											traté de usar los libros de cómics
dentro de mi clase.
											Recuerdo decirles a mis estudiantes
en el primer día de cada clase
											que también era caricaturista.
											No era tanto que estaba planeando
enseñarles con cómics,
											pero más porque esperaba que los cómics
les harían pensar que era genial.
									","
											Ich wurde auch ein Highschoollehrer.
											Dort habe ich gelehrt:
											Bishop O'Dowd High School
in Oakland, Kalifornien.
											Ich lehrte ein wenig Mathe und Kunst,
											aber meistens Informatik.
											Ich war dort 17 Jahre.
											Als ich ein ganz neuer Lehrer war,
											wollte ich Comics
mit in die Klasse nehmen.
											Ich sagte meinen Schülern
bereits am ersten Tag,
											dass ich auch Karikaturist bin.
											Ich wollte sie nicht
mit Comics unterrichten.
											Ich wollte eher,
dass ich mit Comics cool wirke.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											I was wrong.
											This was the '90s,
											so comic books didn't have
the cultural cachet that they do today.
											My students didn't think I was cool.
They thought I was kind of a dork.
											And even worse,
when stuff got hard in my class,
											they would use comic books
as a way of distracting me.
											They would raise their hands
and ask me questions like,
											""Mr. Yang, who do you think
would win in a fight,
											Superman or the Hulk?""
									","
											J'avais tort.
											Nous étions dans les années 1990,
											et les BD n'avaient pas le prestige
dont elles bénéficient aujourd'hui.
											Mes étudiants n'ont pas pensé
que j'étais « cool », mais plutôt « nul ».
											Pire, quand les cours
ont commencé à être difficiles,
											ils ont utilisé les BD pour me distraire.
											Ils levaient la main et posaient
des questions comme :
											« M. Yang, selon vous, qui va gagner
le combat : Superman ou Hulk ? »
									","
											Ama yanılmıştım.
											90'lardı,
											çizgi romanlar bugünkü gibi 
kültürel değere sahip değildi.
											Öğrecilerime göre havalı değildim. 
Bir çeşit aptal olduğumu düşünüyorlardı.
											Hatta daha da kötüsü,
sınıfımda işler karışınca
											çizgi romanları beni rahatsız etmenin 
bir yolu olarak kullanıyorlardı.
											Ellerini kaldırıp bana şöyle sorular
soruyorlardı:
											""Bay Yang, sizce bir kavga olsa 
kim yenerdi,
											Superman mi yoksa Hulk mu?
									","
											Estaba equivocado.
											Esto era en los 90,
											así que los libros de cómics no tenían
el caché cultural que tienen ahora.

											Mis estudiantes no creían que era
genial, pensaban que era un poco tonto.
											Y peor aún, cuando las cosas
se ponían difíciles en mi clase,
											usaban los libros de cómics
como una forma de distraerme.
											Levantaban sus manos
y hacían preguntas como,
											""Sr. Yang, ¿quién cree 
que ganaría en una pelea,
											Superman o Hulk?""
									","
											Ich lag falsch.
											Das war in den 90er Jahren,
											Comics hatten also nicht
das heutige kulturelle Prestige.
											Meine Schüler fanden mich nicht cool.
Sie dachten, ich sei ein Dummkopf.
											Und noch schlimmer,
wenn es im Unterricht schwer wurde,
											lenkten sie mich mit Comics ab.
											Sie hoben ihre Hände
und fragten mich folgendes:
											""Mr. Yang, wer würde einen Kampf gewinnen?
											Superman oder Hulk?“
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
