en,es,title,speaker,duration,tags
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											So I'm here to talk to you
about the walkable city.
											What is the walkable city?
											Well, for want of a better definition,
											it's a city in which the car
is an optional instrument of freedom,
											rather than a prosthetic device.
											And I'd like to talk about
why we need the walkable city,
											and I'd like to talk about
how to do the walkable city.
									","
											Estoy aquí para hablarles 
sobre la ciudad peatonal.
											¿Qué es una ciudad peatonal?
											En espera de una mejor definición,
											es una ciudad en la que el automóvil
es instrumento opcional de libertad,
											más que un dispositivo prostético.
											Me gustaría hablar del porqué
se necesita una ciudad peatonal,
											y de cómo hacer una ciudad peatonal.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											Most of the talks I give these days
are about why we need it,
											but you guys are smart.
											And also I gave that talk
exactly a month ago,
											and you can see it at TED.com.
											So today I want to talk
about how to do it.
											In a lot of time thinking about this,
											I've come up with what I call
the general theory of walkability.
											A bit of a pretentious term,
it's a little tongue-in-cheek,
											but it's something
I've thought about for a long time,
											and I'd like to share
what I think I've figured out.
									","
											La mayoría de las charlas que doy 
son acerca del porqué se necesitan,
											pero Uds. son inteligentes.
											Además, di esa charla 
hace un mes exactamente,
											y la pueden ver en TED.com.
											Así que hoy quiero hablarles
sobre cómo se hace.
											Después de pensarlo mucho
											se me ha ocurrido lo que llamo la
teoría general de la peatonalidad.
											Un término un tanto pretencioso, de broma,
											pero es algo en lo que he pensado
durante mucho tiempo,
											y me gustaría compartir 
lo que creo haber descubierto.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											In the American city,
the typical American city —
											the typical American city
is not Washington, DC,
											or New York, or San Francisco;
											it's Grand Rapids or Cedar
Rapids or Memphis —
											in the typical American city
in which most people own cars
											and the temptation
is to drive them all the time,
											if you're going to get them to walk,
then you have to offer a walk
											that's as good as a drive or better.
											What does that mean?
											It means you need to offer
four things simultaneously:
											there needs to be a proper reason to walk,
											the walk has to be safe and feel safe,
											the walk has to be comfortable
											and the walk has to be interesting.
											You need to do all four
of these things simultaneously,
											and that's the structure of my talk today,
											to take you through each of those.
									","
											En la típica ciudad estadounidense,
											que no es Washington D.C.,
											o Nueva York, o San Francisco,
											sino Grand Rapids 
o Cedar Rapids o Memphis,
											la típica ciudad estadounidense,
donde casi todos tienen auto
											y la tentación es conducirlo
todo el tiempo,
											la gente solo camina si se les promete
una caminata que sea tan buena
											o mejor que un viaje en auto.
											¿Qué significa esto?
											Que se necesitan cuatro 
cosas al mismo tiempo:
											se necesita una buena razón para caminar,
											la caminata debe ser y sentirse segura,
											debe ser cómoda,
											e interesante.
											Se debe cumplir con 
todo esto simultáneamente,
											y esa es la estructura de 
mi charla el día de hoy,
											los llevaré por cada una de estas cosas.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											The reason to walk
is a story I learned from my mentors,
											Andrés Duany and Elizabeth Plater-Zyberk,
											the founders of the New Urbanism movement.
											And I should say half the slides
and half of my talk today
											I learned from them.
											It's the story of planning,
											the story of the formation
of the planning profession.
											When in the 19th century
people were choking
											from the soot of the dark, satanic mills,
											the planners said, hey, let's move
the housing away from the mills.
											And lifespans increased
immediately, dramatically,
											and we like to say
											the planners have been trying to repeat
that experience ever since.
									","
											La razón por qué caminar
es una historia que aprendí
											de mis mentores, Andrés Duany
y Elizbeth Plater-Zyberk,
											los fundadores del Nuevo Urbanismo.
											Y debo decirles que la mitad
de mis diapositivas
											y de mi charla, la aprendí de ellos.
											Es la historia de la planeación,
											la historia de la formación
de la profesión de la planeación.
											En el siglo XIX 
cuando la gente se asfixiaba
											con el hollín de las oscuras 
y diabólicas fábricas,
											los urbanistas decidieron 
llevarse las casas lejos de las fábricas.
											Y la esperanza de vida se incrementó 
inmediata y drásticamente,
											y nos gusta decir 
que desde entonces
											los urbanistas siguen tratando
de repetir esa experiencia.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											So there's the onset
of what we call Euclidean zoning,
											the separation of the landscape
into large areas of single use.
											And typically when I arrive
in a city to do a plan,
											a plan like this already awaits me
on the property that I'm looking at.
											And all a plan like this guarantees
											is that you will not have a walkable city,
											because nothing is located
near anything else.
											The alternative, of course,
is our most walkable city,
											and I like to say, you know,
this is a Rothko,
											and this is a Seurat.
											It's just a different way —
he was the pointilist —
											it's a different way of making places.
											And even this map of Manhattan
is a bit misleading
											because the red color
is uses that are mixed vertically.
									","
											Ese es el comienzo del
Urbanismo Euclidiano,
											la separación del paisaje 
en grandes áreas de uso único.
											Cuando llego a una ciudad 
para hacer un plan,
											un plan como este me espera
en la propiedad que mire.
											Todo plan como este garantiza
											que no tendrás una ciudad peatonal,
											porque nada se encuentra cerca de nada.
											La alternativa es, sin duda, 
una ciudad más peatonal,
											y me gusta decir que este es un Rothko,
											y este un Seurat.
											Se trata de una forma diferente,
él era puntillista,
											es una manera diferente de crear lugares.
											Incluso este mapa de Manhattan 
es un tanto erróneo
											porque el color rojo 
está mezclado verticalmente.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											So this is the big story
of the New Urbanists —
											to acknowledge
that there are only two ways
											that have been tested by the thousands
											to build communities,
in the world and throughout history.
											One is the traditional neighborhood.
											You see here several neighborhoods
of Newburyport, Massachusetts,
											which is defined as being compact
and being diverse —
											places to live, work, shop,
recreate, get educated —
											all within walking distance.
											And it's defined as being walkable.
											There are lots of small streets.
											Each one is comfortable to walk on.
											And we contrast that to the other way,
											an invention that happened
after the Second World War,
											suburban sprawl,
											clearly not compact, clearly not diverse,
and it's not walkable,
											because so few of the streets connect,
											that those streets that do connect
become overburdened,
											and you wouldn't let your kid out on them.
											And I want to thank Alex Maclean,
the aerial photographer,
											for many of these beautiful pictures
that I'm showing you today.
									","
											Esta es la historia de los 
nuevos urbanistas,
											reconocer que hay solo dos maneras,
											que han sido probadas miles de veces,
											para construir comunidades 
en el mundo a través del tiempo.
											Una es el vecindario típico.
											Aquí pueden ver varios vecindarios 
de Newburyport, Massachusetts,
											el cual se define por 
ser tan compacto como diverso,
											hay lugar para vivir, trabajar, 
comprar, divertirse, estudiar,
											y a todo se puede ir caminando.
											Se define como peatonal.
											Hay muchas calles pequeñas.
											Todas son muy cómodas para caminar.
											Y se diferencia de las otras,
											inventadas después de la 
Segunda Guerra Mundial,
											la expansión suburbana,
											evidentemente nada compacta, 
ni diversa, ni peatonal,
											porque solo unas pocas calles conectan
											y las que sí conectan se sobre cargan,
											y no dejarían Uds. a sus hijos salir ahí.
											Quiero agradecerle a Alex Maclean, 
fotógrafo aéreo,
											por todas estas hermosas fotos 
que les estoy mostrando.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											So it's fun to break sprawl down
into its constituent parts.
											It's so easy to understand,
											the places where you only live,
the places where you only work,
											the places where you only shop,
											and our super-sized public institutions.
											Schools get bigger and bigger,
											and therefore, further
and further from each other.
											And the ratio of the size
of the parking lot
											to the size of the school
											tells you all you need to know,
											which is that no child
has ever walked to this school,
											no child will ever walk to this school.
											The seniors and juniors are driving
the freshmen and the sophomores,
											and of course we have
the crash statistics to prove it.
									","
											Es divertido desbaratar la expansión
suburbana en sus componentes.
											Es tan fácil de entender,
											los lugares donde solo se vive,
los lugares donde solo se trabaja,
											los lugares donde solo se compra,
											y nuestras enormes instituciones públicas.
											Las escuelas crecen y crecen,
											y, por lo tanto, se alejan más 
y más entre ellas.
											La relación entre el 
tamaño del estacionamiento
											y el de la escuela,
											nos dice todo,
											ningún niño ha caminado 
jamás a esta escuela,
											y ningún niño jamás lo hará.
											Los alumnos del último grado 
llevan a los de primero,
											tendríamos que revisar estadísticas 
para probarlo.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											And then the super-sizing
of our other civic institutions
											like playing fields —
											it's wonderful that Westin
in the Ft. Lauderdale area
											has eight soccer fields
and eight baseball diamonds
											and 20 tennis courts,
											but look at the road
that takes you to that location,
											and would you let your child bike on it?
											And this is why we have
the soccer mom now.
											When I was young, I had one soccer field,
											one baseball diamond and one tennis court,
											but I could walk to it,
because it was in my neighborhood.
									","
											Y luego, el supertamaño de nuestras
otras instituciones públicas
											como campos de juego,
											—es maravilloso que Westin en 
el área de Ft. Lauderdale
											tenga ocho campos de fútbol,
ocho de béisbol,
											y 20 canchas de tenis—,
											pero miren el camino que 
conduce a ese lugar,
											¿dejarían a su hijo ir en bicicleta?
											Por esta razón existe 
la mamá futbolera.
											Cuando era joven, tenía un 
campo de fútbol,
											uno de béisbol y una cancha 
de tenis, y podía
											llegar caminando porque 
estaban en mi vecindario.
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											Then the final part of sprawl
that everyone forgot to count:
											if you're going to separate everything
from everything else
											and reconnect it
only with automotive infrastructure,
											then this is what your landscape
begins to look like.
											The main message here is:
											if you want to have a walkable city,
you can't start with the sprawl model.
											you need the bones of an urban model.
											This is the outcome
of that form of design,
											as is this.
											And this is something
that a lot of Americans want.
											But we have to understand
it's a two-part American dream.
											If you're dreaming for this,
											you're also going to be dreaming of this,
often to absurd extremes,
											when we build our landscape
to accommodate cars first.
											And the experience
of being in these places —
									","
											La parte final de la expansión 
que todos olvidan mencionar:
											si vas a aislar todo de todo lo demás
											y lo vas a reconectar mediante
infraestructura automovilística,
											así lucirá tu paisaje.
											El mensaje es:
											si quieres una ciudad peatonal, no debes
seguir la expansión suburbana.
											Necesitas un modelo urbano.
											Este es el resultado de ese
tipo de diseño,
											y este también.
											Y esto es lo que muchos
estadounidenses quieren.
											Pero hay que entender que es 
un sueño americano de dos partes.
											Si uno sueña con esto,
											también deberá soñar con esto,
a veces absurdos extremos...
											cuando diseñamos para 
acomodar autos en primer lugar.
											La experiencia de estar en 
estos lugares...
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
											(Laughter)
									","
											(Risas)
									",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
"
","
",4 ways to make a city more walkable,Jeff Speck,18:37,"architecture,cars,cities,collaboration,community,design,engineering,infrastructure,potential,innovation,public spaces,society,urban planning,TEDx,urban"
