en,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
											We're at a tipping point in human history,
											a species poised between gaining the stars
and losing the planet we call home.
									","
											Estamos num ponto de viragem
na história da humanidade,
											uma espécie a oscilar
entre conquistar as estrelas
											e perder o planeta a que chamamos ""lar"".
									","
											L'histoire humaine est à un tournant.
											Notre espèce hésite à toucher les étoiles
ou à perdre la planète qui est la sienne.
									","
											Wir stehen vor einem
historischen Wendepunkt:
											zwischen dem Griff nach den Sternen
und dem Verlust unseres Heimatplaneten.
									",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
","
","
","
",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
											Even in just the past few years,
we've greatly expanded
											our knowledge of how Earth fits
within the context of our universe.
											NASA's Kepler mission has discovered
											thousands of potential planets
around other stars,
											indicating that Earth is but one
of billions of planets in our galaxy.
											Kepler is a space telescope
											that measures the subtle dimming of stars
as planets pass in front of them,
											blocking just a little bit
of that light from reaching us.
											Kepler's data reveals planets' sizes
											as well as their distance
from their parent star.
											Together, this helps us understand
whether these planets are small and rocky,
											like the terrestrial planets
in our own Solar System,
											and also how much light they receive
from their parent sun.
											In turn, this provides clues as to whether
these planets that we discover
											might be habitable or not.
									","
											Mesmo nos últimos anos,
expandimos imenso
											o nosso conhecimento de como a Terra
se integra no contexto do Universo.
											A missão Kepler da NASA descobriu
											milhares de possíveis planetas
na órbita de outras estrelas,
											indicando que a Terra é apenas um
											entre milhares de milhões
de planetas na nossa galáxia.
											O Kepler é um telescópio espacial,
											que mede o leve escurecimento das estrelas
quando os planetas passam em frente delas,

											impedindo apenas um pouco dessa luz
de chegar até nós.

											Os dados do Kepler revelam 
os tamanhos dos planetas,
											assim como a respetiva distância
da sua estrela-mãe.
											Juntas, estas informações
ajudam-nos a perceber
											se estes planetas são pequenos e rochosos,
											tal como os planetas terrestres
do nosso sistema solar,
											e também a saber a quantidade
de luz que eles recebem do seu sol.
											Por sua vez, fornecem pistas quanto ao facto
de estes planetas que descobrimos
											serem habitáveis ou não.
									","
											Rien qu'au cours des dernières années,
nous avons beaucoup appris
											sur la façon dont la Terre s'intègre
dans le contexte de notre univers.
											La mission Kepler de la NASA a découvert
											des milliers de planètes potentielles
autour d'autres étoiles,
											signe que la Terre est juste une planète
parmi les milliards de notre galaxie.
											Kepler est un télescope spatial.
											Il mesure l'assombrissement des étoiles,
lorsque les planètes passent devant elles,
											obstruant une infime partie
de la lumière qui nous parvient.
											Les données de Kepler
indiquent la taille des planètes
											et leur distance de leur étoile.
											Ces informations nous aident à comprendre
si ces planètes sont petites et rocheuses,
											comme les planètes telluriques
de notre système solaire,
											et à savoir la quantité de lumière
qu'elles reçoivent de leur soleil.
											Puis, il indique
si les planètes découvertes
											pourraient être habitables ou non.
									","
											Allein in den letzten Jahren
ist unser Verständnis
											über Platz der Erde
im Universum stark gewachsen.
											Die Kepler-Mission der NASA
											fand tausende potenzielle Planeten
in anderen Sternensystemen.
											Die Erde ist also nur einer von Milliarden
Planeten in unserer Galaxie.
											Kepler ist ein Weltraumteleskop.
											Es misst, wie das Licht von Sternen
											durch vorbeiziehende Planeten
teilweise verdeckt und so geschwächt wird.
											Die Kepler-Daten zeigen uns
die Größe von Planeten
											und ihre Distanz zu ihrem Mutterstern.
											So können wir herausfinden,
ob diese Planeten klein und felsig sind,
											wie die erdähnlichen Planeten
in unserem Sonnensystem,
											und auch, wie viel Licht sie
von ihrer Sonne erhalten.
											Das wiederum gibt uns Hinweise darauf,
ob diese entdeckten Planeten
											bewohnbar wären oder nicht.
									",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
","
","
","
",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
											Unfortunately, at the same time
as we're discovering this treasure trove
											of potentially habitable worlds,
											our own planet is sagging
under the weight of humanity.
											2014 was the hottest year on record.
											Glaciers and sea ice that have
been with us for millennia
											are now disappearing
in a matter of decades.
											These planetary-scale environmental 
changes that we have set in motion
											are rapidly outpacing our ability
to alter their course.
									","
											Infelizmente, ao mesmo tempo
que descobrimos estes tesouros
											de mundos potencialmente habitáveis,
											o nosso próprio planeta está a ceder
sob o peso da humanidade.
											O ano de 2014 foi o mais quente 
jamais registado.
											Os glaciares e o gelo marinho,
que existem há milénios,
											estão agora a desaparecer
numa questão de décadas.
											Estas mudanças ambientais 
que causamos, à escala planetária,
											estão rapidamente a ultrapassar
a nossa capacidade de alterar o seu curso.

									","
											Malheureusement,
pendant que nous explorons
											cette mine de mondes
potentiellement habitables,
											notre propre planète s'affaisse
sous le poids de l'humanité.
											2014 a été l'année la plus chaude
jamais enregistrée.
											Les glaciers et la glace marine
qui existent depuis des millénaires
											disparaissent en quelques décennies.
											Nous avons déclenché ces changements
environnementaux à l'échelle mondiale
											qui sont en train de dépasser
notre capacité à altérer leur cours.
									","
											Aber während wir diesen Überfluss an
eventuell bewohnbaren Welten entdecken,
											leidet unser eigener Planet
unter der Last der Menschheit.
											2014 war das heißeste Jahr
seit Beginn der Aufzeichnungen.
											Jahrtausende alte Gletscher und Meereis
											lösen sich innerhalb von Jahrzehnten auf.
											Diese globalen Veränderungen unserer
Umwelt, die wir ausgelöst haben,
											entziehen sich immer mehr
unserer Kontrolle.
									",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
","
","
","
",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
											But I'm not a climate scientist,
I'm an astronomer.
											I study planetary habitability
as influenced by stars
											with the hopes of finding
the places in the universe
											where we might discover
life beyond our own planet.
											You could say that I look for
choice alien real estate.
									","
											Mas eu não sou uma cientista do clima,
sou astrónoma.
											Estudo a habitabilidade planetária 
influenciada pelas estrelas,
											com esperanças de encontrar
lugares no universo
											onde possamos descobrir vida
para além do nosso planeta.
											Pode-se dizer que eu procuro
opções imobiliárias extraterrestres.
											(Risos)
									","
											Mais je ne suis pas climatologue, 
je suis astronome.
											J'étudie le caractère habitable
des planètes selon l'influence des étoiles
											avec l'espoir de trouver
des endroits dans l'univers
											où l'on puisse découvrir la vie
en dehors de notre planète.
											J'investigue sur les choix immobiliers
des extraterrestres si on veut.
									","
											Aber ich bin keine Klimaforscherin.
Ich bin Astronomin.
											Ich erforsche den Sterneneinfluss
auf die Bewohnbarkeit von Planeten,
											in der Hoffnung,
Orte im Universum zu finden,
											an denen wir neues Leben
entdecken könnten.
											Man könnte sagen, ich suche
nach exklusiven Weltraum-Immobilien.
											(Gelächter)
									",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
","
","
","
",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
"
											Now, as somebody who is deeply embedded
in the search for life in the universe,
											I can tell you that the more
you look for planets like Earth,
											the more you appreciate
our own planet itself.
											Each one of these new worlds
invites a comparison
											between the newly discovered planet
and the planets we know best:
											those of our own Solar System.
									","
											Agora, como alguém muito interessada
na procura de vida no universo,
											posso dizer-vos que, quanto mais 
procuramos planetas como a Terra,
											mais apreciamos o nosso próprio planeta.
											Cada um destes novos mundos 
convida a uma comparação
											entre o planeta recentemente descoberto
e os planetas que conhecemos melhor:
											os do nosso sistema solar.
									","
											Je suis ancrée dans la recherche
de la vie dans l'univers, mais
											je vous assure que, plus vous cherchez
des planètes qui ressemblent à la Terre,
											plus vous appréciez la Terre elle-même.
											Chacun de ces nouveaux mondes
pousse à une comparaison
											entre la planète nouvellement découverte
et celles que nous connaissons le mieux,
											les planètes de notre système solaire.
									","
											Als Forscherin, die intensiv nach
Leben im Universum sucht,
											kann ich Ihnen sagen: Je mehr
man nach Planeten wie der Erde sucht,
											desto mehr schätzt man seinen eigenen.
											Jede dieser neuen Welten
erlaubt uns einen Vergleich
											zwischen dem neu entdeckten Planeten
und jenen, die wir am besten kennen:
											die unseres eigenen Sonnensystems.
									",Let's not use Mars as a backup planet,Lucianne Walkowicz,5:50,"TED Fellows,future,humanity,NASA,Planets,space,universe,exploration,astronomy,solar system,Mars"
