en,es,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											Recently,
											I've been declaring
to anyone who would listen
											that I am a dangerous woman.
									","
											Recientemente,
											he declarado a quien me escuchara
											que soy una mujer peligrosa.
									","
											Son zamanlarda beni dinleyenlere
tehlikeli bir kadın olduğumu duyuruyorum.
									","
											Récemment,
											j'ai annoncé à qui voulait l'entendre
											que j'étais une femme dangereuse.
									","
											Recentemente,
											tenho declarado
para quem quiser ouvir
											que sou uma mulher perigosa.
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Aplausos)
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											Now, declaring that boldly like this
											still feels a bit dangerous,
											but it also feels right.
											At this time in my life,
											about to be 77,
											I have —
									","
											Ahora, declarar eso audazmente
											siento que es un poco peligroso,
											pero también correcto.
											En este momento de mi vida,
											a punto de cumplir 77,
											tengo...
									","
											Bunu böyle cesurca duyurmak
hâlâ biraz tehlikeli geliyor
											ama aynı zamanda doğru geliyor.
											Hayatımın bu döneminde,
											77 olmak üzereyken
									","
											Annoncer cela avec une telle audace
											semble encore un peu dangereux,
											mais cela me semble juste.
											A ce moment de ma vie,
											je vais avoir 77 ans,
											j'ai —
									","
											Agora, fazer uma declaração
assim tão ousada
											ainda é um pouco perigoso,
											mas também sinto ser a coisa certa.
											Neste momento da minha vida,
											prestes a completar 77 anos,
											Eu tenho...
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Aplausos)
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											I love when you're applauded
for your age —
									","
											Me encanta cuando te aplauden por tu edad.
									","
											Yaşım için alkışlanmayı seviyorum.
									","
											j'adore être applaudie pour mon âge —
									","
											Adoro quando nos aplaudem pela idade.
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risos)
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											but I'll take it.
									","
											Pero lo acepto.
									","
											Kabul ediyorum.
									","
											j'accepte les applaudissements.
									","
											mas vou aceitar.
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Aplausos)
									",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
"
","
","
","
","
",Dangerous times call for dangerous women,Pat Mitchell,17:14,"women,women in business,community,activism,culture,feminism,human rights,gender equality,inclusion,inequality,life,leadership"
