es,pt,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
											En el siglo 17, una mujer llamada Giuliana Tofana
											poseía un negocio de perfumes con mucho éxito.
											Durante unos 50 años lo regentó.
											Y se fue a pique de repente, cuando fue ejecutada (Risas)
											por asesinar a 600 hombres. Veréis, no era un perfume muy bueno.
											De hecho era inodoro, insípido e incoloro,
											pero como veneno, era el mejor que podía comprarse,
											así que las mujeres hacían cola en su tienda para matar a sus maridos.
									","
											No séc. XVII, uma mulher
chamada Giulia Tofana
											tinha um negócio de perfumes
muito bem sucedido.
											Teve o negócio por mais de 50 anos.
											Digamos que terminou abruptamente 
quando foi executada...
											(Risos)
											... por ter assassinado 600 homens.
											O perfume não era lá muito bom.
											Na verdade, não tinha qualquer cheiro,
sabor ou cor,
											mas, como veneno, era o melhor 
que se podia comprar,
											por isso as mulheres faziam fila
para poderem matar os seus maridos.
									","
											In the 17th century, a woman named Giulia Tofana
											had a very successful perfume business.
											For over 50 years she ran it.
											It sort of ended abruptly when she was executed — (Laughter) —
											for murdering 600 men. You see, it wasn't a very good perfume.
											In fact, it was completely odorless and tasteless and colorless,
											but as a poison, it was the best money could buy,
											so women flocked to her in order to murder their husbands.
									","
											Au 17ème siècle, une femme qui s'appelait Giulia Tofana
											tenait une boutique de parfum très en vogue.
											Son commerce a tenu 50 ans.
											Mais a connu, en quelques sortes, une fin brutale quand elle fut exécutée..."" (Rires)
											pour avoir assassiné 600 hommes. 
Ah ça! Ce n'était pas un très bon parfum.
											Il n'avait ni odeur, ni couleur et était insipide,
											mais en tant que poison, c'était le meilleur de sa catégorie,
											et les femmes se l'arrachaient pour assassiner leur mari.
									","
											Im 17. Jahrhundert besaß 
eine Frau namens Giulia Tofana
											eine sehr erfolgreiche Parfümerie.
											Über 50 Jahre betrieb sie sie.
											Doch alles endete ziemlich abrupt, 
als sie hingerichtet wurde, – (Lachen) –
											weil sie 600 Männer ermordet hatte. 
Nun, es war kein sehr gutes Parfüm.
											Vielmehr war es absolut geruchlos,
geschmacklos und farblos,
											aber als Gift war es das Beste, 
was zu haben war,
											und so strömten Frauen zu ihr, weil sie 
ihre Ehemänner umbringen wollten.
									",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
","
","
","
","
",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
											Resulta que las envenenadoras eran un grupo muy apreciado y temido,
											porque envenenar a un ser humano es una cosa bastante complicada.
											La razón es que tenemos una especie de detector de venenos integrado.
											Esto se puede ver incluso en los niños recién nacidos.
											Si queréis hacerlo, podéis coger un par de gotas
											de una sustancia amarga o ácida
											y veréis esa cara, la lengua fuera, la nariz arrugada
											como si estuvieran tratando de deshacerse de lo que tienen en la boca.
											Esta reacción se expande en la madurez y se convierte
											como en una reacción de asco total, ya no sólo cuando
											estamos a punto de ser envenenados o no,
											sino siempre que hay un riesgo de contaminación física
											de alguna clase. Pero la cara es muy parecida.
											Sin embargo esto ha evolucionado más allá de mantenernos alejados
											de los contaminantes físicos, y hay una creciente
											colección de pruebas que señalan que, de hecho, esta emoción
											de asco ahora nos influye en nuestros valores morales
											e incluso en nuestras arraigadas ideas políticas.
									","
											Acontece que os envenenadores
eram um grupo muito valorizado e temido,
											porque envenenar um ser humano 
é algo bastante difícil.
											A razão é que temos uma espécie de 
detetor de venenos de origem.
											Podemos vê-lo logo com os recém-nascidos.
											Se estiverem dispostos a fazê-lo, 
podem pegar em algumas gotas
											de uma substância amarga ou azeda,
											e verão aquela expressão, 
a língua de fora, o nariz enrugado,
											como se estivessem a tentar 
ver-se livres do que têm na boca.
											Esta reação expande-se
durante a vida adulta
											torna-se uma espécie de reação
de nojo totalmente desenvolvida,
											e passa a ter que ver, já não apenas
											com o estarmos ou não 
prestes a ser envenenados,
											mas surge sempre que há uma ameaça 
de contaminação física de qualquer fonte.
											Mas a expressão permanece
notavelmente semelhante.
											Porém, expandiu-se mais
											do que apenas manter-nos afastados
de contaminantes físicos,
											e há um conjunto de indícios
cada vez maior
											que sugere que, de facto,
esta sensação de nojo
											influencia agora as nossas crenças morais
											e mesmo as nossas intuições políticas 
mais profundas.
									","
											It turns out that poisoners were a valued and feared group,
											because poisoning a human being is a quite difficult thing.
											The reason is, we have sort of a built-in poison detector.
											You can see this as early as even in newborn infants.
											If you are willing to do this, you can take a couple of drops
											of a bitter substance or a sour substance,
											and you'll see that face, the tongue stick out, the wrinkled nose,
											as if they're trying to get rid of what's in their mouth.
											This reaction expands into adulthood and becomes
											sort of a full-blown disgust response, no longer just
											about whether or not we're about to be poisoned,
											but whenever there's a threat of physical contamination
											from some source. But the face remains strikingly similar.
											It has expanded more, though, than just keeping us away
											from physical contaminants, and there's a growing
											body of evidence to suggest that, in fact, this emotion
											of disgust now influences our moral beliefs
											and even our deeply held political intuitions.
									","
											Il se trouve que les empoisonneurs étaient un groupe craint et respecté,
											en effet, empoisonner un être humain est une tâche ardue.
											L'explication à cela est que nous possédons une sorte de détecteur de poison.
											présent déjà chez les nouveaux nés.
											Si vous avez l'esprit aventureux, donnez au bébé quelques gouttes
											d'une substance aigre ou amère,
											et vous le verrez grimacer, la langue tirée, le nez froncé,
											comme s'il essayait de se débarrasser de ce qu'il a dans la bouche.
											Cette réaction se poursuit à l'age adulte et devient
											une sorte de réaction au dégoût à part entière, non plus seulement
											une interrogation si oui ou non nous allons être empoisonnés,
											mais à chaque fois qu'il y a une menace de contamination physique
											d'une origine quelconque. 
À chaque fois le visage reproduit cette expression.
											Il ne s'agit plus seulement de s'écarter
											d'une contamination physique, il y a
											des éléments de plus en plus nombreux suggérant que dans la pratique, cette émotion
											de dégout influence dorénavant nos croyances morales
											et aurait même un impact sur nos croyances politiques profondes.
									","
											Giftmischer waren also eine 
geschätzte und gefürchtete Gruppe,
											weil es recht schwierig ist, 
einen Menschen zu vergiften.
											Denn wir haben eine Art 
eingebauten Giftdetektor.
											Schon bei Neugeborenen 
kann man das sehen.
											Wenn Sie wirklich wollen,
nehmen Sie ein paar Tropfen
											einer bitteren 
oder sauren Substanz,
											und Sie sehen dieses Gesicht:
rausgestreckte Zunge, gekräuselte Nase,
											als ob versucht würde, 
das, was im Mund ist, los zu werden.
											Diese Reaktion gibt es auch 
noch bei Erwachsenen und wird
											eine Art Rundum-Ekelreaktion.
Nicht mehr nur
											bei einer möglichen Vergiftung,
											sondern wann immer Gefahr
											durch schädliche Stoffe droht. 
Der Gesichtsausdruck ist erstaunlich gleich.
											Das geht sogar noch weiter als uns nur
											vor schädlichen Stoffen zu schützen, 
und es gibt immer mehr
											Beweise, die nahelegen, 
dass dieses Gefühl
											von Ekel tatsächlich
auch unsere moralischen Werte
											und sogar unsere tief verwurzelten 
politischen Intuitionen beeinflusst.
									",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
","
","
","
","
",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
											¿Cómo puede ser esto?
											Podemos entender este proceso aprendiendo un poco más
											sobre las emociones en general. Así, las emociones humanas básicas,
											aquellas que compartimos con todos los demás seres humanos,
											existen porque nos motivan a hacer cosas buenas
											y nos impiden hacer cosas malas.
											Por lo general, son buenas para nuestra supervivencia.
											Tomemos la emoción del miedo, por ejemplo. Nos impide
											hacer cosas que son muy, muy arriesgadas.
											Esta foto tomada justo antes de su muerte — (Risa) —
											en realidad es — No, una razón por la que esta foto es interesante
											es porque la mayoría de la gente no lo haría, y si lo hicieran
											no vivirían para contarlo, porque el miedo habría
											actuado mucho antes frente a un depredador natural.
											Del mismo modo que el miedo nos ofrece el beneficio de la protección, el asco
											parece hacer lo mismo, excepto que el asco lo que hace es
											mantenernos alejados no de las cosas que nos pueden comer,
											o de las alturas, sino de cosas que pueden envenenarnos,
											o transmitirnos una enfermedad.
											De este modo, una de las características que hacen del asco una
											emoción tan interesante es que es muy, muy fácil de provocar,
											de hecho más incluso que cualquier otra de las emociones básicas,
											así que voy a demostraros que con un par de imágenes
											seguramente puedo haceros sentir asco.
											Así que daos la vuelta. Os avisaré cuando podáis mirar.
											(Risas)
									","
											Porque será isto assim?
											Podemos compreender este processo
											ao compreender um pouco
as emoções em geral.
											As emoções humanas básicas,
											o tipo de emoções que temos em comum 
com todos os outros seres humanos,
											existem porque nos motivam
a fazer coisas boas
											e evitam que façamos coisas más.
											Por isso, de uma forma geral, são boas 
para a nossa sobrevivência.
											Olhemos para a emoção medo, por exemplo.
											Evita que façamos coisas muito arriscadas.
											Esta foto, tirada momentos
antes da sua morte.
											(Risos)
											Uma razão por que esta foto é interessante
											é que a maior parte das pessoas 
não faria isto e, se fizesse,
											não sobreviveria para contar a história,
											porque há muito
que teria sido acionado o medo
											em relação a um predador natural.
											Tal como o medo nos oferece
benefícios de proteção,
											o nojo parece fazer a mesma coisa,
											só que o que o nojo mantém-nos longe
											não do que nos pode comer, ou das alturas,
											mas de coisas que nos podem envenenar
ou transmitir doenças.
											Uma das características do nojo
que o torna uma sensação tão interessante
											é que é muito fácil de trazer ao de cima,
											talvez mais do que qualquer uma
das outras sensações básicas.
											Por isso vou mostrar-vos
que, com duas imagens,
											posso provavelmente fazer-vos sentir nojo.
											Por isso desviem o olhar. 
Eu aviso quando puderem voltar a olhar.
											(Risos)
									","
											Why this might be the case?
											We can understand this process by understanding
											a little bit about emotions in general. So the basic human emotions,
											those kinds of emotions that we share with all other human beings,
											exist because they motivate us to do good things
											and they keep us away from doing bad things.
											So by and large, they are good for our survival.
											Take the emotion of fear, for instance. It keeps us away
											from doing things that are really, really risky.
											This photo taken just before his death — (Laughter) —
											is actually a — No, one reason this photo is interesting
											is because most people would not do this, and if they did,
											they would not live to tell it, because fear would have
											kicked in a long time ago to a natural predator.
											Just like fear offers us protective benefits, disgust seems
											to do the same thing, except for what disgust does is
											keeps us away from not things that might eat us,
											or heights, but rather things that might poison us,
											or give us disease and make us sick.
											So one of the features of disgust that makes it such
											an interesting emotion is that it's very, very easy to elicit,
											in fact more so than probably any of the other basic emotions,
											and so I'm going to show you that with a couple of images
											I can probably make you feel disgust.
											So turn away. I'll tell you when you can turn back.
											(Laughter)
									","
											Comment est-ce possible?
											Nous pouvons comprendre ce processus en se penchant
											un peu sur l'étude des émotions en général. 
Les émotions humaines de base,
											le genre d'émotions que nous partageons avec tous les autres êtres humains,
											sont présentes car elles nous motivent à faire de bonnes choses
											et nous empêchent d'en faire de mauvaises.
											Pour résumer, les émotions sont utiles à notre survie.
											Si nous prenons pour exemple l'émotion de la peur. 
Elle nous empêche
											de faire des choses très très risquées.
											Cette photo fut prise juste avant sa mort (Rires)
											C'est en réalité un... 
Non, ce qu'il faut comprendre avec cette photo
											c'est que la plupart des gens ne ferait jamais ça, et que s'ils le faisaient,
											ils ne vivraient pas assez longtemps pour en parler, car la peur
											des prédateurs naturels est ancrée en nous depuis toujours.
											La peur nous offre une protection salutaire, de la même manière le dégoût semble
											avoir le même effet protecteur, sauf que le dégoût
											ne nous tiens pas éloigné des choses qui voudraient nous manger,
											ou se mesurer à nous, mais plutôt celles qui pourraient nous empoisonner,
											ou nous rendre malades en nous contaminant.
											Ainsi, l'un des aspect du dégoût qui en fait
											une émotion intéressante tient au fait que nous ressentons souvent cette émotion,
											et bien plus fréquemment que n'importe quelle autre émotion basique.
											Je vais à présent vous montrer qu'avec quelques images,
											je vais pouvoir vous faire ressentir du dégoût.
											Donc tournez-vous, je vous dirai quand vous pourrez à nouveau regarder.
											(Rires)
									","
											Warum das so ist?
											Der Vorgang wird verständlicher,
											wenn wir kurz Gefühle 
im Allgemeinen betrachten. Grundgefühle,
											jene Art von Gefühlen, 
die alle Menschen teilen,
											existieren, weil sie uns dazu bringen,
Gutes zu tun,
											und uns davon abhalten, 
Schlechtes zu tun.
											Im Großen und Ganzen 
sichern sie also unser Überleben.
											Nehmen wir zum Beispiel Angst. 
Sie hält uns davon ab
											etwas wirklich Gefährliches zu tun.
											Dieses Foto wurde kurz vor 
seinem Tod aufgenommen – (Lachen) –
											Nein, dieses Foto ist 
auch deswegen interessant,
											weil die meisten Menschen 
das nicht tun würden, und wenn doch,
											könnten sie nicht davon berichten,
denn die Angst hätte
											bei einem natürlichen Feind 
längst eingesetzt.
											Angst schützt uns,
und Ekel scheint
											das Gleiche zu leisten, 
doch Ekel hält uns nicht fern
											von etwas,
das uns fressen könnte,
											oder von Höhen, sondern eher von etwas, 
das uns vergiften
											oder erkranken lassen könnte.
											Eines der Merkmale von Ekel,
das ihn zu so einem
											interessanten Gefühl macht, ist, 
dass er extrem einfach hervorzurufen ist,
											und zwar viel einfacher als 
wahrscheinlich jedes andere Grundgefühl.
											Daher zeige ich Ihnen ein paar Bilder,
											die bei Ihnen sicherlich 
ein Ekelgefühl erzeugen.
											Wenden Sie sich bitte ab. Ich sage Ihnen, 
wann Sie wieder schauen können.
											(Lachen)
									",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
","
","
","
","
",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
											Venga, lo veis todos los días, no? Venga ya. (Risas)
									","
											Veem isto todos os dias, não é?
Então?
											(Risos)
									","
											I mean, you see it every day, right? I mean, come on. (Laughter)
									","
											Je veux dire par là, vous voyez ça tous les jours, pas vrai? Allez, c'est rien. (Rires)
									","
											Also, man sieht das jeden Tag, oder? 
Also wirklich. (Lachen)
									",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
","
","
","
","
",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
"
											(Público: Ewww.)
									","
											(Audiência: Oh!!)
									","
											(Audience: Ewww.)
									","
											(Audience: Ewww.)
									","
											(Publikum: Iih.)
									",The strange politics of disgust,David Pizarro,14:02,"TEDx,brain,choice,cognitive science,morality,politics,psychology,science,smell,sociology,history,sex,mind"
