en,es,pt,de,fr,title,speaker,duration,tags
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											Let me ask you all a question.
											How much weapons-grade nuclear
material do you think it would take
											to level a city the size of San Francisco?
											How many of you think
it would be an amount
											about the size of this suitcase?
											OK. And how about this minibus?
									","
											Dejen que les haga una pregunta.
											¿Qué cantidad de armamento nuclear 
creen que sería necesaria
											para acabar con una ciudad 
del tamaño de San Francisco?
											¿Cuántos creen que sería la cantidad
											aproximada del tamaño de esta maleta?
											Bien. Y ¿cuántos 
del tamaño de este minibús?
									","
											Deixem-me perguntar algo.
											Que quantidade de material nuclear
militar seria necessária
											para arrasar uma cidade
do tamanho de San Francisco?
											Quantos de vocês acham
que seria uma quantidade
											do tamanho desta mala?
											Ok. E que tal do tamanho
deste miniautocarro?
									","
											Ich stelle Ihnen eine Frage:
											Welche Menge an Nuklearwaffenmaterial
											braucht man für die Zerstörung einer Stadt
in der Größe von San Francisco?
											Wer von Ihnen glaubt,
es würde in diesen Koffer passen?
											OK. Wer glaubt, so viel wie
in diesen Minibus passt?
									","
											Laissez-moi vous poser une question.
											Selon vous, quelle quantité de matière
nucléaire de qualité militaire faudrait-il
											pour raser une ville 
de la taille de San Francisco ?
											Combien d'entre vous pensent qu'il
faudrait le volume de cette valise ?
											D'accord... Ou peut-être
celui de ce minibus ?
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											All right.
											Well actually, under
the right circumstances,
											an amount of highly enriched uranium
about the size of your morning latte
											would be enough to kill 100,000 people
											instantly.
											Hundreds of thousands of others
would become horribly ill,
											and parts of the city
would be uninhabitable for years,
											if not for decades.
									","
											Bien.
											Bueno, en realidad, 
en las circunstancias adecuadas,
											la cantidad de uranio muy enriquecido 
del tamaño de su café con leche matutino
											sería suficiente para matar 
a 100 000 personas
											instantáneamente.
											Cientos de miles de personas 
enfermarían terriblemente,
											y partes de la ciudad serían 
inhabitables durante años,
											por no decir, durante décadas.
									","
											Está bem.
											Na realidade,
sob as circunstâncias certas,
											uma quantidade de urânio
altamente enriquecido
											do tamanho do vosso café matinal
											seria suficiente
para matar 100 000 pessoas
											instantaneamente.
											Centenas de milhares de outras
iriam adoecer horrivelmente,
											e partes da cidade
ficariam inabitáveis durante anos,
											se não décadas.
									","
											Okay.
											Tatsächlich würde
unter den richtigen Umständen
											hoch angereichertes Uran
											in der Menge Ihres morgendlichen
Caffè Latte ausreichen,
											um 100 000 Menschen zu töten.
											Sofort.
											Weitere Hunderttausende
würden schwer erkranken
											und Teile der Stadt wären
jahrelang unbewohnbar,
											wenn nicht gar für Jahrzehnte.
									","
											Bien.
											En réalité, dans des
circonstances adéquates,
											une quantité d'uranium fortement enrichi
de la taille de votre café au lait matinal
											suffirait pour tuer cent mille personnes,
											instantanément.
											Des centaines de milliers d'autres
tomberaient gravement malades,
											des parties de la ville deviendraient
inhabitables pendant des années,
											voire des décennies.
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											But you can forget that nuclear latte,
											because today's nuclear weapons
are hundreds of times more powerful
											even than those we dropped
on Hiroshima and Nagasaki.
											And even a limited nuclear war
involving, say, tens of nuclear weapons,
											could lead to the end
of all life on the planet.
									","
											Pero ya pueden olvidar 
el café con leche nuclear,
											porque las armas nucleares actuales 
son cientos de veces más potentes
											incluso que las que cayeron 
sobre Hiroshima y Nagasaki.
											E incluso una guerra nuclear limitada 
con decenas de armas nucleares,
											podría suponer 
el final de toda la vida en el planeta.
									","
											Mas podem esquecer esse café nuclear
											pois as armas nucleares de hoje
são cem vezes mais poderosas
											do que as que largámos
em Hiroxima e Nagasaki.
											E mesmo uma guerra nuclear limitada
envolvendo dezenas de armas nucleares
											poderia levar ao fim
de toda a vida do planeta.
									","
											Aber Sie können den
radioaktiven Kaffee vergessen,
											weil die heutigen Atomwaffen
hundertmal stärker sind
											als die, die wir auf Hiroshima
und Nagasaki abgeworfen haben.
											Selbst ein eingeschränkter Atomkrieg
mit weniger als 100 Atomwaffen
											könnte sämtliches Leben 
auf der Erde auslöschen.
									","
											Mais vous pouvez oublier 
ce café au lait nucléaire,
											car les armes nucléaires d'aujourd'hui 
sont des centaines de fois plus puissantes
											que celles que nous avons lâchées 
sur Hiroshima et Nagasaki.
											Même une guerre nucléaire limitée avec,
disons, des dizaines d'armes nucléaires,
											pourrait conduire à la fin
de toute vie sur la planète.
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											So it's really important that you know
											that right now we have
over 15,000 nuclear weapons
											in the hands of nine nations.
											And if you live in a city
or near a military facility,
											one is likely pointed right at you.
											In fact, if you live in any
of the rural areas
											where nuclear weapons are stored globally,
											one is likely pointed at you.
											About 1,800 of these weapons
are on high alert,
											which means they can be launched
within 15 minutes
											of a presidential command.
									","
											Así que es muy importante que sepan
											que en este momento 
tenemos más de 15 000 armas nucleares
											en manos de nueve naciones.
											Y si Uds. viven en una ciudad 
o cerca de un centro militar,
											es probable que una de ellas 
apunte directamente a Uds.
											De hecho, si viven 
en alguna de las zonas rurales
											donde las armas nucleares 
se almacenan a nivel mundial,
											también es probable que 
éstas apunten hacia Uds.
											Unas 1800 de estas armas 
están en estado de alerta,
											lo que significa que pueden lanzarse 
en cuestión de 15 minutos
											tras una orden presidencial.
									","
											É muito importante que saibam
											que neste momento temos
mais de 15 000 armas nucleares
											nas mãos de nove nações.
											Se vivem numa cidade
ou perto de instalações militares,
											provavelmente terão uma delas
apontada a vocês.
											De facto, se vivem
nalguma das zonas rurais
											onde estão armazenadas
globalmente armas nucleares,
											uma delas está apontada para vocês.
											Cerca de 1800 destas armas
estão em alerta máximo,
											o que significa que podem
ser lançadas em 15 minutos
											depois de uma ordem presidencial.
									","
											Und deshalb ist es so wichtig,
dass Sie wissen,
											dass es jetzt insgesamt
mehr als 15 000 Atomwaffen
											in den Händen von 9 Nationen gibt.
											Wenn Sie in einer Stadt oder in der 
Nähe eines Militärstützpunkts wohnen,
											ist vermutlich eine Waffe 
direkt auf Sie gerichtet.
											Wenn Sie in einer ländlichen Region leben,
											wo weltweit Atomwaffen gelagert werden,
											ist vermutlich eine
genau auf Sie gerichtet.
											Ungefähr 1 800 dieser Waffen
sind in höchster Alarmbereitschaft,
											das heißt, sie können innerhalb von
15 Minuten abgefeuert werden,
											falls ein Präsident das befiehlt.
									","
											Il est donc très important
que vous sachiez
											qu'à l'heure actuelle, nous avons
plus de 15 000 armes nucléaires
											entre les mains de neuf nations.
											Et si vous vivez en ville
ou près d'une installation militaire,
											l'une d'elles est probablement
pointée droit sur vous.
											En fait, si vous vivez 
dans une des zones rurales
											où les armes nucléaires 
sont mondialement stockées,
											l'une d'elles est probablement
braquée sur vous.
											Environ 1 800 de ces armes
sont en état d'alerte maximum,
											ce qui signifie qu'elles peuvent
être lancées dans le quart d'heure
											suivant un ordre présidentiel.
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											So I know this is a bummer of an issue,
											and maybe you have that —
what was it? — psychic fatigue
											that we heard about a little bit earlier.
											So I'm going to switch gears
for just a second,
											and I'm going to talk
about my imaginary friend,
											who I like to think of as Jasmine,
											just for a moment.
									","
											Sé que esto es un problema de un tema
											y tal vez Uds. tengan 
ya la fatiga psíquica
											de la que oímos hablar poco antes.
											Así que cambiaré el rumbo por un segundo,
											y hablaré de mi amiga imaginaria,
											a quien llamaré Jazmine,
											solo por un momento.
									","
											Eu sei que isto é um assunto aborrecido,
											e talvez tenham aquela fadiga psíquica
											de que ouvimos falar há bocadinho.
											Por isso, vou mudar de direção
por um momento,
											e vou falar da minha amiga imaginária,
											que gosto de denominar de Jasmine,
											só por um momento.
									","
											Ich weiß, dass niemand 
gerne darüber spricht
											und vielleicht haben Sie, was das angeht,
											eine Art Erschöpfungssyndrom.
											Deshald wechsle ich hier kurz die Gangart
											und rede über meine Fantasiefreundin,
die ich mal Jasmine nenne.
											Nur ganz kurz.
									","
											Certes, je sais que c'est
une question plutôt déprimante
											et peut-être éprouvez-vous
cette fatigue psychique
											dont nous avons entendu parler
un peu plus tôt.
											Donc, je vais changer de sujet un instant
et parler de mon amie imaginaire
											que j'aime me représenter
comme Jasmine, juste un instant.
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
											Jasmine, at the age of 25,
											is part of a generation that is more
politically and socially engaged
											than anything we've seen in 50 years.
											She and her friends think of themselves
											as change agents
and leaders and activists.
											I think of them as Generation Possible.
											They regularly protest
about the issues they care about,
											but nuclear weapons are not one of them,
which makes sense,
											because Jasmine was born in 1991,
at the end of the Cold War.
											So she didn't grow up hearing a lot
about nuclear weapons.
											She never had to duck and cover
under her desk at school.
											For Jasmine, a fallout shelter
is an app in the Android store.
											Nuclear weapons help win games.
											And that is really a shame,
											because right now, we need
Generation Possible
											to help us make some really important
decisions about nuclear weapons.
									","
											Jazmine tiene 25 años
											y es parte de una generación 
más comprometida política y socialmente
											que todo lo que hemos visto en 50 años.
											Ella y sus amigos se definen
											como agentes de cambio, 
como líderes y como activistas.
											Pienso en ellos como 
la generación posible.
											Protestan regularmente 
sobre las cuestiones que les preocupan,
											pero las armas nucleares no son 
una de ellas, lo cual tiene sentido,
											porque Jasmine nació en 1991, 
al final de la Guerra Fría.
											Así que ella no creció escuchando 
demasiado sobre las armas nucleares.
											Nunca tuvo que agacharse y refugiarse 
bajo su escritorio en la escuela.
											Para Jasmine, un refugio nuclear es 
una aplicación en la tienda de Android.
											Las armas nucleares 
ayudan a ganar partidos.
											Y eso es realmente una lástima,
											porque en este momento 
necesitamos a la generación posible
											para que nos ayude a tomar decisiones 
muy importantes sobre las armas nucleares.
									","
											Jasmine, com 25 anos de idade,
											faz parte de uma geração que está
mais envolvida política e socialmente
											do que temos visto em 50 anos.
											Ela e os seus amigos
pensam em si mesmos
											como agentes da mudança,
líderes e ativistas.
											Penso neles como a Geração Possível.
											Eles frequentemente manifestam-se
sobre os assuntos que os preocupam,
											mas as armas nucleares não é um deles,
o que faz sentido,
											porque Jasmine nasceu em 1991,
no final da guerra-fria.
											Por isso, ela não cresceu a ouvir falar
muito das armas nucleares.
											Nunca teve de se baixar e abrigar-se
debaixo da carteira, na escola.
											Para a Jasmine, um abrigo nuclear
é uma aplicação na loja Android.
											As armas nucleares ajudam a ganhar jogos.
											E isso é mesmo uma pena,
											porque, neste momento,
precisamos da Geração Possível
											para nos ajudar a tomar
decisões importantes
											sobre armas nucleares.
									","
											Jasmine gehört mit 25 Jahren
zu einer Generation,
											die politisch und sozial engagierter ist,
											als irgendeine der letzten 50 Jahre.
											Sie und ihre Freunde sehen
sich selbst als Menschen,
											die aktiv Veränderungen bewirken.
											Ich nenne sie die
""Generation der Möglichkeiten"".
											Sie protestieren für alle
ihnen wichtige Themen,
											aber Atomwaffen gehören nicht dazu.
											Verständlich, weil Jasmine
1991 geboren wurde,
											als der Kalte Krieg vorbei war.
											Deshalb hat sie nie viel
über Atomwaffen gehört,
											sie musste in der Schule
nicht für den Ernstfall proben.
											Für Jasmine klingt ""nuklearer Schutzraum""
wie eine App im Android Store.
											Atomwaffen helfen dabei,
Spiele zu gewinnen
											und das ist traurig,
											denn wir brauchen 
die Generation der Möglichkeiten,
											um sehr wichtige Entscheidungen
über Atomwaffen zu treffen.
									","
											Jasmine, à l'âge de 25 ans,
											fait partie d'une génération
plus politiquement et socialement engagée
											que tout ce que nous avons vu
en cinquante ans.
											Elle et ses amis se considèrent
comme agents de changement,
											dirigeants et activistes.
											Je pense à eux comme
à la Génération Possible.
											Ils protestent régulièrement
sur les sujets chers à leurs cœurs,
											mais les armes nucléaires
n'en font pas partie ;
											ce qui est logique
vu que Jasmine est née en 1991,
											à la fin de la guerre froide,
											donc elle n'a pas grandi
bien au fait des armes nucléaires.
											Elle n'a jamais eu à se mettre à couvert
sous son bureau à l'école.
											Pour Jasmine, un abri antinucléaire
											est une application
dans la boutique d'Android.
											Les armes nucléaires
aident à gagner des jeux.
											Et c'est vraiment dommage
											parce que, dès maintenant, nous avons
besoin de Génération Possible
											pour nous aider à prendre des décisions
très importantes sur les armes nucléaires.
									",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
"
","
","
","
","
",The world doesn't need more nuclear weapons,Erika Gregory,14:59,"collaboration,fear,government,global issues,history,humanity,nuclear energy,nuclear weapons,technology,peace,security,terrorism,violence,war"
