en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
											One of the most humiliating things
											that you can say about someone
is ""they choked.""
											And boy, do I know that feeling.
											Growing up, I was an avid athlete.
											My main sport was soccer,
and I was a goalkeeper,
											which is both the best
and the worst position on the field.
											You see, when you're a goalie,
you get this special uniform,
											you get all the glory
for a great shot saved,
											but you also get the grief
when you land a shot in the goal.
											When you're a goalie,
											all eyes are on you,
											and with that comes the pressure.
									","
											L'une des choses les plus humiliantes
											que vous pouvez dire au sujet de quelqu'un
est qu'il n'a pas supporté la pression.
											Et je sais ce que c'est.
											Quand j'étais jeune,
j'étais une athlète fervente.
											Mon sport principal était le football
et j'étais gardienne de but,
											ce qui est la meilleure
et la pire position sur le terrain.
											Quand vous êtes gardien,
vous avez cet uniforme spécial,
											vous récoltez toute la gloire
pour avoir arrêté un super tir
											mais vous souffrez seul
quand un tir atterrit dans le but.
											Quand vous êtes gardien,
											tous les yeux sont sur vous
											et cela implique une certaine pression.
									","
											Mit das Demütigendste,
das man über jemanden sagen kann,
											ist der Satz: ""Er hat versagt.""
											Oh Mann, ich weiß, wie sich das anfühlt.
											In meiner Jugend liebte ich Sport.
											Ich spielte in erster Linie Fußball
und zwar als Torhüterin.
											Auf dem Platz ist das sowohl die beste
als auch die schlechteste Position.
											Als Torhüter kriegt man
einen speziellen Dress,
											eine Menge Applaus,
wenn man einen tollen Schuss hält,
											aber man kriegt auch das Elend,
wenn man ein Tor reinlässt.
											Als Torhüterin sind alle Augen
auf mich gerichtet
											und das macht richtig Druck.
									","
											Birisi hakkında söyleyebileceğiniz
											en küçük düşürücü 
şeylerden biri tıkandığıdır.
											Bu hissi biliyor muyum?
											Büyürken hevesli bir sporcuydum.
											Ana branşım futboldu ve kaleciydim,
											sahadaki hem en iyi hem de
en kötü görevdir.
											Kaleci olduğunuzda 
özel formanızı giyersiniz
											ve iyi bir kurtarış yaptığınızda 
tüm övgüleri alırken
											gol yediğinizde kederi üstlenirsiniz.
											Kaleci olduğunuzda
											tüm gözler üzerinizdedir,
											bu da baskıyı getirir.
									",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
","
","
","
",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
											I distinctly remember
one game in high school.
											I was playing for
the California state team
											which is part of the Olympic
Development Program.
											I was having a great game ...
											until I realized that the national coach
was standing right behind me.
											That's when everything changed.
											In a matter of seconds,
											I went from playing at the top
to the bottom of my ability.
											Just knowing that I was being evaluated
changed my performance
											and forever how I thought about
the mental aspect of how we perform.
											All of a sudden the ball
seemed to go in slow motion,
											and I was fixated on my every move.
											The next shot that came I bobbled,
											but thankfully it didn't land in the goal.
											The shot after that,
											I wasn't so lucky:
											I tipped it right into the net.
											My team lost;
											the national coach walked away.
											I choked under the pressure
of those evaluative eyes on me.
									","
											Je me souviens distinctement
d'un match au lycée.
											Je joue pour l'équipe
de l'État de Californie
											qui fait partie du programme
de développement olympique.
											Je passais un super match...
											jusqu'à ce que je réalise
											que le coach national
était juste derrière moi.
											A ce moment-là, tout a changé.
											En quelques secondes,
											j'ai arrêté de jouer de mon mieux
et j'ai joué très mal.
											Savoir que j'étais évaluée
a changé ma performance
											et ma vision sur l'aspect mental
de nos performances.
											Tout d'un coup, le ballon
semblait aller au ralenti
											et j'étais concentrée
sur chacun de mes mouvements.
											J'ai cafouillé sur le tir suivant
											mais, heureusement,
il n'a pas fini dans le but.
											Le tir d'après,
											je n'ai pas été si chanceuse :
											je l'ai poussé dans le filet.
											Mon équipe a perdu.
											Le coach national est parti.
											Je n'ai pas supporté la pression
de ces yeux qui m'évaluaient.
									","
											Ich erinnere mich noch genau
an ein Spiel in der Highschool.
											Ich spielte für das California-State-Team,
											das zum olympischen
Entwicklungsprogramm gehört.
											Ich spielte super,
											bis ich merkte,
											dass der Nationaltrainer
genau hinter mir stand.
											Das veränderte alles.
											In Sekundenschnelle spielte ich
nicht mehr auf meinem Top-Niveau,
											sondern auf meiner untersten Schiene.
											Allein das Wissen, bewertet zu werden,
veränderte meine Leistung
											und von da an auch meine Ansicht
über den psychischen Aspekt von Leistung.
											Plötzlich schien sich der Ball
in Zeitlupe zu bewegen
											und ich war auf jede
meiner Bewegungen fixiert.
											Der nächste Schuss rutschte mir weg,
											aber er landete zum Glück nicht im Tor.
											Beim darauffolgenden Schuss
hatte ich mehr Pech:
											Ich schlenzte ihn direkt ins Netz.
											Mein Team verlor,
											der Nationaltrainer ging weg.
											Ich hatte unter dem Druck
der mich bewertenden Augen versagt.
									","
											Lisede bir maçı çok net 
hatırlıyorum.
											Olimpik Gelişim Programının 
bir parçası olan
											Kaliforniya eyalet takımında oynuyordum.
											Güzel bir maç geçiriyordum,
											ta ki milli takım antrenörünün 
arkamda dikildiğini görene kadar.
											Her şey o zaman değişti.
											Saniyeler içerisinde,
											oyunda yapabileceğimin 
en iyisinden en kötüsüne dönüştüm.
											Sadece değerlendirildiğimi bilmek
performansımı etkilemeye yetti
											ve performansın zihinsel yönü hakkındaki 
düşüncelerimi sonsuza kadar değiştirdi.
											Top aniden ağır çekimde göründü
											ve ben donakaldım.
											Bir sonraki şutta 
elime yüzüme bulaştırdım
											ama şansıma gol olmadı.
											Ondan sonraki şutta
											o kadar şanslı değildim.
											Topu kaleye doğru yolladım.
											Takımım kaybetti,
											milli takım antrenörü gitti.
											Değerlendiren gözlerin 
baskısı altında tıkandım.
									",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
","
","
","
",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
											Just about everyone
does it from time to time —
											there are so many opportunities,
											whether it's taking a test,
											giving a talk,
											pitching to a client
											or that special form of torture
I like to call the job interview.
									","
											Cela arrive à tout le monde
de temps en temps —
											il y a tant d'opportunités,
											que ce soit passer un test,
											donner un discours,
											faire une présentation à un client
											ou cette forme de torture particulière
qu'est l'entretien d'embauche.
									","
											Das passiert fast jedem einmal,
											denn es gibt so viele Gelegenheiten:
											Wenn man eine Prüfung hat,
											einen Vortrag hält,
											ein Kundengespräch führt
											oder die spezielle Folter durchmacht,
											wie ich Vorstellungsgespräche
gern bezeichne.
									","
											Zaman zaman herkese olur.
											Birçok fırsat vardır;
											sınava girmek,
											konuşma yapmak,
											müşteriyi ikna etmek
											ya da işkencenin özel bir türü
olan iş mülakatına girmek gibi.
									",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
","
","
","
",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
","
","
","
",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
"
											But the question is why.
											Why do we sometimes fail to perform
up to our potential under pressure?
											It's especially bewildering
in the case of athletes
											who spend so much time
physically honing their craft.
											But what about their minds?
											Not as much.
											This is true off
the playing field as well.
											Whether we're taking a test
of giving a talk,
											it's easy to feel like we're ready —
											at the top of our game —
											and then perform at our worst
when it matters most.
											It turns out that rarely do we practice
											under the types of conditions
we're actually going to perform under,
											and as a result,
											when all eyes are on us,
											we sometimes flub our performance.
											Of course, the question is,
why is this the case?
											And my experience on the playing field —
											and in other important
facets of my life —
											really pushed me into the field
of cognitive science.
											I wanted to know how we could reach
our limitless potential.
											I wanted to understand
how we could use our knowledge
											of the mind and the brain
											to come up with psychological tools
that would help us perform at our best.
									","
											La question est : pourquoi ?
											Pourquoi n'arrivons-nous parfois pas
à fonctionner à notre plein potentiel
											en étant sous pression ?
											C'est particulièrement ahurissant
dans le cas des athlètes
											qui passent tant de temps
à peaufiner leurs capacités physiques.
											Et leur esprit ?
											Pas tant que ça.
											C'est également vrai en dehors du terrain.
											Que nous passions un test
ou faisions une présentation,
											il est facile de se sentir prêt —
											au maximum de son potentiel —
											et que l'exécution soit mauvaise
quand cela compte le plus.
											Il s'avère que
nous nous entraînons rarement
											dans le genre de conditions
dans lesquelles nous serons réellement
											et le résultat est que,
											quand tous les yeux sont sur nous,
											nous torpillons notre performance.
											Bien sûr, la question est : pourquoi ?
											Mon expérience sur le terrain —
											et dans d'autres importantes
facettes de ma vie —
											m'a vraiment poussée vers le domaine
de la science cognitive.
											Je voulais savoir comment nous pouvions
atteindre notre potentiel illimité.
											Je voulais comprendre comment
nous pouvions utiliser nos connaissances
											sur l'esprit et le cerveau
											pour trouver des outils psychologiques
											qui nous aideraient à être
au meilleur de nos capacités.
									","
											Es fragt sich nur, warum.
											Warum bringen wir unter Druck
manchmal nicht die volle Leistung?
											Das gibt besonders
Rätsel bei Sportlern auf,
											die so intensiv an ihrer
körperlichen Form arbeiten.
											Und an ihrer Psyche?
											Viel weniger.
											Das gilt auch für Bereiche
außerhalb des Sports.
											Egal, ob wir eine Prüfung machen
oder einen Vortrag halten:
											Es ist leicht, sich in Bestform
für die Aufgabe zu fühlen
											und dann eine miese Leistung zu bringen,
wenn alles auf dem Spiel steht.
											Tatsächlich proben wir selten
unter den Bedingungen im Ernstfall.
											Also passiert es manchmal,
dass wir unsere Leistung vermasseln,
											wenn alle Augen auf uns gerichtet sind.
											Die Frage lautet natürlich:
Warum ist das so?
											Meine Erfahrungen auf dem Spielfeld —
											und in anderen wichtigen
Aspekten meines Lebens —
											brachten mich zur Kognitionswissenschaft.
											Ich wollte wissen, wie wir unser
grenzenloses Potenzial erreichen können.
											Ich wollte verstehen,
											wie wir unser Wissen
über Psyche und Verstand nutzen können,
											um psychologische Hilfsmittel zu finden,
die zu Höchstleistungen führen.
									","
											Sorulması gereken şey, 
neden olduğudur.
											Neden bazen potansiyelimizi 
baskı altında gösteremiyoruz?
											Sporcularda özellikle çok şaşırtıcı.
											Fiziksel yetenekleri üzerine 
çok fazla antrenman yapıyorlar.
											Peki, zihinleri üzerine?
											O kadar da değil.
											Saha dışında da durum aynı.
											Sınava da girsek, 
konuşma da yapsak
											hazır olduğumuzu ve 
yapabileceğimizin en iyisini
											yaptığımızı hissetmek kolay.
											Yine de en ihtiyaç duyduğumuz anda 
en kötü performansı gösteririz.
											Görünen o ki nadiren
bu tür durumlara karşı
											pratik yapıyoruz.
											Sonuç olarak,
											bazen tüm gözler üzerimizdeyken
											elimize yüzümüze bulaştırıyoruz.
											Tabii ki asıl soru, neden böyle olduğu.
											Sahadaki deneyimim
											ve hayattaki diğer gözlemlerim
											beni bilişsel bilime yöneltti.
											Sınırsız potansiyelimize nasıl 
erişebileceğimizi bilmek istedim.
											En iyi performansımızı ortaya koymak için
											zihin ve beynimizin bilgilerini
											kullanabileceğimiz psikolojik 
araçları anlamak istedim.
									",Why we choke under pressure — and how to avoid it,Sian Leah Beilock,15:13,"brain,cognitive science,science,TEDMED,biology,human body,communication"
