es,en,title,speaker,duration,tags
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											Si viajáramos al pasado,
al año 800 antes de Cristo,
											veríamos que los griegos, por ley,
											obligaban a los comerciantes
que fracasaban
											a sentarse en el mercado
con una canasta sobre la cabeza
											para que todos tuvieran clara
la situación de su negocio.
											En la Italia premoderna,
											los dueños de negocios que fracasaban
y tenían deudas pendientes
											eran llevados totalmente
desnudos a la plaza pública,
											donde tenían que golpearse
el trasero contra una piedra
											mientras una multitud los abucheaba.
											En el siglo XVII en Francia,
											los empresarios cuyos negocios fracasaban
eran llevados al centro del mercado,
											donde se anunciaba públicamente
el comienzo de su bancarrota.
											Y para no ser llevados
a la cárcel de inmediato,
											tenían que usar una boina verde
											para que todos supieran
que eran unos fracasados.
											Desde luego, estos son casos extremos,
											pero es importante remitirnos al pasado
											para recordar que cuando las leyes
castigan excesivamente
											a los emprendedores que fracasan,
											esto desincentiva la creación
de nuevas empresas y la innovación,
											que son los motores del crecimiento
económico de cualquier país.
									","
											If we were to travel to the past,
to the year 800 BCE,
											we would see that the Greeks, by law,
											forced failed businesspeople
to sit in the marketplace
											with a basket on their heads,
											so that everyone had a clear idea
as to the state of their business.
											In premodern Italy,
											owners of failed businesses
that had outstanding debts
											were taken, completely nude,
to the public plaza,
											where they had to hit
their backside against a rock
											while a crowd jeered at them.
											In 17th-century France,
											failed business owners were carried
to the center of the marketplace,
											where the beginning of their bankruptcy
was announced publicly.
											To avoid being immediately taken to jail,
											they had to wear a green beret
so everyone knew they were a failure.
											Of course, these are extreme cases,
											but it's important to refer to the past
											to remember that when the laws
are too punishing to failed entrepreneurs,
											it disincentivizes the creation
of new businesses and innovation,
											which are the engines
of economic growth of any country.
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											Afortunadamente, el tiempo ha pasado
											y ya no humillamos más públicamente
a los emprendedores que fracasan.
											Sin embargo, tampoco es común ver
a los grandes empresarios o empresarias
											publicar en redes sociales
los detalles de sus errores.
											De hecho, creo que todos
los que estamos aquí
											nos podemos relacionar con el dolor
que se siente que un proyecto fracase.
											Pero no por eso compartimos
los detalles de esa experiencia
											con nuestros amigos.
											Y lo entiendo perfectamente -
yo también he estado ahí.
											Les quiero contar que tuve un negocio
que fracasó terriblemente,
											fue una experiencia muy dolorosa
											y compartirlo para mí fue muy difícil.
											De hecho, para compartirlo
se requirió siete años,
											una buena dosis de vulnerabilidad
											y la compañía de mis amigos.
											Y esta es mi historia de fracaso.
									","
											Fortunately, time has passed,
											and now we don't publicly humiliate
entrepreneurs who fail.
											Still, it's not common
											to see big business figures publish
the details of their mistakes
											on social media.
											I think everyone here can relate
to the pain you feel when a project fails.
											But that doesn't mean
we share the details of those experiences
											with our friends.
											And I understand perfectly —
I've been there, too.
											I had a business that failed horribly.
											It was a very painful experience
and sharing it was very difficult.
											In fact, sharing it took seven years,
											a good amount of vulnerability
											and the company of my friends.
											This is the story of my failure.
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											Cuando estaba en la universidad
estudiando negocios,
											conocí a un grupo de mujeres indígenas
que vivían en una comunidad rural
											muy marginada en el estado de Puebla,
											un estado ubicado en el centro de México.
											Ellas elaboraban unas artesanías
hechas a mano hermosísimas.
											Así que cuando las conocí
a ellas y conocí su trabajo,
											decidí que quería hacer algo
para ayudarlas.
											E hice todo tal cual me enseñaron
											en la escuela de negocios
de aquella época:
											me asocié con mis amigos,
											conseguimos inversión,
											dedicamos mucho tiempo
a construir el negocio
											y a capacitar a las artesanas.
									","
											When I was at college studying business,
I met a group of indigenous women
											who lived in a very marginalized
rural community in Puebla,
											a state in the center of Mexico.
											They created beautiful handmade crafts.
											So when I met them
and became familiar with their work,
											I decided that I wanted to do
something to help them.
											And I did everything
just like they had taught me
											at business school back then:
											I partnered with my friends;
											we procured funding;
											we spent a lot of time
building the business
											and training the artisans.
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											Pero pronto nos dimos cuenta
de que éramos novatos.
											La verdad es que las artesanías
no se vendían -
											o más bien, nosotros no sabíamos
cómo venderlas,
											y además, el plan financiero
que habíamos hecho no era realista.
											Durante años trabajamos sin un sueldo,
											esperando que un milagro sucediera
y que mágicamente,
											apareciera un comprador gigantesco
que hiciera el negocio rentable
											y evitar que todo el proyecto muriera.
											Pero al final el milagro no sucedió.
											Tuvimos que cerrar el negocio
y eso me destrozó el corazón,
											porque yo empecé todo ese proyecto
para generar un impacto positivo
											en la vida de las artesanas,
											y sentí que en realidad había generado
un impacto muy negativo
											en la vida de la artesanas.
											Me sentí tan culpable por lo que sucedió
											que durante años lo oculté
de mi currículum
											y de mis conversaciones.
									","
											But we soon realized that we were rookies.
											The truth is, the crafts didn't sell —
											or better yet, we didn't know
how to sell them —
											and the business plan we had made
wasn't realistic.
											We worked for years without salary,
waiting for a miracle to happen,
											hoping that magically,
a huge buyer would appear
											and make the business profitable
											and prevent the entire project from dying.
											But in the end, the miracle didn't happen.
											We had to close the business
and that broke my heart,
											because I began the whole project
in order to have a positive impact
											on the life of the artisans,
											and I felt that I had actually had
a very negative impact.
											I felt so guilty about what happened
											that for years I hid it from my résumé
and from my conversations.
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											Tiempo después, en 2012, salí
con algunos amigos emprendedores,
											y la conversación del fracaso
también salió,
											y me atreví a confesarles
la historia de mi negocio fracasado
											que había ocultado durante tantos años.
											Para mi sorpresa, mis amigos
tenían historias parecidas.
											Y en ese momento, algo se volvió
muy claro en mi mente -
											¡me juntaba con puros fracasados!
									","
											Some time later, I was out
with some entrepreneur friends,
											and the topic of failure came up.
											I took the risk and confessed to them
the story of my failed business
											that I had kept a secret
for so many years.
											To my surprise, my friends
had similar stories.
											And at that moment, something became
very clear in my mind:
											I hung out with total failures!
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											(Risas)
									","
											(Laughter)
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											No, ya más en serio,
											ese día me di cuenta de que todos
tenemos nuestros fracasos ocultos.
											Díganme si no es cierto.
									","
											No, but seriously,
											that day I realized
that we all have hidden failures.
											Tell me if that's not true.
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
											(Audiencia respondiendo)
									","
											(Audience responds)
									",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
"
","
",Una nueva manera de hablar del fracaso en los negocios,Leticia Gasca,13:10,"business,entrepreneur,failure,communication,personal growth"
