pt,tr,title,speaker,duration,tags
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											Ao observar minuciosamente a Natureza
											através da lupa da ciência
											os desenhadores extraem princípios,
											processos e materiais
											que estão a formar a base
da metodologia do ""design"",
											desde materiais sintéticos
que se assemelham
											a materiais biológicos,
											até métodos computacionais
que imitam processos neurológicos,
											a Natureza está a influenciar o ""design"".
											O ""design"" também está a influenciar
a Natureza,
											em áreas como a genética,
a medicina regeneradora
											e a biologia sintética,
											os ""designers"" estão a criar
tecnologias novas
											que não foram previstas pela Natureza.
									","
											Doğaya bilimin çekici gözlükleriyle
											derinlemesine bakıldığında
											tasarımcılar, tasarım metodolojisinin
											çok temel esaslarını şekillendiren
											kurallar, işlemler ve malzemeler,
											biyolojik malzemelere benzeyen
											sentetik yapılardan
											sinirsel işlemleri taklit eden
sayısal yöntemler çıkarırlar.
											Doğa tasarımı yönlendiriyor.
											Tasarım da doğayı yönlendiriyor.
											Genetik, yenileyici tıp
											ve sentetik biyoloji alanında
											tasarımcılar doğanın öngöremediği veya
											ummadığı ilginç
teknolojiler geliştiriyorlar.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											A biónica explora a interação
											entre a biologia e o ""design"".
											Como podem ver,
as minhas pernas são biónicas.
											Hoje vou contar histórias humanas
											de integração biónica,
											como a eletromecânica acoplada ao corpo
											e implantada dentro do corpo
											está a começar a preencher o fosso
											entre incapacidade e capacidade,
											entre as limitações humanas
											e o potencial humano.
									","
											Biyonikler biyoloji ve tasarım
											arasındaki etkileşimi keşfeder.
											Gördüğünüz gibi, bacaklarım biyonik.
											Bugün biyonikle bütünleşen
											insan hikayeleri anlatacağım.
											Elektromekaniklerin
vücuda nasıl bağlandığını
											ve vücuda nasıl nakledildiğini,
											engel ve beceri,
insan sınırları ve
											insan potansiyeli arasındaki
											köprünün nasıl oluşturduğunu anlatacağım.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											A biónica definiu o meu físico.
											Em 1982, as minhas pernas
tiveram que ser amputadas
											por causa de queimaduras
provocadas pelo frio
											sofridas num acidente
quando escalava uma montanha.
											Naquela época,
eu não encarava o meu corpo
											como diminuído.
											Achava que um ser humano
											nunca podia ficar diminuído.
											A tecnologia é que se mostra diminuta.
											A tecnologia é inadequada.
											Esta ideia, simples mas poderosa,
											foi um incentivo
											para a evolução da tecnologia
											para eliminar a minha incapacidade
											e a incapacidade de outras pessoas.
											Comecei por aperfeiçoar
membros especializados
											que me permitiram voltar
											ao mundo vertical
da escalada na rocha e no gelo.
											Cedo percebi
que a parte artificial do meu corpo
											é maleável,
											capaz de assumir qualquer forma,
qualquer função,
											uma tábua rasa onde criar
											estruturas que podem ir além
											da capacidade biológica.
											Fiz com que a minha altura
fosse ajustável.
											Posso medir um metro e meio
ou ter a altura que quiser.
											(Risos)
											Por isso, quando me sentia
desgostoso comigo,
											inseguro, aumentava a minha altura,
											mas, quando me sentia
confiante e tranquilo,
											reduzia a minha altura um furo
											só para dar hipótese à competição.
											(Risos)
											Os meus pés, estreitos e em cunha,
											permitem-me trepar fendas
em rochas escarpadas
											onde os pés humanos
não conseguem penetrar,
											e os meus pés pontiagudos
permitem-me
											trepar a paredes de gelo verticais
											sem sentir fadiga nos músculos das pernas.
											Através da inovação tecnológica,
											voltei ao meu desporto,
mais forte e mais apto.
											A tecnologia
eliminou as minhas incapacidades
											e permitiu-me novas proezas na escalada.
											Quando eu era jovem,
imaginava um mundo futuro
											em que uma tecnologia avançada
											podia livrar o mundo da incapacidade,
											um mundo em que os implantes neurais
											permitiriam
que os deficientes visuais vissem,
											um mundo em que os paralíticos
pudessem andar
											por meio de exosqueletos.
									","
											Biyonikler benim fizikselliğimi tanımladı.
											1982 yılında, iki bacağım da
dağ tırmanışı kazası sırasında
											maruz kaldığım soğuk ısırığına bağlı
											doku hasarı nedeniyle kesildi.
											O zaman, vücudumu
											eksik olarak görmedim.
											Bir insanın asla
											eksik olamayacağını düşündüm.
											Eksik olan teknolojidir.
											Yetersiz olan teknolojidir.
											Bu basit ama güçlü fikir
											ileri teknolojiyi
											kendi engelimin ve nihayetinde
											diğerlerinin engelini
ortadan kaldırması için
											bir göreve çağrı idi.
											İşe beni kaya ve buz tırmanışının
											dik dünyasına geri döndüren
											özelleştirilmiş uzuvlar
geliştirerek başladım.
											Vücudumun yapay kısımlarının
											şekillendirilebilir olduğunu fark ettim.
											Her formu, her işlevi alabilen,
											belki de biyolojik kabiliyetin
											sınırlarının ötesine uzanabilecek
yapılar yaratmak için
											beyaz bir sayfa.
											Yüksekliğimi ayarlanabilir hale getirdim.
											150 santim kadar kısa veya
istediğim kadar uzun olabiliyordum.
											(Kahkaha)
											Kendimi kötü, güvensiz hissettiğimde
											yüksekliğimi artırırdım,
											ama kendimi rahat ve
kendinden emin hissettiğimde,
											rekabete bir fırsat vermek için
											yüksekliğimi biraz azaltırdım.
											(Kahkaha) (Alkış)
											Dar, kamalı ayaklar
insan ayağının giremediği
											dik kaya çatlaklarına
tırmanmamı sağladı.
											Çivili ayaklar ise
											dik buz duvarlara
											bacak kaslarını yormadan
tırmanmamı sağladı.
											Teknolojik yenilikler sayesinde,
											sporuma daha güçlü ve iyi döndüm.
											Teknoloji engelimi ortadan kaldırdı
											ve bana yeni bir tırmanma hüneri verdi.
											Genç bir adam olarak, teknolojinin
											çok ilerlerdiği bir gelecekte
											engellilerin kurtulacağı
bir dünya hayal ettim.
											Sinirsel nakillerin
											görme engellileri gördüreceği,
											felçlilerin dış iskeletlerle
											yürüyebileceği bir dünya.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											Infelizmente,
dadas as deficiências na tecnologia,
											há cada vez mais incapacidades no mundo.
											Este homem perdeu três membros.
											Como prova da tecnologia moderna,
											não anda de cadeira de rodas.
											Mas precisamos de fazer melhor na biónica
											para permitir um dia a plena reabilitação
											duma pessoa com este nível de diminuição.
											No MIT Media Lab, criámos
											o Centro para a Biónica Radical.
											A missão deste centro
											é impulsionar ciência fundamental
											e competência técnica que permitam
											a reparação biomecatrónica
e regeneradora de pessoas
											numa ampla gama
											de incapacidades cerebrais e corporais.
									","
											Maalesef, teknolojideki
eksiklikler nedeniyle
											engellilik dünyada şahlanmış durumda.
											Bu beyfendinin üç uzvu yok.
											Mevcut teknolojinin bir ispatı olarak
											tekerlekli sandalyeden ayrıldı,
											fakat biyonik konusunda
daha iyi işler yapmalı
											ve bu seviyede bir
sakatlığı olan kişi için
											bir günlük tam rehabilitasyon
sağlamalıyız.
											MIT Medya Laboratuvarında
											İleri Biyonikler Merkezi'ni kurduk.
											Merkezin görevi
											geniş bir yelpazede beyin ve
											vücut engelleri olan insanlarda
											biyomekatronik ve rejeneratif
onarıma imkan sağlayacak
											temel bilim ve teknolojik
kabiliyeti ortaya koymaktır.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											Vou agora explicar-vos 
como funcionam as minhas pernas,
											como trabalham.
											como um bom exemplo para este centro.
											Eu tive o cuidado de rapar as pernas
ontem à noite,
											porque sabia que as ia mostrar hoje.
									","
											Bugün, merkezin
çalışmalarına bir örnek olarak
											sizlere bacaklarımın nasıl işlediğini,
											nasıl çalıştığını göstereceğim.
											Dün gece bacaklarımı traş etmeyi unutmadım
											çünkü onları göstereceğimi biliyordum.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											A biónica implica a construção
de interfaces radicais.
											Há três interfaces radicais 
nos meus membros biónicos:
											o mecânico: o modo 
como os meus membros estão ligados
											ao meu corpo biológico;
											o dinâmico: o modo como se movem, 
como se fossem de carne e osso;
											e elétrico: o modo como comunicam
com o meu sistema nervoso.
									","
											Biyonikler ileri arayüz
mühendisliği gerektiriyor.
											Biyonik uzuvlarımda üç
arayüz bulunuyor:
											mekanik, uzuvlarımın
											biyolojik bedenime bağlanışı;
											dinamik, et ve kemik gibi hareket etmesi;
											ve elektriksel, sinir sistemimle
											iletişime geçmesi.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
											Vou começar pelo interface mecânico.
											Na área do ""design"", ainda não percebemos
											como ligar aparelhos
mecanicamente ao corpo.
											Acho uma coisa espantosa que,
nos dias de hoje,
											uma das tecnologias mais maduras
e mais antigas na História do Homem,
											o sapato, ainda nos faça bolhas nos pés.
											Como é que isso é possível?
											Não fazemos ideia de como 
ligar coisas ao nosso corpo.
											Este é o trabalho, de uma beleza lírica,
											do Professor Neri Oxman
no MIT Media Lab,
											que mostra impedâncias exosqueletais 
que variam no espaço,
											que aqui se apresentam
sob variações de cores
											neste modelo impresso a 3D.
											Imaginem um futuro em que o vestuário
											seja rígido e maleável
conforme as necessidades,
											quando precisarmos, para um suporte 
e flexibilidade otimizados,
											sem nunca sentirmos desconforto.
									","
											Mekanik arayüz ile başlayacağım.
											Tasarım alanında, aletleri mekanik olarak
											vücuda nasıl bağlayacağımızı
anlayamıyoruz.
											Bu günde ve bu çağda,
insan tarihindeki en olgun,
											en eski teknolojilerden
biri olan ayakkabının
											su toplanmasına neden olması
											bana sıradışı geliyor.
											Bu nasıl olabilir?
											Aletlerin vücudumuza nasıl ekleneceği
konusunda hiçbir fikrimiz yok.
											MIT Medya Laboratuvarından
											Profesör Neri Oxman'ın
bu şiirsel tasarım işi,
											mekana göre değişen
dış iskelet dirençleri
											3D modelde renk çeşitliliği ile
											burada gösterilmiştir.
											İstediğiniz yer ve mekanda
											en iyi destek ve esneklik için
											hiç rahatsızlık vermeden sert
veya yumuşak olan elbiselerin
											olduğu bir gelecek düşünün.
									","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
"
","
","The new bionics that let us run, climb and dance",Hugh Herr,19:00,"dance,prosthetics,technology,bionics"
