en,fr,pt,title,speaker,duration,tags
"
","
","
",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
											From the smallest single-celled organism
											to the largest creatures on earth,
											every living thing is defined 
by its genes.
											The DNA contained in our genes acts like
an instruction manual for our cells.
											Four building blocks called bases are 
strung together in precise sequences,
											which tell the cell how to behave
											and form the basis for our every trait.
											But with recent advancements 
in gene editing tools,
											scientists can change an organism’s
fundamental features in record time.
											They can engineer drought-resistant crops
											and create apples that don’t brown.
											They might even prevent the spread 
of infectious outbreaks
											and develop cures for genetic diseases.
											CRISPR is the fastest, easiest, and 
cheapest of the gene editing tools
											responsible for this new wave of science.
											But where did this medical 
marvel come from?
											How does it work?
											And what can it do?
									","
											Du plus petit organisme unicellulaire
											aux plus grandes créatures sur Terre,
											chaque être vivant
est défini par ses gènes.
											L'ADN contenu dans nos gènes fonctionne
comme un guide pour nos cellules.
											Quatre blocs de construction appelés bases
sont enchaînés selon une séquence précise,
											qui dicte à la cellule comment agir
											et former la base de chacun de nos traits.
											Mais avec les récents progrès
en édition génomique,
											les scientifiques peuvent modifier
les traits d'un organisme en peu de temps.
											Ils peuvent inventer des cultures
résistantes à la sécheresse
											et créer des pommes qui ne brunissent pas.
											Ils pourraient prévenir
la propagation d'épidémies infectieuses
											et mettre au point des remèdes
contre des maladies génétiques.
											CRISPR est l'outil d'édition de
gènes le moins cher et le plus performant
											responsable de cette nouvelle science.
											Mais d'où vient cette merveille médicale ?
											Comment ça marche ?
											Et qu'est-elle capable de faire ?
									","
											Do organismo unicelular mais pequeno
											às maiores criaturas na Terra,
											todos os seres vivos se definem
pelos seus genes.
											O ADN contido nos nossos genes
											atua como um manual de instruções
para as nossas células.
											Quatro blocos de construção,
chamados bases,
											estão ligados em sequências rigorosas,
											que dizem à célula como se comportar
											e formam a base de todas
as nossas características.
											Mas, com os recentes progressos
nas ferramentas de modificação de genes,
											os cientistas podem alterar
											as características fundamentais
de um organismo em tempo recorde.
											Podem modificar culturas
resistentes às secas
											e criar maçãs que não apodrecem.
											Podem impedir a disseminação
de surtos infecciosos
											e imaginar curas para doenças genéticas.
											O CRISPR é a ferramenta de modificação
de genes mais rápida, fácil e barata
											responsável por esta nova onda da ciência.
											Mas de onde apareceu
esta maravilha médica?
											Como é que funciona?
											E o que é que pode fazer?
									",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
","
","
",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
											Surprisingly, CRISPR is actually a 
natural process
											that’s long functioned as a 
bacterial immune system.
											Originally found defending single-celled 
bacteria and archaea
											against invading viruses,
											naturally occurring CRISPR uses 
two main components.
											The first are short snippets of 
repetitive DNA sequences
											called “clustered regularly interspaced 
short palindromic repeats,”
											or simply, CRISPRs.
											The second are Cas,
											or “CRISPR-associated” proteins
											which chop up DNA like molecular scissors.
											When a virus invades a bacterium,
											Cas proteins cut out a segment 
of the viral DNA
											to stitch into the bacterium’s 
CRISPR region,
											capturing a chemical snapshot 
of the infection.
											Those viral codes are then copied 
into short pieces of RNA.
											This molecule plays many roles 
in our cells,
											but in the case of CRISPR,
											RNA binds to a special protein 
called Cas9.
											The resulting complexes act like scouts,
											latching onto free-floating 
genetic material
											and searching for a match to the virus.
											If the virus invades again, the scout
complex recognizes it immediately,
											and Cas9 swiftly destroys the viral DNA.
									","
											Étonnamment, CRISPR est en fait
un processus naturel
											qui a longtemps fonctionné
comme un système immunitaire bactérien.
											Découvert à l'origine défendant
les bactéries unicellulaires et archées
											contre les virus envahissants,
											le CRISPR naturel utilise
deux composants principaux.
											Les premiers sont de courts fragments
de séquences d'ADN répétitives nommées
											« courtes répétitions palindromiques
groupées et régulièrement espacées »
											ou simplement CRISPR.
											Les secondes sont les protéines Cas
											ou protéines « CRISPR-associated »
											qui coupent l'ADN
tels des ciseaux moléculaires.
											Quand un virus attaque une bactérie,
											les protéines Cas découpent un segment
de l'ADN viral
											pour se lier à la région CRISPR
de la bactérie,
											capturant un instantané chimique
de l'infection.
											Ces codes viraux sont ensuite copiés
en petits morceaux d'ARN.
											Cette molécule exerce de nombreux rôles
dans nos cellules,
											mais dans le cas de CRISPR,
											l'ARN se lie à une protéine spéciale
appelée Cas9.
											Les complexes qui en résultent
agissent comme des éclaireurs,
											s'accrochant
au matériel génétique flottant
											et cherchant une correspondance
avec le virus.
											Si le virus réapparaît,
le complexe le reconnaît immédiatement
											et Cas9 détruit rapidement l'ADN viral.
									","
											Surpreendentemente, o CRISPR 
é um processo natural
											que há muito que funciona
como sistema imunitário bacteriano.
											Descoberto por defender bactérias
e arqueias unicelulares
											contra vírus invasores,
											o CRISPR que ocorre na Natureza
usa dois componentes principais.
											O primeiro são curtos fragmentos
de sequências repetitivas de ADN
											chamados ""repetições palindrómicas curtas
agrupadas e regularmente interespaçadas"",
											ou, simplesmente, CRISPR.
											O segundo são as Cas,
											ou proteínas ""associadas ao CRISPR""
											que cortam o ADN
como uma tesoura molecular.
											Quando um vírus invade uma bactéria,
											as proteínas Cas cortam
um segmento do ADN viral
											para o coser na região CRISPR da bactéria
											capturando uma fotografia
química da infeção.
											Estes códigos virais são depois
copiados em pedaços curtos de ARN.
											Esta molécula desempenha
muitas funções nas nossas células
											mas, no caso do CRISPR,
											o ARN liga-se a uma proteína
especial chamada Cas9.
											Os complexos resultantes
atuam como batedores,
											ligando-se a material genético flutuante
											e procurando uma coincidência
para o vírus.
											Se o vírus invade novamente,
o complexo batedor reconhece-o logo,
											e a Cas9 destrói rapidamente o ADN viral.
									",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
","
","
",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
											Lots of bacteria have this type 
of defense mechanism.
											But in 2012, scientists figured out 
how to hijack CRISPR
											to target not just viral DNA,
											but any DNA in almost any organism.
											With the right tools,
											this viral immune system becomes a 
precise gene-editing tool,
											which can alter DNA and 
change specific genes
											almost as easily as fixing a typo.
									","
											Beaucoup de bactéries possèdent
ce type de mécanisme de défense.
											Mais en 2012, les scientifiques ont trouvé
comment modifier le CRISPR
											pour cibler non seulement l'ADN viral,
											mais également l'ADN présent
dans presque tous les organismes.
											Avec les bons outils
											ce système immunitaire viral se transforme
en un outil d'édition de gènes précis,
											qui peut modifier l'ADN
et des gènes spécifiques
											presque aussi facilement que
corriger une faute de frappe.
									","
											Muitas bactérias têm este tipo
de mecanismo de defesa.
											Mas, em 2012, os cientistas
descobriram como piratear o CRISPR,
											para visar não apenas o ADN viral,
											mas qualquer ADN
em quase qualquer organismo.
											Com as ferramentas adequadas,
											este sistema imunitário viral torna-se
											numa rigorosa ferramenta
de modificação de genes
											que pode alterar o ADN
e mudar genes específicos
											quase tão facilmente 
como reparar um erro tipográfico.
									",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
","
","
",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
											Here’s how it works in the lab:
											scientists design a “guide” RNA 
to match the gene they want to edit,
											and attach it to Cas9.
											Like the viral RNA in the 
CRISPR immune system,
											the guide RNA directs Cas9 
to the target gene,
											and the protein’s molecular scissors 
snip the DNA.
											This is the key to CRISPR’s power:
											just by injecting Cas9 bound to a short 
piece of custom guide RNA
											scientists can edit practically 
any gene in the genome.
									","
											Au labo, cela fonctionne comme suit :
											les scientifiques créent un ARN « guide »
qui correspond au gène à éditer
											et le fixent sur Cas9.
											Comme l'ARN viral
du système immunitaire CRISPR,
											l'ARN guide dirige Cas9 vers le gène cible
											et les ciseaux moléculaires
de la protéine coupent l'ADN.
											C'est la clé du pouvoir du CRISPR :
											en injectant simplement Cas9,
lié à un court morceau d'ARN guide,
											les scientifiques peuvent modifier
quasiment n'importe quel gène du génome.
									","
											No laboratório funciona assim:
											os cientistas concebem um ARN ""guia""
											para coincidir com o gene
que querem modificar
											e ligam-no à Cas9.
											Tal como o ARN viral no sistema
imunitário CRISPR,
											o ARN guia dirige a Cas9
para o gene em questão
											e a tesoura molecular da proteína
corta o ADN.
											É este o segredo para o poder do CRISPR:
											basta injetar a Cas9 ligada a um pedaço
curto do ARN guia personalizado
											e os cientistas podem modificar
praticamente qualquer gene do genoma.
									",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
","
","
",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
"
											Once the DNA is cut,
											the cell will try to repair it.
											Typically, proteins called nucleases
											trim the broken ends and 
join them back together.
											But this type of repair process,
											called nonhomologous end joining,
											is prone to mistakes
											and can lead to extra or missing bases.
											The resulting gene is often unusable 
and turned off.
											However, if scientists add a separate 
sequence of template DNA
											to their CRISPR cocktail,
											cellular proteins can perform 
a different DNA repair process,
											called homology directed repair.
											This template DNA is used as a blueprint 
to guide the rebuilding process,
											repairing a defective gene
											or even inserting a completely new one.
									","
											Une fois l'ADN coupé,
											la cellule va tenter de le réparer.
											Typiquement, des protéines
appelées nucléases
											coupent les extrémités cassées
et les relient ensemble.
											Mais ce type de réparation,
											appelée jonction d'extrémité non homologue
											est sujet à des erreurs
											et peut conduire à des bases
supplémentaires ou manquantes.
											Le gène qui en résulte
est souvent inutilisable et désactivé.
											Cependant, si les scientifiques ajoutent
une séquence distincte d'ADN
											à leur assemblage CRISPR,
											les protéines cellulaires peuvent réaliser
un autre processus de réparation de l'ADN
											appelé réparation par
recombinaison homologue.
											Ce modèle d'ADN sert de modèle
pour guider le processus de reconstruction
											la réparation d'un gène défectueux
											ou même l'insertion
d'un tout nouveau gène.
									","
											Depois de cortado o ADN,
											a célula vai tentar repará-la.
											Habitualmente, proteínas
chamadas nucleases
											aparam as pontas cortadas 
e juntam-nas de novo.
											Mas este tipo de processo de reparação,
											chamado união de extremidade
não-homóloga,
											é propenso a erros
											e pode levar a bases extra ou em falta.
											O gene daí resultante
fica inutilizado e é desativado.
											Mas, se os cientistas juntarem
uma sequência separada do ADN modelo
											ao seu ""cocktail"" CRISPR,
											as proteínas celulares podem realizar
um processo de reparação do ADN diferente,
											chamado reparação dirigida por homologia.
											Este ADN modelo é usado como esquema
para guiar o processo de reconstrução,
											reparando um gene defeituoso
											ou inserindo um gene totalmente novo.
									",How CRISPR lets you edit DNA,Andrea M. Henle,5:11,"animation,DNA,TED-Ed,CRISPR,biology,invention,science,genetics,medicine,medical research"
