es,tr,en,de,title,speaker,duration,tags
"
","
","
","
",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
											El trabajo de una Comisaria de Transporte
											o es solo sobre señales de «pare» y semáforos.
											Involucra el diseño de las ciudades
											y el de las calles.
											Las calles son unos de 
los recursos más valiosos
											que tiene una ciudad, 
y sin embargo es un bien
											que en gran parte se pasa por alto.
											Y la lección de Nueva York
											durante los últimos seis años
											es que este bien se puede actualizar.
											Se pueden rehacer las calles 
rápidamente y a bajo costo,
											esto puede dar beneficios inmediatos,
											y puede ser muy popular.
											Solo hay que mirarlas de 
una forma un poco distinta.
									","
											Ulaştırma Bakanı'nın işi
											sadece tabelalar ve trafik lambalarıyla alakalı değil.
											Hem şehirlerin ve sokaklarının
											tasarlanması ile alakalı.
											Sokaklar ise şehrin en değerli kaynaklardan biri,
											fakat göz önünde bulunmalara rağmen
											onlara pek değer verilmiyor.
											Ve son altı senedir New York'ta çalışarak
											öğrendiğim en önemli şey ise,
											bu kaynağı güncelleştirebilmemzidir.
											Sokaklarınızı çabuk ve hesaplı bir şekilde yenileyebilirsiniz.
											Anında görünecek faydalar sunabilir
											ve epey de popüler olabilir.
											Sadece sokaklara biraz farklı bir açıdan bakmak gerekiyor.
									","
											The work of a transportation commissioner
											isn't just about stop signs and traffic signals.
											It involves the design of cities
											and the design of city streets.
											Streets are some of the most valuable resources
											that a city has, and yet it's an asset
											that's largely hidden in plain sight.
											And the lesson from New York
											over the past six years
											is that you can update this asset.
											You can remake your streets quickly, inexpensively,
											it can provide immediate benefits,
											and it can be quite popular.
											You just need to look at them a little differently.
									","
											Bei der Arbeit einer Verkehrskommissarin
											geht es nicht nur um Schilder und Ampeln.
											Sie beinhaltet auch die Gestaltung von Städten
											und die Gestaltung der städtischen Straßen.
											Straßen gehören zu den wertvollsten Ressourcen
											einer Stadt, und doch sind sie eine Bereicherung,
											die man trotz ihrer Offensichtlichkeit leicht übersieht.
											Und New York hat uns
											in den vergangenen sechs Jahren gelehrt,
											dass man diese Bereicherung aktualisieren kann.
											Man kann Straßen schnell und kostengünstig erneuern,
											was sofortigen Nutzen bringen kann,
											und das kann sehr gut ankommen.
											Man muss sie nur mit einem 
etwas anderen Blick betrachten.
									",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
","
","
","
",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
											Esto es importante porque 
vivimos en una era urbana.
											Por primera vez en la historia,
											la mayoría de la gente vive en ciudades,
											y la ONU estima que 
en los próximos 40 años,
											la población del planeta se va a duplicar.
											Así que el diseño de las ciudades es 
un tema clave para nuestro futuro.
											El alcalde Bloomberg reconoció esto
											cuando lanzó el PlaNYC en el 2007.
											El plan identificó que las ciudades
											se encuentran en un mercado global,
											y que si vamos a continuar 
creciendo y prosperando
											e interesando al más de millón de personas
											que se prevé van a instalarse aquí,
											tenemos que centrarnos en la calidad de vida
											y la eficiencia de nuestra infraestructura.
									","
											Bu çok önemli çünkü biz artık bir 'şehirli çağda' yaşıyoruz.
											İnsanoğlu tarihinde ilk defa
											çoğu insan şehirde yaşıyor.
											Ve Birleşik Milletler, önümüzdeki 40 sene içerisinde
											dünyadaki insan nüfusunun iki kat artacağını tahmin ediyor.
											Demek ki, şehirlerin tasarımı geleceğimiz için önemli bir konu.
											Bizim Mayor Bloomberg bunu anlayıp,
											2007 yılında PlaNYC projesini hayata geçirdi.
											Bu proje ise, şehirlerin küresel bir piyasanın
											bir parçası olduklarını anladı.
											Ve büyümemiz, refah sağlayabilmemiz
											ve şehire taşınmaları beklenen insanları
											çekmemiz için,
											yaşam kalitesine ve altyapımızın
											etkin bir şekilde çalışmasına odaklanmamız gerekiyor.
									","
											This is important because we live in an urban age.
											For the first time in history,
											most people live in cities,
											and the U.N. estimates that over the next 40 years,
											the population is going to double on the planet.
											So the design of cities is a key issue for our future.
											Mayor Bloomberg recognized this
											when he launched PlaNYC in 2007.
											The plan recognized that cities
											are in a global marketplace,
											and that if we're going to continue to grow and thrive
											and to attract the million more people
											that are expected to move here,
											we need to focus on the quality of life
											and the efficiency of our infrastructure.
									","
											Das ist wichtig, weil wir im Zeitalter der Städte leben.
											Zum ersten Mal in der Geschichte
											leben die meisten Menschen in Städten
											und die UN schätzt, dass sich 
im Verlauf der nächsten 40 Jahre
											die Weltbevölkerung verdoppeln wird.
											Daher ist die Gestaltung von Städten 
ein zentrales Thema für unsere Zukunft.
											Der New Yorker Bürgermeister hat das begriffen,
											als er 2007 PlaNYC startete.
											Dieser Plan erkannte an, dass Städte
											sich auf einem globalen Markt befinden
											und dass wir, wenn wir 
weiterhin wachsen und gedeihen
											und weitere Millionen Menschen anziehen wollen,
											die erwartungsgemäß hierher ziehen werden,
											unseren Schwerpunkt auf die Lebensqualität
											und die Effizienz unserer Infrastruktur legen müssen.
									",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
","
","
","
",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
											En muchas ciudades, nuestras calles han estado
											en una especie de animación 
suspendida durante generaciones.
											Esta es una foto de Times Square en los 50,
											y a pesar de la innovación tecnológica,
											los cambios culturales y políticos,
											esta es Times Square en 2008.
											No había cambiado mucho en esos 50 años.
											Es por eso que hemos trabajado duro 
para reenfocar nuestra agenda,
											para maximizar la eficiencia en la movilidad,
											dando más espacio a los autobuses, 
más espacio a las bicis,
											más espacio a las personas 
para disfrutar la ciudad,
											y para hacer nuestras calles 
lo más seguras posible
											para todos los que las utilizan.
									","
											Birçok şehir için, nesillerdir sokakların gelişiminde
											bir nevi durgunluk yaşanıyor.
											Şu resim Times Square'in 50 yıllarındaki halini gösteriyor.
											Bir sürü teknolojik gelişmelerine rağmen,
											kültürsel ve siyasi değişikliklerine rağmen,
											2008 yılında Times Square'in hali böyledi.
											50 yıl içerisinde pek bir şey değişmedi.
											Onun için biz gündemimizin odak noktasını kaydırdık
											her şeyin daha rahat hareket edebilimesine
											Otobüsler ve bisikletlere daha yer ayırdık.
											Yayaların da şehri daha keyifli yaşayabilimeleri için
											sokakların herkes için mümkün olduğu kadar güvenli olmaları için
											çok çaba harcadık.
									","
											For many cities, our streets have been
											in a kind of suspended animation for generations.
											This is a picture of Times Square in the '50s,
											and despite all of the technological innovation,
											cultural changes, political changes,
											this is Times Square in 2008.
											Not much has changed in those 50 years.
											So we worked hard to refocus our agenda,
											to maximize efficient mobility,
											providing more room for buses, more room for bikes,
											more room for people to enjoy the city,
											and to make our streets as safe as they can be
											for everybody that uses them.
									","
											Aus Sicht vieler Städte befinden sich unsere Straßen
											seit Generationen in einer Art Scheintod.
											Das ist ein Bild vom Times Square in den '50ern,
											und trotz aller technologischer Innovation,
											den kulturellen und politischen Veränderungen,
											ist das der Times Square im Jahr 2008.
											In jenen 50 Jahren hat sich nicht viel verändert.
											Also haben wir hart daran gearbeitet, 
unser Programm neu auszurichten,
											effiziente Mobilität zu optimieren,
											indem wir mehr Platz für Busse, 
Fahrräder und dafür schaffen,
											dass Menschen die Stadt genießen können,
											und unsere Straßen für jeden, der sie nutzt,
											so sicher wie möglich zu machen.
									",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
","
","
","
",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
											Nos propusimos un plan de acción claro
											con metas y puntos de referencia.
											Tener metas es importante
											porque si quieres cambiar y dirigir la nave
											de una gran ciudad en una nueva dirección,
											tienes que saber a dónde vas y por qué.
									","
											Belirli hedefleri olan
											net bir plan yaptık.
											Hedefler çok önemli.
											eğer geminin rotasını değiştirmek istiyorsanız,
											yeni bir istikamete gitmek için,
											nereye gideceğini ve niye oraya gideceğini bilmek lazım.
									","
											We set out a clear action plan
											with goals and benchmarks.
											Having goals is important,
											because if you want to change and steer the ship
											of a big city in a new direction,
											you need to know where you're going and why.
									","
											Wir haben einen klaren Aktionsplan
											mit Zielen und Eckdaten aufgestellt.
											Es ist wichtig, Ziele zu haben,
											denn wenn man eine große Stadt verändern
											und in eine neue Richtung steuern will,
											muss man wissen, wohin man will und warum.
									",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
","
","
","
",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
"
											El diseño de una calle 
puede decirte todo
											acerca de lo que se espera en ella.
											En este caso, se trata de servir de refugio.
											El diseño de esta calle es en realidad
											para maximizar la circulación de coches
											yendo tan rápido como sea posible
											del punto A al punto B,
											y se ignoran todas las otras formas
											de utilización de una calle.
									","
											Bir sokağın tasarımı,
											ordaki insanlardan neyin beklendiğini gösterir.
											Bu durumda ise, barınırmış gibi sıkışmak bekleniyor.
											Bu sokağın tasarımın amacı
											aslında arabaların akışını sağlamaktır.
											A'den B'ye
											en hızlı şekilde.
											Ve sokağın diğer kullanışlarını
											kaçırıyor.
									","
											The design of a street can tell you everything
											about what's expected on it.
											In this case, it's expected that you shelter in place.
											The design of this street is really
											to maximize the movement of cars
											moving as quickly as possible
											from point A to point B,
											and it misses all the other ways
											that a street is used.
									","
											Das Gestaltung einer Straße 
kann einem alles darüber verraten,
											was dort zu erwarten ist.
											In diesem Fall wird erwartet, dass man 
sich selbst einen Schutzraum sucht.
											Die Gestaltung dieser Straße dient dazu,
											die Bewegung der Autos zu optimieren,
											die so schnell wie möglich
											von A nach B fahren,
											und vernachlässigt dabei alle anderen Möglichkeiten,
											wie eine Straße genutzt werden kann.
									",New York's streets? Not so mean any more,Janette Sadik-Khan,14:02,"architecture,cities,design,transportation,infrastructure"
