en,fr,title,speaker,duration,tags
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											I read poetry all the time
											and write about it frequently
											and take poems apart
											to see how they work
											because I'm a word person.
											I understand the world best, most fully,
											in words rather than, say, pictures or numbers,
											and when I have a new experience or a new feeling,
											I'm a little frustrated
											until I can try to put it into words.
											I think I've always been that way.
											I devoured science fiction as a child. I still do.
											And I found poems by Andrew Marvell
											and Matthew Arnold and Emily Dickinson
											and William Butler Yeats
											because they were quoted in science fiction,
											and I loved their sounds
											and I went on to read about ottava rima
											and medial caesuras and enjambment
											and all that other technical stuff
											that you care about if you already care about poems,
											because poems already made me happier
											and sadder and more alive.
											And I became a poetry critic
											because I wanted to know how and why.
									","
											Je lis tout le temps de la poésie
											et j'écris souvent sur ce sujet.
											Je démonte les poèmes
											pour voir comment ils fonctionnent
											car je suis un homme de mots.
											Je comprends mieux le monde,
plus entièrement,
											en mots, plutôt qu'en images, 
ou en nombres
											et quand j'ai une nouvelle expérience, 
ou un nouveau sentiment,
											je me sens un peu frustré
											jusqu'à ce que j'arrive
à le mettre en mots.
											Je pense que j'ai toujours été comme cela.
											Enfant, je dévorais les livres 
de science-fiction. Je le fais toujours.
											Et j'ai découvert 
des poésies d'Andrew Marvell,
											de Matthew Arnold, d'Emily Dickinson
											et de William Butler Yeats
											car ils étaient cités
dans la science-fiction
											et que j'adorais leur sons
											et, après, j'ai commencé
à lire sur les <i>ottava rima</i>,
											les césures en milieu de vers
et les enjambements,
											toutes ces choses techniques
											qui sont importantes pour vous 
si vous aimez vraiment la poésie
											car les poèmes m'ont déjà
rendu plus heureux,
											plus triste et plus vivant.
											Je suis devenu critique en poésie car
											je voulais savoir comment et pourquoi.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Now, poetry isn't one thing that serves one purpose
											any more than music or computer programming
											serve one purpose.
											The greek word poem, it just means ""a made thing,""
											and poetry is a set of techniques,
											ways of making patterns
											that put emotions into words.
											The more techniques you know,
											the more things you can make,
											and the more patterns you can recognize
											in things you might already like or love.
									","
											La poésie n'a pas qu'un objectif
											tout comme la musique 
ou la programmation informatique.
											Le mot grec pour poème 
veut uniquement dire « création » ;
											la poésie est 
un ensemble de techniques,
											de façons de créer des configurations
											pour mettre en mots des émotions.
											Plus vous connaissez de techniques,
											plus vous pouvez créer de choses,
											et plus vous pouvez reconnaître de modèles
											dans les choses 
que vous aimiez peut-être déjà.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											That said, poetry does seem to be
											especially good at certain things.
											For example, we are all going to die.
											Poetry can help us live with that.
											Poems are made of words, nothing but words.
											The particulars in poems are like
											the particularities, the personalities,
											that distinguish people from one another.
											Poems are easy to share, easy to pass on,
											and when you read a poem, you can imagine
											someone's speaking to you or for you,
											maybe even someone far away
											or someone made up or someone deceased.
											That's why we can go to poems when we want to
											remember something or someone,
											to celebrate or to look beyond death
											or to say goodbye,
											and that's one reason poems can seem important,
											even to people who aren't me,
											who don't so much live in a world of words.
											The poet Frank O'Hara said,
											""If you don't need poetry, bully for you,""
											but he also said when he didn't
want to be alive anymore,
											the thought that he wouldn't write any more poems
											had stopped him.
											Poetry helps me want to be alive,
											and I want to show you why by showing you how,
											how a couple of poems react to the fact that
											we're alive in one place at one time in one culture,
											and in another we won't be alive at all.
									","
											Ceci dit, la poésie semble être
											particulièrement bonne 
pour certaines choses.
											Par exemple, nous allons tous mourir.
											La poésie peut nous aider
à vivre avec cela.
											Les poèmes ne sont faits
de rien d'autre que de mots.
											Les effets dans les poèmes sont comme
											les particularités, les personnalités
											qui permettent de distinguer 
les gens les uns des autres.
											Les poèmes se partagent facilement, 
se transmettent facilement
											et quand on lit un poème, on peut imaginer
											quelqu'un nous le raconter,
											ou peut-être encore 
quelqu'un qui est loin,
											une personne imaginaire 
ou quelqu'un de décédé.
											C'est pourquoi, on peut se réfugier 
dans la poésie quand on veut
											se remémorer quelque chose,
											fêter quelque chose, 
regarder au delà de la mort,
											ou dire au revoir.
											Et c'est l'une des raisons pour lesquelles
les poèmes semblent importants,
											même pour d'autres personnes que moi,
											qui ne vivent pas autant 
dans un monde fait de mots.
											Le poète Franck O'Hara disait :
											« Malheur à vous si vous 
n'avez pas besoin de poésie »,
											mais il disait également que 
quand il ne voulait plus être en vie,
											la pensée qu'il n'écrirait
plus aucun poème
											l'arrêtait.
											La poésie m'aide à aimer la vie
											et je veux vous montrer pourquoi
en vous montrant comment,
											comment quelques poèmes 
réagissent au fait que
											nous vivons à un endroit 
et dans une culture donnés,
											et que dans d'autre circonstances,
nous ne serions pas vivants du tout.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											So here's one of the first poems I memorized.
											It could address a child or an adult.
									","
											Donc voici un des premiers poèmes 
que j'ai mémorisés.
											Il pourrait être adressé 
à un enfant ou un adulte.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											""From far, from eve and morning
									","
											« Depuis loin, depuis la veille et matin
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											From yon twelve-winded sky,
									","
											Depuis ce ciel aux douze vents
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											The stuff of life to knit me
									","
											Les choses de la vie pour me lier
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Blew hither; here am I.
									","
											Ici ont soufflé ; me voici.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Now — for a breath I tarry
									","
											Maintenant — je m'attarde pour un souffle
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Nor yet disperse apart —
									","
											Ne te disperse pas encore —
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Take my hand quick and tell me,
									","
											Prends vite ma main et dis-moi
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											What have you in your heart.
									","
											Ce que tu as dans le cœur.
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Speak now, and I will answer;
									","
											Parle maintenant, et je répondrai ;
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											How shall I help you, say;
									","
											Comment puis-je t'aider, dis ;
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											Ere to the wind's twelve quarters
									","
											Avant les douze quartiers du vent
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											I take my endless way.""
									","
											Je marche mon chemin infini. »
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
											[A. E. Housman]
									","
											[A. E. Housman]
									",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
"
","
",Why people need poetry,Stephen Burt,13:12,"culture,language,poetry"
