en,pt,tr,title,speaker,duration,tags
"
","
","
",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
											I once had this nightmare:
											I'm standing in the middle
of a deserted field full of land mines.
											In real life, I love to hike,
											but every time I want to go on a hike,
it makes me nervous.
											I have this thought in the back of my mind
											that I might lose a limb.
									","
											Uma vez tive este pesadelo:
											Estou no meio dum campo deserto
cheio de minas terrestres.
											Na vida real, adoro caminhar,
											mas, sempre que vou caminhar,
fico nervosa.
											Tenho um pressentimento constante
											de que posso ficar sem uma perna.
									","
											Bir kabus gördüm:
											Bir mayın tarlasının tam ortasında
duruyordum.
											Gerçekte, doğa yürüyüşü yapmayı severim
											ama her doğa yürüyüşüne gitmek 
istediğimde, bu beni germiştir.
											Aklımda sürekli şunu düşünüyorum:
											Belki bir uzvumu kaybedebilirim.
									",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
","
","
",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
											This underlying fear started 10 years ago,
											after I met Mohammed,
a cluster bomb survivor
											of the summer 2006
Israel-Hezbollah War in Lebanon.
											Mohammed, like so many
other survivors all around the world,
											had to live through the horrifying
repercussions of cluster munitions
											on a daily basis.
									","
											Este medo implícito começou há 10 anos,
											depois de conhecer Mohammed,
um sobrevivente duma bomba de fragmentação
											da guerra Israel-Hezbollah,
no Líbano, no verão de 2006.
											Mohammed, como tantos outros
sobreviventes no mundo inteiro,
											teve que sofrer as terríveis repercussões
das munições de fragmentação
											diariamente.
									","
											Bunun altında yatan korku
10 yıl önce...
											2006 yazı, Lübnan'daki İsrail-Hizbullah
Savaşı sırasında
											Parça Tesirli Bomba(PTB) mağduru
Muhammed ile tanıştığımda başladı.
											Muhammed, bu savaştan sağ çıkan her
insan gibi
											bu bombanın korkunç sonuçlarıyla
											günbegün yaşamak zorunda.
									",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
","
","
",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
											When the one-month conflict
started in Lebanon,
											I was still working
at Agence France-Presse in Paris.
											I remember how I was glued to the screens,
											anxiously following the news.
											I wanted to reassure myself
											that the falling bombs
missed my parents' home.
											When I arrived in Beirut
on assignment to cover that war,
											I was relieved to be united
with my family,
											after they had finally managed
to escape southern Lebanon.
											The day the war was over,
											I remember seeing this image —
											one of blocked roads,
											of displaced people eagerly rushing
south, back to their homes,
											regardless of what they would find.
									","
											Quando rebentou no Líbano
o conflito de um mês,

											eu ainda estava a trabalhar
na Agência France-Press, em Paris.
											Lembro-me de como ficava
colada aos ecrãs,
											seguindo ansiosamente as notícias.
											Queria tranquilizar-me
											de que as bombas não atingiam
a casa dos meus pais.
											Quando cheguei a Beirute, com a missão
de fazer a cobertura da guerra,
											fiquei aliviada ao juntar-me
à minha família,
											depois de eles terem conseguido 
fugir do sul do Líbano.
											No dia em que a guerra acabou,
											lembro-me de ver esta imagem
											— uma das estradas bloqueadas,
											com pessoas deslocadas a fugir para o sul,
ansiosamente, de volta às suas casas,
											sem pensarem no que iriam encontrar.
									","
											Lübnan'da başalayan bu bir aylık 
çatışma sırasında,
											ben hala Agence France-Press Paris'te
çalışıyordum.
											Nasıl ekrana yapıştığımı hatırlıyorum,
											endişeyle haberleri takip ediyordum.
											Kendimi rahatlatmak istiyordum:
											Düşen bombalar ailemin evini
ıskalamış olsun istiyordum.
											Bu savaşın haberini yapmak için 
Beyrut'a ulaştığımda,
											sonunda ailem güney Lübnan'dan
kaçtıktan sonra
											onlarla tekrar beraber olmak
beni rahatlatmıştı.
											Savaşın bittiği gün,
											bu resmi gördüğümü hatırlıyorum —
											tıkanmış bir yolda,
											savaştan kaçan insanların
güneydeki evlerine,
											orada ne bulacaklarından habersiz
akın edişleri.
									",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
","
","
",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
											An estimated four million
cluster submunitions
											were spread in Lebanon during
the 34-day conflict.
											Mohammed lost both legs
during the last week of the conflict.
											The fact that he lives a five-minute
drive from my parents' home
											made it easier to follow
him through the years.
											It was now almost 10 years
since we first met.
											I saw the young boy
											who had to endure
physical and emotional trauma.
											I saw the teenager who tried
to offer his friends tattoos,
											in return for a set fee of five dollars.
											And I know the young, jobless man
who spends hours surfing the Internet
											trying to meet a girl who might
become his girlfriend.
											His fate and the effects
of losing his legs
											are now his daily reality.
									","
											Tinham sido espalhadas pelo Líbano,
durante o conflito de 34 dias.
											cerca de quatro milhões
de submunições de fragmentação.
											Mohammed perdera as duas pernas
durante a última semana do conflito.
											Como ele vive a cinco minutos de carro
de casa dos meus pais,
											foi fácil segui-lo ao longo dos anos.
											Já passaram quase 10 anos
desde que nos conhecemos.
											Vi o rapaz
											que sofreu um trauma
físico e emocional.
											Vi o adolescente que tentava
oferecer tatuagens aos amigos
											em troca duma nota de cinco dólares.
											E conheço o jovem desempregado
que passa horas a navegar na Internet
											a tentar encontrar uma rapariga
que possa ser sua namorada.
											O seu destino e as consequências
de perder as pernas
											são hoje a sua realidade diária.
									","
											34 günlük savaş sırasında
Lübnan'da
											4 milyon PTB(Parça tesirli bomba) parçacığı
etrafa saçılmıştı.
											Muhammed ise iki bacağını savaşın
son haftası kaybetti.
											Onun ailemin beş dakikalık sürüş
uzaklığında yaşaması,
											onu yıllar içinde daha kolay 
tanımamı sağlamıştı.
											Şu anda tanışalı yaklaşık 10 yıl oldu.
											O fiziksel ve duygusal travmaya
											katlanmak zorunda kalan çocuğu gördüm.
											Arkadaşlarına 5 dolarlık sabit fiyatla
											dövme yapmayı öneren ergeni gördüm.
											Ve saatlerce internette dolaşarak
kız arkadaşı olabilecek
											bir kızla tanışmaya çalışan
genç işsiz adamı tanıyorum.
											Onun kaderi ve bacaklarını kaybetmesinin
etkileri
											artık onun günlük yaşadığı gerçekler.
									",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
","
","
",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
"
											Survivors of bomb trauma like Mohammed
											have to deal with so many details
that never occur to us.
											Who would have imagined
											that so many daily tasks we do
or take for granted,
											such as going to the beach or even
picking up something from the floor,
											would become sources
of stress and anxiety?
											Well, that's what eventually
became of Mohammed,
											due to his inflexible prosthetic legs.
									","
											Os sobreviventes de traumas de bombas
como Mohammed
											têm de lidar com muitos pormenores
que nem sequer nos ocorrem.
											Quem podia imaginar
											que tantas tarefas diárias
que fazemos ou achamos normais,
											como ir à praia ou
apanhar qualquer coisa do chão,
											seriam fontes de ""stress"" e ansiedade?
											Foi nisto que Mohammed
acabou por tornar,
											devido às suas próteses inflexíveis.
									","
											Muhammed gibi bomba travmasından
sağ çıkan insanlar
											bizim farkında olmadığımız birçok
detay ile başa çıkmak zorunda.
											Günlük, kolayca,
											hiç düşünmeden yaptığımız,
plaja gitmek
											veya yerden bir şey almak
gibi onca şeyin
											stres ve anksiyeteye 
yol açabileceğini kim bilebilir ki?
											Muhammed'in esnek olmayan
											protez bacakları yüzüden olan tam olarak 
buydu.
									",The deadly legacy of cluster bombs,Laura Boushnak,11:36,"death,photography,humanity,life,military,refugees,war,violence,TED Fellows"
